a01	stime_h_vx4	stime_m_vx4	res_id_vx4	consent_vx4	v1_01	pid_v1	mid_v1	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	hhid2	del	hh_type	round
86.0	12	4	2	1	2																		"86"		3	3.0
87.0	15	59	2	1	1	81	1	2	1	6	42	1	9	28	1	18		1		8	1	1	"87"		3	3.0
90.0	13	38	1	1	1	81	4	3	0	5	16	1	3	24	2		29	1		1	3	1	"90"		3	3.0
91.0	7	56	2	1	1	81	1	2	0	8	33	1	99	36	1	20		1		8	3	1	"91"		3	3.0
92.0	18	52	1	1	2																		"92"		3	3.0
93.1	12	50	1	1	1	81	4	3	0	7	11	2	3	81	1	19		1		9	3	2	"93.1"		3	3.0
93.2	11	32	5	1	2																		"93.2"		3	3.0
94.0	14	25	1	1	2																		"94"		3	3.0
95.0	11	58	1	1	2																		"95"		3	3.0
96.0	16	30	2	1	1	81	4	3	0	6	15	2	3	13	1	18		1		1	4	1	"96"		3	3.0
97.0	16	17	1	1	2																		"97"		3	3.0
99.0	15	20	1	1	2																		"99"		3	3.0
100.1	12	23	6	1	2																		"100.1"		3	3.0
101.0	12	16	1	1	2																		"101"		3	3.0
102.0	11	27	1	1	2																		"102"		3	3.0
103.0	16	0	1	1	2																		"103"		3	3.0
104.0	11	42	1	1	2																		"104"		3	3.0
105.0	17	9	1	1	2																		"105"		3	3.0
106.0	14	17	4	1	2																		"106"		3	3.0
107.0	10	7	3	1	2																		"107"		3	3.0
108.0	13	7	1	1	2																		"108"		3	3.0
109.0	12	5	1	1	2																		"109"		3	3.0
110.0	10	20	1	1	2																		"110"		3	3.0
111.0	16	42	1	1	2																		"111"		3	3.0
112.0	11	4	4	1	2																		"112"		3	3.0
113.0	13	37	1	1	2																		"113"		3	3.0
114.0	14	1	4	1	2																		"114"		3	3.0
116.0	15	55	4	1	2																		"116"		3	3.0
117.0	15	8	1	1	2																		"117"		3	3.0
118.0	14	33	1	1	2																		"118"		3	3.0
120.0	12	20	1	1	2																		"120"		3	3.0
121.0	13	46	1	1	1	81	3	3	0	6	26	2	16	12	1	63		1		1	1	1	"121"		2	3.0
122.0	18	21	1	1	2																		"122"		2	3.0
123.0	16	8	1	1	1	81	3	3	1	3	27	1	15	14	1	11		1		1	3	1	"123"		2	3.0
124.0	15	35	3	1	2																		"124"		2	3.0
126.0	14	46	1	1	1	81	5	3	0	10	19	1	12	8	2		29	1		1	5	1	"126"		2	3.0
127.0	17	30	1	1	2																		"127"		2	3.0
128.0	15	22	1	1	2																		"128"		2	3.0
129.0	20	20	1	1	2																		"129"		2	3.0
130.0	18	40	1	1	2																		"130"		2	3.0
131.0	16	17	1	1	2																		"131"		2	3.0
132.0	11	38	1	1	2																		"132"		2	3.0
134.0	16	30	1	1	1	81	4	3	3	2	22	1	9	13	1	1		1		1	1	1	"134"		2	3.0
134.0			1	1	1	82	6	3	3	2	21	2	8	13	1	1		1		1	1	1	"134"		2	3.0
135.0	14	25	1	1	2																		"135"		2	3.0
136.0	13	26	1	1	2																		"136"		2	3.0
137.0	15	52	1	1	1	81	4	3	1	6	38	1	5	9	1	1		1		8	1	1	"137"		2	3.0
137.0			1	1	1	82	5	4	1	6	31	2	8	13	1	1		1		1	1	2	"137"		2	3.0
137.0			1	1	1	83	6	4	1	6	98	2	6	13	1	1		1		1	1	2	"137"		2	3.0
140.0	14	36	1	1	2																		"140"		2	3.0
141.0	12	25	1	1	2																		"141"		3	3.0
142.1	15	13	1	1	2																		"142.1"		3	3.0
142.2	15	59	5	1	2																		"142.2"		3	3.0
143.0	15	39	1	1	2																		"143"		3	3.0
144.0	12	24	1	1	2																		"144"		3	3.0
145.0	13	21	1	1	2																		"145"		3	3.0
146.0	15	15	1	1	2																		"146"		3	3.0
147.0	12	39	1	1	2																		"147"		3	3.0
148.1	11	42	4	1	2																		"148.1"		3	3.0
148.2	19	0	3	1	2																		"148.2"		3	3.0
148.3	17	56	5	1	2																		"148.3"		3	3.0
149.0	16	22	1	1	2																		"149"		3	3.0
150.0	12	1	1	1	2																		"150"		3	3.0
151.0	14	32	1	1	1	81	2	3	0	0	30	1	99	67	1	63		1		8	1	2	"151"		3	3.0
152.0	16	13	3	1	1	81	2	3	2	2	21	1	12	12	1	55		1		1	1	1	"152"		3	3.0
153.0	15	39	1	1	2																		"153"		3	3.0
154.0	16	42	1	1	2																		"154"		3	3.0
155.0	13	26	1	1	2																		"155"		3	3.0
157.0	12	25	1	1	2																		"157"		3	3.0
160.0	12	11	3	1	2																		"160"		3	3.0
161.0	16	59	1	1	2																		"161"		2	3.0
162.0	16	49	1	1	2																		"162"		2	3.0
163.0	12	53	1	1	2																		"163"		2	3.0
164.0	14	20	1	1	2																		"164"		2	3.0
165.0	16	26	1	1	2																		"165"		2	3.0
166.0	14	22	1	1	2																		"166"		2	3.0
167.0	13	55	1	1	2																		"167"		2	3.0
168.0	16	40	1	1	2																		"168"		2	3.0
169.0	13	11	1	1	2																		"169"		2	3.0
170.0	17	28	1	1	2																		"170"		2	3.0
171.0	14	23	1	1	2																		"171"		2	3.0
172.0	15	50	1	1	2																		"172"		2	3.0
173.0	14	46	1	1	2																		"173"		2	3.0
174.0	16	46	1	1	2																		"174"		2	3.0
175.0	13	30	1	1	2																		"175"		2	3.0
176.0	16	1	1	1	2																		"176"		2	3.0
177.0	17	45	2	1	2																		"177"		2	3.0
178.0	15	39	3	1	2																		"178"		2	3.0
179.0	11	46	1	1	2																		"179"		2	3.0
180.0	15	52	1	1	2																		"180"		2	3.0
182.0	16	5	1	1	1	81	3	3	1	0	23	1	12	13	1	1		1		1	1	1	"182"		2	3.0
183.0	11	34	1	1	2																		"183"		2	3.0
184.0	17	18	5	1	2																		"184"		2	3.0
185.0	14	20	1	1	2																		"185"		2	3.0
186.0	15	8	1	1	1	81	2	3	1	7	16	2	10	81	1	1		1		2	1	2	"186"		2	3.0
187.0	10	34	1	1	1	81	3	3	0	6	18	1	8	13	1	1		1		1	1	2	"187"		2	3.0
188.0	14	10	1	1	1	81	2	3	0	10	19	1	10	81	1	18		1		2	1	2	"188"		2	3.0
189.0	12	34	1	1	1	81	3	3	2	6	22	2	15	82	1	59		1		1	1	1	"189"		2	3.0
190.0	14	32	1	1	1	81	3	8	0	7	41	2	5	13	1	1		1		1	1	2	"190"		2	3.0
191.1	18	50	1	1	2																		"191.1"		2	3.0
191.2	12	55	3	1	2																		"191.2"		2	3.0
192.0	16	10	1	1	2																		"192"		2	3.0
193.0	16	43	1	1	2																		"193"		2	3.0
194.0	18	16	1	1	2																		"194"		2	3.0
195.1	12	35	7	1	1	81	5	8	0	10	13	2	5	81	1	59		1		2	1	2	"195.1"		2	3.0
195.1			7	1	1	82	6	7	1	4	30	2	6	82	1	59		1		3	1	2	"195.1"		2	3.0
195.1			7	1	1	83	8	3	2	7	2	2	5	82	1	59		1		3	1	2	"195.1"		2	3.0
195.2	13	25	9	1	2																		"195.2"		2	3.0
196.0	17	40	1	1	2																		"196"		2	3.0
197.0	15	20	1	1	2																		"197"		2	3.0
198.0	17	47	1	1	2																		"198"		2	3.0
199.0	14	20	1	1	1	81	3	3	1	2	16	2	14	81	1	1		1		2	1	2	"199"		2	3.0
201.0	13	14	1	1	2																		"201"		3	3.0
202.0	13	9	5	1	2																		"202"		3	3.0
203.0	11	36	4	1	2																		"203"		3	3.0
204.0	15	57	1	1	2																		"204"		3	3.0
205.0	12	14	4	1	2																		"205"		3	3.0
206.0	13	8	1	1	2																		"206"		3	3.0
207.0	11	25	1	1	2																		"207"		3	3.0
208.0	11	40	1	1	2																		"208"		3	3.0
209.1	9	46	1	1	2																		"209.1"		3	3.0
209.2	11	48	4	1	2																		"209.2"		3	3.0
210.1	16	36	1	1	2																		"210.1"		3	3.0
210.2	18	17	3	1	2																		"210.2"		3	3.0
212.1	16	29	4	1	2																		"212.1"		3	3.0
212.2	11	12	2	1	2																		"212.2"		3	3.0
214.0	18	9	1	1	2																		"214"		3	3.0
215.2	13	31	3	1	2																		"215.2"		3	3.0
216.0	15	36	1	1	2																		"216"		3	3.0
218.0	15	27	1	1	2																		"218"		3	3.0
219.0	17	7	5	1	2																		"219"		3	3.0
220.0	13	56	7	1	2																		"220"		3	3.0
221.0	12	25	1	1	2																		"221"		2	3.0
222.1	12	16	1	1	1	81	6	3	2	6	16	2	0	81	1	59		1		3	5	2	"222.1"		2	3.0
222.2	12	52	3	1	2																		"222.2"		2	3.0
223.0	12	50	1	1	2																		"223"		2	3.0
224.0	17	5	1	1	2																		"224"		2	3.0
225.0	14	50	3	1	2																		"225"		2	3.0
226.0	14	50	1	1	2																		"226"		2	3.0
227.0	12	56	2	1	1	81	3	4	0	11	27	2	12	82	1	59		1		2	3	2	"227"		2	3.0
227.0			2	1	1	82	4	5	0	11	8	2	3	81	1	59		1		2	3	2	"227"		2	3.0
227.0			2	1	1	83	5	5	1	0	25	1	14	13	1	1		1		1	3	2	"227"		2	3.0
227.0			2	1	1	84	7	3	2	10	37	1	12	13	2		16	2	1	1	3	1	"227"		2	3.0
228.0	14	5	1	1	1	81	4	3	2	3	21	2	10	82	1	59		1		5	3	2	"228"		2	3.0
229.0	13	41	1	1	2																		"229"		2	3.0
230.0	12	50	1	1	1	81	3	3	2	8	20	1	10	12	1	1		4		1	1	1	"230"		2	3.0
231.0	14	21	3	1	1	81	1	6	2	4	51	1	4	50	2		16	2	1	1	3	1	"231"		2	3.0
232.0	14	45	1	1	1	81	3	3	0	0	22	2	12	82	1	59		1		3	4	2	"232"		2	3.0
233.0	15	52	1	1	1	81	3	3	2	2	31	1	9	64	2		29	1		1	8	1	"233"		2	3.0
234.0	11	0	1	1	2																		"234"		2	3.0
235.0	11	45	1	1	1	81	3	3	0	8	14	1	4	13	1	1		4		1	1	2	"235"		2	3.0
238.0			1	1	1	81	3	3	0	4	21	1	9	13	1	1		4		1	10	2	"238"		2	3.0
238.0	15	5	1	1	1	82	2	3	2	2	22	2	14	82	1	59		1		3	3	2	"238"		2	3.0
239.0	13	15	2	1	1	81	5	3	2	2	21	1	9	81	1	59		1		5	2	1	"239"		2	3.0
240.1	14	1	1	1	1	81	4	3	0	7	12	1	3	13	1	1		1		1	3	1	"240.1"		2	3.0
240.2	18	6	6	1	2																		"240.2"		2	3.0
241.0	14	44	2	1	2																		"241"		2	3.0
242.0	15	4	2	1	2																		"242"		2	3.0
243.0	12	16	3	1	2																		"243"		2	3.0
244.0	12	54	1	1	2																		"244"		2	3.0
245.0	13	12	1	1	2																		"245"		2	3.0
246.0	10	54	1	1	2																		"246"		2	3.0
247.0	15	40	1	1	1	81	3	3	0	3	29	1	16	13	1	60		1		1	1	1	"247"		2	3.0
248.0	14	5	1	1	1	81	4	3	2	3	25	1	12	13	1	1		1		1	1	1	"248"		2	3.0
249.0	12	43	6	1	2																		"249"		2	3.0
250.0	14	32	1	1	2																		"250"		2	3.0
251.0	15	46	1	1	2																		"251"		2	3.0
252.0	14	37	1	1	2																		"252"		2	3.0
254.0	11	9	1	1	1	81	3	3	1	4	32	1	9	21	2		20	2	1	1	5	1	"254"		2	3.0
255.0	16	31	1	1	2																		"255"		2	3.0
256.0	16	21	1	1	2																		"256"		2	3.0
257.0	17	26	1	1	2																		"257"		2	3.0
258.0	15	3	1	1	2																		"258"		2	3.0
259.0	15	2	1	1	2																		"259"		2	3.0
260.0	17	36	1	1	2																		"260"		2	3.0
261.0	14	12	1	1	2																		"261"		2	3.0
262.0	17	55	1	1	2																		"262"		2	3.0
263.0	14	10	1	1	2																		"263"		2	3.0
264.0	16	40	1	1	2																		"264"		2	3.0
265.0	13	51	1	1	2																		"265"		2	3.0
267.0	15	15	1	1	2																		"267"		2	3.0
268.0	14	20	1	1	2																		"268"		2	3.0
269.0	16	30	1	1	2																		"269"		2	3.0
270.0	17	2	1	1	2																		"270"		2	3.0
271.0	11	47	1	1	2																		"271"		2	3.0
272.0	17	33	1	1	2																		"272"		2	3.0
273.0	14	0	1	1	2																		"273"		2	3.0
274.0	13	10	1	1	2																		"274"		2	3.0
275.0	15	59	1	1	2																		"275"		2	3.0
276.0	14	55	1	1	2																		"276"		2	3.0
277.0	15	43	2	1	2																		"277"		2	3.0
278.0	16	0	3	1	2																		"278"		2	3.0
279.0	13	20	1	1	1	81	4	3	3	2	25	1	16	81	1	1		1		2	3	2	"279"		2	3.0
280.1	15	0	1	1	2																		"280.1"		2	3.0
280.2	15	21	4	1	2																		"280.2"		2	3.0
281.0	16	45	1	1	2																		"281"		2	3.0
282.1	14	45	8	1	2																		"282.1"		2	3.0
282.2	13	50	4	1	2																		"282.2"		2	3.0
284.0	14	19	1	1	2																		"284"		2	3.0
285.0	18	0	2	1	1	81	1	2	1	7	34	1	5	67	1	59		1		1	1	1	"285"		2	3.0
286.1	16	23	1	1	2																		"286.1"		2	3.0
286.2	15	15	3	1	2																		"286.2"		2	3.0
287.0	17	2	1	1	1	81	1	3	1	3	15	1	5	13	1	1		1		1	3	1	"287"		2	3.0
288.0	15	38	1	1	1	81	4	3	3	2	15	2	4	81	1	60		1		3	4	2	"288"		2	3.0
289.0	16	30	3	1	2																		"289"		2	3.0
290.0	16	20	1	1	2																		"290"		2	3.0
291.0	15	52	1	1	2																		"291"		2	3.0
292.0	14	53	3	1	2																		"292"		2	3.0
293.0	16	0	1	1	2																		"293"		2	3.0
294.0	15	40	1	1	2																		"294"		2	3.0
295.0	17	0	8	1	1	81	1	2	0	8	50	1	99	67	1	60		1		8	3	1	"295"		2	3.0
295.0			8	1	1	82	3	3	0	8	18	1	99	67	1	60		1		8	3	1	"295"		2	3.0
295.0			8	1	1	83	4	3	0	8	16	1	99	67	1	60		1		8	3	1	"295"		2	3.0
296.0	14	44	1	1	2																		"296"		2	3.0
297.0	17	41	1	1	1	81	3	3	2	3	19	1	3	13	1	1		1		1	3	1	"297"		2	3.0
298.0	18	20	3	1	2																		"298"		2	3.0
299.0	15	2	1	1	2																		"299"		2	3.0
300.0	18	35	1	1	1	81	4	3	3	3	20	1	1	55	1	1		1		8	1	1	"300"		2	3.0
300.0			1	1	1	82	5	3	3	4	17	1	0	55	1	1		1		8	1	1	"300"		2	3.0
301.0	11	46	4	1	2																		"301"		2	3.0
302.0	16	48	1	1	1	81	2	3	1	10	21	1	6	13	1	1		1		1	1	1	"302"		2	3.0
302.0			1	1	1	82	3	3	1	6	19	1	2	21	1	1		1		1	1	1	"302"		2	3.0
303.0	17	50	2	1	1	81	3	3	1	2	19	2	7	1	1	60		1		3	1	2	"303"		2	3.0
303.0			2	1	1	82	4	3	2	6	17	1	5	1	1	1		1		1	1	1	"303"		2	3.0
304.0	18	37	3	1	2																		"304"		2	3.0
305.0	14	24	3	1	2																		"305"		2	3.0
307.0	13	15	1	1	1	81	2	3	2	3	15	1	99	13	1	18		1		1	1	1	"307"		2	3.0
308.0	18	11	5	1	2																		"308"		2	3.0
309.0	18	1	2	1	1	81	1	2	3	6	40	1	9	13	1	60		1		1	1	1	"309"		2	3.0
310.0	18	45	1	1	2																		"310"		2	3.0
311.0	15	7	1	1	2																		"311"		2	3.0
312.0	17	20	1	1	2																		"312"		2	3.0
313.0	13	25	5	1	2																		"313"		2	3.0
314.0	16	42	1	1	1	81	3	3	2	3	15	1	1	5	1	1		1		1	1	1	"314"		2	3.0
315.0	11	21	1	1	2																		"315"		2	3.0
316.1	16	33	1	1	2																		"316.1"		2	3.0
316.2	9	45	3	1	2																		"316.2"		2	3.0
316.3	14	46	6	1	2																		"316.3"		2	3.0
317.0	9	7	1	1	1	81	5	5	2	7	11	2	4	81	1	1		1		9	1	2	"317"		2	3.0
318.0	16	32	1	1	2																		"318"		2	3.0
319.0	15	21	1	1	2																		"319"		2	3.0
320.0	14	10	1	1	2																		"320"		2	3.0
322.1	18	18	3	1	1	81	4	7	3	2	25	1	14	13	1	60		1		1	1	1	"322.1"		2	3.0
322.2	13	35	5	1	2																		"322.2"		2	3.0
323.0	12	45	5	1	1	81	4	2	2	3	55	1	99	21	1	18		1		1	1	1	"323"		2	3.0
324.0	12	8	5	1	1	81	4	4	0	3	28	2	5	82	1	1		1		9	1	2	"324"		2	3.0
324.0			5	1	1	82	6	5	0	3	8	1	3	81	1	1		1		9	1	2	"324"		2	3.0
324.0			5	1	1	83	10	3	0	3	35	1	7	13	1	1		1		9	1	1	"324"		2	3.0
324.0			5	1	1	84	11	5	0	3	4	1	99	81	1	1		1		9	1	2	"324"		2	3.0
325.0	13	11	1	1	1	81	3	3	3	4	19	2	4	82	1	60		1		3	4	2	"325"		2	3.0
326.0	10	15	2	1	1	81	3	3	2	3	24	1	5	13	1	25		1		1	1	1	"326"		2	3.0
326.0			2	1	1	82	4	3	1	2	20	2	12	81	1	60		1		3	5	2	"326"		2	3.0
327.0	16	27	1	1	2																		"327"		2	3.0
328.0	13	50	1	1	1	81	4	3	2	3	22	1	4	37	1	60		1		8	1	2	"328"		2	3.0
329.1	19	12	3	1	2																		"329.1"		2	3.0
329.2	19	46	6	1	2																		"329.2"		2	3.0
330.0	16	8	2	1	2																		"330"		2	3.0
331.0	14	42	1	1	2																		"331"		2	3.0
332.0	9	57	1	1	1	81	4	3	1	3	23	2	5	69	1	1		1		9	1	2	"332"		2	3.0
332.0			1	1	1	82	5	3	2	0	20	1	10	21	1	18		1		1	1	1	"332"		2	3.0
332.0			1	1	1	83	7	5	1	3	12	2	4	81	1	1		1		9	1	2	"332"		2	3.0
332.0			1	1	1	84	8	5	1	3	4	1	99	84	1	1		1		9	1	2	"332"		2	3.0
333.0	15	36	1	1	2																		"333"		2	3.0
334.0	16	26	1	1	2																		"334"		2	3.0
335.0	11	30	1	1	1	81	2	3	2	7	15	1	2	8	1	1		1		1	1	1	"335"		2	3.0
336.1	16	1	1	1	1	81	5	3	2	4	16	1	3	37	1	1		1		8	1	2	"336.1"		2	3.0
336.2	13	42	3	1	2																		"336.2"		2	3.0
337.0	16	35	1	1	1	81	5	2	3	2	47	1	5	8	1	18		1		1	1	1	"337"		2	3.0
338.1	14	0	1	1	2																		"338.1"		2	3.0
338.2	9	45	7	1	1	81	5	2	2	2	25	1	4	7	1	25		1		1	1	1	"338.2"		2	3.0
339.0	17	35	3	1	2																		"339"		2	3.0
341.0	15	35	1	1	2																		"341"		3	3.0
342.0	14	51	1	1	1	81	4	3	2	2	12	1	6	81	1	1		1		2	2	2	"342"		3	3.0
343.0	11	41	1	1	2																		"343"		3	3.0
345.0	11	59	1	1	2																		"345"		3	3.0
346.0	16	41	1	1	1	81	4	4	2	3	23	2	2	82	1	1		1		9	1	2	"346"		3	3.0
346.0			1	1	1	82	5	5	2	3	6	2	66	81	1	1		1		9	1	2	"346"		3	3.0
347.0	17	29	2	1	2																		"347"		3	3.0
348.0	16	0	1	1	1	81	3	3	2	1	21	1	12	13	1	1		1		1	1	1	"348"		3	3.0
349.0	11	44	1	1	2																		"349"		3	3.0
350.0	8	37	1	1	2																		"350"		3	3.0
351.0	8	46	1	1	1	81	3	3	2	3	23	1	10	21	1	1		1		1	1	1	"351"		3	3.0
352.0	8	41	1	1	2																		"352"		3	3.0
353.0	14	32	1	1	2																		"353"		3	3.0
354.0	10	36	1	1	2																		"354"		3	3.0
355.0	14	56	2	1	2																		"355"		3	3.0
356.0	13	37	2	1	1	81	4	7	2	7	17	1	5	1	1	1		1		1	1	1	"356"		3	3.0
358.0	14	24	1	1	2																		"358"		3	3.0
360.0	10	37	1	1	1	81	3	4	2	6	25	2	7	82	1	1		1		9	1	2	"360"		3	3.0
360.0			1	1	1	82	4	5	2	6	3	1	99	84	1	1		1		9	1	2	"360"		3	3.0
361.0	12	54	1	1	2																		"361"		3	3.0
362.0	16	8	1	1	2																		"362"		3	3.0
363.0	12	42	1	1	2																		"363"		3	3.0
364.0	12	53	1	1	2																		"364"		3	3.0
365.0	12	17	1	1	2																		"365"		3	3.0
366.0	16	32	1	1	2																		"366"		3	3.0
367.0	18	42	1	1	1	81	3	3	3	1	20	2	12	81	1	45		1		2	1	2	"367"		3	3.0
367.0			1	1	1	82	4	3	1	0	15	2	10	81	1	39		1		2	1	2	"367"		3	3.0
368.1	9	26	6	1	2																		"368.1"		3	3.0
368.2	15	44	3	1	2																		"368.2"		3	3.0
369.0	15	10	1	1	2																		"369"		3	3.0
370.0	13	10	1	1	2																		"370"		3	3.0
371.0	15	5	1	1	1	81	4	3	3	0	24	2	14	81	1	45		1		2	4	1	"371"		3	3.0
371.0			1	1	1	82	5	14	2	6	23	2	14	81	1	45		1		2	4	1	"371"		3	3.0
372.0	12	14	1	1	2																		"372"		3	3.0
373.0	14	45	1	1	2																		"373"		3	3.0
374.0	15	9	1	1	2																		"374"		3	3.0
376.0	16	28	1	1	2																		"376"		3	3.0
377.1	13	32	1	1	2																		"377.1"		3	3.0
377.2	11	35	3	1	2																		"377.2"		3	3.0
378.0	16	15	1	1	2																		"378"		3	3.0
379.0	16	48	1	1	2																		"379"		3	3.0
380.0	12	11	1	1	2																		"380"		3	3.0
381.0	14	22	1	1	2																		"381"		3	3.0
382.0	11	48	1	1	2																		"382"		3	3.0
383.0	16	29	1	1	2																		"383"		3	3.0
384.0	15	20	1	1	2																		"384"		3	3.0
