a01	stime_h_j	stime_m_j	res_id_j	consent_j	j1	j1_01	j1_01b	j1_02a	j1_02b2	j1_02b1	j1_02b1_ngo	j1_02b1_ngo2	j1_02c	j1_02coth	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03ooth	j1_03p	j1_04	j1_4a1_1	j1_4a1_2	j1_4a1_3	j1_5a	j1_05b	j1_5b	j1_5b_ngo	j1_5b_ngo2	j1_5c	j1_5coth	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06ooth	j1_06p	j1_07	j1_07oth	j1_08	j1_09	j1_09a	j1_09b	j1_09c	j1_09d	j1_09e	j1_09f	j1_09g	j1_09h	j1_09i	j1_09j	j1_09k	j1_09l	j1_09m	j1_09n	j1_09o	j1_09ooth	j1_09p	j1_10	j1_10oth	j1_11	j1_12	hhid2	hh_type	round
49.0	12	52	1	1	1	2						" "		" "																" "		1	1			4	1	0		" "	0	" "	1	3	2		2		1	3	1	3	2		2		2	" "			" "	2																	" "		1	" "	1	1	"49"	2	3.0
50.0	11	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"50"	2	3.0
51.0	12	46	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"51"	2	3.0
52.0	11	25	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"52"	2	3.0
53.0	11	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"53"	2	3.0
54.0	12	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"54"	2	3.0
56.0	12	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"56"	2	3.0
58.0	14	25	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"58"	2	3.0
60.0	11	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"60"	2	3.0
61.0	11	10	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"61"	3	3.0
63.0	15	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"63"	3	3.0
66.0	11	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"66"	3	3.0
67.0	9	51	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"67"	3	3.0
68.0	10	35	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"68"	3	3.0
69.1	12	50	1	1	1	2						" "		" "																" "		1	1			0		0		" "	3	"DOKAN"	2		2		2		1	1	1	1	1	1	2		2	" "			" "	2																	" "		1	" "	1	1	"69.1"	3	3.0
69.2	11	55	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"69.2"	3	3.0
70.0	11	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"70"	3	3.0
71.0	14	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"71"	3	3.0
72.0	10	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"72"	3	3.0
73.0	12	40	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"73"	3	3.0
74.0	12	23	1	1	1	1	1	0		0		" "	1	"COMPANY"	2		2		2		1	2	1	2	2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"74"	3	3.0
75.0	10	55	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"75"	3	3.0
76.0	11	38	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"76"	3	3.0
78.0	11	20	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"78"	3	3.0
79.0	10	30	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"79"	3	3.0
80.0	14	10	1	1	1	1	1	3	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	" "		1	1			0		0		" "	2	"DIALER"	1	1	1	1	1	1	1	1	1	1	1	1	2		2	" "			" "	2																	" "		4	" "	1	1	"80"	3	3.0
81.0	8	44	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"81"	3	3.0
82.0	15	58	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"82"	3	3.0
83.0	11	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"83"	3	3.0
84.0	14	47	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"84"	3	3.0
85.0	14	52	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"85"	3	3.0
86.0	9	45	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"86"	3	3.0
87.0	14	17	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"87"	3	3.0
90.0	11	18	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"90"	3	3.0
91.0	16	55	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"91"	3	3.0
92.0	10	53	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"92"	3	3.0
93.1	10	25	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"93.1"	3	3.0
93.2	9	59	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"93.2"	3	3.0
94.0	12	39	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"94"	3	3.0
95.0	9	56	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"95"	3	3.0
96.0	14	27	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"96"	3	3.0
97.0	11	56	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"97"	3	3.0
99.0	10	58	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"99"	3	3.0
100.1	10	26	6	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"100.1"	3	3.0
101.0	9	24	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"101"	3	3.0
102.0	9	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"102"	3	3.0
103.0	12	5	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"103"	3	3.0
104.0	10	25	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"104"	3	3.0
105.0	15	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"105"	3	3.0
106.0	12	4	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"106"	3	3.0
107.0	9	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"107"	3	3.0
108.0	10	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"108"	3	3.0
109.0	10	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"109"	3	3.0
110.0	9	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"110"	3	3.0
111.0	13	48	1	1	1	1	1	2	1	0		" "	0	" "	1	1	1	1	2		1	2	1	3	1	2	2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"111"	3	3.0
112.0	8	41	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"112"	3	3.0
113.0	10	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"113"	3	3.0
114.0	11	15	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"114"	3	3.0
116.0	13	17	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		2	" "	1	2	"116"	3	3.0
117.0	12	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"117"	3	3.0
118.0	11	42	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"118"	3	3.0
120.0	11	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"120"	3	3.0
121.0	10	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"121"	2	3.0
122.0	13	56	1	1	1	1	1	3	1	0		" "	0	" "	1	1	2		2		2		2		2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"122"	2	3.0
123.0	13	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	1	3	1	1	1	1	2		1	1	1	2	1	2	2		2	" "			" "	1	3	"123"	2	3.0
124.0	12	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"124"	2	3.0
126.0	11	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"126"	2	3.0
127.0	15	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		2	" "	2																	" "		1	" "	2		"127"	2	3.0
128.0	12	35	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"128"	2	3.0
129.0	15	10	1	1	1	1	1	3	1	0		" "	0	" "	1	2	1	2	2		1	1	1	2	1	1	2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"129"	2	3.0
130.0	16	8	1	1	1	1	1	1	1	0		" "	0	" "	1	1	2		2		2		1	2	1	2	1	2	2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"130"	2	3.0
131.0	13	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"131"	2	3.0
132.0	10	27	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"132"	2	3.0
134.0	14	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"134"	2	3.0
135.0	11	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"135"	2	3.0
136.0	12	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"136"	2	3.0
137.0	11	44	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"137"	2	3.0
140.0	12	14	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"140"	2	3.0
141.0	10	33	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"141"	3	3.0
142.1	13	4	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"142.1"	3	3.0
142.2	13	20	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"142.2"	3	3.0
143.0	11	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"143"	3	3.0
144.0	10	18	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"144"	3	3.0
145.0	11	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"145"	3	3.0
146.0	13	52	1	1	1	2						" "		" "																" "		2								" "		" "																" "		2	" "	1	1	1	2	1	2	2		1	2	2		2		2		2	" "			" "	1	1	"146"	3	3.0
147.0	10	35	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"147"	3	3.0
148.1	10	35	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"148.1"	3	3.0
148.2	17	27	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"148.2"	3	3.0
148.3	16	10	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"148.3"	3	3.0
149.0	13	52	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	1	2	1	2	1	2	2		1	1	1	2	1	1	2		2	" "			" "	1	2	"149"	3	3.0
150.0	9	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"150"	3	3.0
151.0	12	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"151"	3	3.0
152.0	13	20	3	1	1	2						" "		" "																" "		1	1			3	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	2		2	" "			" "	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	" "			" "	1	1	"152"	3	3.0
153.0	12	56	1	1	1	1	1	0		0		" "	1	"BRAC"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"153"	3	3.0
154.0	13	12	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"154"	3	3.0
155.0	10	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"155"	3	3.0
157.0	10	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"157"	3	3.0
160.0	10	10	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"160"	3	3.0
161.0	15	12	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"161"	2	3.0
162.0	14	43	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"162"	2	3.0
163.0	11	4	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"163"	2	3.0
164.0	11	50	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"164"	2	3.0
165.0	14	22	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"165"	2	3.0
166.0	11	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"166"	2	3.0
167.0	11	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"167"	2	3.0
168.0	12	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"168"	2	3.0
169.0	10	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"169"	2	3.0
170.0	17	26	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"170"	2	3.0
171.0	12	16	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"171"	2	3.0
172.0	16	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"172"	2	3.0
173.0	13	12	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"173"	2	3.0
174.0	15	48	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"174"	2	3.0
175.0	11	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"175"	2	3.0
176.0	12	49	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"176"	2	3.0
177.0	16	13	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"177"	2	3.0
178.0	12	0	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"178"	2	3.0
179.0	10	12	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"179"	2	3.0
180.0	13	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"180"	2	3.0
182.0	13	20	1	1	1	1	1	3	1	0		" "	0	" "	1	1	2		2		2		2		2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"182"	2	3.0
183.0	10	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"183"	2	3.0
184.0	17	1	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"184"	2	3.0
185.0	12	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		5	" "	2																	" "		5	" "	2		"185"	2	3.0
186.0	11	53	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"186"	2	3.0
187.0	11	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"187"	2	3.0
188.0	14	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"188"	2	3.0
189.0	10	35	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"189"	2	3.0
190.0	13	25	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"190"	2	3.0
191.1	10	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"191.1"	2	3.0
191.2	11	35	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"191.2"	2	3.0
192.0	14	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"192"	2	3.0
193.0	12	1	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"193"	2	3.0
194.0	16	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"194"	2	3.0
