a01	stime_h_c	stime_m_c	res_id_c	consent_c	mid_c	c01	c02	c02oth	c03	c04	c05	c05oth	c06	c07	c08	c09	c10	c11	c12	c13	c14	hhid2	hh_type	round
13.0			1	1	1	1		" "			70	" "	2	7	3.0	3					6333.0	"13"	3	3.0
13.0			1	1	2	1		" "			69	" "	3	7	0.5	3					100.0	"13"	3	3.0
13.0			1	1	2	1		" "			24	" "	4	6	2.0	3					1000.0	"13"	3	3.0
13.0			1	1	2	2		" "			70	" "	5	7	1.0	4						"13"	3	3.0
13.0			1	1	3	2		" "			69	" "	6	4	0.5	4						"13"	3	3.0
13.0			1	1	4	5		" "				" "										"13"	3	3.0
13.0			1	1	5	8		" "				" "										"13"	3	3.0
14.0	10	23	1	1	1	7		" "				" "										"14"	3	3.0
14.0			1	1	2	1		" "			70	" "	1	7	1.5	3					400.0	"14"	3	3.0
14.0			1	1	4	1		" "			69	" "	2	7	1.0	3					300.0	"14"	3	3.0
14.0			1	1	4	2		" "			70	" "	3	7	0.5	4						"14"	3	3.0
14.0			1	1	5	2		" "			69	" "	4	4	0.25	4						"14"	3	3.0
14.0			1	1	6	5		" "				" "										"14"	3	3.0
14.0			1	1	7	1		" "			64	" "	5	3	4.0	3					4000.0	"14"	3	3.0
14.0			1	1	7	1		" "			68	" "	6	2	3.0	3					15000.0	"14"	3	3.0
14.0			1	1	7	2		" "			70	" "	7	7	1.0	4						"14"	3	3.0
14.0			1	1	8	2		" "			69	" "	8	5	0.5	4						"14"	3	3.0
14.0			1	1	9	5		" "				" "										"14"	3	3.0
14.0			1	1	11	8		" "				" "										"14"	3	3.0
15.0	9	38	1	1	1	1		" "			64	" "	1	7	2.0	3					2437.0	"15"	3	3.0
15.0			1	1	1	1		" "			68	" "	2	7	2.0	3					5658.0	"15"	3	3.0
15.0			1	1	1	1		" "			1	" "	3	4	8.0	1	350	0	2		6000.0	"15"	3	3.0
15.0			1	1	1	1		" "			70	" "	4	7	1.0	3					0.0	"15"	3	3.0
15.0			1	1	2	1		" "			69	" "	5	7	1.0	3					135.0	"15"	3	3.0
15.0			1	1	2	2		" "			70	" "	6	7	1.0	4						"15"	3	3.0
15.0			1	1	3	2		" "			68	" "	7	5	2.0	4						"15"	3	3.0
16.1	9	45	1	1	1	1		" "			51	" "	1	7	6.0	3					15000.0	"16.1"	3	3.0
16.1			1	1	1	1		" "			64	" "	2	3	2.0	3					12000.0	"16.1"	3	3.0
16.1			1	1	1	1		" "			68	" "	3	2	1.0	3					10000.0	"16.1"	3	3.0
16.1			1	1	2	1		" "			69	" "	4	7	1.0	3					500.0	"16.1"	3	3.0
16.1			1	1	3	2		" "			51	" "	5	2	2.0	4						"16.1"	3	3.0
16.1			1	1	6	8		" "				" "										"16.1"	3	3.0
16.1			1	1	8	2		" "			69	" "	6	3	0.5	4						"16.1"	3	3.0
16.1			1	1	10	5		" "				" "										"16.1"	3	3.0
16.2	9	36	4	1	4	1		" "			68	" "	1	3	3.0	3					25000.0	"16.2"	3	3.0
16.2			4	1	4	1		" "			64	" "	2	5	4.0	3					10000.0	"16.2"	3	3.0
16.2			4	1	5	1		" "			69	" "	3	7	1.0	3					300.0	"16.2"	3	3.0
16.2			4	1	7	2		" "			68	" "	4	2	0.25	4						"16.2"	3	3.0
16.2			4	1	10	5		" "				" "										"16.2"	3	3.0
17.0	9	23	1	1	1	1		" "			65	" "	1	7	6.0	3					2167.0	"17"	3	3.0
17.0			1	1	1	1		" "			1	" "	2	4	8.0	1	350	50	2		8000.0	"17"	3	3.0
17.0			1	1	1	1		" "			70	" "	3	7	2.0	3					400.0	"17"	3	3.0
17.0			1	1	2	1		" "			69	" "	4	7	1.0	3					50.0	"17"	3	3.0
17.0			1	1	2	2		" "			70	" "	5	7	3.0	4						"17"	3	3.0
17.0			1	1	4	1		" "			1	" "	6	5	8.0	3					8500.0	"17"	3	3.0
17.0			1	1	4	2		" "			65	" "	7	3	4.0	4						"17"	3	3.0
17.0			1	1	5	8		" "				" "										"17"	3	3.0
18.1	10	38	4	1	4	1		" "			51	" "	1	6	7.0	3					25000.0	"18.1"	3	3.0
18.1			4	1	4	1		" "			68	" "	2	3	2.0	3					4500.0	"18.1"	3	3.0
18.1			4	1	4	1		" "			64	" "	3	2	2.0	3					3000.0	"18.1"	3	3.0
18.1			4	1	5	1		" "			69	" "	4	7	1.0	3					450.0	"18.1"	3	3.0
18.1			4	1	6	5		" "				" "										"18.1"	3	3.0
18.2	9	57	3	1	3	1		" "			68	" "	1	7	3.0	3					12500.0	"18.2"	3	3.0
18.2			3	1	3	1		" "			64	" "	2	7	6.0	3					2500.0	"18.2"	3	3.0
18.2			3	1	3	1		" "			70	" "	3	7	1.0	3					0.0	"18.2"	3	3.0
18.2			3	1	7	2		" "			70	" "	4	7	1.0	4						"18.2"	3	3.0
18.2			3	1	7	1		" "			69	" "	5	7	1.0	3					150.0	"18.2"	3	3.0
18.2			3	1	7	1		" "			24	" "	6	1	1.0	3					300.0	"18.2"	3	3.0
18.2			3	1	7	1		" "			46	" "	7	6	2.0	3					1300.0	"18.2"	3	3.0
19.0	9	45	1	1	1	1		" "			36	" "	1	6	8.0	1	600	80	2		12500.0	"19"	3	3.0
19.0			1	1	5	8		" "				" "										"19"	3	3.0
21.0	8	45	1	1	1	1		" "			50	" "	1	7	10.0	3					10000.0	"21"	2	3.0
21.0			1	1	2	1		" "			69	" "	2	7	1.0	3					1000.0	"21"	2	3.0
21.0			1	1	3	1		" "			11	" "	3	2	6.0	3					1200.0	"21"	2	3.0
22.0	9	11	1	1	1	1		" "			11	" "	1	7	4.0	1	80	0	2		2400.0	"22"	2	3.0
23.0	9	10	4	1	1	1		" "			1	" "	1	7	10.0	3					7000.0	"23"	2	3.0
23.0			4	1	2	1		" "			70	" "	2	7	2.0	3					6500.0	"23"	2	3.0
23.0			4	1	2	1		" "			69	" "	3	7	0.5	3					50.0	"23"	2	3.0
23.0			4	1	3	1		" "			13	" "	4	5	8.0	2					8000.0	"23"	2	3.0
23.0			4	1	4	1		" "			13	" "	5	6	8.0	2					8000.0	"23"	2	3.0
23.0			4	1	5	7		" "				" "										"23"	2	3.0
23.0			4	1	6	8		" "				" "										"23"	2	3.0
24.0	8	25	1	1	1	1		" "			13	" "	1	2	8.0	2					2000.0	"24"	2	3.0
24.0			1	1	3	1		" "			53	" "	2	4	8.0	3					10000.0	"24"	2	3.0
24.0			1	1	4	8		" "				" "										"24"	2	3.0
26.0	9	9	1	1	1	9		" "				" "										"26"	2	3.0
26.0			1	1	2	8		" "				" "										"26"	2	3.0
26.0			1	1	3	5		" "				" "										"26"	2	3.0
26.0			1	1	4	1		" "			72	" "	1	7	9.0	3					17000.0	"26"	2	3.0
26.0			1	1	5	1		" "			69	" "	2	7	0.5	3					200.0	"26"	2	3.0
26.0			1	1	6	5		" "				" "										"26"	2	3.0
27.0	8	45	1	1	1	1		" "			50	" "	1	5	10.0	3					10000.0	"27"	2	3.0
27.0			1	1	1	1		" "			65	" "	2	2	8.0	3					1000.0	"27"	2	3.0
27.0			1	1	1	1		" "			70	" "	3	7	1.0	3					8000.0	"27"	2	3.0
27.0			1	1	2	1		" "			24	" "	4	7	2.0	3					400.0	"27"	2	3.0
27.0			1	1	2	1		" "			69	" "	5	7	2.0	3					300.0	"27"	2	3.0
27.0			1	1	2	2		" "			70	" "	6	7	2.0	4						"27"	2	3.0
27.0			1	1	3	5		" "				" "										"27"	2	3.0
28.0	8	59	1	1	1	1		" "			23	" "	1	6	12.0	3					17000.0	"28"	2	3.0
28.0			1	1	1	1		" "			64	" "	2	1	9.0	3					4000.0	"28"	2	3.0
28.0			1	1	2	1		" "			70	" "	3	7	1.5	3					1000.0	"28"	2	3.0
28.0			1	1	5	5		" "				" "										"28"	2	3.0
29.0	8	36	1	1	1	1		" "			50	" "	1	5	10.0	3					12000.0	"29"	2	3.0
29.0			1	1	2	8		" "				" "										"29"	2	3.0
29.0			1	1	3	5		" "				" "										"29"	2	3.0
29.0			1	1	4	5		" "				" "										"29"	2	3.0
29.0			1	1	5	7		" "				" "										"29"	2	3.0
29.0			1	1	6	5		" "				" "										"29"	2	3.0
30.1	8	57	1	1	1	1		" "			11	" "	1	7	8.0	1	500	0	2		15000.0	"30.1"	2	3.0
30.1			1	1	1	1		" "			69	" "	2	6	0.5	3					1000.0	"30.1"	2	3.0
30.1			1	1	2	2		" "			69	" "	3	7	0.5	4						"30.1"	2	3.0
30.1			1	1	3	5		" "				" "										"30.1"	2	3.0
30.1			1	1	6	5		" "				" "										"30.1"	2	3.0
30.2	15	25	4	1	4	1		" "			22	" "	1	7	8.0	3					6000.0	"30.2"	2	3.0
30.2			4	1	5	1		" "			69	" "	2	7	0.5	3					120.0	"30.2"	2	3.0
30.2			4	1	6	7		" "				" "										"30.2"	2	3.0
31.0	9	10	1	1	1	1		" "			70	" "	1	7	4.0	3					2000.0	"31"	2	3.0
31.0			1	1	1	1		" "			69	" "	2	3	0.25	3					50.0	"31"	2	3.0
31.0			1	1	3	1		" "			13	" "	3	7	8.0	2					7000.0	"31"	2	3.0
31.0			1	1	4	2		" "			70	" "	4	4	1.0	4						"31"	2	3.0
31.0			1	1	4	2		" "			69	" "	5	4	0.25	4						"31"	2	3.0
32.0	8	35	1	1	1	1		" "			22	" "	1	7	8.0	3					10000.0	"32"	2	3.0
32.0			1	1	2	8		" "				" "										"32"	2	3.0
32.0			1	1	3	1		" "			22	" "	2	7	8.0	3					12000.0	"32"	2	3.0
32.0			1	1	4	1		" "			13	" "	3	7	8.0	2					5000.0	"32"	2	3.0
32.0			1	1	6	5		" "				" "										"32"	2	3.0
33.0	9	5	1	1	1	1		" "			44	" "	1	6	4.0	2					8000.0	"33"	2	3.0
33.0			1	1	1	1		" "			65	" "	2	3	4.0	3					3000.0	"33"	2	3.0
33.0			1	1	1	1		" "			70	" "	3	7	1.5	3					3200.0	"33"	2	3.0
33.0			1	1	2	1		" "			69	" "	4	7	0.5	3					200.0	"33"	2	3.0
33.0			1	1	2	2		" "			70	" "	5	7	1.0	4						"33"	2	3.0
33.0			1	1	3	1		" "			13	" "	6	6	8.0	2					5000.0	"33"	2	3.0
33.0			1	1	3	2		" "			65	" "	7	2	5.0	4						"33"	2	3.0
34.0	10	20	2	1	2	1		" "			51	" "	1	1	1.0	3					4000.0	"34"	2	3.0
34.0			2	1	3	5		" "				" "										"34"	2	3.0
34.0			2	1	4	7		" "				" "										"34"	2	3.0
34.0			2	1	5	7		" "				" "										"34"	2	3.0
35.0	13	40	3	1	1	9		" "				" "										"35"	2	3.0
35.0			3	1	2	1		" "			12	" "	1	6	8.0	2					16000.0	"35"	2	3.0
35.0			3	1	3	1		" "			13	" "	2	6	8.0	2					2000.0	"35"	2	3.0
36.0	16	20	1	1	1	1		" "			24	" "	1	7	10.0	3					14000.0	"36"	2	3.0
36.0			1	1	1	1		" "			70	" "	2	7	0.5	3					2000.0	"36"	2	3.0
36.0			1	1	2	2		" "			70	" "	3	7	2.0	4						"36"	2	3.0
36.0			1	1	2	2		" "			24	" "	4	7	2.0	4						"36"	2	3.0
36.0			1	1	3	2		" "			24	" "	5	7	10.0	4						"36"	2	3.0
36.0			1	1	4	1		" "			13	" "	6	6	8.0	2					550.0	"36"	2	3.0
36.0			1	1	5	5		" "				" "										"36"	2	3.0
36.0			1	1	6	8		" "				" "										"36"	2	3.0
37.0	8	55	1	1	1	1		" "			51	" "	1	7	8.0	3					4000.0	"37"	2	3.0
37.0			1	1	1	1		" "			65	" "	2	3	2.0	3					5000.0	"37"	2	3.0
37.0			1	1	2	1		" "			69	" "	3	7	0.5	3					200.0	"37"	2	3.0
37.0			1	1	3	11		" "				" "										"37"	2	3.0
37.0			1	1	4	5		" "				" "										"37"	2	3.0
38.1	8	50	1	1	1	1		" "			64	" "	1	2	8.0	3					5000.0	"38.1"	2	3.0
38.1			1	1	1	1		" "			1	" "	2	5	8.0	1	400	0	2		4000.0	"38.1"	2	3.0
38.1			1	1	1	1		" "			70	" "	3	7	1.0	3					3400.0	"38.1"	2	3.0
38.1			1	1	2	2		" "			70	" "	4	7	2.0	4						"38.1"	2	3.0
38.1			1	1	2	1		" "			69	" "	5	7	0.5	3					200.0	"38.1"	2	3.0
38.1			1	1	4	8		" "				" "										"38.1"	2	3.0
38.2	18	11	3	1	3	1		" "			52	" "	1	7	8.0	3					12000.0	"38.2"	2	3.0
38.2			3	1	6	1		" "			69	" "	2	7	1.0	3					100.0	"38.2"	2	3.0
39.0	8	41	1	1	1	1		" "			65	" "	1	1	8.0	3					4166.0	"39"	2	3.0
39.0			1	1	1	1		" "			51	" "	2	5	8.0	3					10000.0	"39"	2	3.0
39.0			1	1	2	1		" "			69	" "	3	7	1.0	3					250.0	"39"	2	3.0
39.0			1	1	3	5		" "				" "										"39"	2	3.0
39.0			1	1	7	5		" "				" "										"39"	2	3.0
40.0	16	10	1	1	1	1		" "			65	" "	1	7	4.0	3					3000.0	"40"	2	3.0
40.0			1	1	1	1		" "			22	" "	2	7	4.0	3					7000.0	"40"	2	3.0
40.0			1	1	2	1		" "			70	" "	3	7	2.0	3					800.0	"40"	2	3.0
40.0			1	1	2	1		" "			1	" "	4	2	8.0	1	300	0	2		2400.0	"40"	2	3.0
40.0			1	1	3	5		" "				" "										"40"	2	3.0
40.0			1	1	4	5		" "				" "										"40"	2	3.0
40.0			1	1	5	5		" "				" "										"40"	2	3.0
40.0			1	1	6	8		" "				" "										"40"	2	3.0
41.0	9	20	1	1	1	1		" "			50	" "	1	7	10.0	3					4000.0	"41"	2	3.0
41.0			1	1	1	1		" "			64	" "	2	3	2.0	3					1000.0	"41"	2	3.0
41.0			1	1	2	1		" "			69	" "	3	7	1.0	3					100.0	"41"	2	3.0
41.0			1	1	2	1		" "			66	" "	4	7	1.0	3					300.0	"41"	2	3.0
41.0			1	1	4	2		" "			66	" "	5	7	1.0	4						"41"	2	3.0
41.0			1	1	4	2		" "			64	" "	6	1	1.0	4						"41"	2	3.0
41.0			1	1	5	2		" "			66	" "	7	4	1.0	4						"41"	2	3.0
41.0			1	1	6	9		" "				" "										"41"	2	3.0
42.0	9	5	2	1	2	1		" "			69	" "	1	7	1.0	3					150.0	"42"	2	3.0
42.0			2	1	2	1		" "			66	" "	2	7	1.0	3					0.0	"42"	2	3.0
42.0			2	1	3	5		" "				" "										"42"	2	3.0
42.0			2	1	4	5		" "				" "										"42"	2	3.0
42.0			2	1	5	2		" "			66	" "	3	4	1.0	4						"42"	2	3.0
42.0			2	1	6	5		" "				" "										"42"	2	3.0
43.0	10	4	2	1	2	1		" "			69	" "	1	7	1.0	3					300.0	"43"	2	3.0
43.0			2	1	2	1		" "			24	" "	2	5	3.0	3					500.0	"43"	2	3.0
43.0			2	1	4	2		" "			69	" "	3	3	0.5	4						"43"	2	3.0
43.0			2	1	5	2		" "			69	" "	4	4	0.25	4						"43"	2	3.0
44.0	9	5	2	1	2	1		" "			69	" "	1	7	1.0	3					0.0	"44"	2	3.0
44.0			2	1	3	1		" "			12	" "	2	6	8.0	2					19500.0	"44"	2	3.0
44.0			2	1	4	5		" "				" "										"44"	2	3.0
45.0	10	43	1	1	1	1		" "			70	" "	1	7	3.0	3					500.0	"45"	2	3.0
45.0			1	1	2	8		" "				" "										"45"	2	3.0
46.0	9	10	1	1	1	1		" "			64	" "	1	3	2.0	3					2000.0	"46"	2	3.0
46.0			1	1	1	1		" "			70	" "	2	7	1.0	3					500.0	"46"	2	3.0
46.0			1	1	2	2		" "			70	" "	3	7	1.0	4						"46"	2	3.0
46.0			1	1	2	1		" "			69	" "	4	7	1.0	3					150.0	"46"	2	3.0
46.0			1	1	3	1		" "			23	" "	5	5	8.0	3					10000.0	"46"	2	3.0
46.0			1	1	5	2		" "			64	" "	6	3	2.0	4						"46"	2	3.0
46.0			1	1	5	2		" "			70	" "	7	7	1.0	4						"46"	2	3.0
46.0			1	1	5	1		" "			23	" "	8	3	8.0	3					3000.0	"46"	2	3.0
46.0			1	1	7	8		" "				" "										"46"	2	3.0
47.0	11	10	1	1	1	8		" "				" "										"47"	2	3.0
47.0			1	1	3	8		" "				" "										"47"	2	3.0
47.0			1	1	5	8		" "				" "										"47"	2	3.0
48.0	9	31	1	1	1	7		" "				" "										"48"	2	3.0
48.0			1	1	2	1		" "			69	" "	1	7	1.0	3					400.0	"48"	2	3.0
48.0			1	1	7	2		" "			69	" "	2	3	0.25	4						"48"	2	3.0
49.0	9	15	1	1	1	1		" "			16	" "	1	6	10.0	2					35000.0	"49"	2	3.0
49.0			1	1	1	1		" "			64	" "	2	2	3.0	3					1000.0	"49"	2	3.0
49.0			1	1	2	1		" "			69	" "	3	7	1.0	3					50.0	"49"	2	3.0
50.0	10	5	1	1	1	1		" "			1	" "	1	7	1.0	3					50.0	"50"	2	3.0
50.0			1	1	3	5		" "				" "										"50"	2	3.0
50.0			1	1	4	5		" "				" "										"50"	2	3.0
51.0	10	28	1	1	1	1		" "			68	" "	1	1	1.0	3					600.0	"51"	2	3.0
51.0			1	1	2	5		" "				" "										"51"	2	3.0
51.0			1	1	3	5		" "				" "										"51"	2	3.0
51.0			1	1	4	5		" "				" "										"51"	2	3.0
52.0	9	46	2	1	2	1		" "			70	" "	1	7	3.0	3					1500.0	"52"	2	3.0
52.0			2	1	2	1		" "			69	" "	2	7	0.5	3					100.0	"52"	2	3.0
52.0			2	1	4	5		" "				" "										"52"	2	3.0
53.0	9	40	1	1	1	1		" "			1	" "	1	5	1.0	1	400	0	2		9400.0	"53"	2	3.0
53.0			1	1	1	1		" "			65	" "	2	2	6.0	3					1500.0	"53"	2	3.0
53.0			1	1	2	1		" "			69	" "	3	7	1.0	3					500.0	"53"	2	3.0
53.0			1	1	3	2		" "			69	" "	4	3	1.0	4						"53"	2	3.0
53.0			1	1	4	5		" "				" "										"53"	2	3.0
54.0	9	40	1	1	1	1		" "			70	" "	1	7	1.0	3					625.0	"54"	2	3.0
54.0			1	1	2	1		" "			69	" "	2	7	1.0	3					400.0	"54"	2	3.0
54.0			1	1	4	2		" "			69	" "	3	4	1.0	4						"54"	2	3.0
54.0			1	1	5	5		" "				" "										"54"	2	3.0
56.0	10	25	1	1	1	1		" "			64	" "	1	7	6.0	3					4000.0	"56"	2	3.0
56.0			1	1	1	1		" "			70	" "	2	7	1.0	3					2000.0	"56"	2	3.0
56.0			1	1	7	2		" "			70	" "	3	2	1.0	4						"56"	2	3.0
56.0			1	1	8	1		" "			69	" "	4	7	2.0	3					500.0	"56"	2	3.0
58.0	9	40	1	1	1	1		" "			70	" "	1	7	2.0	3					750.0	"58"	2	3.0
58.0			1	1	2	1		" "			69	" "	2	7	1.0	3					500.0	"58"	2	3.0
58.0			1	1	2	2		" "			70	" "	3	4	1.0	4						"58"	2	3.0
60.0	9	25	1	1	1	1		" "			51	" "	1	7	4.0	3					10000.0	"60"	2	3.0
60.0			1	1	2	8		" "				" "										"60"	2	3.0
60.0			1	1	4	8		" "				" "										"60"	2	3.0
60.0			1	1	5	5		" "				" "										" "	2	3.0
61.0	9	35	1	1	1	1		" "			53	" "	1	1	3.0	3					2000.0	"61"	3	3.0
61.0			1	1	2	8		" "				" "										"61"	3	3.0
61.0			1	1	3	1		" "			67	" "	2	2	4.0	3					3000.0	"61"	3	3.0
61.0			1	1	4	2		" "			67	" "	3	2	4.0	4						"61"	3	3.0
63.0	14	40	1	1	1	1		" "			22	" "	1	7	10.0	3					10000.0	"63"	3	3.0
63.0			1	1	2	8		" "				" "										"63"	3	3.0
63.0			1	1	3	1		" "			22	" "	2	4	10.0	1	200	60	2		2000.0	"63"	3	3.0
63.0			1	1	4	5		" "				" "										"63"	3	3.0
63.0			1	1	5	5		" "				" "										"63"	3	3.0
66.0	9	35	1	1	1	1		" "			64	" "	1	1	1.0	3					200.0	"66"	3	3.0
66.0			1	1	1	1		" "			70	" "	2	6	1.0	3					0.0	"66"	3	3.0
66.0			1	1	4	5		" "				" "										"66"	3	3.0
66.0			1	1	5	8		" "				" "										"66"	3	3.0
66.0			1	1	6	8		" "				" "										"66"	3	3.0
66.0			1	1	7	1		" "			11	"JOGAL"	3	5	8.0	1	450	50	2		8000.0	"66"	3	3.0
66.0			1	1	8	8		" "				" "										"66"	3	3.0
67.0	8	55	1	1	1	1		" "			11	"JOGAL"	1	6	9.0	1	400	0	2		9000.0	"67"	3	3.0
67.0			1	1	2	1		" "			69	" "	2	7	0.5	3					100.0	"67"	3	3.0
67.0			1	1	3	5		" "				" "										"67"	3	3.0
67.0			1	1	4	8		" "				" "										"67"	3	3.0
68.0	9	30	2	1	1	1		" "			11	"SO MILE KAJ"	1	6	2.0	1	300	0	2		7200.0	"68"	3	3.0
68.0			2	1	2	8		" "				" "										"68"	3	3.0
68.0			2	1	3	10		" "				" "										"68"	3	3.0
68.0			2	1	4	8		" "				" "										"68"	3	3.0
68.0			2	1	5	5		" "				" "										"68"	3	3.0
68.0			2	1	6	8		" "				" "										"68"	3	3.0
69.1	16	15	1	1	1	1		" "			65	" "	1	7	3.0	3					3200.0	"69.1"	3	3.0
69.1			1	1	1	1		" "			70	" "	2	7	2.0	3					0.0	"69.1"	3	3.0
69.1			1	1	2	1		" "			69	" "	3	5	1.0	3					150.0	"69.1"	3	3.0
69.1			1	1	7	6		" "				" "										"69.1"	3	3.0
