a01	stime_h_n	stime_m_n	res_id_n	consent_n	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	etime_h_n	etime_m_n	bid_2	n02_2	hhid2	hh_type	round
1.0	13	40	1	1	2																																									13	43			"1"	3	3.0
2.0	17	17	1	1	2																																									0				"2"	3	3.0
3.1	10	47	1	1	1	1	29	1			1			60000	30	0	1							1			1			1			3	12	100.0	100.0	1	3	4	2	2		0	1		10	52	1	29	"3.1"	3	3.0
3.2	11	10	3	1	2																																									0				"3.2"	3	3.0
4.0	11	53	2	1	2																																									0				"4"	3	3.0
5.0	12	35	1	1	2																																									0				"5"	3	3.0
6.0	10	54	1	1	2																																									0				"6"	3	3.0
7.0	13	33	1	1	2																																									0				"7"	3	3.0
8.0	13	9	1	1	2																																									0	0			"8"	3	3.0
9.0	14	59	1	1	2																																									0				"9"	3	3.0
10.1	16	53	3	1	2																																									16	55			"10.1"	3	3.0
10.2	15	44	3	1	2																																									0				"10.2"	3	3.0
11.1	11	29	1	1	2																																									0				"11.1"	3	3.0
11.2	15	55	4	1	2																																									0				"11.2"	3	3.0
11.3	12	52	3	1	2																																									13	0			"11.3"	3	3.0
12.0	12	48	1	1	2																																									12	51			"12"	3	3.0
13.0	11	57	1	1	2																																									0				"13"	3	3.0
14.0	15	59	1	1	2																																									0				"14"	3	3.0
15.0	13	30	1	1	2																																									13	33			"15"	3	3.0
16.1	14	4	1	1	1	1	30	1	2		1			180000	2	6	1							1			1	3		1			2	12	100.0	100.0	1		3	1	2	5	0	1		14	9	1	30	"16.1"	3	3.0
16.2	13	55	4	1	2																																									0				"16.2"	3	3.0
17.0	13	32	1	1	2																																									13	33			"17"	3	3.0
18.1	17	40	4	1	1	1	30	4			4			200000	1	0	1							4			4			4			3	12	100.0	100.0	1	3	4	1	3	2	0	1		17	45	1	30	"18.1"	3	3.0
18.2	14	40	3	1	2																																									14	43			"18.2"	3	3.0
19.0	12	13	1	1	2																																									12	15			"19"	3	3.0
21.0	10	45	1	1	1	1	29	1			1			120000	1	6	1							1	2		1	2		1			2	12	100.0	100.0	4		2	2	8		0	1		10	50	1	29	"21"	2	3.0
22.0	10	21	1	1	2																																									10	22			"22"	2	3.0
23.0	11	41	2	1	2																																									11	42			"23"	2	3.0
24.0	12	25	3	1	1	1	29	1	3		3			120000	16	1	1							3			3			3	1		2	12	100.0	100.0	1		3	2	8		0	1		12	25	1	29	"24"	2	3.0
26.0	11	38	1	1	2																																									11	39			"26"	2	3.0
27.0	13	55	1	1	1	1	30	1			1			120000	20	0	1							1			1			1			2	12	100.0	100.0	4		2	2	2		0	1		14	0	1	30	"27"	2	3.0
28.0	16	41	1	1	2																																									16	42			"28"	2	3.0
29.0	11	15	1	1	1	1	29	1			1			180000	1	0	1							1			1			1			2	2	50.0	50.0	1		2	2	2		1	1		11	23	1	29	"29"	2	3.0
30.1	11	42	2	1	2																																									11	43			"30.1"	2	3.0
30.2	17	8	4	1	2																																									17	9			"30.2"	2	3.0
31.0	13	35	1	1	2																																									13	35			"31"	2	3.0
32.0	12	28	1	1	2																																									12	29			"32"	2	3.0
33.0	14	18	1	1	2																																									14	19			"33"	2	3.0
34.0	13	30	2	1	1	1	30	2	72		2	72		50000	11	2	1							2			2			2	72		2	12	100.0	100.0	1		2	1	1		1	1		13	40	1	30	"34"	2	3.0
35.0	14	51	3	1	2																																									14	52			"35"	2	3.0
36.0	13	45	1	1	1	1	30	1	3		1			14000	16	1	1							1	3		1	3		1			2	12	100.0	100.0	1		2	1	3		0	2		13	45	1	30	"36"	2	3.0
37.0	14	10	1	1	1	1	30	1			1			75000	2	6	1							1			1			1			2	10	100.0	100.0	4		2	2	2		0	1		14	20	1	30	"37"	2	3.0
38.1	15	1	1	1	2																																									15	1			"38.1"	2	3.0
38.2	14	51	3	1	1	1	30	3			3			120000	8	0	1							3			3			3			3	10	100.0	100.0	4		2	2	2		0	1		15	0	1	30	"38.2"	2	3.0
39.0	13	50	1	1	1	1	30	1			1			120000	9	4	1							1			1			1			3	12	100.0	100.0	4		2	1	3	7	0	1		13	55	1	30	"39"	2	3.0
40.0	11	15	1	1	2																																									11	16			"40"	2	3.0
41.0	14	35	1	1	1	1	29	1			1			60000	7	0	1							1			1			1			2	12	100.0	100.0	1		1	2	2		0	1		14	45	1	29	"41"	2	3.0
42.0	12	20	2	1	2																																									12	22			"42"	2	3.0
43.0	15	9	2	1	2																																									0				"43"	2	3.0
44.0	12	20	2	1	2																																									12	21			"44"	2	3.0
45.0	14	31	1	1	2																																									0				"45"	2	3.0
46.0	15	13	1	1	2																																									15	15			"46"	2	3.0
47.0	13	26	1	1	2																																									0				"47"	2	3.0
48.0	14	31	1	1	2																																									0				"48"	2	3.0
49.0	16	5	1	1	2																																									16	6			"49"	2	3.0
50.0	12	12	1	1	2																																									0				"50"	2	3.0
51.0	14	54	1	1	2																																									0				"51"	2	3.0
52.0	12	32	2	1	2																																									0				"52"	2	3.0
53.0	12	10	1	1	2																																									0				"53"	2	3.0
54.0	13	5	1	1	2																																									0				"54"	2	3.0
56.0	14	25	1	1	2																																									0				"56"	2	3.0
58.0	12	45	1	1	2																																									0				"58"	2	3.0
60.0	12	40	1	1	1	1	29	1			1			120000	10	6	1							1			1			1			3	8	100.0	100.0	1	3	2	2	2	3	0	2		12	50	1	29	"60"	2	3.0
61.0	11	35	1	1	1	1	29	1			1			24000	20	0	1							1			1			1			3	6	100.0	100.0	4		1	2	1		0	1		11	40	1	29	"61"	3	3.0
63.0	16	0	1	1	2																																									16	2			"63"	3	3.0
66.0	12	45	1	1	2																																									12	47			"66"	3	3.0
67.0	10	10	1	1	2																																									10	12			"67"	3	3.0
68.0	11	4	2	1	2																																									11	5			"68"	3	3.0
69.1	14	6	1	1	2																																									14	8			"69.1"	3	3.0
69.2	12	45	4	1	2																																									12	46			"69.2"	3	3.0
70.0	15	40	1	1	1	1	29	1			1			120000	20	0	1							1			1			1			2	12	100.0	100.0	4		3	2	8		0	1		15	45	1	29	"70"	3	3.0
71.0	15	0	1	1	2																																									15	0			"71"	3	3.0
72.0	11	23	1	1	2																																									11	23			"72"	3	3.0
73.0	13	26	2	1	2																																									13	28			"73"	3	3.0
74.0	13	25	1	1	2																																									13	27			"74"	3	3.0
75.0	11	44	2	1	2																																									11	46			"75"	3	3.0
76.0	12	15	1	1	1	1	29	3			3			108000	3	2	1							3			3			3			2	12	100.0	100.0	1		2	2	1		0	1		12	24	1	29	"76"	3	3.0
78.0	12	2	2	1	2																																									12	3			"78"	3	3.0
79.0	10	55	2	1	2																																									10	55			"79"	3	3.0
80.0	16	0	1	1	2																																									16	0			"80"	3	3.0
81.0	8	59	1	1	1	1	29	1			1			100000	10	11	1							1			1	72		1			2	12	100.0	100.0	1		2	2	8		1	1		9	1	1	29	"81"	3	3.0
82.0	16	29	2	1	1	1	29	4			4			60000	3	2	1							4			4			4			2	12	100.0	100.0	1		3	2	8		0	1		16	37	1	29	"82"	3	3.0
83.0	13	10	1	1	1	1	30	1			1			50000	0	5	1							1			1			1			2	5	100.0	100.0	1		2	2	8	2	0	1		13	29	1	30	"83"	3	3.0
84.0	15	10	2	1	2																																									15	12			"84"	3	3.0
85.0	16	1	1	1	2																																									16	2			"85"	3	3.0
86.0	10	15	2	1	2																																									10	18			"86"	3	3.0
87.0	14	36	2	1	2																																									14	38			"87"	3	3.0
90.0	11	51	1	1	2																																									11	53			"90"	3	3.0
91.0	17	19	5	1	2																																									17	20			"91"	3	3.0
92.0	11	35	1	1	2																																									11	40			"92"	3	3.0
93.1	11	10	1	1	2																																									11	12			"93.1"	3	3.0
93.2	10	28	5	1	2																																									10	28			"93.2"	3	3.0
94.0	13	23	1	1	2																																									13	24			"94"	3	3.0
95.0	10	46	1	1	1	1	29	1			1			40000	12	9	1							1			1			1			2	12	100.0	100.0	1		3	2	8		0	1		10	51	1	29	"95"	3	3.0
96.0	15	3	2	1	2																																									15	6			"96"	3	3.0
97.0	14	15	1	1	2																																									14	17			"97"	3	3.0
99.0	13	14	1	1	1	1	29	1			1			80000	3	6	1							1			1			1			2	12	100.0	100.0	1		4	2	2	8	0	2		13	24	1	29	"99"	3	3.0
100.1	10	54	6	1	1	1	29	6			6			100000	15	1	1							6			1	72		6			2	12	100.0	100.0	1	2	3	2	1		1	1		11	8	1	29	"100.1"	3	3.0
101.0	10	20	1	1	2																																									10	20			"101"	3	3.0
102.0	10	37	1	1	2																																									10	37			"102"	3	3.0
103.0	13	58	1	1	2																																									13	59			"103"	3	3.0
104.0	10	42	1	1	2																																									10	43			"104"	3	3.0
105.0	16	30	1	1	2																																									16	30			"105"	3	3.0
106.0	13	26	4	1	2																																									13	28			"106"	3	3.0
107.0	9	29	3	1	2																																									9	30			"107"	3	3.0
108.0	11	42	1	1	1	1	28	1			1			2000	0	2	2	1			1			1			1			1			3	1	100.0	100.0	1		3	2	1		0	1		11	45	1	28	"108"	3	3.0
109.0	11	17	1	1	2																																									11	17			"109"	3	3.0
110.0	9	14	1	1	2																																									9	15			"110"	3	3.0
111.0	15	17	1	1	2																																									15	17			"111"	3	3.0
112.0	13	45	4	1	1	1	29	4			4			30000	0	3	1							4			4			4	1		2	3	100.0	100.0	1		2	3	3		0	1		13	53	1	29	"112"	3	3.0
113.0	12	15	1	1	2																																									12	15			"113"	3	3.0
114.0	12	45	4	1	2																																									12	46			"114"	3	3.0
116.0	14	49	4	1	1	1	29	4			4			72000	19	2	1							4			4			4			2	12	100.0	100.0	1		2	2	2		0	1		14	54	1	29	"116"	3	3.0
117.0	13	40	1	1	2																																									13	40			"117"	3	3.0
118.0	13	15	1	1	2																																									13	15			"118"	3	3.0
120.0	11	10	1	1	2																																									11	10			"120"	3	3.0
121.0	11	40	1	1	2																																									11	41			"121"	2	3.0
122.0	16	20	1	1	2																																									16	21			"122"	2	3.0
123.0	14	32	1	1	2																																									0				"123"	2	3.0
124.0	14	0	1	1	2																																									14	0	0		"124"	2	3.0
126.0	13	24	1	1	1	1	28	1			1			25000	0	7	1							1			1			1			2	8	100.0	100.0	1	3	4	2	3		1	1		13	32	1	28	"126"	2	3.0
127.0	4	21	1	1	2																																									4	21			"127"	2	3.0
128.0	13	50	1	1	1	1	29	1			1			96000	11	2	1							1			1			1			2	12	100.0	100.0	1		2	2	8	2	0	2		14	5	1	29	"128"	2	3.0
129.0	18	45	1	1	1	1	29	1			1			120000	20	4	1							1			1			1			1	12	100.0	100.0	1		1	2	2		0	1		18	53	1	29	"129"	2	3.0
130.0	17	40	1	1	2																																									17	42			"130"	2	3.0
131.0	15	20	1	1	2																																									15	20			"131"	2	3.0
132.0	12	14	1	1	2																																									0		0		"132"	2	3.0
134.0	14	59	1	1	2																																									0				"134"	2	3.0
135.0	13	0	1	1	2																																									13	5			"135"	2	3.0
136.0	12	31	1	1	2																																									12	31			"136"	2	3.0
137.0	13	10	1	1	2																																									0				"137"	2	3.0
140.0	12	40	1	1	1	1	28	1			1			60000	5	6	1							1			1			1			1	12	100.0	100.0	1	3	4	2	4		0	1		12	49	1	28	"140"	2	3.0
140.0	12	40	1	1	1	2	29	3			3			120000	3	4	1							3			3	4		3			2	12	100.0	100.0	1		3	2	4		0	1		12	49	2	29	"140"	2	3.0
141.0	10	5	1	1	2																																									11	5			"141"	3	3.0
142.1	13	38	1	1	2																																									13	38			"142.1"	3	3.0
142.2	14	25	5	1	1	1	7	5			5			150000	3	2	1							5			5			5			2	12	100.0	100.0	1		3	2	4		1	1		14	33	1	7	"142.2"	3	3.0
143.0	15	27	1	1	2																																									15	27			"143"	3	3.0
144.0	10	46	1	1	2																																									10	46			"144"	3	3.0
145.0	11	45	1	1	2																																									11	46			"145"	3	3.0
146.0	14	36	1	1	2																																									14	36			"146"	3	3.0
147.0	11	42	1	1	1	1	29	4			4			96000	10	2	1							4			1			4			2	12	100.0	100.0	1		3	2	6	8	0	1		11	44	1	29	"147"	3	3.0
148.1	10	58	4	1	2																																									10	58			"148.1"	3	3.0
148.2	17	47	3	1	2																																									17	47			"148.2"	3	3.0
148.3	16	32	5	1	2																																									16	32			"148.3"	3	3.0
149.0	15	43	1	1	2																																									15	43			"149"	3	3.0
150.0	10	10	1	1	2																																									10	11			"150"	3	3.0
151.0	13	20	1	1	2																																									13	20			"151"	3	3.0
152.0	14	50	3	1	2																																									14	50			"152"	3	3.0
153.0	13	48	1	1	1	1	39	6			6			8000	0	1	2	6			6			6			6			6			2	1	100.0	100.0	1	2	2	2	10		6	1		13	55	1	39	"153"	3	3.0
154.0	14	55	1	1	2																																									14	55			"154"	3	3.0
155.0	11	50	1	1	2																																									11	50			"155"	3	3.0
157.0	11	31	1	1	2																																									11	36			"157"	3	3.0
160.0	11	14	3	1	2																																									11	14			"160"	3	3.0
161.0	15	33	1	1	2																																									15	33			"161"	2	3.0
162.0	15	57	1	1	2																																									15	57			"162"	2	3.0
163.0	11	42	1	1	2																																									11	43			"163"	2	3.0
164.0	12	13	1	1	2																																									12	13			"164"	2	3.0
165.0	14	55	1	1	2																																									14	56			"165"	2	3.0
166.0	12	22	1	1	1	1	29	1			1			30000	9	10	1							1			1			1			2	12	100.0	100.0	1		2	2	8		0	1		12	25	1	29	"166"	2	3.0
167.0	11	48	1	1	2																																									11	48			"167"	2	3.0
168.0	14	52	1	1	2																																									14	52			"168"	2	3.0
169.0	11	27	1	1	2																																									11	28			"169"	2	3.0
170.0	18	4	1	1	2																																									18	6			"170"	2	3.0
171.0	13	13	1	1	2																																									13	13			"171"	2	3.0
172.0	14	20	1	1	2																																									14	20			"172"	2	3.0
173.0	13	28	1	1	2																																									13	29			"173"	2	3.0
174.0	16	22	1	1	2																																									16	22			"174"	2	3.0
175.0	12	0	1	1	2																																									12	0			"175"	2	3.0
176.0	14	43	1	1	1	1	2	1			1			20000	40	2	1							1			1			1			3	3	100.0	100.0	1		2	2	1		0	1		14	53	1	2	"176"	2	3.0
177.0	16	36	2	1	2																																									16	36			"177"	2	3.0
178.0	13	57	3	1	1	1	23	3			3			50000	10	4	1							3			3			3			3	8	100.0	100.0	1		3	2	2		0	1		14	10	1	23	"178"	2	3.0
179.0	10	37	1	1	2																																									10	37			"179"	2	3.0
180.0	14	50	1	1	2																																									14	50			"180"	2	3.0
182.0	14	20	1	1	1	1	29	1			1			0	2	5	1							1			1			1			3	3	100.0	100.0	1		2	3	2		0	1		14	25	29	1	"182"	2	3.0
183.0	10	17	1	1	2																																									10	18			"183"	2	3.0
184.0	8	20	5	1	2																																									8	20			"184"	2	3.0
185.0	13	55	1	1	1	1	29	1			1			132000	15	0	1							1			1	72		1			2	6	100.0	100.0	1	3	2	2	3	8	0	14		14	0	1	29	"185"	2	3.0
185.0	13	55	1	1	1	2	29	3			3			132000	1	0	1							3			3	72		3			2	6	100.0	100.0	1	3	2	2	3	8	0	4		14	0	2	29	"185"	2	3.0
186.0	12	18	1	1	2																																									12	19			"186"	2	3.0
187.0	9	5	1	1	2																																									0				"187"	2	3.0
188.0	14	45	1	1	2																																									14	47			"188"	2	3.0
189.0	10	48	1	1	2																																									10	48			"189"	2	3.0
190.0	13	26	1	1	2																																									13	27			"190"	2	3.0
191.1	17	30	1	1	1	1	29	8			8			96000	6	2	1							7	8		7	8		8			2	12	100.0	100.0	1		2	3	6	11	0	1		17	35	1	29	"191.1"	2	3.0
191.2	11	45	3	1	1	1	29	3			3			100000	6	2	2	3			3			3			3			3			2	10	100.0	100.0	4		2	3	2		0	2		11	55	1	29	"191.2"	2	3.0
192.0	14	42	1	1	1	1	30	2	5		2	5		168000	15	6	1							2	3		2	3		3			2	12	100.0	100.0	1		3	3	1		0	1		14	55	30	2	"192"	2	3.0
193.0	14	45	1	1	1	1	29	1			1			300000	4	5	1							1			1			1			3	12	100.0	100.0	1		2	2	3	8	0	1		14	55	1	29	"193"	2	3.0
194.0	16	53	1	1	2																																									17	5			"194"	2	3.0
195.1	11	28	1	1	2																																									0				"195.1"	2	3.0
195.2	10	55	9	1	2																																									11	0			"195.2"	2	3.0
196.0	16	30	1	1	2																																									16	32			"196"	2	3.0
197.0	14	50	1	1	2																																									14	55			"197"	2	3.0
198.0	15	45	1	1	2																																									0				"198"	2	3.0
199.0	12	43	1	1	2																																									0				"199"	2	3.0
201.0	11	23	2	1	1	1	30	2			2			2400	8	5	1							2	6		2	6		2			1	4	100.0	100.0	1		1	2	8		0	1		11	41	1	30	"201"	3	3.0
202.0	11	31	5	1	2																																									11	31			"202"	3	3.0
203.0	10	3	4	1	2																																									10	4			"203"	3	3.0
204.0	13	56	1	1	2																																									13	56			"204"	3	3.0
205.0	10	55	4	1	2																																									10	56			"205"	3	3.0
206.0	11	15	1	1	1	1	29	1			1			5000	8	6	1							1			1			1			2	12	100.0	100.0	1		2	2	2		0	1		11	2	1	29	"206"	3	3.0
207.0	10	17	1	1	2																																									10	20			"207"	3	3.0
208.0	10	29	1	1	2																																									10	34			"208"	3	3.0
209.1	17	16	1	1	2																																									17	17			"209.1"	3	3.0
209.2	10	15	4	1	2																																									10	17			"209.2"	3	3.0
210.1	15	42	1	1	1	1	29	1			1			50000	7	2	1							1			1			1			2	12	100.0	100.0	1		2	2	2		0	11		15	48	1	29	"210.1"	3	3.0
210.2	16	5	3	1	2																																									16	5			"210.2"	3	3.0
212.1	15	26	4	1	2																																									15	26			"212.1"	3	3.0
212.2	10	18	2	1	2																																									10	18			"212.2"	3	3.0
214.0	17	10	1	1	1	1	29	1			1			120000	8	10	1							1			1	3		1			2	12	100.0	100.0	1		2	2	2		0	11		10	14	1	29	"214"	3	3.0
215.2	12	20	3	1	2																																									12	21			"215.2"	3	3.0
216.0	14	45	1	1	2																																									14	45			"216"	3	3.0
218.0	14	33	1	1	2																																									14	33			"218"	3	3.0
219.0	15	32	5	1	2																																									15	33			"219"	3	3.0
220.0	12	18	7	1	2																																									12	20			"220"	3	3.0
221.0	14	0	1	1	2																																									14	2			"221"	2	3.0
222.1	16	25	1	1	1	1	29	1	72		1	72		120000	15	4	1							1	72		1	72		1	72		2	12	50.0	50.0	1		2	2	2	6	0	1		16	40	1	29	"222.1"	2	3.0
222.2	11	20	3	1	1	1	29	3	4		3	4		96000	20	8	1							3	4		3	4		3			2	12	100.0	100.0	1		2	2	5		0	1		11	30	1	29	"222.2"	2	3.0
223.0	10	55	1	1	1	1	30	4			4			0	0	4	1							4			4			4			1	4	100.0	100.0	4		5	2	3		0	1		11	0	1	30	"223"	2	3.0
224.0	15	45	1	1	1	1	29	1			1			96000	3	0	1							1			1			1			2	12	100.0	100.0	1		1	3	3		0	1		15	55	1	29	"224"	2	3.0
225.0	12	40	3	1	1	1	29	3	1		3			10000	25	3	1							3	1		3	1		3	1		3	12	100.0	100.0	1		2	2	6		0	1		12	44	1	29	"225"	2	3.0
226.0	12	9	1	1	1	1	23	1			1			400000	40	8	1							1			1			1			2	11	100.0	100.0	1		2	2	2		0	1		12	13	1	23	"226"	2	3.0
227.0	11	36	2	1	2																																									11	38			"227"	2	3.0
228.0	11	40	1	1	2																																									11	43			"228"	2	3.0
229.0	12	41	1	1	2																																									12	41			"229"	2	3.0
230.0	12	12	1	1	1	1	29	1			1			35000	2	8	1							1			1			1			1	12	100.0	100.0	1	3	2	2	2		0	1		12	30	1	29	"230"	2	3.0
231.0	11	20	3	1	1	1	29	3	72		3	72		120000	7	2	1							3			3			3			2	12	100.0	100.0	1		2	1	2		0	1		11	25	1	29	"231"	2	3.0
232.0	13	10	1	1	1	1	29	1			1			72000	20	2	1							1			1			1			2	12	100.0	100.0	1		2	3	1		0	1		13	20	1	29	"232"	2	3.0
233.0	14	42	1	1	2																																									14	45			"233"	2	3.0
234.0	9	32	1	1	2																																									9	34			"234"	2	3.0
235.0	10	25	1	1	2																																									10	35			"235"	2	3.0
238.0	13	25	1	1	2																																									13	30			"238"	2	3.0
239.0	11	46	2	1	2																																									11	48			"239"	2	3.0
240.1	12	17	1	1	2																																									12	18			"240.1"	2	3.0
240.2	16	40	6	1	2																																									16	42			"240.2"	2	3.0
241.0	13	36	2	1	1	1	30	2			2			30000	18	2	1							2			2			2			1	12	100.0	100.0	1		1	2	2		0	11		13	42	1	30	"241"	2	3.0
241.0	13	36	2	1	1	2	30	5			5			36000	3	10	1							5			5			5			1	12	100.0	100.0	1		1	2	3		0	11		13	42	1	30	"241"	2	3.0
242.0	12	56	2	1	1	1	30	1			1			14000	20	2	1							1			1			1			1	6	100.0	100.0	1		1	2	2		0	1		12	59	1	30	"242"	2	3.0
243.0	10	53	3	1	2																																									10	59			"243"	2	3.0
244.0	11	22	1	1	1	1	30	2			2			3600	4	3	1							2			2			2			1	12	100.0	100.0	1		1	2	2		0	11		11	26	1	30	"244"	2	3.0
245.0	11	50	1	1	1	1	8	1			1			84000	17	5	1							1			1	6		1			2	12	100.0	100.0	1		2	2	2	3	0	11		11	56	1	8	"245"	2	3.0
246.0	9	44	1	1	1	1	30	1			2			36000	4	10	1							1			1			1			1	12	100.0	100.0	1		1	2	2		0	11		9	50	1	30	"246"	2	3.0
246.0	9	44	1	1	1	2	22	1			1			84000	43	2	1							1			1			1			1	12	100.0	100.0	1		2	2	2		0	11		9	50	2	22	"246"	2	3.0
247.0	14	12	1	1	1	1	30	2			2			5000	20	2	1							2			2	4		2			1	6	100.0	100.0	1		1	2	2		0	1		14	19	1	30	"247"	2	3.0
248.0	12	42	1	1	2																																									12	42			"248"	2	3.0
249.0	11	1	6	1	2																																									11	1			"249"	2	3.0
250.0	12	32	1	1	2																																									12	32			"250"	2	3.0
251.0	14	13	1	1	2																																									14	14			"251"	2	3.0
252.0	12	34	1	1	1	1	30	1	72		1	72		22000	3	2	1							1	72		1	72		1	72		3	4	50.0	50.0	1		2	2	9		0	1		12	42	1	30	"252"	2	3.0
254.0	10	1	1	1	2																																									10	2			"254"	2	3.0
255.0	15	24	1	1	2																																									15	24			"255"	2	3.0
256.0	13	50	1	1	1	1	14	1			1			90000	15	2	1							1			1			1			2	12	100.0	100.0	1		2	1	1	2	0	1		13	59	1	14	"256"	2	3.0
257.0	16	24	1	1	2																																									16	24			"257"	2	3.0
258.0	12	45	1	1	2																																									12	45			"258"	2	3.0
259.0	13	40	1	1	2																																									13	40			"259"	2	3.0
260.0	13	20	1	1	1	1	30	2	1		2			10000	8	2	1							2	1		2			2			1	10	100.0	100.0	1		1	2	8		0	1		13	25	1	30	"260"	2	3.0
260.0	13	20	1	1	1	2	30	4	1		4			10000	5	6	1							4	1		4			4			1	10	100.0	100.0	1		1	2	8		0	1		13	25	2	30	"260"	2	3.0
261.0	11	42	1	1	2																																									11	55			"261"	2	3.0
262.0	16	0	1	1	1	1	8	1			1			108000	14	0	1							1			1	6		1			2	12	100.0	100.0	1		2	2	8		1	2	11	16	10	1	8	"262"	2	3.0
263.0	12	32	1	1	1	1	29	5			5			120000	3	10	1							5	6		5			5			2	12	100.0	100.0	2		3	2	2	5	0	1		12	40	1	29	"263"	2	3.0
264.0	14	21	1	1	2																																									14	22			"264"	2	3.0
265.0	11	43	4	1	1	1	29	4			4			0	0	1	1							4			4			4			2	1	100.0	100.0	1		2	2	2	3	0	11		11	55	1	29	"265"	2	3.0
267.0	12	20	1	1	2																																									12	22			"267"	2	3.0
268.0	12	19	1	1	1	1	29	1			1			60000	5	0	2	1			1			1			1			1			3	8	100.0	100.0	1		4	2	2	8	0	1		12	35	1	29	"268"	2	3.0
269.0	12	15	1	1	2																																									12	17			"269"	2	3.0
270.0	14	21	1	1	1	1	29	1			1			60000	11	6	1							1	4		1	4		1			2	12	100.0	100.0	1		2	2	11	2	0	5		14	37	1	29	"270"	2	3.0
270.0	14	21	1	1	1	2	29	3	1		1			55000	6	2	1							3			3	1		3	1		2	12	100.0	100.0	1		2	2	3		0	2		14	37	2	29	"270"	2	3.0
271.0	10	19	1	1	1	1	14	1			1			15000	28	0	1							1			1			1			2	12	100.0	100.0	1		1	2	12		0	1		10	23	1	14	"271"	2	3.0
271.0	10	19	1	1	1	2	13	4			4			0	0	2	1							4			4			4			1	2	100.0	100.0	1		1	3	12		0	1		10	23	2	13	"271"	2	3.0
272.0	15	21	1	1	2																																									15	22			"272"	2	3.0
273.0	11	2	1	1	2																																									11	3			"273"	2	3.0
274.0	11	7	1	1	2																																									11	9			"274"	2	3.0
275.0	11	30	1	1	2																																									11	31			"275"	2	3.0
276.0	15	54	1	1	1	1	29	1			1			120000	48	2	1							1			1	6		1			2	12	100.0	100.0	1		4	1	1		1	1		16	2	1	29	"276"	2	3.0
276.0	15	54	1	1	1	2	7	3			3			150000	14	0	1							3			3	72		3			2	12	100.0	100.0	1		4	1	2		1	1		16	2	2	7	"276"	2	3.0
277.0	14	27	2	1	2																																									14	27			"277"	2	3.0
278.0	12	14	3	1	1	1	29	3			3			84000	14	0	1							3			3			3			2	12	100.0	100.0	1		2	2	7		0	2		12	14	1	29	"278"	2	3.0
279.0	11	0	1	1	2																																									11	0			"279"	2	3.0
280.1	14	45	1	1	1	1	30	1			1			35000	1	4	1							1			1			1			2	7	50.0	50.0	1		2	2	8		0	1		14	50	1	30	"280.1"	2	3.0
280.2	11	55	8	1	1	1	23	8			8			70000	14	2	1							8			8			8			1	12	100.0	100.0	1		4	2	2	8	0	1		12	20	1	23	"280.2"	2	3.0
281.0	14	22	1	1	1	1	30	1			1			108000	17	6	1							1			1			1			2	12	100.0	100.0	1	3	2	2	2		0	1		14	35	1	30	"281"	2	3.0
281.0	14	22	1	1	1	2	39	2			2			12000	3	3	1							2			2			2			1	12	100.0	100.0	1		1	2	2		0	1		14	35	2	39	"281"	2	3.0
282.1	13	1	6	1	1	1	29	1	6		6			60000	3	6	1							6			6			6	1		2	12	100.0	100.0	1		2	2	2		0	1		13	15	1	29	"282.1"	2	3.0
282.2	10	55	3	1	1	1	29	3	4		3			120000	3	2	1							3			3			3			2	12	100.0	100.0	1		2	2	8	2	0	1		11	0	1	29	"282.2"	2	3.0
284.0	12	11	1	1	2																																									12	25			"284"	2	3.0
285.0	14	10	2	1	2																																									14	10			"285"	2	3.0
286.1	14	31	1	1	1	1	28	1	2	6	6			60000	20	4	1							6			6			6			3	9	100.0	100.0	1		4	2	8		0	1		14	45	1	28	"286.1"	2	3.0
286.1	14	31	1	1	1	2	29	1	2	7	1	7		20000	2	2	1							1	7		1	7		1	7		2	12	100.0	100.0	1		2	2	8	6	0	4		14	45	2	29	"286.1"	2	3.0
286.2	13	1	3	1	1	1	28	3			3			4000	8	2	1							3			3			3			3	6	100.0	100.0	1		2	2	8		0	1		13	10	1	28	"286.2"	2	3.0
287.0	14	32	1	1	1	1	29	1	3		1	3		48000	1	2	1							1	2		1	3		3			2	12	100.0	100.0	1		2	2	9		0	13	2	14	45	1	29	"287"	2	3.0
287.0	14	32	1	1	1	2	15	2			1	2		180000	10	3	1							1	2		1	2		2			1	12	100.0	100.0	1		1	2	1		0	1		14	45	2	15	"287"	2	3.0
288.0	13	16	1	1	1	1	2	1			1	3		20000	25	4	1							1	3		1	3		1	3		1	6	100.0	100.0	1		2	3	2	8	0	9	5	13	25	1	2	"288"	2	3.0
289.0	14	51	3	1	1	1	29	3			3			144000	15	3	1							3			3			3			2	12	100.0	100.0	3		4	2	8		0	1		15	40	1	29	"289"	2	3.0
290.0	13	20	1	1	1	1	2	1			1			70000	8	7	1							1			1			1			3	6	100.0	100.0	4		3	2	7		0	5		13	40	1	2	"290"	2	3.0
291.0	13	0	1	1	1	1	29	1			1			180000	14	2	1							1			1	6		1			2	12	100.0	100.0	1		2	2	2	8	1	1		13	15	1	29	"291"	2	3.0
