a01	stime_h_q	stime_m_q	res_id_q	consent_q	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_11b	q_11c	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20a_3	q_20b	q_20b_2	q_20b_3	q_20c	q_20c_2	q_20c_3	q_20d_1	q_20d_2	q_20d_3	q_21	etime_h_q	etime_m_q	flag_q_20b_3	flag_q_20c_3	hhid2	hh_type	round
1.0	14	7	1	1	1	800		35.0	0	3	3	2	4	1	2	2	1	324.0	1	2	250.0	5	250.0	1		3			2	1	2	" "	1	4	" "	2		" "	1			80	14	17			"1"	3	3.0
2.0	14	18	1	1	1	300		9.0	0	3	5	2	4	1	1	2	1	162.0	1	4	175.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			200	14	22			"2"	3	3.0
3.1	11	17	1	1	1	200		10.0	0	3	3	2	4	1	1	2	1	364.0	1	2	380.0	5	0.0	1		3			1	2		" "	1	2	" "	2		" "	6			50	11	24			"3.1"	3	3.0
3.2	11	29	3	1	1	300		3.0	0	2	5	2	4	1	1	1		243.0	1	4	156.0	6	0.0	1		3			1	1	3	" "	1	4	" "	2		" "	1			200	11	34			"3.2"	3	3.0
4.0	12	17	2	1	1	500		10.0	0	3	2	2	4	1	2	3	2	324.0	1	2	360.0	5	0.0	1		3			3	1	2	" "	1	1	" "	1	3	" "	6			300	12	20			"4"	3	3.0
5.0	12	52	1	1	1	2000		32.0	0	2	1	1	1	1	4	1		459.0	1	2	500.0	5	0.0	1		3			4	1	1	" "	1	2	" "	1	4	" "	1			1000	12	56			"5"	3	3.0
6.0	11	18	1	1	1	400		20.0	0	3	1	2	4	1	1	2	2	432.0	1	2	700.0	5	150.0	1		3			2	1	1	" "	1	3	" "	2		" "	6			200	11	22			"6"	3	3.0
7.0	13	56	1	1	1	3000		10.0	2	1	1	1	1	1	4	2	1	968.0	1	2	894.0	5	200.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			500	14	5			"7"	3	3.0
8.0	13	39	1	1	1	3000		2.0	0	1	1	1	1	1	5	2	1	2016.0	1	2	609.0	5	250.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	6			500	13	47			"8"	3	3.0
9.0	15	26	1	1	1	500		16.0	1	3	2	2	4	2	2	2	1	500.0	1	2	142.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			300	15	33			"9"	3	3.0
10.1	10	3	3	1	1	1500		6.0	0	2	1	2	4	1	3	1		720.0	1	2	300.0	5	208.0	1		3			1	2		" "	1	4	" "	2		" "	6			100	10	7			"10.1"	3	3.0
10.2	15	44	3	1	1	300		25.0	0	3	4	2	4	1	1	2	1	148.0	1	3	117.0	5	0.0	1		3			1	1	3	" "	2		" "	2		" "	6			100	15	47			"10.2"	3	3.0
11.1	11	58	1	1	1	700		16.0	1	3	5	2	4	1	2	2	1	338.0	1	2	298.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			400	12	6			"11.1"	3	3.0
11.2	16	21	4	1	1	300		2.0	2	4	4	2	4	1	1	2	1	108.0	1	2	82.0	6	200.0	1		3			0	2		" "	2		" "	2		" "	7				16	28			"11.2"	3	3.0
11.3	13	45	3	1	3		500	10.0	3	3	1	2	4	1	1	2	1	108.0	1	2	50.0	5	300.0	1		3			2	1	3	" "	1	6	" "	2		" "	6			100	14	0			"11.3"	3	3.0
12.0	13	17	1	1	1	500		30.0	0	4	4	2	4	1	2	2	1	216.0	1	2	57.0	5	0.0	1		3			1	1	1	" "	1	2	" "	2		" "	1			100	13	25			"12"	3	3.0
13.0	12	19	1	1	1	1500		6.0	0	2	1	2	4	1	3	2	1	851.0	1	2	175.0	5	100.0	1		3			1	1	1	" "	2		" "	2		" "	1			250	12	26			"13"	3	3.0
14.0	16	26	1	1	1	2000		40.0	1	2	3	2	4	3	5	2	1	1253.0	1	2	136.0	5	0.0	1		3			5	1	1	" "	1	7	" "	1	4	" "	1	4		550	16	33			"14"	3	3.0
15.0	13	55	1	1	1	500		25.0	0	4	3	1	4	1	2	2	1	204.8	1	2	289.0	6	0.0	1		3			1	1	1	" "	1	2	" "	1	3	" "	1			120	14	5			"15"	3	3.0
16.1	14	39	1	1	1	1200		25.0	1	2	1	2	4	1	3	2	1	630.0	1	2	250.0	5	150.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	6			600	14	48			"16.1"	3	3.0
16.2	14	24	4	1	1	2000		4.0	1	2	1	1	4	1	4	2	1	1688.0	1	2	261.0	5	0.0	1		3			3	1	4	" "	1	5	" "	1	7	" "	6			500	14	32			"16.2"	3	3.0
17.0	13	58	1	1	1	1000		25.0	0	3	2	2	4	1	2	2	1	360.0	1	2	268.0	6	0.0	1		3			2	1	1	" "	1	4	" "	2		" "	1			80	14	6			"17"	3	3.0
18.1	18	11	4	1	1	1500		2.0	2	1	1	2	1	1	2	1		486.0	1	2	485.0	5	200.0	1		3			2	1	4	" "	1	5	" "	2		" "	1			180	18	17			"18.1"	3	3.0
18.2	15	32	3	1	1	2000		7.0	0	2	1	2	1	1	2	2	1	540.0	1	2	235.0	5	100.0	1		3			2	1	3	" "	1	7	" "	2		" "	6			150	15	52			"18.2"	3	3.0
19.0	12	35	1	1	1	1200		12.0	0	3	2	2	1	1	2	2	1	371.25	1	2	125.0	5	420.0	1		3			1	1	1	" "	2		" "	2		" "	1			200	12	40			"19"	3	3.0
21.0	11	20	1	1	2	1000		25.0	1	4	2	2	1	1	1	2	1	135.0	2			9	0.0	4	70	3			1	1	1	" "	2		" "	2		" "	7			10	11	30			"21"	2	3.0
22.0	10	40	1	1	1	300		28.0	0	4	2	2	4	1	1	2	1	378.0	1	2	105.0	5	0.0	1		3			0	2		" "	2		" "	2		" "	7			0	10	45			"22"	2	3.0
23.0	12	28	2	1	1	1200		30.0	0	3	2	2	4	1	3	2	1	331.0	1	2	444.0	6	0.0	1		3			2	2		" "	1	4	" "	1	3	" "	6			300	12	35			"23"	2	3.0
24.0	13	0	3	1	1	800		8.0	0	3	2	2	1	1	3	2	1	486.0	1	2	117.0	5	300.0	1		3			2	2		" "	1	1	" "	1	4	" "	6			200	13	20			"24"	2	3.0
26.0	15	21	4	1	1	2000		42.0	1	1	1	2	4	2	4	3	2	598.0	1	2	790.0	5	50.0	1		3			4	1	1	" "	1	4	" "	1	5	" "	1			200	15	29			"26"	2	3.0
27.0	14	36	1	1	1	3000		20.0	1	3	1	2	4	1	1	2	1	270.0	1	2	300.0	6	300.0	1		3			2	1	1	" "	1	2	" "	2		" "	3			300	14	44			"27"	2	3.0
28.0	15	43	2	1	1	2000		20.0	0	1	1	2	4	1	3	2	1	468.0	1	2	150.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			50	15	49			"28"	2	3.0
29.0	12	53	2	1	1	1000		3.0	0	2	1	2	4	1	3	2	1	486.0	1	2	310.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	4			200	13	1			"29"	2	3.0
30.1	12	28	2	1	1	1000		30.0	1	2	5	2	4	1	1	2	1	220.0	1	2	605.0	9	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			500	12	35			"30.1"	2	3.0
30.2	16	56	5	1	1	1500		50.0	1	2	5	2	4	2	2	2	1	310.0	1	2	165.0	9	0.0	1		3			0	2		" "	2		" "	2		" "	7			0	17	3			"30.2"	2	3.0
31.0	14	20	1	1	1	2000		20.0	0	3	1	2	1	1	3	2	1	378.0	1	2	475.0	5	200.0	1		3			3	1	1	" "	1	3	" "	1	4	" "	1			300	15	20			"31"	2	3.0
32.0	13	20	1	1	1	1000		38.0	0	4	3	2	4	1	2	2	1	378.0	1	2	1000.0	5	200.0	1		3			4	1	1	" "	1	2	" "	1	3	" "	6			300	13	50			"32"	2	3.0
33.0	16	58	1	1	1	1000		42.0	1	2	1	2	1	1	2	2	1	216.0	1	2	340.0	5	0.0	1		3			2	1	1	" "	1	3	" "	2		" "	1			600	17	3			"33"	2	3.0
34.0	14	0	2	1	1	3000		30.0	0	1	1	1	1	1	6	2	1	1728.0	1	2	2000.0	3	300.0	1		3			2	1	2	" "	1	3	" "	2		" "	1			1000	14	10			"34"	2	3.0
35.0	15	40	2	1	1	1000		18.0	0	3	1	2	1	2	1	2	1	248.0	1	2	900.0	3	300.0	1		3			2	1	2	" "	1	3	" "	2		" "	1			300	15	45			"35"	2	3.0
36.0	14	0	1	1	1	1000		25.0	2	3	1	2	1	1	3	2	1	1215.0	1	2	800.0	5	0.0	1		3			3	1	1	" "	2		" "	2		" "	6			150	14	10			"36"	2	3.0
37.0	14	50	1	1	1	3000		3.0	3	1	1	2	1	2	2	2	1	495.0	1	2	350.0	5	900.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			400	15	0			"37"	2	3.0
38.1	15	35	1	1	1	1000		30.0	1	2	1	2	1	1	1	2	1	236.0	1	2	346.0	5	100.0	1		3			2	2		" "	1	2	" "	1	4	" "	1			300	15	42			"38.1"	2	3.0
38.2	15	31	3	1	1	1000		8.0	1	2	1	2	1	1	1	2	1	270.0	1	2	120.0	5	300.0	1		3			1	1	3	" "	2		" "	2		" "	6			500	15	40			"38.2"	2	3.0
39.0	14	31	1	1	1	8000		3.0	0	1	1	1	1	1	3	2	1	486.0	1	2	670.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			300	14	10			"39"	2	3.0
40.0	11	40	1	1	1	600		20.0	0	3	2	2	4	2	2	2	1	360.0	1	2	200.0	5	200.0	1		3			1	1	1	" "	2		" "	2		" "	6			100	11	50			"40"	2	3.0
41.0	15	20	1	1	1	1000		2.0	0	1	2	2	4	1	2	3	2	324.0	2			5	0.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			100	15	35			"41"	2	3.0
42.0	13	7	2	1	1	1000		8.0	0	3	2	2	1	1	4	2	1	650.0	1	2	0.0	5	0.0	1		3			2	1	2	" "	1	5	" "	2		" "	6			300	13	20			"42"	2	3.0
43.0	15	42	2	1	1	1000		20.0	1	3	3	2	4	1	3	2	1	432.0	1	2	100.0	5	0.0	1		3			2	1	2	" "	1	4	" "	2		" "	2	4		200	15	55			"43"	2	3.0
44.0	12	57	2	1	1	1000		20.0	0	3	3	2	4	1	3	2	1	1089.0	1	2	0.0	5	300.0	1		3			2	1	2	" "	1	3	" "	2		" "	1			300	13	10			"44"	2	3.0
45.0	15	6	1	1	1	800		30.0	1	3	3	2	4	1	2	2	1	576.0	1	2	55.0	5	0.0	1		3			1	1	1	" "	1	2	" "	2		" "	6			200	15	18			"45"	2	3.0
46.0	15	38	1	1	1	600		35.0	0	3	3	2	4	1	4	2	1	324.0	1	2	0.0	6	0.0	1		3			4	1	1	" "	1	3	" "	1	5	" "	1			400	15	45			"46"	2	3.0
47.0	14	0	1	1	1	800		20.0	0	3	3	2	4	1	3	2	1	378.0	2			5	0.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			100	14	12			"47"	2	3.0
48.0	15	4	1	1	1	700		15.0	2	2	2	2	4	1	1	2	1	288.0	2			5	200.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			100	15	14			"48"	2	3.0
49.0	16	32	1	1	1	700		18.0	0	2	3	2	4	1	3	3	1	992.0	1	2	210.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			200	16	37			"49"	2	3.0
50.0	12	35	1	1	1	300		10.0	1	3	2	2	4	1	2	3	2	650.0	2			5	0.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			50	12	45			"50"	2	3.0
51.0	15	31	1	1	1	2000		4.0	0	1	1	1	1	1	5	2	1	1013.0	2			5	0.0	3	0	3			2	1	1	" "	1	2	" "	2		" "	6			400	15	42			"51"	2	3.0
52.0	13	6	2	1	1	700		12.0	0	3	2	2	4	1	2	2	1	315.0	2			5	0.0	3	0	3			0	2		" "	2		" "	2		" "	7			0	13	15			"52"	2	3.0
53.0	12	35	1	1	1	600		15.0	0	3	2	2	4	1	2	2	1	378.0	2			5	0.0	4	100	3			1	1	1	" "	2		" "	2		" "	6			100	12	45			"53"	2	3.0
54.0	13	30	1	1	1	1500		60.0	0	3	1	2	4	1	3	2	1	567.0	2			3	500.0	3	0	3			1	1	1	" "	2		" "	2		" "	4			500	13	40			"54"	2	3.0
56.0	14	50	1	1	1	1000		45.0	0	3	2	2	4	1	2	2	1	378.0	2			5	0.0	4	100	3			1	1	1	" "	2		" "	2		" "	6			150	15	0			"56"	2	3.0
58.0	13	10	1	1	1	1000		40.0	0	2	2	2	4	1	2	2	1	378.0	1	2	250.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	1			100	13	20			"58"	2	3.0
60.0	13	20	1	1	1	1000		10.0	0	3	2	2	4	1	2	2	1	378.0	1	2	150.0	5	500.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			300	13	30			"60"	2	3.0
61.0	12	10	1	1	3		350	8.0	0	3	2	2	4	1	1	2	1	378.0	2			5	0.0	4	50	3			2	1	1	" "	1	2	" "	2		" "	6			400	12	20			"61"	3	3.0
63.0	16	2	1	1	1	500		18.0	0	2	3	2	4	1	1	3	2	366.0	2			9	0.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			88	16	8			"63"	3	3.0
66.0	13	10	1	1	1	1500		50.0	0	2	3	2	4	1	3	2	1	470.0	1	2	78.0	5	0.0	1		3			3	1	1	" "	1	7	" "	1	5	" "	6			250	13	17			"66"	3	3.0
67.0	10	35	1	1	1	1500		40.0	0	2	2	2	4	1	2	2	1	380.0	1	2	150.0	5	0.0	1		3			2	1	1	" "	1	4	" "	2		" "	6			250	10	42			"67"	3	3.0
68.0	12	0	2	1	1	1000		30.0	0	4	2	2	4	1	1	2	1	270.0	1	2	250.0	5	600.0	1		3			3	1	1	" "	1	3	" "	2		" "	6			300	12	20			"68"	3	3.0
69.1	14	10	1	1	1	500		30.0	0	4	2	2	4	1	1	2	1	189.0	2			6	0.0	4	70	3			0	2		" "	2		" "	2		" "	7				14	20			"69.1"	3	3.0
69.2	13	10	4	1	1	500		3.0	0	3	2	2	4	1	1	2	1	270.0	1	2	100.0	6	0.0	1		3			1	1	4	" "	2		" "	2		" "	1			120	13	20			"69.2"	3	3.0
70.0	12	10	1	1	1	1000		1.0	0	3	2	2	4	1	2	2	1	441.0	2			5	200.0	3	30	3			3	1	1	" "	1	2	" "	1	4	" "	6			500	12	30			"70"	3	3.0
71.0	15	50	1	1	1	500		12.0	0	3	3	2	4	2	3	2	1	422.0	1	2	360.0	6	35.0	1		3			1	1	1	" "	2		" "	2		" "	6			200	16	0			"71"	3	3.0
72.0	12	0	1	1	1	1000		21.0	0	3	2	2	1	1	3	2	1	688.0	1	2	198.0	5	750.0	1		3			4	1	1	" "	2		" "	2		" "	6			670	12	10			"72"	3	3.0
73.0	14	10	2	1	1	1000		12.0	0	2	2	2	4	1	1	2	1	504.0	1	2	549.0	5	800.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	1			300	14	25			"73"	3	3.0
74.0	13	55	1	1	1	1000		20.0	0	2	2	2	4	1	1	3	2	468.0	1	2	130.0	6	400.0	1		3			1	2		" "	1	2	" "	2		" "	1			300	14	0			"74"	3	3.0
75.0	11	46	2	1	1	500		12.0	0	4	5	2	4	1	1	3	2	189.0	2			5	150.0	3	0	3			2	1	2	" "	1	3	" "	2		" "	1			200	11	53			"75"	3	3.0
76.0	13	5	1	1	1	1000		8.0	0	2	2	2	1	3	3	3	2	551.0	1	2	387.0	6	400.0	1		3			3	1	1	" "	1	3	" "	1	5	" "	6			300	13	15			"76"	3	3.0
78.0	13	0	1	1	1	300		12.0	0	5	3	2	4	1	1	1		189.0	1	2	320.0	6	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			200	13	20			"78"	3	3.0
79.0	12	10	2	1	1	2000		2.0	0	1	1	2	1	1	3	1		1055.0	1	2	127.0	3	575.0	1		3			2	1	2	" "	2		" "	2		" "	1			250	12	20			"79"	3	3.0
80.0	16	40	1	1	1	2000		21.0	0	3	2	2	4	2	5	2	1	1476.0	1	2	256.0	5	120.0	1		3			3	1	4	" "	1	2	" "	2		" "	6			200	16	50			"80"	3	3.0
81.0	9	32	1	1	1	1000		15.0	0	2	5	2	4	1	3	2	1	279.0	1	3	500.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			300	9	39			"81"	3	3.0
82.0	17	15	2	1	1	1000		8.0	0	1	3	2	4	1	2	2	2	216.0	1	3	112.0	5	0.0	1		3			4	1	4	" "	1	5	" "	1	3	" "	6			220	17	21			"82"	3	3.0
83.0	14	20	1	1	1	1000		16.0	0	1	5	2	4	1	2	2	1	315.0	1	3	210.0	5	500.0	1		3			3	1	1	" "	1	2	" "	2		" "	1			200	14	45			"83"	3	3.0
84.0	15	44	2	1	1	500		1.0	0	2	4	2	4	1	1	2	1	180.0	2			5	0.0	4	70	3			1	1	2	" "	2		" "	2		" "	6			50	15	55			"84"	3	3.0
85.0	16	30	1	1	1	1000		20.0	2	1	4	2	4	1	2	2	1	288.0	1	2	218.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			150	16	44			"85"	3	3.0
86.0	10	55	2	1	1	1000		25.0	1	2	3	2	4	1	3	2	1	283.5	1	3	650.0	5	750.0	1		3			2	1	1	" "	1	6	" "	2		" "	6			200	11	6			"86"	3	3.0
87.0	15	2	2	1	1	600		20.0	4	2	2	2	4	1	1	2	1	108.0	1	3	122.0	5	300.0	1		3			1	1	2	" "	2		" "	2		" "	1			100	15	13			"87"	3	3.0
90.0	12	30	1	1	1	2500		30.0	0	1	4	2	4	1	3	2	1	468.0	1	3	320.0	5	20.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	1			300	12	42			"90"	3	3.0
91.0	17	45	5	1	1	500		3.0	1	2	3	2	4	1	2	3	2	216.0	2			5	0.0	4	150	3			0	2		" "	2		" "	2		" "	7				17	54			"91"	3	3.0
92.0	12	28	1	1	1	500		10.0	0	1	4	2	1	1	2	2	1	288.0	2			5	0.0	3	0	3			2	1	1	" "	1	2	" "	2		" "	6			150	12	43			"92"	3	3.0
93.1	11	49	1	1	1	1000		7.0	0	1	5	2	4	1	1	2	1	90.0	2			5	300.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			120	11	59			"93.1"	3	3.0
93.2	10	57	5	1	1	500		3.0	0	1	5	2	4	1	1	2	1	180.0	1	3	100.0	5	0.0	1		3			1	1	5	" "	2		" "	2		" "	1			120	11	4			"93.2"	3	3.0
94.0	13	48	1	1	1	1000		10.0	1	1	2	2	1	1	1	2	1	252.0	1	3	200.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	1			170	13	54			"94"	3	3.0
95.0	11	30	1	1	1	4000		9.0	0	1	1	2	1	1	3	2	1	405.0	1	3	902.0	3	600.0	1		3			3	1	1	" "	1	2	" "	2		" "	1			250	11	36			"95"	3	3.0
96.0	15	30	2	1	1	500		7.0	0	2	5	2	4	1	1	2	1	108.0	2			5	0.0	3	20	3			1	1	2	" "	2		" "	2		" "	1			160	15	43			"96"	3	3.0
97.0	14	53	1	1	1	1000		17.0	0	1	4	2	4	1	2	2	1	283.5	1	2	173.0	5	0.0	1		3			3	1	1	" "	1	4	" "	1	5	" "	1			250	14	59			"97"	3	3.0
99.0	14	20	1	1	1	2000		8.0	0	1	3	2	4	1	2	2	1	189.0	1	3	200.0	5	450.0	1		3			1	1	1	" "	2		" "	2		" "	1			240	14	25			"99"	3	3.0
100.1	11	40	6	1	1	1500		10.0	0	1	4	2	4	1	2	2	1	297.0	1	3	1100.0	5	400.0	1		3			4	1	6	" "	1	10	" "	1	1	" "	1			300	11	47			"100.1"	3	3.0
101.0	11	18	1	1	1	1000		9.0	0	3	2	2	4	1	3	1		441.0	2			5	0.0	3	0	3			3	1	1	" "	1	2	" "	1	3	" "	1			150	11	30			"101"	3	3.0
102.0	10	50	1	1	1	500		30.0	0	3	2	2	4	1	2	2	1	900.0	1	2	200.0	5	200.0	1		3			1	1	1	" "	2		" "	2		" "	6			100	11	0			"102"	3	3.0
103.0	14	50	1	1	1	1000		15.0	0	3	2	2	4	1	2	2	1	360.0	1	2	166.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			100	15	5			"103"	3	3.0
104.0	11	10	1	1	1	1000		20.0	0	2	2	2	4	1	3	2	1	486.0	1	2	120.0	1		1		3			2	1	1	" "	1	2	" "	2		" "	1			200	0				"104"	3	3.0
105.0	16	45	1	1	1	1500		25.0	0	1	2	2	4	1	5	2	1	810.0	1	3	249.0	1		1		3			3	1	1	" "	1	2	" "	1	4	" "	4			150	16	50			"105"	3	3.0
106.0	13	57	4	1	1	1000		26.0	2	1	2	2	4	1	3	2	1	669.37	1	2	78.0	5	300.0	1		3			1	1	4	" "	2		" "	2		" "	6			90	14	3			"106"	3	3.0
107.0	9	45	3	1	1	1000		30.0	0	2	2	2	4	1	2	2	1	810.0	1	2	100.0	3	500.0	1		3			2	1	3	" "	1	4	" "	2		" "	1			200	9	50			"107"	3	3.0
108.0	12	10	1	1	1	500		4.0	0	2	2	2	4	1	3	2	1	378.0	2			5	0.0	3	0	3			3	1	1	" "	1	2	" "	1	3	" "	1			170	12	17			"108"	3	3.0
109.0	11	37	1	1	1	2500		18.0	0	1	2	2	4	1	6	2	1	792.0	1	3	240.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	1			100	11	44			"109"	3	3.0
110.0	9	42	1	1	1	500		10.0	1	5	2	7	4	1	1	3	2	105.19	2			9	0.0	4	120	3			1	1	1	" "	1	2	" "	2		" "	1			200	9	49			"110"	3	3.0
111.0	15	49	1	1	1	500		40.0	3	2	2	2	4	1	2	2	1	504.0	1	2	210.0	3	500.0	1		3			1	1	3	" "	2		" "	2		" "	6			150	15	57			"111"	3	3.0
112.0	10	20	4	1	1	500		15.0	1	2	2	2	4	1	2	2	1	506.0	2			5	40.0	3	0	3			1	1	4	" "	2		" "	2		" "	6			50	10	27			"112"	3	3.0
113.0	12	42	1	1	1	5000		27.0	0	2	1	2	4	1	4	2	1	720.0	1	2	260.0	5	0.0	1		3			3	1	1	" "	1	2	" "	1	3	" "	1			300	12	50			"113"	3	3.0
114.0	13	2	4	1	1	1000		4.0	0	2	2	2	4	1	3	1		506.0	2			5	0.0	3	0	3			3	1	1	" "	1	2	" "	1	4	" "	1			200	13	18			"114"	3	3.0
116.0	13	26	4	1	1	1000		30.0	0	2	2	2	4	1	3	2	1	337.5	2			5	0.0	3	0	3			2	1	4	" "	1	5	" "	2		" "	1			110	13	34			"116"	3	3.0
117.0	14	20	1	1	1	5000		28.0	0	2	2	2	1	1	4	2	1	675.0	2			6	450.0	3	0	3			3	1	1	" "	1	2	" "	1	3	" "	1	4		1500	14	25			"117"	3	3.0
118.0	13	47	1	1	1	2000		40.0	2	2	2	2	4	1	4	2	1	421.0	2			5	350.0	3	0	3			2	1	1	" "	1	5	" "	2		" "	1			150	13	55			"118"	3	3.0
120.0	11	30	1	1	1	1000		10.0	0	3	2	2	4	1	2	1		384.0	2			5	200.0	3	0	3			2	1	1	" "	1	2	" "	2		" "	1			300	11	45			"120"	3	3.0
121.0	12	15	1	1	1	2000		45.0	0	2	3	2	1	1	3	2	1	576.0	1	2	120.0	5	0.0	1		3			2	1	1	" "	1	3	" "	2		" "	1			0					"121"	2	3.0
122.0	16	53	1	1	1	2000		24.0	0	2	3	2	4	1	2	2	1	360.0	1	2	110.0	5	0.0	1		3			3	1	1	" "	2		" "	2		" "	1			100	17	7			"122"	2	3.0
123.0	15	7	1	1	1	500		25.0	0	2	2	2	4	1	3	2	1	1125.0	1	2	78.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	1			50	15	15			"123"	2	3.0
124.0	14	30	3	1	1	1000		45.0	0	3	1	1	4	1	2	2	1	243.0	1	2	200.0	5	600.0	1		3			1	1	3	" "	2		" "	2		" "	6			50	14	45			"124"	2	3.0
126.0	10	48	1	1	1	1000		12.0	0	2	3	2	4	1	2	2	1	371.0	1	2	160.0	5	300.0	1		3			2	1	1	" "	1	4	" "	2		" "	1			100	10	56			"126"	2	3.0
127.0	15	28	1	1	1	1000		13.0	0	2	3	2	4	1	2	2	1	535.0	1	2	37.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			160	15	37			"127"	2	3.0
128.0	14	35	1	1	1	500		8.0	0	4	2	2	4	1	3	2	1	405.0	1	2	300.0	5	800.0	1		3			1	1	1	" "	2		" "	2		" "	6			50	14	50			"128"	2	3.0
129.0	19	27	1	1	1	2000		30.0	0	2	1	2	1	1	6	2	1	990.0	1	2	1662.0	5	0.0	1		3			3	1	1	" "	1	5	" "	1	6	" "	7			200	19	34			"129"	2	3.0
130.0	18	18	1	1	1	1000		15.0	2	3	2	2	4	1	1	2	1	420.0	2			5	500.0	4	50	3			1	1	1	" "	2		" "	2		" "	6			40	18	39			"130"	2	3.0
131.0	13	40	1	1	1	500		23.0	0	3	2	2	4	4	3	2	1	304.0	1	2	100.0	5	100.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			200	15	40			"131"	2	3.0
132.0	11	7	1	1	1	600		20.0	1	3	2	2	4	1	2	2	1	506.0	1	2	118.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			120	0				"132"	2	3.0
134.0	15	30	1	1	1	2000		40.0	2	3	2	2	4	1	3	2	1	607.5	1	2	98.0	5	150.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			140	15	42			"134"	2	3.0
135.0	13	33	1	1	2	400		120.0	0	4	2	2	4	1	2	2	1	124.0	2			5	600.0	4	100	3			1	1	1	" "	2		" "	2		" "	6			50	13	40			"135"	2	3.0
136.0	12	40	1	1	1	200		20.0	0	3	2	2	4	2	2	2	1	470.0	1	2	58.0	5	600.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			200	12	50			"136"	2	3.0
137.0	13	40	1	1	1	500		46.0	0	3	3	2	4	1	2	2	1	360.0	1	2	80.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			40	13	50			"137"	2	3.0
140.0	13	22	1	1	1	1000		40.0	0	2	1	1	1	1	2	2	1	630.0	2			5	800.0	4	115	3			1	1	1	" "	2		" "	2		" "	6			80	13	31			"140"	2	3.0
141.0	13	45	1	1	1	1500		8.0	0	3	5	2	4	1	2	3	2	182.25	2			6	35.0	3	0	3			1	1	1	" "	2		" "	2		" "	4			0	13	49			"141"	3	3.0
142.1	14	15	1	1	1	800		20.0	2	2	2	2	4	1	2	2	1	504.0	2			5	0.0	3	0	3			1	1	1	" "	2		" "	2		" "	1			125	14	24			"142.1"	3	3.0
142.2	15	7	5	1	1	1000		20.0	2	2	2	2	4	1	2	2	1	324.0	2			3	600.0	3	0	3			2	1	5	" "	1	6	" "	2		" "	1			180	15	17			"142.2"	3	3.0
143.0	12	47	1	1	1	2000		2.0	2	1	2	2	4	1	3	2	1	900.0	2			5	200.0	1		3			2	1	1	" "	1	3	" "	2		" "	6			200	12	51			"143"	3	3.0
144.0	11	30	1	1	2	200		8.0	2	1	2	2	4	1	1	3	2	108.0	2			6	0.0	3	0	3			2	1	1	" "	1	2	" "	2		" "	6			50	11	41			"144"	3	3.0
145.0	12	20	1	1	1	800		25.0	0	3	2	2	4	1	2	2	1	222.0	2			5	300.0	3	0	3			1	1	1	" "	2		" "	2		" "	1			100	12	40			"145"	3	3.0
146.0	14	36	1	1	1	1000		9.0	0	1	2	2	4	1	3	2	1	506.0	2			6	68.0	3	0	3			2	1	1	" "	1	4	" "	2		" "	6			200	14	40			"146"	3	3.0
