a01	stime_h_q	stime_m_q	res_id_q	consent_q	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_11b	q_11c	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20a_3	q_20b	q_20b_2	q_20b_3	q_20c	q_20c_2	q_20c_3	q_20d_1	q_20d_2	q_20d_3	q_21	etime_h_q	etime_m_q	flag_q_20b_3	flag_q_20c_3	hhid2	hh_type	round
3036.0	11	6	1	1	1	1000		10.0	0	2	4	2	4	1	3	1		378.0	1	2	186.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1	4		280	11	18			"3036"	3	3.0
3037.0	13	3	1	1	1	1000		15.0	6	3	4	2	4	1	2	1		198.0	1	2	150.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	1	4		80	14	15			"3037"	3	3.0
3038.0	13	46	1	1	1	1000		18.0	2	3	4	2	4	1	3	2	1	360.0	1	2	160.0	5	0.0	1		3			2	2		" "	1	3	" "	1	5	" "	1	4		100	13	59			"3038"	3	3.0
3039.0	13	50	1	1	1	1000		10.0	2	3	1	2	4	1	2	3	2	306.0	1	3	76.0	5	700.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			210	13	58			"3039"	3	3.0
3040.0	13	9	3	1	1	1000		25.0	1	2	4	2	4	1	2	2	1	360.0	1	3	70.0	5	300.0	1		3			3	1	3	" "	1	4	" "	1	1	" "	6			300	13	17			"3040"	3	3.0
3041.0	12	3	3	1	1	600		2.0	0	3	2	2	4	1	2	2	1	284.0	2			5	0.0	4	160	3			1	1	3	" "	2		" "	2		" "	6			200	11	23			"3041"	3	3.0
3042.0	14	11	2	1	2	1000		12.0	10	1	1	2	4	1	2	1		450.0	2			5	0.0	3	0	3			1	1	1	" "	2		" "	2		" "	6			100	14	18			"3042"	3	3.0
3043.0	15	50	3	1	1	1500		2.0	0	1	1	2	4	1	4	2	1	450.0	1	2	120.0	5	0.0	1		3			2	1	5	" "	1	6	" "	2		" "	6			200	15	59			"3043"	3	3.0
3044.0	12	19	1	1	1	500		4.0	3	2	5	2	4	1	1	2	2	220.0	2			9	0.0	4	150	3			2	1	1	" "	1	2	" "	2		" "	1			150	12	29			"3044"	3	3.0
3045.0	14	11	6	1	2	2000		15.0	1	2	2	2	4	2	3	2	1	468.0	1	2	150.0	5	0.0	1		3			1	1	1	" "	1	2	" "	1	3	" "	1			800	14	20			"3045"	3	3.0
