a01	j2a_01	j2a_02	j2a_03y	j2a_03m	j2a_04	j2a_04oth	j2a_05	j2a_06	j2a_09	j2a_09oth	j2a_10	j2a_10oth	etime_h_j	etime_m_j	hhid2	hh_type	round
107.0	1	2				" "				" "		" "	9	18	"107"	3	3.0
108.0	1	2				" "				" "		" "	10	53	"108"	3	3.0
109.0	1	2				" "				" "		" "	10	39	"109"	3	3.0
110.0	1	2				" "				" "		" "	9	2	"110"	3	3.0
111.0	1	2				" "				" "		" "	13	57	"111"	3	3.0
112.0	1	2				" "				" "		" "	8	44	"112"	3	3.0
113.0	1	2				" "				" "		" "	11	5	"113"	3	3.0
114.0	1	2				" "				" "		" "	11	22	"114"	3	3.0
116.0	1	2				" "				" "		" "	13	19	"116"	3	3.0
117.0	1	2				" "				" "		" "	12	34	"117"	3	3.0
118.0	1	2				" "				" "		" "	11	50	"118"	3	3.0
120.0	1	2				" "				" "		" "	10	55	"120"	3	3.0
121.0	2					" "				" "		" "	10	50	"121"	2	3.0
122.0	1	2				" "				" "		" "	14	3	"122"	2	3.0
123.0	1	2				" "				" "		" "	13	30	"123"	2	3.0
124.0	1	2				" "				" "		" "	12	30	"124"	2	3.0
126.0	1	1	2016	5	12	" "	2	2	3	" "		" "	12	4	"126"	2	3.0
127.0	1	2				" "				" "		" "	3	10	"127"	2	3.0
128.0	1	2				" "				" "		" "	12	30	"128"	2	3.0
129.0	1	2				" "				" "		" "	15	25	"129"	2	3.0
130.0	1	1	2014	5	2	" "	2	3		" "	6	"CARD TI HARIYE GIYECHE"	16	18	"130"	2	3.0
131.0	1	2				" "				" "		" "	13	25	"131"	2	3.0
132.0	1	2				" "				" "		" "	10	29	"132"	2	3.0
134.0	1	1	2008	4	2	" "	1	2	3	" "		" "			"134"	2	3.0
135.0	1	2				" "				" "		" "	12	0	"135"	2	3.0
136.0	1	2				" "				" "		" "	0		"136"	2	3.0
137.0	1	1	2008	2	2	" "	2	1		" "		" "	12	0	"137"	2	3.0
140.0	1	2				" "				" "		" "	12	20	"140"	2	3.0
141.0	1	2				" "				" "		" "	10	35	"141"	3	3.0
142.1	1	2				" "				" "		" "	13	8	"142.1"	3	3.0
142.2	1	2				" "				" "		" "	13	26	"142.2"	3	3.0
143.0	1	2				" "				" "		" "	11	54	"143"	3	3.0
144.0	1	2				" "				" "		" "	10	24	"144"	3	3.0
145.0	2					" "				" "		" "	11	15	"145"	3	3.0
