a01	stime_h_z12	stime_m_z12	res_id_z12	consent_z12	z_1	z_2	z1_01	z1_02	z1_02oth	z1_03	z1_03oth	z1_04	z1_05	z1_06	z1_06oth	z1_07	z1_08	z1_08oth	z1_09	z1_09oth	z1_10	z1_11	z1_11oth	z1_12	z1_13	z1_13oth	z1_14	z1_14oth	z1_15a	z1_15aoth	z1_15b	z1_15both	z1_15c	z1_15coth	z1_15d	z1_15doth	z1_15e	z1_15eoth	z1_16a	z1_16b	z1_16c	z1_16d	flag	hhid2	hh_type	round
1726.0	11.0	31.0	1.0	1.0	1.0	2.0	2.0	7.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	2.0	" "	3.0	" "	2.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1726"	2.0	3.0
1727.0	10.0	32.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1727"	2.0	3.0
1728.0	16.0	18.0	3.0	1.0	3.0	3.0	2.0	5.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	1.0	" "	3.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1728"	2.0	3.0
1729.1	16.0	22.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	2.0	" "	1.0	" "	3.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1729.1"	2.0	3.0
1729.2	10.0	59.0	5.0	1.0	5.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	4.0	"NATI CHALE"	1.0	" "	1.0	" "	4.0	"NATI CHALE"	1.0	" "	1.0	1.0	1.0	1.0		"1729.2"	2.0	3.0
1730.0	12.0	50.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	1.0	" "		" "	1.0	3.0	" "	1.0	3.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	2.0	1.0	1.0		"1730"	2.0	3.0
1731.0	12.0	52.0	4.0	1.0	4.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1731"	2.0	3.0
1732.0	13.0	29.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	4.0	"CHALE"	4.0	"CHALE"	4.0	"CHALE"	4.0	"CHALE"	4.0	"CHALE"	9.0	" "	4.0	"CHALE"	1.0	1.0	1.0	1.0		"1732"	2.0	3.0
1733.0	8.0	15.0	1.0	1.0	1.0	3.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1733"	2.0	3.0
1735.0	10.0	23.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"1735"	2.0	3.0
1736.0	13.0	26.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1736"	2.0	3.0
1737.0	15.0	52.0	1.0	1.0	1.0	3.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	3.0	" "	1.0	" "	1.0	" "	4.0	"cheley/cheley bou"	1.0	1.0	1.0	1.0		"1737"	2.0	3.0
1738.0	9.0	48.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	2.0	" "	1.0	3.0	" "	3.0	" "	4.0	"cheley"	3.0	" "	3.0	" "	3.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"1738"	2.0	3.0
1739.1	15.0	30.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	1.0	3.0	" "		" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1739.1"	2.0	3.0
1739.2	0.0			1.0	5.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	2.0	" "	2.0	" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1739.2"	2.0	3.0
1740.0	12.0	7.0	1.0	1.0	1.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1740"	2.0	3.0
1741.0	14.0	2.0	1.0	1.0	1.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1741"	3.0	3.0
1742.0	0.0			1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	2.0	" "	2.0	2.0	2.0	2.0		"1742"	3.0	3.0
1743.1	12.0	40.0	9.0	1.0	9.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	4.0	"SHUSHUR SHASHURI"	4.0	"SHUSHUR SHASHURI"	4.0	"SHUSHUR SHASHURI"	4.0	"SHUSHUR SHASHURI"	4.0	"SHUSHUR SHASHURI"	4.0	"SHUSHUR SHASHURI"	4.0	"SHUSHUR SHASHURI"	2.0	1.0	2.0	1.0		"1743.1"	3.0	3.0
1743.2	13.0	2.0	7.0	1.0	7.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1743.2"	3.0	3.0
1745.0	11.0	45.0	2.0	1.0	2.0	3.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"1745"	3.0	3.0
1746.0	13.0	12.0	1.0	1.0	1.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	4.0	" "	4.0	" "	4.0	" "	9.0	" "	4.0	" "	2.0	1.0	1.0	2.0		"1746"	3.0	3.0
1749.1	12.0	11.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	1.0	4.0	"CHELE"	2.0		" "		" "	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	9.0	" "	4.0	"CHELE"	1.0	1.0	1.0	1.0		"1749.1"	3.0	3.0
1749.2	9.0	43.0	4.0	1.0	4.0	3.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1749.2"	3.0	3.0
1750.0	11.0	42.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	4.0	"NATI"	4.0	"NATI"	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1750"	3.0	3.0
1751.0	13.0	15.0	1.0	1.0	1.0	2.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1751"	3.0	3.0
1752.0	14.0	5.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	2.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1752"	3.0	3.0
1753.0	13.0	2.0	1.0	1.0	1.0	3.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1753"	3.0	3.0
1754.0	13.0	26.0	1.0	1.0	1.0	6.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1754"	3.0	3.0
1755.0	13.0	26.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1755"	3.0	3.0
1756.0	14.0	55.0	1.0	1.0	1.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	2.0	1.0		"1756"	3.0	3.0
1757.0	16.0	11.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1757"	3.0	3.0
1759.0	12.0	7.0	1.0	1.0	1.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1759"	3.0	3.0
1760.0	12.0	21.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	2.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1760"	3.0	3.0
1761.0	11.0	41.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"1761"	3.0	3.0
1762.0	13.0	15.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	2.0		" "		" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1762"	3.0	3.0
1763.0	16.0	31.0	1.0	1.0	1.0	3.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1763"	3.0	3.0
1764.0	12.0	4.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	2.0	2.0	1.0		"1764"	3.0	3.0
1765.0	11.0	47.0	2.0	1.0	2.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	2.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1765"	3.0	3.0
1766.0	12.0	8.0	1.0	1.0	1.0	2.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	2.0	3.0	" "	1.0	4.0	"VAI"	4.0	"VAI"	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1766"	3.0	3.0
1767.0	13.0	28.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"1767"	3.0	3.0
1769.0	13.0	16.0	1.0	1.0	1.0	5.0	1.0		" "		" "		2.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1769"	3.0	3.0
1770.0	13.0	23.0	1.0	1.0	1.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	9.0	" "	4.0	"CHELE"	2.0	1.0	1.0	2.0		"1770"	3.0	3.0
1771.0	12.0	22.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	2.0		"1771"	3.0	3.0
1772.0	15.0	40.0	2.0	1.0	2.0	5.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1772"	3.0	3.0
1773.0	12.0	52.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	1.0	" "	1.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	2.0	2.0	2.0		"1773"	3.0	3.0
1774.0	12.0	4.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"1774"	3.0	3.0
1775.11	0.0		19.0	1.0	19.0	3.0	2.0	3.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1775.1.1"	3.0	3.0
1775.12	15.0	25.0	2.0	1.0	2.0	2.0	2.0	6.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	4.0	"CHELER BOU"	4.0	"CHELER BOU"	4.0	"CHELER BOU"	9.0	" "	4.0	"CHELER BOU"	1.0	2.0	2.0	2.0		"1775.1.2"	3.0	3.0
1775.2	13.0	52.0	4.0	1.0	4.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	2.0		"1775.2"	3.0	3.0
1775.3	13.0	25.0	9.0	1.0	9.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"1775.3"	3.0	3.0
1776.0	13.0	25.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1776"	3.0	3.0
1777.0	11.0	56.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1777"	3.0	3.0
1778.0	12.0	2.0	5.0	1.0	5.0	4.0	2.0	5.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	9.0	" "	4.0	"CHELE"	1.0	1.0	1.0	1.0		"1778"	3.0	3.0
1779.0	11.0	31.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1779"	3.0	3.0
1780.0	15.0	47.0	1.0	1.0	1.0	5.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1780"	3.0	3.0
1781.0	12.0	7.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	2.0	1.0	2.0		"1781"	3.0	3.0
1782.0	13.0	27.0	2.0	1.0	2.0	2.0	2.0	1.0	" "	3.0	" "	2.0			" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"1782"	3.0	3.0
1783.0	12.0	23.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1783"	3.0	3.0
1784.0	16.0	56.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1784"	3.0	3.0
1786.0	14.0	20.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	2.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	2.0	2.0	2.0		"1786"	3.0	3.0
1787.0	12.0	26.0	2.0	1.0	2.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1787"	3.0	3.0
1788.0	13.0	4.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	1.0	1.0		"1788"	3.0	3.0
1789.0	14.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1789"	3.0	3.0
1790.0	11.0	35.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	1.0	" "	3.0	" "	1.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1790"	3.0	3.0
1791.1	13.0	30.0	2.0	1.0	2.0	2.0	2.0	1.0	" "	3.0	" "	2.0			" "			" "		" "			" "	1.0	2.0	" "	3.0	" "	2.0	" "	3.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	2.0	1.0	2.0		"1791.1"	3.0	3.0
1791.2	17.0	22.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1791.2"	3.0	3.0
1791.3	15.0	14.0	10.0	1.0	10.0	2.0	1.0		" "		" "		3.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	2.0	1.0	1.0	2.0		"1791.3"	3.0	3.0
1793.0	13.0	33.0	2.0	1.0	2.0	2.0	2.0	1.0	" "	3.0	" "	2.0			" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1793"	3.0	3.0
1795.0	12.0	56.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	2.0	2.0	2.0		"1795"	3.0	3.0
1796.0	12.0	2.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1796"	3.0	3.0
1797.1	11.0	27.0	5.0	1.0	5.0	3.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"1797.1"	3.0	3.0
1797.2	12.0	30.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	9.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1797.2"	3.0	3.0
1798.0	11.0	55.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1798"	3.0	3.0
1799.0	12.0	2.0	1.0	1.0	1.0	4.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1799"	3.0	3.0
1800.0	14.0	24.0	1.0	1.0	1.0	2.0	2.0	1.0	" "	3.0	" "	2.0			" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1800"	3.0	3.0
1801.0	12.0	20.0	2.0	1.0	2.0	2.0	2.0	3.0	" "		" "				" "			" "		" "			" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1801"	3.0	3.0
1802.0	11.0	1.0	1.0	1.0	1.0	4.0	2.0	5.0	" "		" "				" "			" "		" "			" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	9.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1802"	3.0	3.0
1803.1	14.0	48.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	3.0	" "	3.0	" "	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	4.0	"CHELE"	1.0	2.0	2.0	2.0		"1803.1"	3.0	3.0
1803.2	10.0	56.0	6.0	1.0	6.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1803.2"	3.0	3.0
1804.0	12.0	2.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	1.0	" "	1.0	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1804"	3.0	3.0
1805.0	13.0	42.0	8.0	1.0	8.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	1.0	4.0	"SHOSHUR"	4.0	"SHOSHUR"	4.0	"SHOSHUR"	4.0	"SHOSHUR"	4.0	"SHOSHUR"	4.0	"SHOSHUR"	4.0	"SHOSHUR"	2.0	2.0	2.0	2.0		"1805"	3.0	3.0
1806.0	12.0	56.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	2.0	1.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	2.0	" "	1.0	1.0	1.0	1.0		"1806"	3.0	3.0
1807.0	11.0	18.0	1.0	1.0	1.0	4.0	1.0		" "		" "		3.0	1.0	" "	2.0		" "	1.0	" "	3.0	1.0	" "	2.0		" "		" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	" "	1.0	1.0	1.0	1.0		"1807"	3.0	3.0
1808.1	15.0	5.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	4.0	"CHELE"	4.0	"CHELE"	2.0	" "	3.0	" "	1.0	" "	9.0	" "	3.0	" "	2.0	1.0	1.0	1.0		"1808.1"	3.0	3.0
1808.2	14.0	3.0	5.0	1.0	5.0	2.0	1.0		" "		" "		1.0	1.0	" "	2.0		" "	2.0	" "	1.0	3.0	" "	1.0	3.0	" "	3.0	" "	2.0	" "	2.0	" "	2.0	" "	9.0	" "	1.0	" "	2.0	2.0	2.0	2.0		"1808.2"	3.0	3.0
1809.0	11.0	35.0	6.0	1.0	6.0	2.0	2.0	1.0	" "	3.0	" "	2.0			" "			" "		" "			" "	2.0		" "		" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	3.0	" "	1.0	1.0	1.0	1.0		"1809"	3.0	3.0
1810.0	14.0	44.0	2.0	1.0	2.0	2.0	1.0		" "		" "		1.0	3.0	" "	2.0		" "	2.0	" "	3.0	3.0	" "	2.0		" "		" "	4.0	"DEBOR"	4.0	"DEBOR"	4.0	"DEBOR"	4.0	"DEBOR"	4.0	"DEBOR"	1.0	1.0	1.0	1.0		"1810"	3.0	3.0
