a01	stime_h_b2	stime_m_b2	res_id_b2	consent_b2	mid_b2	b2_01	b2_02	b2_02oth	b2_03	b2_04	b2_05	b2_05oth	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	b2_14oth	etime_h_b2	etime_m_b2	hhid2	flag_b2	hh_type	round
73.0			1	1	5	1		" "	2016	1	1	" "	1.0	10.0	1	1	1	0	1	300	5	3	2	5		9999		" "			"73"		3	3.0
73.0			1	1	6	1		" "	2009	1	1	" "	2.0	20.0	2	2								5		2017	9	" "			"73"		3	3.0
74.0	9	10	1	1	4	1		" "	2012	66	10	" "	200.0	540.0	1	1	2	200	2		1	77	1	1		9999		" "	9	16	"74"		3	3.0
75.0	9	22	2	1	3	1		" "	2005	1	9	" "	3.0	30.0	1	1	1	0	1	500	9	14	2	8	9	9999		" "	9	33	"75"		3	3.0
75.0			2	1	4	1		" "	2011	1	1	" "	1.0	15.0	2	2								5		2016	9	" "			"75"		3	3.0
75.0			2	1	5	1		" "	2018	1	1	" "	0.5	8.0	2	1	1	0	2		1	1	9					" "			"75"		3	3.0
76.0	9	58	1	1	3	1		" "	2003	1	2	" "	1.0	15.0	2	2								1		2008	3	" "	10	10	"76"		3	3.0
76.0			1	1	5	1		" "	2009	1	2	" "	1.0	15.0	2	2								5		2015	3	" "			"76"		3	3.0
76.0			1	1	7	1		" "	2010	1	2	" "	1.0	15.0	2	2								5		2016	21	" "			"76"		3	3.0
78.0	9	30	2	1	3	1		" "	2015	1	1	" "	1.0	10.0	1	1	1	0	1	400	5	4	2	5		9999		" "	9	40	"78"		3	3.0
78.0			2	1	4	1		" "	2017	66	1	" "	1.0	10.0	1	1	1	0	1	200	5	1	2	5		9999		" "			"78"		3	3.0
79.0	9	10	2	1	3	1		" "	2016	66	1	" "	0.25	5.0	1	1	1	0	1	300	2	2	2	2		9999		" "	9	15	"79"		3	3.0
80.0	9	20	1	1	4	1		" "	2006	1	9	" "	1.0	8.0	1	1	1	40	1	500	1	13	2	1		9999		" "	9	30	"80"		3	3.0
80.0			1	1	6	1		" "	2005	1	2	" "	1.0	8.0	2	2								1		2014	21	" "			"80"		3	3.0
81.0	8	30	1	1	3	1		" "	2014	66	1	" "	0.25	2.0	1	1	1	0	1	400	5	4	2	5		9999		" "	8	34	"81"		3	3.0
81.0			1	1	6	1		" "	2016	66	1	" "	0.25	2.0	1	1	1	0	1	300	5	2	2	5		9999		" "			"81"		3	3.0
82.0	14	10	2	1	3	1		" "	2008	1	1	" "	2.0	20.0	2	2								8		2016	10	" "	14	18	"82"		3	3.0
82.0			2	1	4	1		" "	2007	1	1	" "	0.1	1.0	2	2								1		2010	11	" "			"82"		3	3.0
82.0			2	1	5	1		" "	2010	1	1	" "	0.1	1.0	2	2								5		2016	10	" "			"82"		3	3.0
82.0			2	1	6	1		" "	2017	66	1	" "	0.1	1.0	1	1	1	0	2		5	1	2	1		9999		" "			"82"		3	3.0
83.0	8	40	1	1	4	1		" "	2011	1	7	" "	3.0	12.0	1	1	2	0	1	500	1	7	2	1		9999		" "	8	59	"83"		3	3.0
83.0			1	1	5	1		" "	2012	1	7	" "	3.0	12.0	1	1	2	0	1	400	1	4	2	1		9999		" "			"83"		3	3.0
83.0			1	1	6	1		" "	2015	66	1	" "	0.5	5.0	1	1	1	0	2		5	3	2	5		9999		" "			"83"		3	3.0
83.0			1	1	7	2	1	" "				" "																" "			"83"		3	3.0
83.0			1	1	8	1		" "	2012	1	7	" "	3.0	12.0	1	1	2	0	2		1	7	2	1		9999		" "			"83"		3	3.0
83.0			1	1	9	1		" "	2017	66	1	" "	0.5	5.0	1	1	1	0	2		6	1	2	6		9999		" "			"83"		3	3.0
84.0	13	20	2	1	4	1		" "	2011	66	1	" "	5.0	25.0	1	1	1	0	2		5	3	1	5		9999		" "	13	25	"84"		3	3.0
84.0			2	1	5	1		" "	2017	66	10	" "	1.0	10.0	1	1	2	0	2		1	1	2	1		9999		" "			"84"		3	3.0
85.0	11	2	1	1	3	1		" "	2014	1	1	" "	0.5	5.0	1	1	1	0	2		5	5	2	5		9999		" "	11	14	"85"		3	3.0
85.0			1	1	4	1		" "	2015	1	1	" "	0.5	5.0	1	1	1	0	1	500	5	4	2	5		9999		" "			"85"		3	3.0
86.0	7	45	2	1	3	1		" "	2011	66	7	" "	2.0	20.0	1	1	2	25	1	1000	1	7	2	1		9999		" "	7	58	"86"		3	3.0
86.0			2	1	4	1		" "	2012	66	7	" "	2.0	20.0	1	1	2	25	1	1000	1	6	2	1		9999		" "			"86"		3	3.0
86.0			2	1	5	1		" "	2016	66	1	" "	0.5	5.0	1	1	1	0	1	200	5	1	1	6		9999		" "			"86"		3	3.0
86.0			2	1	6			" "				" "																" "			" "	1	3	3.0
87.0	12	40	2	1	3	1		" "	2015	66	12	" "	0.5	7.0	1	1	2	120	1	150	1	1	1	6		9999		" "	12	44	"87"		3	3.0
90.0	8	36	1	1	3	1		" "	2006	66	9	" "	18.0	60.0	1	1	2	250	1	1800	1	12	2	8		9999		" "	8	45	"90"		3	3.0
90.0			1	1	5	1		" "	2008	66	2	" "	2.0	20.0	1	1	2	300	1	500	1	6	1	6		9999		" "			"90"		3	3.0
90.0			1	1	6	1		" "	2010	66	2	" "	2.0	20.0	1	1	2	250	1	1000	1	8	2	6		9999		" "			"90"		3	3.0
91.0	15	29	2	1	3	1		" "	2014	66	1	" "	0.5	5.0	1	1	1	0	1	100	5	3	1	5		9999		" "	15	34	"91"		3	3.0
91.0			2	1	4	1		" "	2016	66	1	" "	0.5	5.0	1	1	1	0	1	100	5	2	1	5		9999		" "			"91"		3	3.0
92.0	8	45	1	1	3	1		" "	2009	66	7	" "	3.0	15.0	1	1	2	25	1	500	1	9	1	5		9999		" "	8	55	"92"		3	3.0
92.0			1	1	4	1		" "	2010	66	7	" "	3.0	15.0	1	1	2	25	1	400	1	7	1	1		9999		" "			"92"		3	3.0
92.0			1	1	5	1		" "	2013	66	1	" "	0.5	5.0	1	1	1	0	2		5	5	2	5		9999		" "			"92"		3	3.0
93.1	0			1	99			" "				" "																" "	0		"93.1"		3	3.0
93.2	8	26	5	1	3	2	9	" "				" "																" "	8	29	"93.2"		3	3.0
93.2			5	1	5	2	9	" "				" "																" "			"93.2"		3	3.0
94.0	8	30	1	1	3	1		" "	2013	1	1	" "	2.0	20.0	1	1	1	0	1	500	1	6	2	5		9999		" "	8	36	"94"		3	3.0
94.0			1	1	4	1		" "	2016	1	1	" "	0.5	6.0	1	1	1	0	1	300	5	3	2	5		9999		" "			"94"		3	3.0
94.0			1	1	5	1		" "	2003	1	2	" "	1.0	10.0	2	2								5		2012	10	" "			"94"		3	3.0
95.0	8	24	1	1	3	1		" "	2012	66	1	" "	2.0	5.0	1	1	1	0	2		1	6	2	5		9999		" "	8	31	"95"		3	3.0
95.0			1	1	4	1		" "	2014	66	1	" "	2.0	5.0	1	1	1	0	2		1	4	2	1		9999		" "			"95"		3	3.0
95.0			1	1	6	1		" "	2016	66	1	" "	2.0	5.0	1	1	1	0	2		1	2	2	1		9999		" "			"95"		3	3.0
96.0	12	9	2	1	5	1		" "	2014	1	1	" "	0.5	5.0	1	1	1	0	2		6	3	1	5		9999		" "	12	14	"96"		3	3.0
97.0	8	40	1	1	4	1		" "	2007	1	7	" "	3.0	10.0	1	1	2	0	2		1	6	2	1		9999		" "	8	50	"97"		3	3.0
97.0			1	1	5	1		" "	2009	66	2	" "	3.0	10.0	1	1	2	250	1	500	1	7	1	6		9999		" "			"97"		3	3.0
99.0	8	25	1	1	3	1		" "	2012	1	2	" "	2.0	5.0	1	1	1	0	1	500	1	7	2	5		9999		" "	8	38	"99"		3	3.0
99.0			1	1	4	1		" "	2014	1	1	" "	0.5	5.0	1	1	1	0	1	500	6	5	1	5		9999		" "			"99"		3	3.0
99.0			1	1	5	1		" "	2013	1	2	" "	2.0	5.0	1	1	2	250	1	500	1	6	2	5		9999		" "			"99"		3	3.0
100.1	8	37	6	1	7	1		" "	2011	1	1	" "	2.0	20.0	1	1	1	0	1	500	1	8	2	5		9999		" "	8	41	"100.1"		3	3.0
100.1			6	1	10	1		" "	2004	1	1	" "	1.0	12.0	2	2								8		2012	21	" "			"100.1"		3	3.0
101.0	8	20	1	1	3	1		" "	2011	1	2	" "	1.0	15.0	1	1	2	0	1	500	1	8	2	1		9999		" "	8	23	"101"		3	3.0
101.0			1	1	4	2	1	" "				" "																" "			"101"		3	3.0
102.0	8	15	1	1	3	1		" "	2012	77	10	" "	2.0	15.0	1	1	2	600	2		1	6	2	1		9999		" "	8	20	"102"		3	3.0
102.0			1	1	4	1		" "	2015	77	10	" "	6.0	60.0	1	1	2	600	2		1	3	2	1		9999		" "			"102"		3	3.0
103.0	8	1	1	1	3	1		" "	2008	66	2	" "	6.0	30.0	1	1	2	0	1	500	1	10	2	5		9999		" "	8	17	"103"		3	3.0
103.0			1	1	4	1		" "	2017	66	10	" "	0.25	10.0	1	1	2	200	2		1	1	2	1		9999		" "			"103"		3	3.0
104.0	8	30	1	1	3	1		" "	2012	66	2	" "	1.0	10.0	1	1	2	500	1	600	1	6	2	5		9999		" "	8	5	"104"		3	3.0
105.0	18	0	1	1	4	1		" "	2008	66	1	" "	1.0	6.0	1	1	2	0	1	500	1	10	2	5		9999		" "	18	5	"105"		3	3.0
106.0	14	46	4	1	3	1		" "	2013	66	2	" "	1.0	10.0	1	1	2	0	1	300	1	5	2	1		9999		" "	14	49	"106"		3	3.0
107.0	7	20	3	1	3	1		" "	1999	1	9	" "	0.2	5.0	1	1	1	0	2		1	17	2	1		9999		" "	7	25	"107"		3	3.0
107.0			3	1	4	1		" "	2005	1	9	" "	4.0	40.0	1	1	1	0	1	4000	1	12	2	1		9999		" "			"107"		3	3.0
