a01	stime_h_b	stime_m_b	res_id_b	consent_b	mid	mem_stat	b1_01	b1_02	b1_15a	b1_15b	b1_15c	b1_16	b1_16oth	b1_03	b1_04	b1_04a	b1_04b	b1_14	b1_05	b1_06	b1_06oth	b1_07	b1_08	b1_08oth	b1_08a	b1_09	b1_10	b1_11	b1_12	b1_13a	b1_13aoth	b1_13b	b1_13both	b1_10_r3	b1_11_r3	b1_12_r3	b1_13a_r3	b1_13b_r3	etime_h_b	etime_m_b	hhid2	flag_b1	hh_type	round
1.0	9	12	1	1	1	0	1	60				2	" "	1	2	20	25	1	2		" "	1	99	" "			64	1	1	10	" "	5	" "	64	1	1	10	5	9	22	"1"	1	3	3.0
1.0			1	1	2	0	2	53				2	" "	2	2	13	18	1	2		" "	2	99	" "			82			7	" "		" "	69	1	1	7				"1"	1	3	3.0
1.0			1	1	3	11							" "								" "			" "							" "		" "								"1"	3	3	3.0
1.0			1	1	4	0	1	21				2	" "	3	1			1	2		" "	4	12	" "	1	1	81			18	" "		" "	81			18				"1"	1	3	3.0
2.0	13	49	1	1	1	0	1	54				2	" "	1	2	20	24	1	2		" "	1	99	" "			65	1	1	5	" "	4	" "	65	1	1	5	4	13	54	"2"	1	3	3.0
2.0			1	1	2	0	2	49				2	" "	2	2	14	18	1	2		" "	4	5	" "	1	2	82			18	" "		" "	82			18				"2"	1	3	3.0
2.0			1	1	3	0	1	25				1	" "	3	1			1	2		" "	4	14	" "	5	1	81			18	" "		" "	81			18				"2"	1	3	3.0
2.0			1	1	4	5	1	12				1	" "	5	1			1	2		" "	4	5	" "	1	1	81			17	"GRIHO TEACHER"		" "	81			17				"2"	1	3	3.0
3.1	8	55	1	1	1	0	1	52				6	" "	1	2	21	23	1	2		" "	4	8	" "	1	2	52	1	3	12	" "		" "	52	1	3	12		8	58	"3.1"	1	3	3.0
3.1			1	1	2	0	2	45				6	" "	2	2	14	16	1	2		" "	4	3	" "	1	2	82			7	" "		" "	69	1	1	7				"3.1"	1	3	3.0
3.1			1	1	3	10							" "								" "			" "							" "		" "								"3.1"	3	3	3.0
3.1			1	1	4	10							" "								" "			" "							" "		" "								"3.1"	3	3	3.0
3.2	9	33	3	1	1	10							" "								" "			" "							" "		" "						9	37	"3.2"	3	3	3.0
3.2			3	1	2	10							" "								" "			" "							" "		" "								"3.2"	3	3	3.0
3.2			3	1	3	0	1	27				2	" "	1	2	20	22	1	2		" "	4	4	" "	1	2	1	1	1	1	" "	7	" "	1	1	1	1	7			"3.2"	1	3	3.0
3.2			3	1	4	0	2	25				1	" "	2	2	18	20	1	2		" "	4	9	" "	1	2	82			7	" "		" "	82			7				"3.2"	1	3	3.0
3.2			3	1	5	1	2	4				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"3.2"	1	3	3.0
4.0	9	15	2	1	1	0	1	37				2	" "	7	1			1	2		" "	1	99	" "			64	1	1	5	" "	4	" "	64	1	1	5	4	9	20	"4"	1	3	3.0
4.0			2	1	2	0	1	35				2	" "	1	2	30	31	1	2		" "	1	99	" "			64	1	1	5	" "	4	" "	64	1	1	5	4			"4"	1	3	3.0
4.0			2	1	3	5	1	29				2	" "	7	1			1	2		" "	4	12	" "	1	2	86			18	" "		" "	86			18				"4"	1	3	3.0
4.0			2	1	4	7							" "								" "			" "							" "		" "								"4"	3	3	3.0
4.0			2	1	5	0	2	24				2	" "	2	2	19	20	1	2		" "	4	7	" "	8	2	82			7	" "		" "	69	1	1	7				"4"	1	3	3.0
4.0			2	1	6	1	2	3				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"4"	1	3	3.0
5.0	8	53	1	1	1	0	1	60				2	" "	1	2	24	28	1	2		" "	4	14	" "	1	2	68	1	1	5	" "	4	" "	68	1	1	5	4	8	59	"5"	1	3	3.0
5.0			1	1	2	0	2	52				2	" "	2	2	16	20	1	2		" "	4	9	" "	1	2	82			7	" "		" "	82			7				"5"	1	3	3.0
5.0			1	1	3	0	2	24				1	" "	3	2	24	20	1	2		" "	4	12	" "	8	1	81			18	" "		" "	81			18				"5"	1	3	3.0
5.0			1	1	4	0	1	23				1	" "	3	1			1	2		" "	4	12	" "	1	1	81			18	" "		" "	81			18				"5"	1	3	3.0
6.0	9	15	1	1	1	0	1	49				2	" "	1	2	30	32	1	2		" "	2	99	" "			2	2	1	2	" "	8	" "	2	2	1	2	8	9	20	"6"	1	3	3.0
6.0			1	1	2	0	2	32				2	" "	2	2	15	15	1	2		" "	4	4	" "	1	2	82			3	" "	7	" "	21	1	1	3	7			"6"	1	3	3.0
6.0			1	1	3	0	1	17				1	" "	3	1			1	2		" "	4	7	" "	8	1	81			18	" "		" "	81			18				"6"	1	3	3.0
6.0			1	1	4	0	1	14				1	" "	3	1			1	2		" "	4	6	" "	5	2	86			18	" "		" "	86			18				"6"	1	3	3.0
6.0			1	1	5	0	1	7				1	" "	3	1			1	2		" "	4	0	" "	5	1	81			18	" "		" "	81			18				"6"	1	3	3.0
6.0			1	1	6	0	1	14				1	" "	3	1			1	2		" "	4	6	" "	5	1	81			19	" "		" "	81			19				"6"	1	3	3.0
7.0	9	26	1	1	1	0	1	40				2	" "	1	2	31	32	1	2		" "	4	10	" "	1	2	68	1	1	5	" "	9	" "	68	1	1	5	9	9	42	"7"	1	3	3.0
7.0			1	1	2	0	2	28				2	" "	2	2	19	20	1	2		" "	4	12	" "	8	2	82			7	" "		" "	69	1	1	7				"7"	1	3	3.0
7.0			1	1	3	0	1	7				1	" "	3	1			1	2		" "	4	66	" "	1	1	81			18	" "		" "	81			18				"7"	1	3	3.0
7.0			1	1	4	12							" "								" "			" "							" "		" "								"7"	3	3	3.0
7.0			1	1	5	1	1	2				2	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"7"	1	3	3.0
7.0			1	1	6	5	1	60				6	" "	15	2	25	28	1	2		" "	4	5	" "	1	2	82			18	" "		" "	82			18				"7"	1	3	3.0
8.0	9	29	1	1	1	0	1	67				2	" "	1	2	30	33	1	2		" "	4	10	" "	1	2	68	1	1	9	" "	5	" "	68	1	1	9	5	9	37	"8"	1	3	3.0
8.0			1	1	2	0	2	55				2	" "	2	2	18	21	1	2		" "	4	12	" "	1	2	82			15	" "	7	" "	69	1	1	15	7			"8"	1	3	3.0
8.0			1	1	3	0	2	16				4	" "	3	1			1	2		" "	4	9	" "	1	1	81			18	" "		" "	81			18				"8"	1	3	3.0
8.0			1	1	4	0	2	57				2	" "	11	1			1	2		" "	1	99	" "			82			18	" "		" "	82			18				"8"	1	3	3.0
9.0	15	59	1	1	1	0	1	47				2	" "	1	2	27	29	1	2		" "	4	8	" "	1	2	65	1	1	4	" "	1	" "	65	1	1	4	1	16	10	"9"	1	3	3.0
9.0			1	1	2	0	2	37				2	" "	2	2	17	19	1	2		" "	4	8	" "	1	2	82			8	" "	7	" "	24	1	1	8	7			"9"	1	3	3.0
9.0			1	1	3	0	2	18				1	" "	3	1			1	2		" "	4	10	" "	5	1	81			18	" "		" "	81			18				"9"	1	3	3.0
9.0			1	1	4	0	1	12				1	" "	3	1			1	2		" "	4	5	" "	5	1	81			18	" "		" "	81			18				"9"	1	3	3.0
9.0			1	1	5	12							" "								" "			" "							" "		" "								"9"	3	3	3.0
10.1	14	38	3	1	1	0	1	85				2	" "	6	2	31	33	1	2		" "	1	99	" "			85			19	" "		" "	85			19		14	46	"10.1"	1	3	3.0
10.1			3	1	2	10							" "								" "			" "							" "		" "								"10.1"	3	3	3.0
10.1			3	1	3	0	1	46				2	" "	1	2	21	22	1	2		" "	4	10	" "	2	2	65	1	1	4	" "	1	" "	65	1	1	4	1			"10.1"	1	3	3.0
10.1			3	1	4	0	2	39				2	" "	2	2	14	15	1	2		" "	4	6	" "	2	2	82			7	" "		" "	69	1	1	7				"10.1"	1	3	3.0
10.1			3	1	5	8							" "								" "			" "							" "		" "								"10.1"	3	3	3.0
10.1			3	1	6	0	1	18				1	" "	3	1			1	2		" "	4	8	" "	1	1	81			19	" "		" "	81			19				"10.1"	1	3	3.0
10.1			3	1	7	0	1	10				1	" "	3	1			1	2		" "	4	2	" "	5	1	81			19	" "		" "	81			19				"10.1"	1	3	3.0
10.2	13	19	3	1	1	10							" "								" "			" "							" "		" "						13	25	"10.2"	3	3	3.0
10.2			3	1	2	0	2	67				6	" "	6	2	13	15	1	2		" "	1	99	" "			85			18	" "		" "	85			18				"10.2"	1	3	3.0
10.2			3	1	3	0	1	51				6	" "	1	2	20	22	1	2		" "	4	7	" "	1	2	64	1	1	4	" "	1	" "	64	1	1	4	1			"10.2"	1	3	3.0
10.2			3	1	4	0	2	46				6	" "	2	2	15	17	1	2		" "	2	3	" "	1	2	69	1	1	7	" "		" "	69	1	1	7				"10.2"	1	3	3.0
11.1	8	50	1	1	1	0	1	62				2	" "	1	2	28	30	1	2		" "	2	99	" "			1	1	1	1	" "	4	" "	1	1	1	1	4	8	59	"11.1"	1	3	3.0
11.1			1	1	2	0	2	47				2	" "	2	2	13	15	1	2		" "	1	99	" "			82			7	" "		" "	69	1	1	7				"11.1"	1	3	3.0
11.1			1	1	3	10							" "								" "			" "							" "		" "								"11.1"	3	3	3.0
11.1			1	1	4	10							" "								" "			" "							" "		" "								"11.1"	3	3	3.0
11.1			1	1	5	8							" "								" "			" "							" "		" "								"11.1"	3	3	3.0
11.1			1	1	6	10							" "								" "			" "							" "		" "								"11.1"	3	3	3.0
11.1			1	1	7	1	1	1				4	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"11.1"	1	3	3.0
11.2	13	58	4	1	1	10							" "								" "			" "							" "		" "						14	5	"11.2"	3	3	3.0
11.2			4	1	2	10							" "								" "			" "							" "		" "								"11.2"	3	3	3.0
11.2			4	1	3	10							" "								" "			" "							" "		" "								"11.2"	3	3	3.0
11.2			4	1	4	0	1	23				2	" "	1	2	20	22	1	2		" "	4	4	" "	1	2	7	1	2	2	" "		" "	7	1	2	2				"11.2"	1	3	3.0
11.2			4	1	5	8							" "								" "			" "							" "		" "								"11.2"	3	3	3.0
11.2			4	1	6	10							" "								" "			" "							" "		" "								"11.2"	3	3	3.0
11.2			4	1	7	2	2	20				2	" "	2	2	17	19	1	2		" "	4	9	" "	8	2	82			18	" "		" "	82			18				"11.2"	1	3	3.0
11.2			4	1	8	1	2	1				1	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"11.2"	1	3	3.0
11.3	9	10	3	1	1	10							" "								" "			" "							" "		" "						9	25	"11.3"	3	3	3.0
11.3			3	1	2	10							" "								" "			" "							" "		" "								"11.3"	3	3	3.0
11.3			3	1	3	0	1	32				5	" "	1	2	27	29	1	2		" "	4	4	" "	1	2	22	1	1	8	" "		" "	22	1	1	8				"11.3"	1	3	3.0
11.3			3	1	4	10							" "								" "			" "							" "		" "								"11.3"	3	3	3.0
11.3			3	1	5	10							" "								" "			" "							" "		" "								"11.3"	3	3	3.0
11.3			3	1	6	0	2	19				4	" "	2	2	14	16	1	2		" "	4	7	" "	8	2	82			18	" "		" "	82			18				"11.3"	1	3	3.0
11.3			3	1	7	1	1	3				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"11.3"	1	3	3.0
12.0	9	44	1	1	1	0	1	41				2	" "	1	2	31	32	1	2		" "	4	6	" "	1	2	1	2	3	1	" "	4	" "	1	2	3	1	4	9	58	"12"	1	3	3.0
12.0			1	1	2	0	2	28				2	" "	2	2	18	19	1	2		" "	4	9	" "	8	2	82			7	" "		" "	82			7				"12"	1	3	3.0
12.0			1	1	3	0	2	9				1	" "	3	1			1	2		" "	4	4	" "	5	1	81			19	" "		" "	81			19				"12"	1	3	3.0
12.0			1	1	4	0	2	59				2	" "	6	3	16	18	1	2		" "	2	99	" "			82			19	" "		" "	82			19				"12"	1	3	3.0
12.0			1	1	5	0	1	4				1	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"12"	1	3	3.0
13.0	9	32	1	1	1	0	1	42				2	" "	1	2	23	28	1	2		" "	4	5	" "	1	2	1	1	1	1	" "	7	" "	1	1	1	1	7	9	41	"13"	1	3	3.0
13.0			1	1	2	0	2	32				2	" "	2	2	13	18	1	2		" "	4	5	" "	1	2	82			8	" "	7	" "	24	1	1	8	7			"13"	1	3	3.0
13.0			1	1	3	0	2	14				1	" "	3	1			1	2		" "	4	7	" "	1	1	81			18	" "		" "	81			18				"13"	1	3	3.0
13.0			1	1	4	0	2	8				4	" "	3	1			1	2		" "	4	1	" "	5	1	81			19	" "		" "	81			19				"13"	1	3	3.0
13.0			1	1	5	0	2	77				4	" "	6	3	14	16	1	2		" "	1	99	" "			82			19	" "		" "	82			19				"13"	1	3	3.0
14.0	9	44	1	1	1	0	1	77				2	" "	1	2	23	25	1	2		" "	2	0	" "	1	2	83			9	" "	19	" "	83			9	19	10	9	"14"	1	3	3.0
14.0			1	1	2	0	2	67				2	" "	2	2	13	15	1	2		" "	2	0	" "	1	2	82			7	" "		" "	70	1	1	7				"14"	1	3	3.0
14.0			1	1	3	7							" "								" "			" "							" "		" "								"14"	3	3	3.0
14.0			1	1	4	0	2	39				2	" "	4	3	18	20	1	2		" "	4	10	" "	1	2	82			7	" "		" "	82			7				"14"	1	3	3.0
14.0			1	1	5	0	2	19				2	" "	5	1			1	2		" "	4	10	" "	1	1	81			18	" "		" "	81			18				"14"	1	3	3.0
14.0			1	1	6	0	1	14				1	" "	5	1			1	2		" "	4	6	" "	5	1	81			18	" "		" "	81			18				"14"	1	3	3.0
14.0			1	1	7	0	1	45				2	" "	3	2	33	36	1	2		" "	4	10	" "	1	2	68	1	1	4	" "	5	" "	68	1	1	4	5			"14"	1	3	3.0
14.0			1	1	8	0	2	32				2	" "	4	2	20	23	1	2		" "	4	16	" "	9	2	82			7	" "		" "	82			7				"14"	1	3	3.0
14.0			1	1	9	0	2	9				1	" "	5	1			1	2		" "	4	1	" "	1	1	81			18	" "		" "	81			18				"14"	1	3	3.0
14.0			1	1	10	11							" "								" "			" "							" "		" "								"14"	3	3	3.0
14.0			1	1	11	0	2	24				2	" "	4	2	17	23	1	2		" "	4	74	" "	9	2	82			16	" "		" "	82			16				"14"	1	3	3.0
14.0			1	1	12	1	1	1				1	" "	5	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"14"	1	3	3.0
15.0	9	23	1	1	1	0	1	53				2	" "	1	2	26	29	1	2		" "	2	99	" "			1	2	1	1	" "	5	" "	1	2	1	1	5	9	33	"15"	1	3	3.0
15.0			1	1	2	0	2	43				2	" "	2	2	16	19	1	2		" "	4	8	" "	1	2	82			7	" "		" "	69	1	1	7				"15"	1	3	3.0
15.0			1	1	3	0	1	18				1	" "	3	1			1	2		" "	4	12	" "	1	1	81			18	" "		" "	81			18				"15"	1	3	3.0
15.0			1	1	4	12							" "								" "			" "							" "		" "								"15"	3	3	3.0
16.1	9	19	1	1	1	0	1	49				2	" "	1	2	31	32	1	2		" "	4	14	" "	1	2	51	1	1	12	" "	4	" "	51	1	1	12	4	9	38	"16.1"	1	3	3.0
16.1			1	1	2	0	2	37				2	" "	2	2	19	20	1	2		" "	4	14	" "	1	2	82			7	" "		" "	69	1	1	7				"16.1"	1	3	3.0
16.1			1	1	3	0	1	17				4	" "	3	1			1	2		" "	4	10	" "	1	1	81			18	" "		" "	81			18				"16.1"	1	3	3.0
16.1			1	1	4	10							" "								" "			" "							" "		" "								"16.1"	3	3	3.0
16.1			1	1	5	10							" "								" "			" "							" "		" "								"16.1"	3	3	3.0
16.1			1	1	6	0	2	77				2	" "	6	3	13	15	1	2		" "	1	99	" "			82			18	" "		" "	82			18				"16.1"	1	3	3.0
16.1			1	1	7	10							" "								" "			" "							" "		" "								"16.1"	3	3	3.0
16.1			1	1	8	0	2	39				2	" "	7	4	14	15	1	2		" "	2	99	" "			82			18	" "		" "	82			18				"16.1"	1	3	3.0
16.1			1	1	9	12							" "								" "			" "							" "		" "								"16.1"	3	3	3.0
16.1			1	1	10	0	2	6				1	" "	3	1			1	2		" "	4	66	" "	1	1	81			18	" "		" "	81			18				"16.1"	1	3	3.0
16.2	9	18	4	1	1	10							" "								" "			" "							" "		" "						9	30	"16.2"	3	3	3.0
16.2			4	1	2	10							" "								" "			" "							" "		" "								"16.2"	3	3	3.0
16.2			4	1	3	10							" "								" "			" "							" "		" "								"16.2"	3	3	3.0
16.2			4	1	4	0	1	37				2	" "	1	2	29	31	1	2		" "	4	7	" "	1	2	68	1	1	5	" "	4	" "	68	1	1	5	4			"16.2"	1	3	3.0
16.2			4	1	5	0	2	27				2	" "	2	2	19	21	1	2		" "	4	9	" "	8	2	82			7	" "		" "	69	1	1	7				"16.2"	1	3	3.0
16.2			4	1	6	10							" "								" "			" "							" "		" "								"16.2"	3	3	3.0
16.2			4	1	7	0	2	72				2	" "	6	3	18	20	1	2		" "	1	99	" "			82			18	" "		" "	82			18				"16.2"	1	3	3.0
16.2			4	1	8	10							" "								" "			" "							" "		" "								"16.2"	3	3	3.0
16.2			4	1	9	12							" "								" "			" "							" "		" "								"16.2"	3	3	3.0
16.2			4	1	10	0	1	6				1	" "	3	1			1	2		" "	4	66	" "	1	1	81			18	" "		" "	81			18				"16.2"	1	3	3.0
17.0	9	3	1	1	1	0	1	50				2	" "	1	2	21	24	1	2		" "	2	1	" "	1	2	65	1	1	1	" "	9	" "	65	1	1	1	9	9	17	"17"	1	3	3.0
17.0			1	1	2	0	2	43				2	" "	2	2	14	17	1	2		" "	4	4	" "	1	2	82			7	" "		" "	69	1	1	7				"17"	1	3	3.0
17.0			1	1	3	8							" "								" "			" "							" "		" "								"17"	3	3	3.0
17.0			1	1	4	0	1	19				2	" "	3	2	18	19	1	2		" "	4	10	" "	8	2	1	1	1	1	" "		" "	1	1	1	1				"17"	1	3	3.0
17.0			1	1	5	2	2	17				6	" "	4	2	16	17	1	2		" "	4	10	" "	8	2	82			18	" "		" "	82			18				"17"	1	3	3.0
17.0			1	1	6	1	1	0				4	" "	5	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"17"	1	3	3.0
18.1	10	10	4	1	1	7							" "								" "			" "							" "		" "						10	25	"18.1"	3	3	3.0
18.1			4	1	2	12							" "								" "			" "							" "		" "								"18.1"	3	3	3.0
18.1			4	1	3	10							" "								" "			" "							" "		" "								"18.1"	3	3	3.0
18.1			4	1	4	0	1	31				2	" "	1	2	20	24	1	2		" "	4	9	" "	1	2	51	1	2	12	" "	5	" "	51	1	2	12	5			"18.1"	1	3	3.0
18.1			4	1	5	0	2	26				2	" "	2	2	15	19	1	2		" "	4	9	" "	8	2	82			7	" "		" "	69	1	1	7				"18.1"	1	3	3.0
18.1			4	1	6	0	1	7				4	" "	3	1			1	2		" "	3	0	" "	1	1	81			18	" "		" "	81			18				"18.1"	1	3	3.0
18.1			4	1	7	12							" "								" "			" "							" "		" "								"18.1"	3	3	3.0
18.2	9	32	3	1	1	7							" "								" "			" "							" "		" "						9	50	"18.2"	3	3	3.0
18.2			3	1	2	10							" "								" "			" "							" "		" "								"18.2"	3	3	3.0
18.2			3	1	3	0	1	33				2	" "	1	2	27	30	1	2		" "	4	9	" "	1	2	64	1	1	5	" "	4	" "	64	1	1	5	4			"18.2"	1	3	3.0
18.2			3	1	4	10							" "								" "			" "							" "		" "								"18.2"	3	3	3.0
18.2			3	1	5	10							" "								" "			" "							" "		" "								"18.2"	3	3	3.0
18.2			3	1	6	10							" "								" "			" "							" "		" "								"18.2"	3	3	3.0
18.2			3	1	7	0	2	25				2	" "	2	2	19	22	1	2		" "	4	10	" "	8	2	82			7	" "		" "	46	1	1	3	7			"18.2"	1	3	3.0
18.2			3	1	8	0	2	4				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"18.2"	1	3	3.0
19.0	9	32	1	1	1	0	1	47				2	" "	1	2	21	23	1	2		" "	4	4	" "	1	2	36	1	1	2	" "		" "	36	1	1	2		9	40	"19"	1	3	3.0
19.0			1	1	2	9							" "								" "			" "							" "		" "								"19"	3	3	3.0
19.0			1	1	3	8							" "								" "			" "							" "		" "								"19"	3	3	3.0
19.0			1	1	4	11							" "								" "			" "							" "		" "								"19"	3	3	3.0
19.0			1	1	5	0	2	31				2	" "	2	2	12	26	1	2		" "	2	1	" "	1	2	82			7	" "		" "	82			7				"19"	1	3	3.0
19.0			1	1	6	0	2	4				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"19"	1	3	3.0
21.0	8	36	1	1	1	0	1	62				2	" "	1	2	20	25	1	2		" "	1	99	" "			50	2	2	12	" "		" "	50	2	2	12		8	42	"21"	1	2	3.0
21.0			1	1	2	0	2	55				2	" "	2	2	22	25	1	2		" "	1	99	" "			82			7	" "		" "	69	1	1	7				"21"	1	2	3.0
21.0			1	1	3	0	1	14				1	" "	3	1			1	2		" "	1	0	" "	1	2	11	1	1	8	" "		" "	11	1	1	8				"21"	1	2	3.0
22.0	9	8	1	1	1	0	2	46				2	" "	1	3	28	32	1	2		" "	1	99	" "			15	1	1	3	" "		" "	15	1	1	3		9	10	"22"	1	2	3.0
22.0			1	1	2	8							" "								" "			" "							" "		" "								"22"	3	2	3.0
22.0			1	1	3	11							" "								" "			" "							" "		" "								"22"	3	2	3.0
22.0			1	1	4	7							" "								" "			" "							" "		" "								"22"	3	2	3.0
23.0	8	29	4	1	1	0	1	60				2	" "	1	2	26	28	1	2		" "	1	99	" "			67	1	3	6	" "		" "	67	1	3	6		9	0	"23"	1	2	3.0
23.0			4	1	2	0	2	50				2	" "	2	2	17	19	1	2		" "	4	5	" "	1	2	70	1	1	7	" "		" "	70	1	1	7				"23"	1	2	3.0
23.0			4	1	3	0	1	23				2	" "	3	2	20	21	1	2		" "	4	5	" "	1	2	13	1	3	3	" "		" "	13	1	3	3				"23"	1	2	3.0
23.0			4	1	4	0	1	19				1	" "	3	1			1	2		" "	4	4	" "	5	2	13	1	3	3	" "		" "	13	1	3	3				"23"	1	2	3.0
23.0			4	1	5	0	2	75				5	" "	6	3	15	16	1	2		" "	1	99	" "			83			18	" "		" "	83			18				"23"	1	2	3.0
23.0			4	1	6	2	2	20				1	" "	4	2	17	18	1	2		" "	4	99	" "			82			18	" "		" "	82			18				"23"	1	2	3.0
23.0			4	1	7	1	2	1				3	" "	5	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"23"	1	2	3.0
24.0	8	20	1	1	1	0	2	50				2	" "	1	3	17	19	1	2		" "	1	99	" "			13	1	1	3	" "		" "	13	1	1	3		8	25	"24"	1	2	3.0
24.0			1	1	2	8							" "								" "			" "							" "		" "								"24"	3	2	3.0
24.0			1	1	3	0	1	25				2	" "	3	1			1	2		" "	4	4	" "	1	2	53	1	1	12	" "		" "	53	1	1	12				"24"	1	2	3.0
24.0			1	1	4	0	2	19				2	" "	3	1			1	2		" "	4	4	" "	5	2	82			18	" "		" "	82			18				"24"	1	2	3.0
26.0	8	45	1	1	1	0	1	64				2	" "	6	2	23	25	1	2		" "	1	99	" "			85			18	" "		" "	85			18		9	3	"26"	1	2	3.0
26.0			1	1	2	0	2	56				2	" "	6	2	15	17	1	2		" "	1	99	" "			82			18	" "		" "	82			18				"26"	1	2	3.0
26.0			1	1	3	0	1	13				1	" "	7	1			1	2		" "	4	5	" "	5	1	81			18	" "		" "	81			18				"26"	1	2	3.0
26.0			1	1	4	4	1	36				2	" "	1	2	20	21	1	2		" "	4	5	" "	1	2	72	1	2	8	" "		" "	72	1	2	8				"26"	1	2	3.0
26.0			1	1	5	4	2	33				2	" "	2	2	17	18	1	2		" "	4	5	" "	5	2	82			7	" "		" "	69	1	1	7				"26"	1	2	3.0
26.0			1	1	6	4	1	13				1	" "	3	1			1	2		" "	4	3	" "	5	1	81			18	" "		" "	81			18				"26"	1	2	3.0
26.0			1	1	7	4	1	3				1	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"26"	1	2	3.0
27.0	8	32	1	1	1	0	1	36				2	" "	1	2	27	29	1	2		" "	1	99	" "			50	1	1	12	" "	4	" "	50	1	1	12	4	8	41	"27"	1	2	3.0
27.0			1	1	2	0	2	31				2	" "	2	2	22	24	1	2		" "	4	8	" "	8	2	82			7	" "		" "	24	1	1	8	7			"27"	1	2	3.0
27.0			1	1	3	0	1	8				3	" "	3	1			1	2		" "	4	1	" "	5	1	81			18	" "		" "	81			18				"27"	1	2	3.0
27.0			1	1	4	0	1	5				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"27"	1	2	3.0
28.0	8	42	1	1	1	0	1	42				2	" "	1	2	23	24	1	2		" "	1	99	" "			23	1	2	8	" "		" "	23	1	2	8		8	53	"28"	1	2	3.0
28.0			1	1	2	0	2	36				2	" "	2	2	17	18	1	2		" "	4	5	" "	1	2	82			7	" "		" "	70	1	1	7				"28"	1	2	3.0
28.0			1	1	3	8							" "								" "			" "							" "		" "								"28"	3	2	3.0
28.0			1	1	4	8							" "								" "			" "							" "		" "								"28"	3	2	3.0
28.0			1	1	5	0	1	12				1	" "	3	1			1	2		" "	4	5	" "	5	1	81			18	" "		" "	81			18				"28"	1	2	3.0
28.0			1	1	6	1	2	3				3	" "	3	1			1	2		" "	1	99	" "			84			18	" "		" "	84			18				"28"	1	2	3.0
29.0	8	1	1	1	1	0	1	41				2	" "	1	2	26	30	1	2		" "	4	5	" "	1	2	50	1	2	12	" "		" "	50	1	2	12		8	26	"29"	1	2	3.0
29.0			1	1	2	0	2	31				2	" "	2	2	16	20	1	2		" "	4	10	" "	8	2	82			18	" "		" "	82			18				"29"	1	2	3.0
29.0			1	1	3	0	2	9				1	" "	3	1			1	2		" "	4	2	" "	5	1	81			18	" "		" "	81			18				"29"	1	2	3.0
29.0			1	1	4	0	1	7				1	" "	3	1			1	2		" "	4	66	" "	1	1	81			18	" "		" "	81			18				"29"	1	2	3.0
29.0			1	1	5	0	2	66				2	" "	6	3	22	24	1	2		" "	1	99	" "			83			18	" "		" "	83			18				"29"	1	2	3.0
29.0			1	1	6	0	2	10				1	" "	3	1			1	2		" "	4	3	" "	5	1	81			18	" "		" "	81			18				"29"	1	2	3.0
30.1	8	41	1	1	1	0	1	41				2	" "	1	2	21	25	1	2		" "	4	7	" "	1	2	11	1	1	2	" "		" "	11	1	1	2		8	51	"30.1"	1	2	3.0
30.1			1	1	2	0	2	33				2	" "	2	2	13	17	1	2		" "	4	6	" "	1	2	82			7	" "		" "	82			7				"30.1"	1	2	3.0
30.1			1	1	3	6	1	15				1	" "	3	1			1	2		" "	4	9	" "	5	1	81			18	" "		" "	81			18				"30.1"	2	2	3.0
30.1			1	1	4	10							" "								" "			" "							" "		" "								"30.1"	3	2	3.0
30.1			1	1	5	10							" "								" "			" "							" "		" "								"30.1"	3	2	3.0
30.1			1	1	6	0	1	6				1	" "	3	1			1	2		" "	4	66	" "	1	1	81			18	" "		" "	81			18				"30.1"	1	2	3.0
30.2	15	15	4	1	1	10							" "								" "			" "							" "		" "						15	23	"30.2"	3	2	3.0
30.2			4	1	2	10							" "								" "			" "							" "		" "								"30.2"	3	2	3.0
30.2			4	1	3	10							" "								" "			" "							" "		" "								"30.2"	3	2	3.0
30.2			4	1	4	0	1	76				2	" "	1	2	33	35	1	2		" "	2	99	" "			22	1	1	8	" "	10	" "	22	1	1	8	10			"30.2"	1	2	3.0
30.2			4	1	5	0	2	61				2	" "	2	2	15	17	1	2		" "	1	99	" "			82			7	" "		" "	69	1	1	7				"30.2"	1	2	3.0
30.2			4	1	6	0	2	99				2	" "	6	3	11	13	1	2		" "	1	99	" "			85			19	" "		" "	85			19				"30.2"	1	2	3.0
31.0	8	44	1	1	1	0	1	66				2	" "	1	3	29	33	1	2		" "	1	99	" "			70	1	1	4	" "		" "	70	1	1	4		9	0	"31"	1	2	3.0
