a01	stime_h_g	stime_m_g	res_id_g	consent_g	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g21	g22	g23	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	etime_h_g	etime_m_g	hhid2	flag_g	flag_1	hh_type	round
28.0			1	1	2	4	15.0	15.0	0	50	0.0	5	1					1			1			1000000	3	1998	98			5																		"28"		0	2	3.0
28.0			1	1	3	2	37.0	0.0	10																																							"28"		0	2	3.0
28.0			1	1	4	2	45.0	45.0	0	250	0.0	5	2					1			1			2000000	1	2006	1			1	1	2	72	1	2		1	2		1	2		1	2				"28"		1	2	3.0
28.0			1	1	5	2	37.0	0.0	4																																							"28"		0	2	3.0
28.0			1	1	6	2	45.0	0.0	3																																							"28"		0	2	3.0
28.0			1	1	7	2	12.0	12.0	0	100	0.0	5	2					1			1			700000	3	1998	1			1	1	2		1	2		1	2		1	2		1	2				"28"		1	2	3.0
28.0			1	1	8	2	10.0	10.0	0	50	0.0	5	2					1			1			500000	3	1998	1			1	1	2		1	2		1	2		1	2		1	2				"28"		1	2	3.0
28.0			1	1	9	2	0.0	35.0	7	200	0.0	5	4	1	1	1		72			72			2000000	6	2018	1			1	1	2	72	1	2		1	2		1	2		1	2				"28"		1	2	3.0
29.0	8	51	1	1	1	1	9.0	0.0	10																																					9	3	"29"		0	2	3.0
29.0			1	1	2	8	5.0	0.0	10																																							"29"		0	2	3.0
29.0			1	1	3	7	2.0	0.0	10																																							"29"		0	2	3.0
29.0			1	1	4	1	0.0	8.0	5	0	0.0	2	1					1			1			700000	1	2015	1			4																		"29"		0	2	3.0
29.0			1	1	5	8	0.0	2.0	5	0	5.0	1	2					1			1			100000	1	2015	1			2	1			1			1			98			98					"29"		0	2	3.0
30.1	9	11	1	1	1	1	6.0	6.0	0	0	0.0	5	1					1			1			400000	3	1990	1			4																9	14	"30.1"		0	2	3.0
30.1			1	1	2	2	0.0	0.0	10																																							"30.1"		0	2	3.0
30.1			1	1	3	4	0.0	0.0	10																																							"30.1"		0	2	3.0
30.1			1	1	4	8	0.0	0.0	10																																							"30.1"		0	2	3.0
30.2	15	35	4	1	1	1	6.0	6.0	0	0	0.0	5	1					1			1			400000	3	1990	1			4																15	43	"30.2"		0	2	3.0
30.2			4	1	2	10	25.0	25.0	0	300	0.0	5	1					1			1			1200000	3	1974	1			7																		"30.2"		0	2	3.0
30.2			4	1	3	4	8.0	15.0	6	200	0.0	5	1					1			1			800000	3	2016	1			5																		"30.2"		0	2	3.0
30.2			4	1	4	8	5.0	0.0	2																																							"30.2"		0	2	3.0
31.0	10	30	1	1	1	1	10.0	10.0	0	0	0.0	4	1					1			1			700000	2	1984	1			4																10	50	"31"		0	2	3.0
31.0			1	1	2	2	0.0	0.0	10																																							"31"		0	2	3.0
31.0			1	1	3	2	0.0	0.0	10																																							"31"		0	2	3.0
31.0			1	1	4	2	0.0	0.0	10																																							"31"		0	2	3.0
31.0			1	1	5	8	10.0	10.0	0	0	0.0	1	2					1			1			200000	1	1990	1			2	1			1			1			1			1					"31"		0	2	3.0
32.0	10	11	1	1	1	1	10.0	10.0	0	0	0.0	4	1					1			72			800000	3	1990	1			4																10	15	"32"		0	2	3.0
33.0	9	40	1	1	1	1	20.0	20.0	0	0	0.0	4	1					1			1			800000	3	1980	1			4																10	2	"33"		0	2	3.0
33.0			1	1	2	2	10.0	10.0	0	200	2.0	4	4	3	2	1		72			72			250000	6	1980	1			1	1	72		1			1			1			1					"33"		1	2	3.0
33.0			1	1	3	2	50.0	50.0	0	500	2.0	4	4	3	2	1		72			72			5000000	6	2008	1			1	1	72		1			1			1			1					"33"		1	2	3.0
33.0			1	1	4	2	0.0	0.0	10																																							"33"		0	2	3.0
33.0			1	1	5	2	8.0	0.0	3																																							"33"		0	2	3.0
33.0			1	1	6	2	52.0	0.0	3																																							"33"		0	2	3.0
33.0			1	1	7	2	0.0	20.0	7	500	2.0	4	4	3	2	1		72			72			2000000	6	2017	1			1	1	72		1			1			1			1					"33"		1	2	3.0
33.0			1	1	8	12	0.0	4.0	10	700	0.0	4	15	3	2	1		72			72			200000	7	2018	1			7																		"33"		0	2	3.0
34.0	11	10	5	1	1	1	20.0	20.0	0	0	0.0	4	1					4			4			800000	1	1991	1	4		4																11	30	"34"		0	2	3.0
34.0			5	1	2	8	5.0	5.0	0	10	3.0	4	2					4			4			100000	1	1991	98			2	2			2			2			98			98					"34"		0	2	3.0
35.0	14	1	3	1	1	1	19.0	19.0	0	0	0.0	4	1					1			72			1000000	5	1998	1			4																14	5	"35"		0	2	3.0
36.0	8	30	1	1	1	1	6.0	6.0	0	0	0.0	4	1					1			72			600000	3	2001	1			4																9	0	"36"		0	2	3.0
36.0			1	1	2	8	18.0	18.0	0	100	2.0	4	2					72			72			500000	3	2001	1			2	1	72		1			1			1			1					"36"		0	2	3.0
36.0			1	1	3	2	0.0	30.0	7	200	2.0	4	5	2	1	2		72			72			600000	3	2016	1			1	1	72		1			1			98			98					"36"		1	2	3.0
36.0			1	1	4	8	40.0	40.0	0	100	2.0	1	3	2	1	2	250.0	72			72			1500000	6	2010	1			2	1	72		1			1			1			1					"36"		0	2	3.0
36.0			1	1	5	12	1.0	1.0	0	100	0.0	4	3	2	1	3	100.0	72			72			30000	6	2014	1			7																		"36"		0	2	3.0
36.0			1	1	6	2	0.0	25.0	7	200	2.0	4	4	1	1	1		72			72			700000	6	2016	1			1	1			1			1			98			98					"36"		1	2	3.0
37.0	9	57	1	1	1	1	13.0	13.0	0	0	0.0	5	1					1			1			500000	1	2002	1			4																10	15	"37"		0	2	3.0
37.0			1	1	2	2	0.0	0.0	10																																							"37"		0	2	3.0
37.0			1	1	3	2	57.0	0.0	3																																							"37"		0	2	3.0
37.0			1	1	4	8	22.0	0.0	3																																							"37"		0	2	3.0
37.0			1	1	5	2	8.0	8.0	0	500	0.0	5	3	3	1	1	166.0	72			72			800000	6	2012	1			1	12			1			1			1			1					"37"		1	2	3.0
37.0			1	1	6	12	1.0	1.0	0	500	0.0	5	3	3	1	1	500.0	72			72			50000	6	2014	7			1	1			1			1			1			1					"37"		0	2	3.0
37.0			1	1	7	2	0.0	20.0	7	1000	1.0	5	3	3	1	1	416.0	72			72			600000	6	2012	1			1	1	72		1			1			1			1					"37"		1	2	3.0
37.0			1	1	8	2	0.0	33.0	7	1000	2.0	5	3	3	1	1	181.0	72			72			800000	6	2017	1			1	1	72		1			1			1			1					"37"		1	2	3.0
