a01	hh_type	m2_01	m2_02	m2_03	m2_04	m2_05	m2_06	m2_07	m2_08	m2_09	m2_10	m2_11	m2_12	m2_13	m2_14	m2_15	m2_16	m2_17	m2_18	m2_19	m2_20	m2_21
1669	3	99																				
1670	3	99																				
1671	3	1	22	11	1	6	3	2		10	30	1	1		2		1	0	0	1	0.25	2
1671	3	2	27	11	1	6	5	2		15	75	1	1		2		1	0	0	1	0.25	2
1671	3	3	27	10	1	6	3	2		20	60	1	1		2		1	0	0	1	0.25	2
1671	3	4	27	11	1	6	10	2		5	50	1	1		2		1	0	0	1	0.25	2
1671	3	5	27	11	1	6	4	2		5	20	1	1		2		1	0	0	1	0.25	2
1671	3	6	27	11	1	6	2	2		7	14	1	1		2		1	0	0	1	0.25	2
1672	3	99																				
1673	3	99																				
1674	3	99																				
1675	3	99																				
1676	3	1	16	8	1	1	2	2		20	40	1	1		2		1	0	0	1	0.25	2
1676	3	2	13	12	1	1	2	2		20	40	1	1		2		1	0	0	1	0.25	2
1676	3	3	6	5	1	1	2	3	0.5	150	300	1	1		2		1	0	0	1	0.25	2
1677	3	99																				
1678	3	1	6	8	1	1	2	3	0.5	120	240	1	1		2		1	0	0	1	0.5	2
1679.1	3	99																				
1679.2	3	99																				
1680	3	99																				
1681	2	99																				
1682	2	99																				
1683	2	1	23	9	2	1	60	2		37.5	2250	1	100		2		2	0.25	1	3	0.25	2
1683	2	2	5	4	2	1	45	2		25	1125	1	100		2		2	0.2	1	3	0.2	2
1683	2	3	24	5	2	1	5	2		60	300	1	100		2		2	0.3	1	3	0.25	2
1684	2	1	10	4	10	5	22	2		112.272727272727	2470	1	100		2		2	0.3	3	3	2	2
1685	2	1	27	7	12	1	450	2		3.55555555555556	1600	1	100		2		1	0	0	13	0	2
1686	2	99																				
1687	2	99																				
1688	2	99																				
1689	2	1	27	3	2	1	60	2		20	1200	1	100		2		2	0.15	1	3	0.2	2
1690	2	1	7	4	1	1	2	3	44	11000	22000	1	100		2		1	0	0	13	0	2
1690	2	2	6	6	10	1	2	3	1.2	200	400	1	100		2		2	0.15	1	3	1	2
1690	2	3	27	9	9	1	40	2		1	40	1	100		2		1	0	0	13	0	2
1691	2	99																				
1693	2	1	23	9	2	1	120	2		37.5	4500	1	100		2		2	0.2	1.5	3	0.25	2
1693	2	2	27	4	2	1	30	2		22.5	675	1	100		2		2	0.25	1.5	3	0.3	2
1693	2	3	24	6	2	1	5	2		30	150	1	100		2		2	0.2	1.5	3	0.3	2
1693	2	4	27	8	10	1	3	3	1.25	300	900	1	100		2		2	0.2	1.5	3	2	2
1693	2	5	27	9	10	1	4	2		250	1000	1	100		2		2	0.2	1.5	3	3	2
1694	2	1	27	4	1	1	40	3	0.6	20.025	801	1	100		2		1	0	0	13	0	2
1695	2	1	5	2	1	1	320	2		16.875	5400	1	100		2		2	0.25	1.5	3	0.5	2
1695	2	2	19	10	9	1	200	2		2.5	500	1	100		2		2	1	1.5	3	1	2
1695	2	3	6	3	12	1	2	3	3	900	1800	1	100		2		1	0	0	13	0	2
1696	2	1	23	8	1	1	1000	2		45	45000	1	100		2		1	0	0	13	0	2
1697	2	99																				
1698	2	1	8	10	10	5	2	3	15	2000	4000	1	100		2		3	1	6	3	0.2	2
1699	2	99																				
1700	2	1	19	2	10	1	2	3	5	25	50	1	100		2		2	0.25	2	3	0.5	2
1700	2	2	24	4	2	1	8	2		30	240	1	100		2		2	0.25	2	3	0.3	2
1700	2	3	23	8	2	1	360	2		22.5	8100	1	100		2		2	0.25	2	3	0.35	2
1700	2	4	27	4	2	1	135	2		20	2700	1	100		2		2	0.25	2	3	0.25	2
1701	2	99																				
1702	2	99																				
1703	2	99																				
1704	2	1	27	7	2	1	20	2		7.5	150	1	100		2		3	0.1	1	3	0.5	2
1704	2	2	27	8	2	1	20	2		5	100	1	100		2		3	0.1	1	3	0.5	2
1705	2	99																				
1706	2	1	10	2	10	1	2	2		300	600	1	100		2		2	0.5	2	1	2	2
1707	2	99																				
1708.1	2	1	6	7	10	1	2	3	1	200	400	1	100		2		1	0	0	13	0	2
1708.1	2	2	10	11	10	1	2	2		222	444	1	100		2		2	0.3	1	1	4	2
1708.2	2	1	6	11	10	1	1	3	1	300	300	1	100		2		2	0.2	1	1	0.3	2
1709	2	99																				
1710	2	99																				
1711	2	1	27	2	2	1	8	2		50	400	1	100		2		1	0	0	13	0	2
1712	2	99																				
1713	2	1	10	3	10	1	5	2		100	500	1	100		2		2	0.5	2	3	2	2
1714	2	1	7	6	10	1	1	3	65	17000	17000	1	100		2		1	0	0	13	0	2
1715	2	1	10	3	2	1	88	2		82.95454545	7300	1	100		2		2	0.25	1	3	0.45	2
1715	2	2	27	9	2	1	4	3	0.6	12.5	50	1	100		2		1	0	0	13	0	2
1716	2	1	27	5	12	1	600	2		3.33333333333333	2000	1	100		2		1	0	0	13	0	2
1717	2	99																				
1718	2	99																				
1719	2	99																				
1720	2	1	10	12	2	1	25	2		48	1200	1	100		2		1	0	0	13	0	2
1720	2	2	27	5	12	1	1000	2		2	2000	1	100		2		1	0	0	13	0	2
1721	2	1	23	8	2	1	655	2		42.4992366412214	27837	1	100		2		1	0	0	13	0	2
1721	2	2	27	4	2	1	157	2		100	15700	1	100		2		1	0	0	13	0	2
1721	2	3	5	3	2	1	120	2		20	2400	1	100		2		1	0	0	13	0	2
1721	2	4	3	3	2	1	160	2		18.75	3000	1	100		2		1	0	0	13	0	2
1722	2	99																				
1723	2	1	25	4	2	1	180	2		31.25	5625	1	100		2		2	0.3	2	3	0.3	2
1723	2	2	23	8	2	1	720	2		33.75	24300	1	100		2		2	0.45	2	3	0.5	2
1723	2	3	5	3	2	1	40	2		62.5	2500	1	100		2		2	0.3	2	3	0.3	2
1724	2	99																				
1725	2	99																				
1726	2	99																				
1727	2	1	6	11	10	1	1	3	1.6	300	300	1	100		2		1	0	0	13	0	2
1727	2	2	8	11	10	1	1	3	12	1600	1600	1	100		2		1	0	0	13	0	2
1727	2	3	23	9	2	1	20	2		32.5	650	1	100		2		6	0.3	2	3	0.3	2
1727	2	4	5	2	2	1	10	2		23	230	1	100		2		6	0.3	2	3	0.3	2
1728	2	1	23	8	2	1	128	2		29.6875	3800	1	100		1	2	1	0	0	13	0	2
1728	2	2	5	3	2	1	40	2		30	1200	1	100		1	2	1	0	0	13	0	2
1728	2	3	21	3	2	1	21	2		20	420	1	100		1	2	1	0	0	13	0	2
1728	2	4	6	3	2	1	4.2	2		250	1050	1	100		2		1	0	0	13	0	2
1729	2	1	25	8	2	5	1360	2		30	40800	1	100		1	1	3	1	7	3	3	2
1729	2	2	23	9	2	5	1170	2		32.5	38025	1	100		1	1	3	1	7	3	2	2
1729	2	3	27	4	2	5	70	2		20	1400	1	100		2		3	1	7	3	2	2
1730	2	99																				
1731	2	1	27	3	2	1	85	2		22.4941176470588	1912	1	100		2		1	0	0	13	0	2
1731	2	2	23	9	2	1	610	2		42.5	25925	1	100		2		1	0	0	13	0	2
1731	2	3	25	3	2	1	400	2		25	10000	1	100		2		1	0	0	13	0	2
1731	2	4	27	7	2	1	30	2		10	300	1	100		2		1	0	0	13	0	2
1731	2	5	14	5	2	1	100	2		5	500	1	100		2		1	0	0	13	0	2
1732	2	1	3	3	2	5	680	2		20	13600	1	100		2		3	1	7	3	4	2
1732	2	2	23	7	2	5	590	2		32.5	19175	1	100		2		3	1	7	3	3	2
1732	2	3	14	5	2	5	54	2		37.037037037037	2000	1	100		2		3	1	7	7	2	2
1733	2	1	25	4	2	5	13	1	40	1000	13000	1	100		2		3	0.5	7	3	3	2
1733	2	2	23	9	2	5	10	1	40	1890	18900	1	100		2		3	0.5	7	3	4	2
1734	2	99																				
1735	2	99																				
1736	2	1	23	9	2	1	840	2		32.5	27300	1	100		1	2	1	0	0	13	0	2
1736	2	2	3	9	2	1	80	2		20	1600	1	100		2		1	0	0	13	0	2
1736	2	3	25	5	2	1	800	2		25.25	20200	1	100		1	2	1	0	0	13	0	2
1736	2	4	22	7	10	1	20	2		15	300	1	100		2		2	0.3	2	3	3	2
1736	2	5	27	2	10	1	10	2		15	150	1	100		2		2	0.3	2	3	1	2
1737	2	99																				
1738	2	1	27	8	12	1	400	2		3.25	1300	1	100		2		1	0	0	13	0	2
1738	2	2	27	4	2	1	15	2		53.3333333333333	800	1	100		2		1	0	0	13	0	2
1739.1	2	99																				
1739.2	2	99																				
1740	2	99																				
1741	3	99																				
1742	3	99																				
1743	3	1	7	10	10	1	1	3	80	19000	19000	1	1		2		2	1	2	1	6	2
1744	3	99																				
1747	3	1	10	10	10	5	4	2		60	240	1	1		2		1	0.1	0.5	1	1	2
1748	3	99																				
1749	3	1	6	10	2	1	4	3	1	200	800	1	1		2		3	0.3	2	1	0.15	2
1750	3	1	6	10	1	1	10	3	0.75	200	2000	1	1		2		1	0	0	1	0.15	2
1752	3	1	7	10	2	1	1	3	80	16500	16500	1	1		2		2	0.3	3	1	1	2
1753	3	1	6	11	1	1	3	2		196.6	590	1	1		2		1	0	0	1	0.15	2
1753	3	2	7	3	1	1	1	3	80	8000	8000	1	1		2		2	0.3	2	1	2	2
1754	3	99																				
1755	3	99																				
1757	3	1	10	8	10	5	5	2		100	500	1	1		2		1	0.1	0.1	1	0.3	2
1758	3	99																				
1759	3	99																				
1760	3	1	7	8	1	1	1	3	50	12000	12000	1	1		2		1	0	0	1	0.3	2
1761	3	99																				
1762	3	1	27	1	1	1	800	2		18.75	15000	1	1		2		1	0	0	6	0.2	2
1762	3	2	27	1	1	1	10	2		10	100	1	1		2		2	0.12	2	3	0.1	2
1763	3	99																				
1764	3	1	27	4	2	1	50	2		12	600	1	1		2		2	0.3	4	3	1	2
1764	3	2	27	4	2	1	40	2		15	600	1	1		2		2	0.3	4	3	1	2
1764	3	3	8	3	2	2	5	3	7.5	3000	15000	1	1		2		1	0.3	4	1	5	2
1765	3	99																				
1766	3	99																				
1767	3	99																				
1768	3	1	6	10	10	6	1	3	1	250	250	1	1		2		1	0.5	0.25	1	0.1	2
1769	3	99																				
1770	3	1	27	7	2	1	10	2		10	100	1	1		2		2	0.15	0.5	1	0.15	2
1770	3	2	27	12	2	1	15	2		5	75	1	1		2		2	0.15	0.5	1	0.15	2
1771	3	99																				
1772	3	99																				
1773	3	99																				
1774	3	99																				
1775.1	3	1	27	6	2	1	500	2		15	7500	1	1		2		2	0.1	1.5	3	0.25	2
1775.2	3	1	27	6	2	2	220	2		15	3300	1	1		2		2	0.1	1.5	3	0.25	2
1775.3	3	1	27	6	2	1	230	2		15	3450	1	1		2		2	0.1	1.5	3	0.25	2
1776	3	99																				
1777	3	99																				
1778	3	99																				
1779	3	99																				
1780	3	99																				
1781	3	1	7	6	2	1	2	3	120	28500	57000	1	1		2		2	0.5	0.3	1	1	2
1782	3	1	10	3	2	1	24	2		120	2880	1	1		1	1	3	1	20	12	1	2
1783	3	99																				
1784	3	99																				
1785	3	99																				
1786	3	99																				
1787	3	99																				
1788	3	99																				
1789	3	1	7	8	10	2	1	3	60	32000	32000	1	1		2		3	1	5	1	5	2
1790	3	1	6	3	2	1	2	2		250	500	1	1		2		1	0	0	1	0.2	2
1791.1	3	99																				
1791.2	3	1	6	4	2	1	2	2		250	500	1	1		2		2	0.1	0.5	1	1	2
1791.3	3	99																				
1792	3	99																				
1793	3	99																				
1794	3	99																				
1795	3	99																				
1796	3	99																				
1797.1	3	1	6	10	2	1	3	3	1.5	300	900	1	1		2		1	0	0	1	0.15	2
1797.2	3	99																				
1798	3	99																				
1799	3	99																				
1800	3	99																				
1801	3	99																				
1802	3	99																				
1803	3	99																				
1804	3	1	6	11	10	1	2	3	0.75	150	300	1	1		2		3	0.25	0.25	1	0.5	2
1805	3	1	27	6	2	2	25	2		25	625	1	1		2		3	0.25	0.5	1	0.5	2
1805	3	2	27	11	2	2	30	2		22	660	1	1		2		3	0.25	0.5	1	0.5	2
1806	3	99																				
1807	3	99																				
1808	3	1	6	10	10	1	2	3	1	200	400	1	1		2		3	0.25	0.25	1	0.5	2
1809	3	99																				
1810	3	99																				
1811	3	1	7	10	10	5	1	3	40	12000	12000	1	1		2		1	0	0	1	1	2
1812	3	99																				
1813	3	99																				
1814	3	1	6	10	10	6	1	3	0.75	200	200	1	1		2		1	0	0	1	0.5	2
1815	3	1	10	7	1	1	70	2		150	10500	1	1		2		3	0.5	3	3	3	2
1816	3	1	6	11	10	6	1	3	1	220	220	1	1		2		1	0	0	1	0.25	2
1817	3	99																				
1818	3	99																				
1820	3	99																				
1821	3	1	8	11	10	5	1	3	8	4700	4700	1	1		2		1	0	0	1	0.5	2
1822	3	99																				
1823	3	1	7	11	10	5	1	3	55	16000	16000	1	1		2		1	0	0	1	1	2
1824	3	99																				
1825	3	99																				
1826	3	1	6	8	2	1	5	3	1	226	1130	1	1		2		3	0.25	2	1	1	2
1827	3	99																				
1828	3	1	27	10	10	1	5	2		20	100	1	1		2		3	0.5	1	1	2	2
1828	3	2	27	7	10	1	2	3	1.5	30	60	1	1		2		3	0.5	1	1	0.5	2
1828	3	3	6	11	10	6	1	1	0.75	150	150	1	1		2		1	0	0	1	0.25	2
1829	3	1	8	10	1	6	1	3	4.5	2000	2000	1	1		2		1	0	0	1	0.5	2
1829	3	2	7	4	2	1	1	3	80	25000	25000	1	1		2		3	0.5	2	1	3	2
1830	3	99																				
1832	3	1	8	11	2	5	2	3	12	5500	11000	1	1		2		1	0	0	1	1	2
1833	3	99																				
1834	3	99																				
1835	3	99																				
1836	3	99																				
1837	3	99																				
1838	3	1	14	6	10	1	3	3	5	30	90	1	1		2		3	0.5	1.5	1	0.25	2
1838	3	2	27	12	10	1	5	2		20	100	1	1		2		3	0.5	1.5	1	0.25	2
1838	3	3	27	3	10	1	5	2		20	100	1	1		2		3	0.5	1.5	1	0.25	2
1838	3	4	6	4	10	1	2	3	1.5	250	500	1	1		2		3	0.5	1.5	1	0.25	2
1839	3	99																				
1840	3	1	7	10	2	1	1	3	75	22000	22000	1	1		2		3	1	8	8	3	2
1840	3	2	8	8	2	1	1	3	10	4000	4000	1	1		2		3	1	8	8	1	2
1841	3	99																				
1842	3	99																				
1843.1	3	99																				
1843.2	3	99																				
1845	3	99																				
1846	3	99																				
1847	3	99																				
1848	3	99																				
1849	3	99																				
1850	3	99																				
1851	3	1	7	3	2	5	1	3	120	20000	20000	1	1		2		2	4	40	1	0.25	2
1852	3	99																				
1853	3	99																				
1854	3	99																				
1855	3	99																				
1856	3	99																				
1857	3	99																				
1858	3	99																				
1859	3	1	27	6	1	1	7000	2		1.43	10000	1	1		2		1	0	0	1	0	2
1860	3	99																				
1861	3	99																				
1862	3	99																				
1863	3	99																				
1864	3	99																				
1865	3	99																				
1866	3	99																				
1867	3	99																				
1868	3	99																				
1869	3	99																				
1870	3	99																				
1871	3	99																				
1872	3	99																				
1873	3	1	7	1	10	1	3	3	100	30000	90000	1	1		2		2	2	20	1	2	2
1874	3	99																				
1875	3	99																				
1876	3	99																				
1877	3	99																				
1878	3	99																				
1879	3	99																				
1880	3	99																				
1881	3	1	6	6	1	1	2	3	1.5	250	500	1	1		2		1	0.1	0	1	0.15	2
1882	3	1	19	5	2	2	15	3	2.5	30	450	1	1		2		2	0.25	0.125	3	1	2
1882	3	2	27	9	2	2	30	2		15	450	1	1		2		2	0.25	0.125	3	1	2
1882	3	3	27	5	2	2	10	2		20	200	1	1		2		2	0.25	0.125	1	1	2
1882	3	4	27	1	2	2	15	2		40	600	1	1		2		2	0.25	0.125	1	1	2
1883	3	99																				
1884	3	99																				
1885	3	99																				
1887	3	1	10	1	2	1	80	2		32	2560	1	1		2		2	0.1	0.5	3	0.1	2
1888	3	99																				
1889	3	99																				
1890	3	99																				
1891	3	99																				
1892	3	1	27	12	2	1	10	2		10	100	1	1		2		2	0.25	7	1	0.1	2
1893	3	99																				
1894	3	99																				
1895	3	99																				
1896	3	99																				
1898	3	99																				
1899	3	99																				
1900	3	99																				
1901	3	1	10	4	2	2	20	2		100	2000	1	1		2		6	0.3	6	3	1	2
1902	3	1	14	7	2	1	14	3	3	157	2200	1	1		2		2	0.2	2	3	2	2
1902	3	2	27	11	2	1	3	2		300	900	1	1		2		2	0.2	2	1	0.2	2
1903	3	99																				
1904	3	99																				
1905	3	99																				
1906	3	99																				
1907	3	99																				
1908	3	99																				
1909	3	99																				
1910	3	99																				
1911	3	1	7	9	10	2	1	3	80	17600	17600	1	1		2		2	1.5	6	1	4	2
1914	3	1	7	8	2	2	1	3	100	21000	21000	1	1		2		1	0	0	1	0.25	2
1915	3	99																				
1916	3	1	8	9	2	1	1	3	10	4000	4000	1	1		2		2	1.5	15	1	0.3	2
1917	3	1	6	1	2	1	8	4	1	150	1200	1	1		2		2	0.25	1.5	2	0.3	2
1919	3	1	10	1	2	1	30	2		50	1500	1	1		2		1	0	0	1	1	2
1920	3	99																				
1921	3	1	7	9	1	1	1	3	90	20000	20000	1	1		1	2	1	0	0	1	0.5	2
1921	3	2	6	11	10	1	2	3	1	200	400	1	1		2		1	0	0	1	0.25	2
1922	3	1	6	11	10	5	1	3	1	320	320	1	1		2		1	0	0	1	0.06	2
1922	3	2	27	11	10	3	4	3	0.05	8	32	1	1		2		1	0	0	1	0.06	2
1923	3	1	27	12	1	5	1000	2		1.2	1200	1	1		2		2	0.2	1.5	3	2	2
1924	3	1	7	9	10	5	1	3	70	15000	15000	1	1		2		1	0	0	1	0.5	2
1924	3	2	27	11	10	1	2	3	0.25	65	130	1	1		2		1	0	0	1	0.06	2
1924	3	3	27	11	10	5	6	3	0.05	8	48	1	1		2		1	0	0	1	0.06	2
1924	3	4	24	2	2	5	40	2		65	2600	1	1		2		1	0	0	1	0.06	2
1924	3	5	27	11	10	5	1	2		35	35	1	1		2		1	0	0	1	0.06	2
1926	3	1	27	3	1	5	1200	2		1.16	1400	1	1		2		1	0	0	1	2	2
1927	3	1	7	10	2	5	1	3	90	23000	23000	1	1		2		1	0	0	1	2	2
1928	3	1	7	8	10	5	1	3	100	34000	34000	1	1		2		1	0	0	1	3	2
1928	3	2	6	6	10	5	1	3	2	300	300	1	1		2		1	0	0	1	2	2
1928	3	3	27	11	10	5	5	3	0.06	10	5	1	1		2		1	0	0	1	1	2
1928	3	4	10	9	9	5	20	2		70	1400	1	1		2		1	0	0	1	2	2
1929	3	1	24	3	2	1	160	2		42.5	6800	1	1		2		2	0.25	0.25	3	0.5	2
1929	3	2	10	11	1	5	28	2		134	3752	1	1		2		1	0	0	1	0.5	2
1929	3	3	7	7	1	5	1	3	90	20000	20000	1	1		1	2	1	0	0	1	1	2
1929	3	4	6	10	10	3	3	3	0.75	200	600	1	1		2		1	0	0	1	0.5	2
1929	3	5	27	11	10	5	2	3	0.25	150	300	1	1		2		1	0	0	1	0.5	2
1930	3	1	24	3	1	5	149	2		32.49	4842	1	1		2		1	0	0	1	2	2
1931	3	1	7	9	10	5	1	3	90	29000	29000	1	1		1	2	1	0	0	1	2	2
1932	3	1	6	11	10	1	4	3	0.75	200	800	1	1		2		1	0	0	1	0.5	2
1932	3	2	23	10	1	1	156	2		32.5	5070	1	1		1	2	1	0	0	1	1	2
1932	3	3	27	11	1	1	320	2		2.15	688	1	1		2		1	0	0	1	0.5	2
1933	3	1	17	1	2	5	60	2		10	600	1	1		2		2	0.06	0.5	3	1	2
1933	3	2	27	3	2	5	80	2		14	1120	1	1		2		2	0.06	0.5	3	1	2
1933	3	3	27	9	2	5	65	2		12	780	1	1		2		2	0.06	0.5	3	1	2
1933	3	4	7	10	2	5	1	3	85	20000	20000	1	1		2		1	0	0	1	0.5	2
1933	3	5	8	10	2	5	1	3	27	9000	9000	1	1		2		1	0	0	1	0.5	2
1933	3	6	27	11	10	5	1	2		35	35	1	1		2		1	0	0	1	0.06	2
1933	3	7	27	11	10	5	8	3	0.05	8	64	1	1		2		1	0	0	1	0.06	2
1933	3	8	8	10	10	5	1	3	28	9000	9000	1	1		2		1	0	0	1	0.5	2
1934	3	1	6	10	10	5	1	3	0.75	220	220	1	1		2		1	0	0	1	0.06	2
1934	3	2	7	10	2	5	1	3	95	22000	22000	1	1		2		1	0	0	1	0.06	2
1934	3	3	23	10	2	5	133	2		40	5320	1	1		2		2	0.06	0.5	3	1	2
1934	3	4	24	3	2	5	140	2		60	8400	1	1		2		2	0.06	0.5	3	1	2
1934	3	5	27	11	10	5	1	2		35	35	1	1		2		1	0	0	1	0.6	2
1934	3	6	27	11	10	5	6	3	0.5	8	48	1	1		2		1	0	0	1	0.06	2
1935	3	99																				
1936	3	1	27	11	10	5	8	3	0.05	8	64	1	1		2		1	0	0	1	0.6	2
1937	3	1	7	10	1	1	2	3	107	21500	43000	1	1		1	2	1	0	0	1	1	2
1937	3	2	27	11	2	1	4	3	2	10	40	1	1		2		1	0	0	1	0.25	2
1938	3	1	24	3	2	1	120	2		47.5	5700	1	1		2		2	0.25	0.5	3	0.5	2
1938	3	2	27	11	1	1	40	2		25	1000	1	1		2		1	0	0	1	1	2
1938	3	3	23	11	2	1	84	2		32.5	2730	1	1		2		2	0.25	0.5	3	1	2
1938	3	4	7	10	1	1	2	3	68	13750	27500	1	1		1	2	1	0	0	1	1	2
1938	3	5	6	11	10	1	4	3	1	150	600	1	1		2		1	0	0	1	0.5	2
1938	3	6	27	11	10	1	2	3	0.25	150	300	1	1		2		1	0	0	1	0.5	2
1939	3	1	6	9	1	5	1	3	1	250	250	1	1		2		1	0	0	1	0.25	2
1940	3	1	10	9	1	5	10	2		70	700	1	1		2		1	0	0	1	2	2
1940	3	2	7	10	1	5	2	3	90	20500	41000	1	1		2		1	0	0	1	2	2
1940	3	3	27	10	1	5	2	2		30	60	1	1		2		1	0	0	1	2	2
1941	3	1	7	10	1	1	1	3	90	20000	20000	1	1		1	2	1	0	0	1	1	2
1941	3	2	27	6	1	5	1200	2		1.25	1500	1	1		2		1	0	0	1	0.5	2
1941	3	3	24	2	2	1	136	2		47.5	6450	1	1		2		2	0.3	2	3	0.5	2
1942	3	1	27	11	10	5	8	3	0.5	8	64	1	1		2		1	0	0	1	0.6	2
1943	3	1	27	11	10	5	5	2		40	200	1	1		2		1	0	0	1	0.25	2
1944	3	1	27	12	10	2	200	2		4.5	900	1	1		2		1	0	0	1	0.6	2
1945	3	1	17	11	2	1	35	2		18	630	1	1		2		2	0.2	2	3	0.5	2
1946	3	1	27	11	10	3	8	3	0.5	8	64	1	1		2		1	0	0	1	6	2
1947	3	99																				
1948	3	1	27	12	2	5	2	2		10	20	1	1		2		2	0.5	3	3	1	2
1948	3	2	7	8	10	5	2	3	100	18000	36000	1	1		2		1	0	0	1	1	2
1948	3	3	27	10	10	5	5	3	0.6	10	50	1	1		2		1	0	0	1	1	2
1949	3	99																				
1950	3	1	27	11	10	3	8	3	0.6	8	64	1	1		2		1	0	0	1	0.6	2
1951	3	1	6	11	10	3	1	3	0.5	170	170	1	1		2		1	0	0	1	0.6	2
1951	3	2	27	11	10	3	4	3	0.6	8	32	1	1		2		1	0	0	1	0.6	2
1951	3	3	27	11	10	3	2	2		30	60	1	1		2		1	0	0	1	0.6	2
1952	3	1	27	11	2	1	60	2		20	1200	1	1		2		2	0.3	2	3	1	2
1952	3	2	27	11	1	1	440	2		1.5	660	1	1		2		1	0	0	1	0.5	2
1953	3	1	27	11	10	3	8	3	0.5	9	72	1	1		2		1	0	0	1	0.6	2
1954	3	1	7	10	10	3	1	3	75	16500	16500	1	1		2		1	0	0	1	0.5	2
1954	3	2	6	10	10	3	1	3	0.5	120	120	1	1		2		1	0	0	1	0.6	2
1954	3	3	27	11	10	3	4	3	0.5	8	32	1	1		2		1	0	0	1	0.6	2
1955	3	99																				
1956	3	1	6	11	10	5	1	3	1.5	350	350	1	1		2		1	0	0	1	0.25	2
1957	3	1	7	10	1	5	1	3	140	38000	38000	1	1		2		1	0	0	1	2	2
1958	3	1	6	10	9	5	2	3	1.5	250	500	1	1		2		1	0	0	1	1	2
1958	3	2	27	11	9	5	3	3	0.6	10	30	1	1		2		1	0	0	1	1	2
1959	3	1	7	10	1	5	2	3	70	21000	42000	1	1		2		1	0	0	1	1	2
1959	3	2	27	3	2	5	10	2		1000	10000	1	1		2		6	0	0	12	2	2
1959	3	3	27	3	2	5	10	2		30	300	1	1		2		6	0	0	12	2	2
1959	3	4	27	10	10	5	2	3	0.6	10	20	1	1		2		1	0	0	1	0.15	2
1960	3	1	7	7	1	5	1	3	85	10000	10000	1	1		1	2	1	0	0	1	1	2
1961	3	1	27	11	10	6	2	3	0.05	10	20	1	1		2		1	0	0	1	0.02	2
1962	3	1	6	10	1	5	2	3	1	180	360	1	1		2		1	0	0	1	0.1	2
1963	3	1	27	10	10	6	2	3	0.049	8	16	1	1		2		1	0	0	1	0.02	2
1964	3	1	27	8	10	5	2	2		35	70	1	1		2		1	0.2	1	1	0.1	2
1964	3	2	27	9	10	5	3	3	0.05	10	30	1	1		2		1	0.2	1	1	0.1	2
1964	3	3	27	10	10	5	2	3	0.42	8	16	1	1		2		1	0.2	1	1	0.2	2
1965	3	1	7	1	1	5	1	3	140	15000	15000	1	1		2		1	0	0	1	0.5	2
1965	3	2	27	11	1	6	1	2		35	35	1	1		2		1	0	0	1	0.5	2
1966	3	1	6	9	9	5	3	3	1	300	900	1	1		2		2	0.05	4	1	0.03	2
1967	3	99																				
1968	3	99																				
1969	3	1	27	8	10	6	3	3	0.04	10	30	1	1		2		1	0	0	1	0.02	2
1970	3	1	6	8	9	5	1	3	1	300	300	1	1		2		2	0.5	0.5	1	0.15	2
1970	3	2	10	11	9	5	2	2		170	340	1	1		2		2	0.5	0.5	1	2	2
1971	3	1	6	10	9	5	1	3	1	280	280	1	1		2		2	0.02	0.2	1	0.1	2
1973	3	1	27	5	1	1	400	2		2	800	1	1		2		1	0	0	1	0.2	2
1974	3	1	27	4	1	5	15	1	40	80	1200	1	1		2		1	0	0	1	0.5	2
1976	3	99																				
1977	3	99																				
1978	3	1	27	11	1	5	1.5	2		40	60	1	1		2		1	0	0	1	0.05	2
1979	3	1	24	1	2	2	3	1	40	1200	3600	1	1		2		6	1	5	3	2	2
1979	3	2	6	10	1	6	2	3	0.9	250	500	1	1		2		1	0	0	1	0.1	2
1980	3	99																				
1981	3	1	8	7	9	5	3	3	8	900	2700	1	1		2		2	0.05	0.25	1	1	2
1982	3	99																				
1983	3	1	23	9	9	5	1	1	40	1300	1300	1	1		2		2	0.3	1	10	0.2	2
1983	3	2	27	2	9	5	10	2		100	1000	1	1		2		2	0.3	1	1	0.1	2
1984	3	1	6	6	9	5	2	3	0.8	200	400	1	1		2		2	0.25	0.5	1	0.2	2
1984	3	2	23	9	1	5	150	2		30	4500	1	1		2		1	0	0	1	0.3	2
1984	3	3	27	6	1	5	10	2		100	1000	1	1		2		1	0	0	1	0.3	2
1985	3	1	8	11	1	5	1	3	8	2000	2000	1	1		2		2	0.1	0.5	1	0.3	2
1986	3	1	24	1	1	6	120	2		32.5	3900	1	1		2		1	0	0	1	0.5	2
1986	3	2	23	8	1	6	275	2		33.75	9280	1	1		2		1	0	0	1	0.5	2
1986	3	3	8	11	1	6	1	3	10	3000	3000	1	1		2		1	0	0	1	0.5	2
1987	3	1	23	7	1	5	102	2		30	3060	1	1		2		1	0	0	1	0.2	2
1987	3	2	27	3	1	5	140	2		100	14000	1	1		2		2	0.15	1	3	0.3	2
1987	3	3	3	3	1	5	200	2		20	4000	1	1		2		2	0.15	1	3	0.3	2
1988	3	99																				
1989	3	1	24	2	1	5	133	2		30	3990	1	1		2		1	0	0	1	0.2	2
1991	3	99																				
1994	3	1	6	11	10	5	1	3	0.7	250	250	1	1		2		2	0.5	2	1	0.5	2
1994	3	2	7	8	10	6	1	3	110	30000	30000	1	1		2		1	0	0	1	0.1	2
