a01	hh_type	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20b	q_20b_2	q_20c	q_20c_2	q_20d_1	q_20d_2	q_20d_3	q_21
204	3	1	300		120	1	2	2	2	4	1	6	810	1	2	1200	5	600	1		3			2	1	1	2		2		6			120
205	3	1	4000		46	0	1	1	2	1	1	3	300	1	3	300	3	300	1		3			2	1	1	1	2	2		5			150
206	3	1	400		110	2	2	2	2	4	1	3	608	1	4	530	5	200	1		3			3	1	1	1	2	1	4	1			400
207	3	1	200		55	0	4	2	2	4	1	3	607	1	2	182	5	1100	1		3			1	1	3	1	3	2		6			40
208	3	1	100		55	0	5	10	2	4	1	1	506	1	3	118	9	100	1		3			1	1	1	2		2		6			80
209	3	1	100		34	1	2	2	2	4	1	1	219	2			5	300	4	110	3			1	1	1	2		2		6			100
210	3	1	400		9999	4	2	2	2	4	1	4	661	1	2	240	5	100	1		3			1	1	1	2		2		1			200
211	3	1	600		30	1	4	2	2	4	1	3	607	1	2	105	9	20	1		3			1	1	1	2		2		6			100
212	3	1	300		30	0	3	2	2	4	1	2	225	2			9	100	4	140	3			1	1	1	2		2		6			40
213	3	1	300		170	2	1	1	2	1	1	4	607	1	5	340	9	0	1		3			0	2		2		2		7			0
214	3	1	500		9999	1	2	2	2	4	1	3	864	1	2	260	5	0	1		3			2	1	1	1	3	2		1			500
215.1	3	1	300		70	1	4	2	2	4	1	3	335	2			9	0	4	140	3			0	2		2		2		7			0
215.2	3	2	200		9999	1	3	2	2	4	1	3	540	2			9	0	4	160	3			2	1	3	1	2	2		6			250
216	3	2	500		9999	0	3	2	2	4	1	3	608	1	2	50	9	100	1		3			1	1	2	2		2		6			40
218	3	1	500		20	0	2	2	2	4	1	4	513	1	2	301	9	350	1		3			2	1	1	1	2	2		1			300
219	3	1	5500		20	2	1	1	1	1	2	5	1000	1	2	1000	5	0	1		3			5	1	5	1	7	2		6			1000
220	3	1	400		9999	4	2	2	2	4	1	2	324	1	3	240	5	800	1		3			1	1	1	2		2		6			100
221	2	1	1500		9999	1	1	2	2	4	1	6	1080	1	2	493	5	0	1		3			5	2		1	1	1	8	6			1200
222	2	1	1000		9999	0	2	2	2	4	1	3	351	1	2	350	5	1350	1		3			3	1	1	1	2	1	3	6			300
224	2	1	500		9999	0	2	2	2	4	1	3	720	1	2	228	5	400	1		3			2	1	1	1	3	2		6			120
225	2	1	100		25	0	2	2	2	4	1	3	378	2			5	560	3	851	3			3	1	3	1	1	1	4	6			350
226	2	1	500		9999	0	2	2	2	4	1	1	158	1	2	315	5	1000	1		3			2	1	1	1	2	2		6			1500
227	2	1	500		9999	0	2	2	2	4	1	4	612	1	2	850	5	650	1		3			6	1	2	1	7	1	5	6			1200
228	2	1	500		9999	0	1	2	2	4	1	2	357	2			5	0	4	300	3			2	2		1	2	2		6			200
230	2	1	300		9999	0	3	2	2	4	1	2	432	1	3	220	9	0	1		3			1	2		1	3	2		6			160
231	2	1	1000		9999	0	2	2	2	4	1	4	600	1	2	300	5	0	1		3			2	1	1	1	4	2		6			1200
232	2	1	500		100	0	2	2	2	4	1	4	648	1	3	200	5	0	1		3			1	1	1	2		2		6			220
233	2	1	600		9999	0	3	2	2	4	3	3	891	1	2	300	5	0	1		3			1	2		1	3	2		6			300
234	2	1	1200		2	0	1	1	2	4	1	3	504	1	3	298	5	0	1		3			1	1	1	2		2		6			220
235	2	1	300		9999	0	3	2	2	4	1	1	173	1	2	180	9	0	1		3			1	1	1	2		2		6			80
237	2	1	1500		9999	0	2	2	2	4	1	2	420	1	2	208	9	0	1		3			2	1	2	1	3	2		6			80
238	2	1	1000		9999	0	2	2	2	4	1	3	650	1	3	400	9	0	1		3			1	1	3	2		2		6			80
239	2	1	1200		9999	0	2	2	2	4	1	3	1640	1	2	118	8	0	1		3			2	1	1	1	3	2		6			80
240.1	2	1	300		9999	1	2	2	2	4	1	2	216	1	2	400	9	0	1		3			2	1	1	1	2	2		6			1200
240.2	2	1	1200		9999	1	2	2	2	4	1	3	405	1	2	400	9	200	1		3			1	1	6	2		2		6			120
241	2	1	1500		5	0	2	2	2	4	1	3	236	1	2	165	9	0	1		3			1	2		1	5	2		6			100
242	2	1	300		35	0	1	2	2	4	1	3	157	1	2	110	9	0	1		3			1	1	1	2		2		6			300
243	2	1	1000		76	2	2	2	2	4	1	4	864	1	2	172	5	600	1		3			1	1	4	2		2		6			40
244	2	1	1000		7	0	1	2	2	4	1	3	396	1	2	250	9	125	1		3			1	1	1	2		2		6			50
245	2	1	800		8	0	1	2	2	4	1	3	575	2			9	220	3	0	3			0	2		2		2		7			0
246	2	1	200		50	0	1	2	2	3	1	1	573	1	3	110	5	0	1		3			0	2		2		2		7			0
247	2	1	600		10	0	1	2	2	4	1	3	228.3	2			5	400	2	150	3			1	2		1	3	2		6			150
248	2	1	600		20	0	2	2	2	4	1	3	512	2			5	0	2	170	3			2	2		1	3	2		1			200
249	2	1	300		94	0	2	2	2	4	1	3	309	2			9	0	3	0	3			2	1	1	1	3	2		6			800
250	2	1	500		100	0	2	2	2	4	1	2	384	2			7	300	3	125	3			2	1	1	1	2	2		6			400
251	2	1	800		17	0	1	1	1	4	1	4	620	2			5	472	3	0	3			2	1	1	2		2		6			300
252	2	1	400		58	0	2	2	2	4	1	1	204	2			9	0	2	170	3			2	1	1	1	1	2		6			100
254	2	1	1000		20	0	1	3	2	4	1	4	506	2			5	1810	3	750	3			4	1	1	1	3	1	5	6			200
