a01	mid	mem_stat	b1_01	b1_02	b1_03	b1_04	b1_04a	b1_04b	b1_05	b1_06	b1_07	b1_08	b1_08a	b1_09	b1_10	b1_11	b1_12	b1_13a	b1_13b	date	order	flag_m_a	FTF_vill
1.0	1	0	1	57	1	2	20	25	2		1	99			65	1	1	4			11057		
1.0	2	0	2	50	2	2	13	18	2		2	99			70	1	1	7			11058		
1.0	3	11																			11059		
1.0	4	0	1	18	3	1			2		4	10	1	1	81			18			11060		
2.0	1	0	1	51	1	2	20	24	2		1	99			1	1	1	1			11062		
2.0	2	0	2	45	2	2	14	18	2		4	5	1	2	21	1	2	3			11063		
2.0	3	0	1	21	3	1			2		4	12	5	1	81			3			11064		
3.0	1	0	1	48	1	2	21	23	2		4	8	1	2	52	2	5	12			11066		
3.0	2	0	2	41	2	2	14	16	2		4	3	1	2	69	1	1	7			11067		
3.0	3	0	1	23	3	2	20	22	2		4	4	1	2	64	1	1	4			11068		
3.0	4	0	2	21	4	2	18	20	2		4	8	1	2	82			18			11069		
4.0	1	0	1	33	1	1			2		1	99			64	1	1	4	7		11071		
4.0	2	0	1	31	7	2	30	99	2		1	99			64	1	1	4	7		11072		
4.0	3	11																			11073		
4.0	4	0	2	68	6	3	15	25	2		1	99			83			18			11074		
4.0	5	2	2	20	11	2	19	99	2		4	7	8	2	82			7			11075		
5.0	1	0	1	56	1	2	24	28	2		4	14	1	2	68	1	1	5			11077		
5.0	2	0	2	48	2	2	16	20	2		4	9	1	2	70	1	1	7			11078		
5.0	3	0	2	20	3	1			2		4	12	8	1	81			18			11079		
5.0	4	0	1	19	3	1			2		4	12	1	1	81			18			11080		
6.0	1	0	1	45	1	2	30	32	2		2	99			22	1	3	8			11082		
6.0	2	0	2	28	2	2	13	15	2		4	4	1	2	69	1	1	7			11083		
6.0	3	0	1	13	3	1			2		4	6	8	1	81			18			11084		
6.0	4	0	1	10	3	1			2		4	3	1	1	81			18			11085		
6.0	5	0	1	3	3	1			2		1	99			84			18			11086		
6.0	6	5	1	10	3	1			2		4	3	1	1	81			18			11087		
7.0	1	0	1	36	1	2	31	32	2		4	10	1	2	68	1	1	5	4		13031		
7.0	2	0	2	24	2	2	19	20	2		4	12	8	2	82			7			13032		
7.0	3	0	1	3	3	1			2		1	99			84			18			13033		
7.0	4	5	1	26	15	2	19	20	2		1	99			15	1	1	18			13034		
8.0	1	0	1	63	1	2	30	33	2		4	10	1	2	68	1	1	5			13036		
8.0	2	0	2	51	2	2	18	21	2		4	12	1	2	82			7			13037		
8.0	3	0	2	12	3	1			2		4	6	1	1	81			18			13038		
8.0	4	0	2	53	11	1			2		1	99			82			18			13039		
9.0	1	0	1	43	1	2	27	29	2		4	8	1	2	65	1	1	1			13041		
9.0	2	0	2	33	2	2	17	19	2		4	8	1	2	24	1	1	7			13042		
9.0	3	0	2	14	3	1			2		4	7	5	1	81			18			13043		
9.0	4	0	1	8	3	1			2		4	2	5	1	81			18			13044		
9.0	5	12																			13045		
10.1	1	0	1	81	6	2	31	33	2		1	99			83			18			13047		
10.1	2	10																			13048		
10.1	3	4	1	42	1	2	21	22	2		4	10	1	2	1	1	1	1	4		13049		
10.1	4	4	2	35	2	2	14	15	2		4	6	8	2	69	1	1	7			13050		
10.1	5	4	2	17	3	1			2		4	10	9	1	81			18			13051		
10.1	6	4	1	14	3	1			2		4	6	8	1	81			18			13052		
10.1	7	4	1	6	3	1			2		1	99			84			18			13053		
10.2	1	10																			13055		
10.2	2	0	2	63	6	2	13	15	2		1	99			85			18			13056		
10.2	3	4	1	47	1	2	20	22	2		4	7	1	2	64	1	1	4	5		13057		
10.2	4	4	2	42	2	2	15	17	2		2	3	1	2	69	1	1	7			13058		
11.0	1	0	1	58	1	2	28	30	2		2	99			64	1	1	4			10608		
11.0	2	0	2	43	2	2	13	15	2		1	99			82			7			10609		
11.0	3	0	1	28	3	2	27	99	2		4	4	1	2	22	1	1	8			10610		
11.0	4	0	1	19	3	1			2		4	4	1	2	22	1	1	8			10611		
11.0	5	0	2	13	3	1			2		4	6	8	1	81			18			10612		
11.0	6	2	2	15	4	2	14	99	2		4	7	8	2	82			18			10613		
12.0	1	0	1	38	1	2	31	32	2		4	6	1	2	64	1	1	4	1		10617		
12.0	2	0	2	25	2	2	18	19	2		4	9	8	2	70	1	1	7			10618		
12.0	3	0	2	6	3	1			2		4	66	1	1	81			18			10619		
12.0	4	0	2	57	6	3	16	18	2		2	99			69	1	1	7			10620		
12.0	5	1	1	0	3	1			2		1	99			84			18			10621		
13.0	1	0	1	38	1	2	23	30	2		4	5	1	2	1	1	1	12	7		10623		
13.0	2	0	2	28	2	2	13	20	2		4	5	1	2	69	1	1	7			10624		
13.0	3	0	2	10	3	1			2		4	4	1	1	81			18			10625		
13.0	4	0	2	4	3	1			2		1	99			84			18			10626		
13.0	5	0	2	73	6	3	14	16	2		1	99			69	1	1	7			10627		
14.0	1	0	1	73	1	2	23	25	2		2	0	1	2	64	1	1	4	7		10629		
14.0	2	0	2	63	2	2	13	15	2		2	0	1	2	69	1	1	7			10630		
14.0	3	7																			10631		
14.0	4	0	2	35	4	3	18	20	2		4	10	1	2	82			7			10632		
14.0	5	0	2	15	5	1			2		4	9	1	1	81			18			10633		
14.0	6	0	1	10	5	1			2		4	3	5	1	81			18			10634		
14.0	7	0	1	41	3	2	33	36	2		4	10	1	2	68	1	1	5	4		10635		
14.0	8	0	2	28	4	2	20	23	2		4	16	9	2	82			18			10636		
14.0	9	0	2	5	5	1			2		4	66	1	1	81			18			10637		
14.0	10	0	1	33	3	2	30	99	2		4	9	1	2	68	1	1	5	4		10638		
14.0	11	2	2	20	4	2	17	99	2		4	12	9	1	81			18			10639		
15.0	1	0	1	50	1	2	26	29	2		2	99			64	1	1	4	5		10641		
15.0	2	0	2	40	2	2	16	19	2		4	8	1	2	70	1	1	7			10642		
15.0	3	0	1	15	3	1			2		4	9	1	1	81			18			10643		
15.0	4	12																			10644		
16.1	1	0	1	45	1	2	31	32	2		4	14	1	2	68	1	1	5	4		11451		
16.1	2	0	2	33	2	2	19	20	2		4	14	1	2	82			7			11452		
16.1	3	0	1	13	3	1			2		4	7	1	1	81			18			11453		
16.1	4	10																			11454		
16.1	5	10																			11455		
16.1	6	0	2	73	6	3	13	15	2		1	99			83			18			11456		
16.1	7	10																			11457		
16.1	8	0	2	35	7	4	14	15	2		2	99			82			7			11458		
16.1	9	12																			11459		
16.1	10	1	2	2	3	1			2		1	99			84			18			11460		
16.2	1	10																			11462		
16.2	2	10																			11463		
16.2	3	10																			11464		
16.2	4	0	1	33	1	2	29	30	2		4	7	1	2	68	1	1	5			11465		
16.2	5	0	2	23	2	2	19	20	2		4	9	8	2	82			7			11466		
16.2	6	10																			11467		
16.2	7	0	2	68	6	3	18	20	2		1	99			83			18			11468		
16.2	8	10																			11469		
16.2	9	12																			11470		
16.2	10	1	1	2	3	1			2		1	99			84			18			11471		
17.0	1	0	1	47	1	2	21	24	2		2	1	1	2	1	1	1	1			11473		
17.0	2	0	2	40	2	2	14	17	2		4	4	1	2	82			7			11474		
17.0	3	8																			11475		
17.0	4	0	1	16	3	1			2		4	9	8	1	81			1			11476		
18.1	1	0	1	71	1	2	27	32	2		2	99			83			4	5		11478		
18.1	2	0	2	63	2	2	19	24	2		1	99			69	1	1	7			11479		
18.1	3	10																			11480		
18.1	4	0	1	28	3	2	20	24	2		4	9	1	2	68	1	1	4	5		11481		
18.1	5	0	2	23	4	2	15	19	2		4	9	8	2	82			7			11482		
18.1	6	0	1	4	5	1			2		1	99			84			18			11483		
18.1	7	5	1	14	15	1			2		2	2	1	2	15	1	1	3			11484		
18.2	1	10																			11486		
18.2	2	10																			11487		
18.2	3	0	1	30	1	2	27	30	2		4	9	1	2	68	1	1	4	5		11488		
18.2	4	10																			11489		
18.2	5	10																			11490		
18.2	6	10																			11491		
18.2	7	2	2	22	2	2	19	22	2		4	10	8	2	69	1	1	7			11492		
18.2	8	1	2	0	3	1			2		1	99			84			18			11493		
19.0	1	0	1	43	1	2	21	23	2		4	4	1	2	36	1	1	8			11495		
19.0	2	9																			11496		
19.0	3	8																			11497		
19.0	4	11																			11498		
19.0	5	2	2	27	2	2	12	26	2		2	1	1	2	82			7			11499		
19.0	6	1	2	0	3	1			2		1	99			84			18			11500		
20.0	1	0	1	33	1	2	23	25	2		4	9	1	2	68	1	1	1	5		11502		
20.0	2	0	2	28	2	2	13	15	2		4	8	1	2	69	1	1	7			11503		
20.0	3	0	2	8	3	1			2		4	2	5	1	81			18			11504		
20.0	4	1	2	2	3	1			2		1	99			84			18			11505		
22.0	1	0	2	43	1	3	28	32	2		1	99			1	1	1	1	7		1	1	1
22.0	2	0	2	11	3	1			2		4	4	5	1	81			18			2	1	1
22.0	3	0	1	9	3	1			2		4	1	5	1	81			18			3	1	1
22.0	4	7																			4	1	1
23.0	1	0	1	56	1	2	26	28	2		1	99			67	2	4	8			5	1	1
23.0	2	0	2	47	2	2	17	19	2		4	5	1	2	70	1	1	7			6	1	1
23.0	3	0	1	19	3	1			2		4	4	5	2	13	1	1	3			7	1	1
23.0	4	0	1	15	3	1			2		4	4	5	2	86			18			8	1	1
23.0	5	5	2	72	6	3	15	16	2		1	99			83			18			9	1	1
24.0	1	0	2	47	1	3	17	19	2		1	99			82			18			10	1	1
24.0	2	8																			11	1	1
24.0	3	0	1	22	3	1			2		4	4	1	2	13	1	2	3			12	1	1
24.0	4	0	2	16	3	1			2		4	4	5	2	86			18			13	1	1
25.0	1	0	1	78	1	2	25	30	2		2	99			64	1	1	4			14	1	1
25.0	2	0	2	63	2	2	10	15	2		1	99			82			7			15	1	1
25.0	3	0	1	27	3	1			2		4	16	1	2	72	1	1	8			16	1	1
26.0	1	0	1	61	1	2	23	25	2		1	99			50	1	2	8			17	1	1
26.0	2	0	2	53	2	2	15	17	2		1	99			82			18			18	1	1
26.0	3	0	1	10	3	1			2		4	2	5	1	81			18			19	1	1
27.0	1	0	1	33	1	2	27	29	2		1	99			65	1	1	9	7		20	1	1
27.0	2	0	2	28	2	2	22	24	2		4	8	8	2	24	1	1	8			21	1	1
27.0	3	0	1	4	3	1			2		1	99			84			18			22	1	1
27.0	4	1	1	2	3	1			2		1	99			84			18			23	1	1
28.0	1	0	1	39	1	2	23	24	2		1	99			64	1	1	4			24	1	1
28.0	2	0	2	33	2	2	17	18	2		4	5	1	2	69	1	1	7			25	1	1
28.0	3	8																			26	1	1
28.0	4	0	2	11	3	1			2		4	5	1	1	81			18			27	1	1
28.0	5	0	1	8	3	1			2		4	1	1	1	81			18			28	1	1
29.0	1	0	1	38	1	2	26	30	2		4	5	1	2	50	1	1	8			29	1	1
29.0	2	0	2	28	2	2	16	20	2		4	10	5	2	82			18			30	1	1
29.0	3	0	2	5	3	1			2		4	66	6	1	81			18			31	1	1
29.0	4	0	1	3	3	1			2		1	99			84			18			32	1	1
29.0	5	0	2	63	6	3	22	24	2		1	99			83			18			33	1	1
29.0	6	5	2	7	3	1			2		4	1	6	1	81			18			34	1	1
30.1	1	0	1	38	1	2	21	25	2		4	7	1	2	23	1	1	8			35	1	1
30.1	2	0	2	30	2	2	13	17	2		4	6	8	2	82			7			36	1	1
30.1	3	6	1	13	3	1			2		4	6	5	1	81			18			37	1	1
30.1	4	10																			38	1	1
30.1	5	10																			39	1	1
30.1	6	1	1	3	3	1			2		1	99			84			18			40	1	1
30.2	1	10																			41	1	1
30.2	2	10																			42	1	1
30.2	3	10																			43	1	1
30.2	4	0	1	73	1	2	33	35	2		2	99			22	1	1	8			44	1	1
30.2	5	0	2	58	2	2	15	17	2		1	99			82			7			45	1	1
30.2	6	5	2	100	6	3	11	13	2		1	99			85			18			46	1	1
31.0	1	0	1	63	1	2	29	33	2		1	99			1	1	1	1			47	1	1
31.0	2	0	2	48	2	2	14	18	2		2	99			82			7			48	1	1
31.0	3	0	1	15	3	1			2		4	6	5	2	13	1	2	3			49	1	1
32.0	1	0	1	53	1	2	18	23	2		2	2	1	2	11	1	1	8			50	1	1
32.0	2	0	2	47	2	2	12	17	2		2	1	1	2	82			18			51	1	1
32.0	3	0	1	25	3	2	21	22	2		4	10	1	2	11	1	1	2			52	1	1
32.0	4	0	2	22	4	2	18	19	2		4	5	1	2	13	1	1	3			53	1	1
32.0	5	8																			54	1	1
32.0	6	1	2	3	5	1			2		1	99			84			18			55	1	1
33.0	1	0	1	63	1	2	23	24	2		1	99			44	1	2	4			56	1	1
33.0	2	0	2	55	2	2	15	16	2		1	99			82			7			57	1	1
33.0	3	0	1	13	3	1			2		4	7	5	1	81			18			58	1	1
34.0	1	0	1	27	1	1			2		4	14	1	2	51	1	1	8			59	1	1
34.0	2	0	2	26	11	2	16	18	2		4	9	1	2	82			7			60	1	1
34.0	3	0	2	8	8	1			2		4	2	1	1	81			18			61	1	1
34.0	4	0	1	68	6	2	23	29	2		2	99			83			18			62	1	1
34.0	5	0	2	58	6	2	13	19	2		2	99			83			18			63	1	1
35.0	1	0	2	53	1	3	22	24	2		4	9	1	2	82			18			64	1	1
35.0	2	0	2	29	3	1			2		4	14	1	2	13	1	2	3			65	1	1
35.0	3	0	2	26	3	1			2		4	14	1	2	46	1	1	8			66	1	1
35.0	4	11																			67	1	1
36.0	1	0	1	43	1	2	20	23	2		4	9	1	2	24	1	1	8	4		68	1	1
36.0	2	0	2	35	2	2	12	15	2		4	5	1	2	82			7			69	1	1
36.0	3	0	1	20	3	1			2		4	4	1	2	24	1	1	8			70	1	1
36.0	4	0	1	17	3	1			2		4	22	5	1	81			18			71	1	1
36.0	5	0	2	11	3	1			2		4	4	5	1	81			18			72	1	1
37.0	1	0	1	43	1	2	23	30	2		2	1	1	2	54	1	1	4	5		73	1	1
37.0	2	0	2	38	2	2	18	25	2		4	6	1	2	82			7			74	1	1
37.0	3	0	1	13	3	1			2		4	2	5	1	81			18			75	1	1
37.0	4	0	2	8	3	1			2		4	1	1	1	81			18			76	1	1
37.0	5	1	1	1	3	1			2		1	99			84			18			77	1	1
38.0	1	0	1	48	1	2	22	25	2		2	99			64	1	1	4	5		78	1	1
38.0	2	0	2	41	2	2	15	18	2		4	7	1	2	70	1	1	7			79	1	1
38.0	3	0	1	23	3	2	20	22	2		4	6	1	2	50	1	2	12			80	1	1
38.0	4	0	2	13	3	1			2		4	6	5	1	81			18			81	1	1
38.0	5	7																			82	1	1
38.0	6	2	2	19	4	2	16	18	2		4	5	5	2	82			18			83	1	1
38.0	7	1	2	0	5	1			2		1	99			84			18			84	1	1
39.0	1	0	1	26	1	2	20	22	2		4	5	1	2	65	1	1	9	8		85	1	1
39.0	2	0	2	22	2	2	16	18	2		4	9	8	2	82			7			86	1	1
39.0	3	0	1	3	3	1			2		1	99			84			18			87	1	1
39.0	4	7																			88	1	1
39.0	5	12																			89	1	1
41.0	1	0	1	51	1	2	25	30	2		4	8	1	2	50	1	1	4	12		90	1	1
41.0	2	0	2	41	2	2	15	20	2		4	5	1	2	82			7			91	1	1
41.0	3	11																			92	1	1
41.0	4	0	1	16	3	1			2		4	5	1	1	81			18			93	1	1
41.0	5	0	1	13	3	1			2		4	7	5	1	81			18			94	1	1
42.0	1	0	1	48	1	2	21	22	2		1	99			64	1	1	4			95	1	1
42.0	2	0	2	43	2	2	16	17	2		4	4	1	2	69	1	1	7			96	1	1
42.0	3	0	2	10	5	1			2		4	5	5	1	81			18			97	1	1
42.0	4	0	1	7	5	1			2		1	1	5	1	81			18			98	1	1
42.0	5	5	2	26	3	2	15	16	2		4	6	8	2	69	1	1	7			99	1	1
42.0	6	5	2	3	5	1			2		1	99			84			18			100	1	1
43.0	1	0	1	44	1	2	22	25	2		4	2	1	2	65	1	1	4			101	1	1
43.0	2	0	2	41	2	2	19	22	2		4	5	1	2	70	1	1	4			102	1	1
43.0	3	0	1	15	3	1			2		4	9	8	1	81			18			103	1	1
43.0	4	0	1	13	3	1			2		4	5	1	1	81			18			104	1	1
43.0	5	0	2	6	3	1			2		4	1	5	1	81			18			105	1	1
44.0	1	7																			106	1	1
44.0	2	0	2	63	1	3	15	18	2		4	7	1	2	82			7			107	1	1
45.0	1	0	1	77	1	2	25	32	2		4	5	1	2	64	1	1	4			108	1	1
45.0	2	0	2	65	2	2	13	20	2		4	4	1	2	82			7			109	1	1
45.0	3	11																			110	1	1
46.0	1	0	1	50	1	2	25	27	2		4	4	1	2	64	1	1	4	7		111	1	1
46.0	2	0	2	41	2	2	16	18	2		4	4	1	2	69	1	1	7			112	1	1
46.0	3	0	1	20	3	1			2		4	10	1	2	23	1	1	8			113	1	1
46.0	4	0	2	14	3	1			2		4	8	5	1	81			18			114	1	1
46.0	5	5	1	21	3	2	20	99	2		4	5	1	2	86			18			115	1	1
46.0	6	2	2	17	4	2	16	99	2		4	10	5	2	82			18			116	1	1
47.0	1	0	2	51	1	2	18	20	2		2	99			69	1	1	7			117	1	1
47.0	2	8																			118	1	1
47.0	3	0	1	13	3	1			2		4	3	1	2	86			18			119	1	1
47.0	4	0	2	11	3	1			2		4	5	5	1	81			18			120	1	1
48.0	1	0	1	75	1	2	24	26	2		4	10	1	2	64	1	1	4			121	1	1
48.0	2	0	2	69	2	2	18	20	2		4	8	1	2	82			7			122	1	1
48.0	3	11																			123	1	1
48.0	4	0	2	29	4	2	17	19	2		4	7	1	2	70	1	1	7			124	1	1
48.0	5	0	2	10	5	1			2		4	3	6	1	81			18			125	1	1
48.0	6	1	1	0	5	1			2		1	99			84			18			126	1	1
48.0	7	5	2	7	5	1			2		4	66	6	1	81			18			127	1	1
49.0	1	0	1	53	1	2	17	20	2		4	10	1	2	16	1	1	4			128	1	1
49.0	2	0	2	48	2	2	12	15	2		4	5	1	2	82			7			129	1	1
49.0	3	4	1	30	3	2	24	25	2		4	12	1	2	86			18			130	1	1
49.0	4	4	2	26	4	2	20	21	2		4	12	8	2	82			18			131	1	1
49.0	5	4	1	5	5	1			2		3	66	1	1	81			18			132	1	1
49.0	6	4	1	0	5	1			2		1	99			84			18			133	1	1
50.0	1	0	2	64	1	3	14	17	2		4	5	1	2	70	1	1	7			134	1	1
50.0	2	0	2	11	5	1			2		4	3	5	1	81			18			135	1	1
50.0	3	0	1	6	5	1			2		4	66	6	1	81			18			136	1	1
50.0	4	0	1	10	5	1			2		4	1	6	1	81			18			137	1	1
51.0	1	0	2	31	1	2	15	16	2		4	10	1	2	82			7			138	1	1
51.0	2	0	1	15	3	1			2		4	22	8	1	81			18			139	1	1
51.0	3	0	2	13	3	1			2		4	7	1	1	81			18			140	1	1
51.0	4	0	1	9	3	1			2		4	2	5	1	81			18			141	1	1
51.0	5	0	1	16	8	1			2		4	8	1	1	81			18			142	1	1
52.0	1	11																			143	1	1
52.0	2	0	2	38	1	2	18	19	2		1	99			11	1	1	2	7		144	1	1
52.0	3	8																			145	1	1
52.0	4	0	1	9	3	1			2		4	1	5	1	81			18			146	1	1
53.0	1	0	1	33	1	2	19	21	2		2	99			1	1	1	1			147	1	1
53.0	2	0	2	28	2	2	14	16	2		4	4	1	2	82			7			148	1	1
53.0	3	0	1	8	3	1			2		4	2	5	1	81			18			149	1	1
53.0	4	0	2	3	3	1			2		1	99			84			18			150	1	1
53.0	5	1	1	2	3	1			2		1	99			84			18			151	1	1
54.0	1	0	1	63	1	2	36	37	2		4	12	1	2	16	1	1	3			152	1	1
54.0	2	0	2	43	2	2	16	17	2		4	9	1	2	21	1	1	7			153	1	1
54.0	3	0	2	26	3	2	26	99	2		4	12	8	2	24	1	1	8			154	1	1
54.0	4	0	2	21	3	2	20	99	2		4	12	9	1	81			18			155	1	1
54.0	5	5	2	5	5	1			2		4	66	6	1	81			18			156	1	1
56.0	1	0	1	53	1	2	25	27	2		2	1	1	2	64	1	1	4	1		157	1	1
56.0	2	0	2	43	2	2	15	17	2		2	5	1	2	82			7			158	1	1
56.0	3	0	2	25	3	2	18	20	2		4	8	8	2	82			18			159	1	1
56.0	4	0	1	5	5	1			2		1	99			84			18			160	1	1
56.0	5	0	1	3	5	1			2		1	99			84			18			161	1	1
56.0	6	0	1	20	3	1			2		4	5	1	2	70	1	1	7			162	1	1
56.0	7	0	1	9	3	1			2		4	2	5	1	81			18			163	1	1
58.0	1	0	1	53	1	2	23	30	2		4	5	1	2	64	1	1	4	7		164	1	1
58.0	2	0	2	48	2	2	18	25	2		4	5	1	2	82			7			165	1	1
58.0	3	0	2	17	3	1			2		4	10	1	1	81			18			166	1	1
58.0	4	0	1	14	3	1			2		4	9	8	1	81			18			167	1	1
59.0	1	12																			168	1	1
59.0	2	0	2	53	1	2	11	16	2		2	99			82			7			169	1	1
59.0	3	0	2	15	3	2	15	99	2		4	5	5	2	82			18			170	1	1
59.0	4	0	2	28	4	2	20	24	2		4	7	1	2	82			18			171	1	1
59.0	5	6	1	4	5	1			2		2	66	1	1	81			18			172	1	1
60.0	1	11																			178	1	1
60.0	2	0	2	42	1	2	16	18	2		4	4	1	2	69	1	1	7			173	1	1
60.0	3	11																			174	1	1
60.0	4	5	2	22	4	2	18	21	2		4	10	8	2	82			18			175	1	1
60.0	5	1	1	1	5	1			2		1	99			84			18			176	1	1
60.0	6	5	2	2	5	1			2		1	99			84			18			177	1	1
61.0	1	0	1	53	1	2	31	36	2		1	99			67	1	1	6			11735		
61.0	2	0	2	42	2	2	20	25	2		4	5	1	2	69	1	1	7			11736		
61.0	3	0	1	14	3	1			2		4	5	5	1	81			18			11737		
61.0	4	0	1	8	3	1			2		4	1	5	1	81			18			11738		
61.0	5	5	1	17	3	1			2		4	4	1	2	67	1	1	6			11739		
62.0	1	0	1	78	1	2	27	30	2		1	99			11	1	1	2			11741		
62.0	2	0	2	68	2	2	17	20	2		1	99			82			18			11742		
62.0	3	0	1	23	3	1			2		1	99			11	1	1	2			11743		
63.0	1	0	1	39	1	2	21	24	2		4	1	1	2	22	1	1	8			11745		
63.0	2	0	2	33	2	2	15	18	2		4	9	1	2	82			7			11746		
63.0	3	0	1	15	3	1			2		4	4	1	2	86			18			11747		
63.0	4	0	2	9	3	1			2		4	1	1	1	81			18			11748		
63.0	5	0	2	4	3	1			2		1	99			84			18			11749		
66.0	1	0	1	57	1	2	23	35	2		4	4	1	2	64	1	1	15	17		11751		
66.0	2	7																			11752		
66.0	3	8																			11753		
66.0	4	6	1	14	3	1			1	5	4	4	1	1	81			18			11754		
66.0	5	2	2	50	2	2	14	17	2		4	3	1	2	82			18			11755		
66.0	6	5	2	9	3	1			2		4	2	1	1	81			18			11756		
67.0	1	0	1	41	1	2	23	24	2		1	99			3	1	1	2			11758		
67.0	2	0	2	35	2	2	17	18	2		4	5	1	2	69	1	1	7			11759		
67.0	3	0	1	11	3	1			2		4	5	2	1	81			18			11760		
68.0	1	0	1	45	1	2	17	19	2		4	7	1	2	67	2	1	6			11762		
68.0	2	0	2	40	2	2	12	14	2		4	9	1	2	82			18			11763		
68.0	3	0	1	26	3	1			2		4	12	1	2	86			18			11764		
68.0	4	0	2	23	3	2	15	17	2		4	7	1	2	82			18			11765		
68.0	5	0	2	6	5	1			2		4	1	1	1	81			18			11766		
69.0	1	0	1	73	1	2	39	42	2		2	99			65	1	1	4			11768		
69.0	2	0	2	43	2	2	18	21	2		4	5	1	2	70	1	1	7			11769		
69.0	3	0	1	31	3	2	28	29	2		1	99			11	1	1	2			11770		
69.0	4	0	2	22	4	2	19	20	2		4	5	1	2	82			7			11771		
69.0	5	0	1	3	5	1			2		1	99			84			18			11772		
69.0	6	11																			11773		
69.0	7	0	1	7	3	1			2		2	0	1	1	81			18			11774		
69.0	8	1	2	0	5	1			2		1	99			84			18			11775		
69.0	9	5	2	30	3	2	22	99	2		4	4	1	2	82			18			11776		
70.0	1	0	1	53	1	2	25	30	2		4	5	1	2	51	1	1	12			11778		
70.0	2	0	2	41	2	2	13	18	2		4	6	1	2	69	1	1	7			11779		
70.0	3	5	2	6	5	1			2		2	0	1	1	81			18			11780		
71.0	1	0	1	73	1	3	24	27	2		2	99			70	1	1	7			10998		
71.0	2	7																			10999		
71.0	3	4	1	30	3	2	22	25	2		4	5	2	2	23	1	1	8			11000		
71.0	4	4	2	25	4	2	17	20	2		4	5	1	2	82			7			11001		
71.0	5	4	1	5	5	1			2		1	99			84			18			11002		
71.0	6	4	2	1	5	1			2		1	99			84			18			11003		
72.0	1	0	1	51	1	2	20	25	2		4	9	1	2	51	2	1	12			11005		
72.0	2	0	2	45	2	2	14	20	2		4	9	1	2	82			12			11006		
72.0	3	0	1	25	3	2	21	24	2		4	7	1	2	51	2	1	18			11007		
72.0	4	0	2	23	4	2	19	22	2		4	10	9	2	82			18			11008		
72.0	5	0	2	19	3	2	18	19	2		4	8	9	2	82			18			11009		
72.0	6	1	2	2	5	1			2		1	99			84			18			11010		
72.0	7	1	1	0	5	1			2		1	99			84			18			11011		
74.0	1	0	1	51	1	2	25	26	2		1	99			65	1	1	4	7		11013		
74.0	2	0	2	40	2	2	14	15	2		4	5	2	2	70	1	1	7			11014		
74.0	3	8																			11015		
74.0	4	0	1	11	3	1			2		4	3	2	1	81			18			11016		
74.0	5	2	2	17	4	2	15	99	2		4	8	5	1	81			18			11017		
75.0	1	0	1	53	1	2	35	39	2		4	7	1	2	24	2	1	2			11019		
75.0	2	0	2	33	2	2	15	19	2		4	7	9	2	21	2	1	2			11020		
75.0	3	0	2	14	3	1			2		4	22	9	1	81			18			11021		
75.0	4	0	1	11	3	1			2		4	4	5	1	81			18			11022		
75.0	5	0	1	4	3	1			2		1	99			84			18			11023		
76.0	1	0	1	39	1	2	19	21	2		2	99			22	1	1	2	12		11025		
76.0	2	0	2	34	2	2	14	16	2		2	99			82			18			11026		
76.0	3	0	1	18	3	1			2		4	5	1	2	86			18			11027		
76.0	4	8																			11028		
76.0	5	0	1	12	3	1			2		4	5	5	1	81			18			11029		
76.0	6	1	1	1	3	1			2		1	99			84			18			11030		
77.0	1	0	1	56	1	2	25	26	2		4	12	1	2	19	1	1	3			11032		
77.0	2	0	2	47	2	2	17	19	2		4	8	1	2	69	1	1	7			11033		
77.0	3	0	2	18	3	1			2		4	10	8	1	81			18			11034		
77.0	4	0	2	27	4	2	17	18	2		4	10	8	2	82			18			11035		
77.0	5	0	1	7	5	1			2		4	2	3	1	81			18			11036		
77.0	6	5	2	10	8	1			2		4	4	1	1	81			18			11037		
78.0	1	0	1	33	1	2	25	28	2		4	5	1	2	50	1	1	4	12		11039		
78.0	2	0	2	29	2	2	21	24	2		4	8	2	2	82			18			11040		
78.0	3	0	2	5	3	1			2		4	0	1	1	81			18			11041		
78.0	4	0	1	3	3	1			2		1	99			84			18			11042		
79.0	1	11																			11044		
79.0	2	0	2	31	1	2	17	26	2		4	7	5	2	82			15			11045		
79.0	3	0	2	5	3	1			2		1	99			84			18			11046		
79.0	4	1	2	1	3	1			2		1	99			84			18			11047		
80.0	1	0	1	55	1	2	18	20	2		4	1	1	2	64	1	1	4	7		11049		
80.0	2	0	2	45	2	2	12	14	2		4	7	1	2	82			18			11050		
80.0	3	8																			11051		
80.0	4	0	1	18	3	1			2		4	10	1	1	81			18			11052		
80.0	5	5	1	30	3	2	23	25	2		4	10	1	2	64	1	1	4	3		11053		
80.0	6	2	2	19	4	2	12	14	2		4	10	1	2	82			18			11054		
80.0	7	1	1	1	5	1			2		1	99			84			18			11055		
81.0	1	0	1	28	1	2	22	23	2		4	6	1	2	51	1	2	8			20207		
81.0	2	0	2	23	2	2	17	18	2		4	8	8	2	82			18			20208		
81.0	3	0	2	5	3	1			2		1	66	6	1	81			18			20209		
81.0	4	0	1	63	6	2	21	22	2		2	99			85			18			20210		
81.0	5	0	2	58	6	2	16	17	2		2	99			82			18			20211		
81.0	6	1	2	2	3	1			2		1	99			84			18			20212		
82.0	1	0	1	48	1	2	28	30	2		2	99			50	1	1	8			20214		
