a01	hh_type	plotid	g01	g02_1	g02	g20	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag_g
16.2	3	4	2	156	78	2	2500	0	4	6	3125	4			4			1600000	3	2014	72			9																4
16.2	3	5	2	104	52	2	1500	0	4	6	1667	4			4			1100000	3	2014	72			9																4
16.2	3	6	2	52	26	2	3000	0	4	6	834	4			4			600000	3	2014	72			9																4
16.2	3	7	5	13	6.5	2	0	0	4	1		4			4			300000	3	2014	1			6																4
16.2	3	8	7	3	1.5	2	2500	0	4	6	3500	4			4			3000000	3	2014	72			9																4
16.2	3	9	2	30	15	2	3000	0	4	6	250	4			4			200000	3	2014	72			9																4
16.2	3	10	2	52	0	2																																		3
16.2	3	11	12	12	0	3																																		3
17	3	1	1	15	15	0	0	0	4	1		1			1			200000	1	1995	1			4																4
18.1	3	1	1	30	30	0	0	0	4	1		1			1			400000	1	1980	1			4																4
18.1	3	2	2	104	0	2																																		3
18.1	3	3	4	150	126	2	10	0	4	1		1			1			1400000	1	1982	1			5																4
18.1	3	4	2	130	150	7	400	3	4	2		1	72		72			800000	1	1988	4			1	4			4			4			4			4			0
18.1	3	5	2	40	0	2																																		3
18.1	3	6	2	13	13	0	800	3	4	2		1			1			80000	3	1988	1			1	4			4			4			4			4			0
18.1	3	7	2	20	0	2																																		3
18.1	3	8	8	20	20	0	10	3	4	2		1			1			150000	1	1980	1			2	4			4			4			4			4			1
18.2	3	1	1	30	0	2																																		3
18.2	3	2	2	104	104	0	200	0	4	2		3			72			1200000	3	2012	3			1	3	72		3			3			3			3			0
18.2	3	3	1	150	24	2	0	0	5	1		3			72			500000	3	2012	3			4																4
18.2	3	4	2	130	0	2																																		3
18.2	3	5	2	40	100	6	500	3	4	2		3			72			1200000	3	2012	3			1	3	72		3			3			3			3			0
18.2	3	6	2	13	0	2																																		3
18.2	3	7	12	20	10	2	600	1	4	2		72			72			100000	5	2014	3			1	3	72		72			72			72			72			1
18.2	3	8	8	20	0	2																																		3
19	3	1	1	5	5	0	0	0	4	1		1			1			60000	1	2004	1			4																4
19	3	2	2	52	0	3																																		3
20	3	1	1	2	2	0	0	0	4	1		1			72			48000	3	1998	1			4																4
20	3	2	2	52	52	0	500	2	4	3	1333	72			72			650000	6	2010	1			1	1			1			1			1			1			0
20	3	3	12	0	3	7	500	1	4	3	500	72			72			45000	6	2014	1			1	1			1			1			1			1			1
22	2	1	1	10	10	0	0	0	4	1		1			74			140000	7	1985	1			4																
23	2	1	1	6	6	0	0	0	4	1		1			72			90000	3	1985	1			4																
24	2	1	1	6	6	0	0	0	4	1		71			71			90000	3	2001	1	3		4																
25	2	1	1	25	25	0	0	0	5	1		2			2			1000000	2	1965	1			4																
25	2	2	5	13	13	0	10	0	5	1		2			2			400000	2	1965	1			7																
25	2	3	5	15	15	0	10	0	5	1		2			2			425000	2	1965	1			7																
25	2	4	2	30	30	0	500	0	5	2		1			3			1300000	3	2010	1			1	72	1		1			1			1			1			
25	2	5	2	20	20	0	500	0	5	7		1			3			700000	3	2010	1			9																
25	2	6	2	45	91	0	500	2	5	2		1			3			3000000	3	2010	1			1	1			1			1			1			1			
25	2	7	2	52	52	0	1000	0	5	7		1			1			1500000	1	1970	1			9																
25	2	8	2	42	42	0	1000	0	5	7		1			1			1200000	1	1973	1			9																
25	2	9	2	91	91	0	1000	0	5	7		1			1			425000	1	1978	1			9																
25	2	10	2	13	13	0	500	0	5	7		1			1			400000	1	1960	1			7																
25	2	11	2	25	25	0	500	0	5	7		1			1			1200000	1	1965	1			9																
25	2	12	2	8	8	0	500	0	5	7		1			1			350000	1	1963	1			9																
25	2	13	12	3	3	0	500	0	5	7		1			1			800000	1	1955	1			1	1			1			1			1			1			
25	2	14	2	38	38	0	4000	0	5	6	833	1			1			1200000	1	1972	72			9																
25	2	15	2	20	20	0	4000	0	5	7		1			1			700000	1	1978	1			9																
25	2	16	4	13	13	0	100	0	5	7		1			1			150000	1	1986	1			9																
25	2	17	2	10	10	0	50	0	5	2		1			1			100000	1	1978	1			1	1			1			1			1			1			
25	2	18	2	18	0	3																																		
25	2	19	2	4	4	0	450	0	5	7		1			1			60000	1	1979	1			9																
25	2	20	2	5	5	0	300	0	5	7		1			1			70000	1	1983	1			9																
25	2	21	4	3	3	0	60	0	5	1		1			1			45000	1	1984	1			7																
25	2	22	8	10	10	0	10	5	5	2		1			1			80000	1	1982	1			2	1			1			1			1			1			
25	2	23	9	8	8	0	10	1	5	1		1			1			40000	1	1977	1			7																
26	2	1	1	6	6	0	0	0	5	1		1			1			700000	1	1989	1			4																
27	2	1	1	12	12	0	0	0	5	1		1			72			600000	3	2007	72			4																
27	2	2	2	84	84	0	1000	1	5	4		72			72			1650000	6	2009	1			1	1			1			1			1			1			
27	2	3	2	52	52	0	1000	1	5	4		72			72			1100000	6	2009	1			1	1			1			1			1			1			
27	2	4	2	52	52	0	400	0	5	4		72			72			1600000	6	2009	1			1	1			1			1			1			1			
27	2	5	2	47	47	0	400	3	5	4		72			72			1600000	6	2011	1			1	1			1			1			1			1			
27	2	6	2	20	20	0	500	3	5	4		72			72			650000	6	2011	1			1	1			1			1			1			1			
27	2	7	2	10	10	0	450	3	5	4		72			72			500000	6	2011	1			1	1			1			1			1			1			
27	2	8	8	12	12	0	0	3	5	12		72			72			150000	3	2008	1			1	1			1			1			1			1			
27	2	9	12	3	3	0	20	0	5	2		72			72			70000	7	2011	1			1	1			1			1			1			1			
27	2	10	2	4	0	3																																		
28	2	1	1	15	15	0	0	0	5	1		1			1			220000	3	1998	1			4																
28	2	2	4	15	15	0	50	0	5	1		1			1			220000	3	1998	1			5																
28	2	3	2	37	37	0	250	0	5	2		1			1			500000	1	2000	1			1	1			1			1			1			1			
28	2	4	2	45	45	0	250	0	5	2		1			1			1000000	1	2006	1			1	1			1			1			1			1			
28	2	5	2	37	37	0	500	0	5	2		1			1			700000	1	2004	1			1	1			1			1			1			1			
28	2	6	2	45	45	0	1000	0	5	4		72			72			1500000	6	2010	1			1	1			1			1			1			1			
28	2	7	2	12	12	0	0	0	5	2		1			1			190000	3	1998	1			1	1			1			1			1			1			
28	2	8	12	10	10	0	50	0	5	2		72			72			150000	3	1998	1			1	1			1			1			1			1			
29	2	1	1	9	9	0	0	0	4	1		1			1			240000	1	2004	1			4																
29	2	2	8	5	5	0	20	3	4	2		1			1			600000	1	2004	1			2	1			1			1			1			1			
29	2	3	7	2	2	0	1000	0	4	1		1			1			400000	1	2000	1			6																
30.1	2	1	1	12	6	2	0	0	5	1		1			1			200000	3	1990	1			4																
30.1	2	2	2	25	0	2																																		
30.1	2	3	4	8	0	2																																		
30.1	2	4	8	5	0	2																																		
30.2	2	1	1	12	6	2	0	0	5	1		1			1			200000	3	1990	1			4																
30.2	2	2	2	25	25	0	300	0	5	1		1			1			700000	3	1971	1			7																
30.2	2	3	4	8	8	0	200	0	5	1		1			1			300000	1	2004	1			5																
30.2	2	4	8	5	5	0	0	4	5	6	66	1			1			150000	1	2004	1			9																
31	2	1	1	10	10	0	0	0	4	1		1			1			500000	2	1981	1			4																
31	2	2	2	18	0	3																																		
31	2	3	2	26	0	3																																		
31	2	4	2	13	0	3																																		
31	2	5	8	10	0	10																																		
32	2	1	1	10	10	0	0	0	4	1		1			72			500000	3	1990	1			4																
33	2	1	1	20	20	0	0	0	4	1		1			1			300000	3	1980	1			4																
33	2	2	2	10	10	0	200	2	4	2		1			1			100000	3	1980	1			1	1			1			1			1			1			
33	2	3	2	50	50	0	500	2	4	4		72			72			400000	6	2008	72			1	1			1			1			1			1			
33	2	4	2	25	0	3																																		
33	2	5	2	0	8	7	150	2	4	4		72			72			80000	6	2012	72			1	1			1			1			1			1			
33	2	6	2	0	52	7	500	2	4	4		72			72			550000	6	2014	72			1	1			1			1			1			1			
34	2	1	1	20	20	0	0	0	4	1		4			4			500000	1	1991	1	4		4																
34	2	2	9	5	5	0	10	3	4	1		4			4			100000	1	1991	98			7																
35	2	1	1	19	19	0	0	0	4	1		1			72			1000000	5	1998	1			4																
36	2	1	1	6	6	0	0	0	4	1		1			72			350000	3	2001	1			4																
36	2	2	2	18	18	0	100	2	4	2		72			72			400000	3	2001	1			1	1			1			1			1			1			
36	2	3	2	30	0	3																																		
36	2	4	2	40	40	0	100	2	4	2		72			72			1200000	6	2010	1			1	1			1			1			1			1			
36	2	5	12	0	1	7	100	0	4	2		72			72			30000	6	2014	1			1	1			1			1			1			1			
37	2	1	1	13	13	0	0	0	5	1		1			1			400000	1	2002	1			4																
37	2	2	2	40	0	3																																		
37	2	3	2	57	57	0	500	5	5	3	1250	72			72			700000	6	2005	1			1	1			1			1			1			1			
37	2	4	8	22	22	0	80	5	5	3	666	72			72			500000	6	2009	1			2	1			1			1			1			1			
37	2	5	2	0	8	7	500	5	5	3	250	72			72			600000	6	2012	1			1	1			1			1			1			1			
37	2	6	12	0	1	7	500	0	5	3	200	72			72			30000	6	2014	1			1	1			1			1			1			1			
38	2	1	1	15	15	0	0	0	4	1		1			1			500000	3	1998	1			4																
38	2	2	2	7	7	0	1000	0	4	2		1			1			120000	3	1998	1			1	1			1			1			1			1			
38	2	3	2	6	6	0	1000	0	4	2		1			1			100000	3	1998	1			1	1			1			1			1			1			
38	2	4	2	15	15	0	1000	0	4	2		1			1			100000	3	1998	1			1	1			1			1			1			1			
38	2	5	2	7	7	0	1000	0	4	2		1			1			120000	3	1998	1			1	1			1			1			1			1			
38	2	6	2	13	13	0	1000	0	4	2		1			1			180000	3	1998	1			1	1			1			1			1			1			
38	2	7	2	13	13	0	100	0	4	1		1			1			400000	3	1998	1			7																
38	2	8	2	13	13	0	200	0	4	1		1			1			100000	3	1998	1			7																
38	2	9	2	13	13	0	500	4	4	2		1			1			300000	3	1998	1			1	1			1			1			1			1			
38	2	10	2	15	24	0	500	4	4	2		1			1			400000	3	1998	1			1	1			1			1			1			1			
38	2	11	4	10	10	0	80	0	4	1		1			1			300000	3	1998	1			5																
38	2	12	2	9	0	3																																		
38	2	13	2	25	25	0	500	0	4	4		72			72			600000	6	2009	1			1	1			1			1			1			1			
38	2	14	2	15	15	0	500	0	4	4		72			72			300000	6	2009	1			1	1			1			1			1			1			
38	2	15	12	0	5	7	100	0	4	3	0	72			72			20000	6	2013	1			1	1			1			1			1			1			
39	2	1	1	30	30	0	0	0	4	1		1			1			1700000	3	2008	1			4																
39	2	2	4	15	20	5	100	0	4	1		1			1			1000000	3	2008	1			5																
39	2	3	4	13	18	5	200	0	5	1		1			1			1200000	3	2008	1			5																
39	2	4	4	4	6	5	400	0	4	1		1			1			300000	3	2008	1			5																
39	2	5	4	10	0	10																																		
39	2	6	2	13	13	0	350	1	4	2		1			1			450000	3	2008	1			1	1			1			1			1			1			
39	2	7	2	50	50	0	200	0	4	4		72			72			2400000	6	2008	1			1	1			1			1			1			1			
39	2	8	2	50	0	3																																		
39	2	9	2	10	0	3																																		
39	2	10	2	5	0	3																																		
39	2	11	2	10	10	0	200	0	4	5		72			72			300000	6	2008	1			9																
39	2	12	2	52	0	3																																		
39	2	13	2	10	0	3																																		
39	2	14	8	0	70	10	1000	5	1	12		1	72		72			1500000	7	2013	1	72		2	1	72		1	72		1	72		1	72		1	72		
39	2	15	12	0	12	7	100	0	4	3	300	72			72			20000	6	2013	1			1	1			1			1			1			1			
41	2	1	1	15	15	0	0	0	2	1		1	72		1	72		13000	3	2000	1			4																
41	2	2	2	3	3	0	3000	0	4	2		1	72		1	72		40000	3	1980	1			1	1	72		1	72		1	72		1	72		1			
41	2	3	2	15	15	0	500	1	4	2		1	72		1	72		100000	3	1980	1			1	1	72		1	72		1	72		1	72		1			
41	2	4	2	3	3	0	100	1	4	2		1	72		1	72		20000	3	1980	1			1	1	72		1	72		1	72		1	72		1			
41	2	5	2	20	20	0	200	1	4	2		1	72		1	72		140000	1	2007	1			1	1	72		1	72		1	72		1	72		1			
41	2	6	2	6	6	0	1000	1	4	2		1			1			30000	3	1980	1			1	1			1			1			1			1			
41	2	7	2	2	2	0	300	1	4	2		1			1			15000	3	1980	1			1	1			1			1			1			1			
41	2	8	2	33	16	3	500	1	4	3	250	72			72			20000	6	2009	1			1	1			1			1			1			1			
41	2	9	9	8	8	0	100	3	4	1		1	72		72	1		10000	3	1980	1			7																
42	2	1	1	33	33	0	0	0	5	1		1			1			200000	3	1984	1			4																
42	2	2	2	20	20	0	20	3	5	2		1			1			190000	3	2004	1			1	1			1			1			1			1			
42	2	3	2	10	10	0	30	3	5	2		1			1			180000	3	2006	1			1	1			1			1			1			1			
42	2	4	2	21	21	0	100	3	5	2		1			1			250000	1	2006	1			1	1			1			1			1			1			
42	2	5	2	4	4	0	150	3	5	2		1			1			90000	3	2008	1			1	1			1			1			1			1			
42	2	6	2	4	4	0	200	3	5	2		1			1			90000	1	2008	1			1	1			1			1			1			1			
42	2	7	2	4	4	0	250	3	5	2		1			1			90000	1	2008	1			1	1			1			1			1			1			
42	2	8	2	4	4	0	200	3	5	2		1			1			90000	1	2008	1			1	1			1			1			1			1			
42	2	9	2	33	33	0	300	3	5	3	583	1			72			300000	6	2010	1			1	1			1			1			1			1			
42	2	10	2	33	33	0	250	3	5	3	583	1			72			30000	6	2010	1			1	1			1			1			1			1			
42	2	11	2	34	34	0	300	3	5	3	583	1			72			310000	6	2010	1			1	1			1			1			1			1			
42	2	12	2	18	18	0	300	3	5	3	750	1			72			10000	6	2010	1			1	1			1			1			1			1			
42	2	13	8	3	3	0	10	8	1	2		1			1			700000	3	1984	1			1	1			1			1			1			1			
42	2	14	9	4	4	0	50	9	1	1		1			1			800000	3	1984	1			7																
43	2	1	1	15	15	0	0	0	5	1		1			1			250000	3	2000	1			4																
43	2	2	2	15	15	0	200	2	4	2		1			1			200000	3	2000	1			1	1			1			1			1			1			
43	2	3	2	70	70	0	500	2	4	4		72			72			500000	6	2008	1			1	1			1			1			1			1			
43	2	4	2	45	45	0	500	2	4	4		72			72			250000	6	2007	1			1	1			1			1			1			1			
43	2	5	2	66	0	3																																		
43	2	6	2	66	66	0	500	2	4	4		72			72			400000	6	2008	1			1	1			1			1			1			1			
43	2	7	2	66	66	0	500	2	4	3	500	72			72			500000	6	2009	1			1	1			1			1			1			1			
43	2	8	8	5	5	0	0	4	5	12		1	72		72			50000	3	2000	1	72		2	1			1			1			1			1			
43	2	9	2	0	17	7	500	2	4	4		72			72			200000	6	2012	1			1	1			1			1			1			1			
43	2	10	2	0	33	7	800	2	4	3	250	72			72			400000	6	2012	1			1	1			1			1			1			1			
43	2	11	2	0	15	7	200	2	4	3	166	72			72			200000	6	2013	1			1	1			1			1			1			1			
43	2	12	2	0	16	7	100	2	4	4		72			72			200000	6	2012	1			1	1			1			1			1			1			
43	2	13	2	0	12	7	300	2	4	4		72			72			180000	6	2013	1			1	1			1			1			1			1			
43	2	14	2	0	8	7	300	2	4	4		72			72			140000	6	2013	1			1	1			1			1			1			1			
44	2	1	1	30	30	0	0	0	5	1		2			2	72		300000	3	2012	2	72		4																
44	2	2	2	20	20	0	60	0	5	6	138	2			2	72		200000	3	2012	2	72		9																
44	2	3	2	20	20	0	80	0	5	6	138	2			2	72		200000	3	2012	2	72		9																
44	2	4	2	10	10	0	120	0	5	6	70	2			2	72		150000	3	2012	2	72		9																
44	2	5	2	40	40	0	30	0	5	6	275	2			2	72		200000	3	2012	2	72		9																
44	2	6	2	27	27	0	40	0	5	6	186	2			2	72		180000	3	2012	2	72		9																
44	2	7	2	10	10	0	60	0	5	6	70	2			2	72		150000	3	2012	2	72		9																
44	2	8	2	10	10	0	90	0	5	6	70	2			2	72		150000	3	2012	2	72		9																
44	2	9	2	13	13	0	100	0	5	6	90	2			2	72		180000	3	2012	2	72		9																
44	2	10	2	6	6	0	150	0	5	6	45	2			2	72		100000	3	2012	2	72		9																
44	2	11	2	20	20	0	200	0	5	6	138	2			2	72		220000	3	2012	2	72		9																
44	2	12	2	16	16	0	250	0	5	6	110	2			2	72		20000	3	2012	2	72		9																
44	2	13	2	6	6	0	300	0	5	6	45	2			2	72		100000	3	2012	2	72		9																
44	2	14	2	16	16	0	220	0	5	6	110	2			2	72		200000	3	2012	2	72		9																
44	2	15	2	20	20	0	250	0	5	6	138	2			2	72		250000	3	2012	2	72		9																
44	2	16	2	25	25	0	300	0	5	6	173	2			2	72		175000	3	2012	2	72		9																
44	2	17	2	43	43	0	350	0	5	6	297	2			2	72		300000	3	2012	2	72		9																
44	2	18	4	14	14	0	400	0	5	1		2			2	72		110000	3	2012	2	72		5																
44	2	19	4	47	47	0	500	0	5	1		2			2	72		280000	3	2012	2	72		5																
44	2	20	4	7	7	0	450	0	5	1		2			2	72		60000	3	2012	2	72		5																
44	2	21	4	8	8	0	0	0	5	1		2			2	72		70000	3	2012	2	72		5																
44	2	22	9	3	3	0	0	10	1	1		2			2	72		60000	3	2012	2	72		7																
44	2	23	8	10	10	0	0	10	1	12		2			2	72		60000	3	2012	2	72		2	72			72			72			72			2	72		
45	2	1	1	7	7	0	0	0	5	1		1			1			150000	3	1974	1			4																
45	2	2	2	17	17	0	250	1	5	2		1			1			200000	3	1974	1			1	1	72		1	72		1	72		1	72		1	72		
45	2	3	2	15	15	0	150	1	5	2		1			1			180000	3	1974	1			1	1	72		1	72		1	72		1	72		1	72		
45	2	4	2	7	7	0	200	1	5	2		1			1			100000	3	1974	1			1	1	72		1	72		1	72		1	72		1	72		
45	2	5	2	5	5	0	250	1	5	2		1			1			75000	3	1974	1			1	1	72		1	72		1	72		1	72		1	72		
45	2	6	2	10	10	0	300	1	5	2		1			1			150000	3	1974	1			1	1	72		1	72		1	72		1	72		1	72		
