a01	hh_type	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	flag_b2
72	3	3	1		1996	1	2	1	15	2	2								1		2004	9	
72	3	5	1		2002	1	2	1	15	2	2								9		2010	21	
74	3	4	1		2012	1	8	5	30	1	1	2	1000	2		1	4	2	1		9999		
74	3	5	1		2006	1	1	0.5	5	1	1	2	125	1	500	8	8	2	8		9999		
75	3	4	1		2010	66	10	2	30	1	1	2	500	2		1	77	2	5	6	9999		
75	3	3	1		2005	66	1	1	20	1	1	1	0	1	250	9	10	2	9	5	9999		
76	3	5	1		2010	1	1	1	15	1	1	1	0	1	300	1	6	2	4		9999		
76	3	3	1		2005	1	1	2	30	2	2								1		2011	6	
77	3	6	1		2011	1	2	1	15	1	1	2	0	1	400	1	5	2	1		9999		
77	3	3	1		2005	1	9	2	30	1	1	2	50	1	500	9	12	2	9		9999		
77	3	5	1		2013	1	1	0.5	10	1	1	1	0	2		1	3	2	1		9999		
77	3	4	1		2000	1	9	2	30	2	2								1		2013	21	
78	3	3	1		2015	1	1	0.5	15	1	1	1	0	1	200	1	1	9					
79	3	99																					
80	3	6	1		2002	1	1	1	15	2	2								1		2011	21	
80	3	4	1		2003	1	1	2	30	1	1	1	130	1	900	1	12	2	1		9999		
81	3	3	1		2015	1	1	0.25	5	2	1	1	0	2		1	66	9					
81	3	2	1		2001	1	2	0.5	10	2	2								8		2009	9	
82	3	3	1		2006	66	7	1	15	1	1	2	0	1	800	8	9	2	8		9999		
82	3	5	1		2008	66	11	1	15	1	1	2	125	1	600	1	6	2	5	6	9999		
82	3	4	1		2008	66	1	1	15	2	2								5		2013	9	
83	3	3	1		2009	66	7	1.5	20	1	1	2	0	1	400	1	6	2	1		9999		
83	3	4	1		2011	66	7	1.5	20	1	1	2	0	1	300	1	4	2	1		9999		
83	3	5	1		2013	66	7	1.5	20	1	1	2	0	1	200	1	2	2	1		9999		
83	3	6	1		2015	66	1	0.5	10	2	1	1	0	2		6	66	9					
84	3	4	1		2014	66	1	0.3	6	1	2								2		2014	10	
85	3	4	1		2015	1	1	0.5	10	2	1	1	0	1	200	6	1	9					
85	3	3	1		2014	1	1	0.5	10	1	1	1	0	1	300	6	2	2	6		9999		
86	3	6	1		2002	66	2	1.5	20	2	2								8		2013	21	
86	3	2	1		1998	66	2	2	20	2	2								8		2009	6	
86	3	4	1		2013	66	7	1.5	25	1	1	2	0	1	250	1	2	2	1		9999		
86	3	3	1		2012	66	7	1.5	25	1	1	2	0	1	250	1	3	2	1		9999		
87	3	3	1		2015	66	6	0.25	5	2	1	2	0	2		6	66	9					
89	3	3	1		2015	66	1	0.5	5	2	1	1	0	2		6	66	9					
89	3	2	2	9																			
90	3	5	1		2012	1	1	0.25	6	1	1	1	0	2		6	4	2	6		9999		
90	3	6	1		2010	1	1	0.25	6	1	1	1	0	2		1	6	2	1		9999		
90	3	4	1		2009	77	7	0.5	7	2	2								1		2013	11	
90	3	3	1		2006	1	2	1	20	1	1	1	0	2		8	10	2	8		9999		
91	3	3	1		2014	66	4	0.5	10	1	1	2	0	2		6	1	2	6		9999		
92	3	5	1		2012	66	1	0.5	10	1	1	1	0	2		6	2	2	6		9999		
92	3	3	1		2008	66	7	2	25	1	1	2	0	1	400	1	6	2	1		9999		
92	3	4	1		2009	66	7	2	25	1	1	2	0	1	300	1	4	2	1		9999		
93	3	5	2	9																			
93	3	3	2	9																			
93	3	4	1		2012	66	4	0.5	5	1	1	2	0	2		5	3	2	5		9999		
94	3	5	1		2004	66	2	0.5	10	2	2								5		2014	21	
94	3	3	1		2012	66	1	0.5	10	1	1	1	0	2		6	3	2	6		9999		
94	3	4	1		2014	66	1	0.5	10	1	1	1	0	2		6	1	2	6		9999		
95	3	3	1		2013	77	7	0.5	6	1	1	2	0	2		1	2	2	1		9999		
96	3	4	1		2012	66	1	2	20	1	1	1	0	2		5	3	2	5		9999		
96	3	5	1		2014	1	4	0.5	5	1	1	2	0	2		5	2	2	5		9999		
97	3	4	1		2011	77	10	15	60	1	1	2	0	2		1	77	2	1		9999		
97	3	5	1		2011	66	1	0.25	5	1	1	1	0	2		6	3	1	6		9999		
98	3	3	1		2010	66	1	2	20	1	1	1	0	1	200	5	5	2	5	6	9999		
99	3	5	1		2011	66	1	0.25	5	1	1	1	0	1	200	6	3	2	6		9999		
99	3	3	1		2010	66	1	0.25	5	1	1	1	0	1	200	6	4	1	6		9999		
99	3	4	1		2011	66	1	0.25	5	1	1	1	0	1	100	6	2	1	6		9999		
100.1	3	10	1		2003	66	2	0.5	5	2	2								5		2012	21	
100.1	3	6	1		1998	1	1	2	15	2	2								1		2003	9	
100.1	3	7	1		2009	66	2	2	20	1	1	2	0	1	400	1	6	2	5		9999		
100.2	3	4	1		2001	66	2	0.5	5	2	2								8		2009	21	
101	3	3	1		2011	1	1	1	10	1	1	1	0	2		5	5	2	5	6	9999		
102	3	4	1		2015	66	1	1	10	2	1	1	0	2		1	66	9					
102	3	3	1		2012	66	7	2	20	1	1	2	0	1	300	1	3	2	1		9999		
103	3	3	1		2008	66	2	0.5	5	1	1	2	100	1	300	1	7	2	5		9999		
104	3	3	1		2012	66	1	0.25	5	1	1	1	0	1	500	5	3	2	5	6	9999		
105	3	4	1		2008	66	2	2	25	1	1	2	0	1	300	1	7	2	5		9999		
106	3	3	1		2012	66	2	1	10	1	1	2	200	2		1	3	2	1		9999		
106	3	2	1		2006	66	2	1	10	1	1	2	0	2		1	9	2	5		9999		
107	3	4	1		2005	66	2	1	10	1	1	2	100	2		1	9	2	5		9999		
107	3	3	1		2001	66	1	0.5	5	1	1	1	0	2		8	14	2	8		9999		
108	3	4	1		2010	66	1	1	10	1	1	1	0	1	300	5	5	2	5	6	9999		
108	3	3	1		2004	66	1	1	10	2	2								1		2009	11	
109	3	3	2	2																			
110	3	99																					
111	3	3	1		2006	1	1	0.5	10	1	2								5	6	2013	21	
111	3	4	1		2006	1	1	0.5	10	1	2								5	6	2013	21	
112	3	2	1		2012	66	2	0.25	5	1	1	2	0	2		1	2	1	1		9999		
113	3	4	1		2010	1	1	0.5	5	1	1	1	0	1	200	8	6	2	5	8	9999		
113	3	3	1		2000	1	1	4	20	2	2								1		2010	9	
114	3	2	1		2003	66	2	7	30	1	1	2	0	1	500	1	12	2	8		9999		
114	3	3	1		2012	66	1	0.5	5	1	1	1	0	2		5	3	2	5	2	9999		
116	3	6	1		2004	66	7	3	30	1	1	2	0	1	2000	1	11	2	5	6	9999		
116	3	2	1		2008	66	2	0.25	5	1	1	2	0	2		1	7	2	5	6	9999		
117	3	4	1		2005	66	2	4	30	1	1	2	150	1	2400	1	10	2	1		9999		
117	3	3	1		2000	66	9	4	30	1	1	2	120	1	500	1	14	2	1		9999		
118	3	5	1		2003	66	9	4	30	1	1	2	60	1	1500	1	12	2	5		9999		
119	3	5	1		2010	1	2	2	25	1	1	2	0	2		1	6	2	5		9999		
120	3	4	1		2012	1	1	0.5	10	1	1	1	0	2		5	4	2	5	6	9999		
120	3	3	1		2007	66	7	1	10	1	1	1	0	2		1	8	2	5	6	9999		
121	2	2	1		1995	1	1	7	45	1	1	1	0	1	400	1	16	1	8		9999		
122	2	3	1		2005	1	2	0.25	5	1	1	2	50	1	1200	1	10	2	6		9999		
122	2	4	1		2013	1	1	0.25	5	1	1	1	0	2		5	2	2	5		9999		
123	2	3	1		2001	1	9	7	50	1	1	2	450	2		1	14	2	1		9999		
123	2	4	1		2007	1	2	0.25	5	1	1	2	0	1	300	8	8	2	6		9999		
124	2	1	1		1998	66	1	0.25	5	2	2								1		2005	9	
124	2	2	1		2014	66	1	0.25	5	1	1	1	0	2		1	1	2	1		9999		
126	2	3	1		1996	1	2	0.25	5	2	2								1		2008	9	
126	2	7	1		2000	1	2	0.25	5	2	2								1		2008	9	
126	2	4	1		2002	1	2	0.25	5	2	2								1		2009	9	
126	2	5	1		2005	1	2	0.25	5	1	1	2	200	1	900	1	11	2	1		9999		
127	2	3	1		2011	1	1	0.25	15	1	1	1	0	1	1000	5	5	2	5		9999		
128	2	3	1		2006	1	1	0.25	5	1	1	1	0	2		5	9	1	5		9999		
128	2	5	1		2014	66	1	0.25	5	1	1	1	0	2		5	1	1	1		9999		
128	2	4	1		2010	1	1	0.25	5	1	1	1	0	1	300	5	5	1	5		9999		
129	2	4	1		2012	1	1	0.5	10	1	1	1	0	1	300	1	2	2	1		9999		
129	2	5	1		2003	1	1	0.5	10	2	2								1		2008	9	
129	2	3	1		2005	1	1	0.5	10	1	1	1	0	1	500	8	9	2	8		9999		
130	2	99																					
131	2	3	1		2006	1	1	3	20	1	1	1	0	2		8	9	2	8	5	9999		
132	2	3	1		2011	1	1	2	20	1	1	1	0	2		5	4	2	5		9999		
134	2	5	1		2014	66	1	0.5	7	1	1	1	0	2		1	1	2	1		9999		
134	2	4	1		2002	1	1	1.5	15	2	2								6		2011	9	
134	2	6	1		2002	1	1	0.5	7	2	2								8	5	2010		
135	2	4	1		2015	66	1	0.5	10	2	1	1	0	2		1	66	9					
136	2	3	1		2003	66	9	11	60	1	1	1	500	1	200	1	11	2	1		9999		
136	2	4	1		2010	66	1	3	20	1	1	1	0	2		1	4	2	5		9999		
137	2	3	1		2006	1	7	2	25	2	2								8	5	2014		
137	2	7	1		2010	1	1	2	20	1	1	1	0	1	150	5	5	2	5		9999		
137	2	6	1		2008	1	1	1	15	1	1	1	0	1	300	8	7	2	8	5	9999		
139	2	99																					
140	2	6	1		2012	1	1	0.25	5	1	1	1	0	1	200	1	3	2	1		9999		
140	2	3	1		2000	1	1	8	60	1	1	1	0	1	400	1	13	2	1		9999		
140	2	4	1		2010	1	1	0.25	5	1	1	1	0	1	200	5	5	2	5		9999		
141	3	4	1		2011	66	1	0.5	5	1	1	1	0	2		5	3	2	5		9999		
141	3	3	1		2010	66	1	0.5	5	1	1	1	0	2		5	5	2	5		9999		
142	3	3	1		2013	1	1	0.5	10	1	1	1	0	1	300	5	3	2	5	6	9999		
143	3	3	1		2005	66	2	2	20	1	1	2	20	1	1000	1	10	2	1		9999		
143	3	4	1		2010	66	1	1	15	1	1	1	0	1	500	5	5	2	5	6	9999		
144	3	99																					
145	3	99																					
146	3	3	1		2003	1	2	2	20	2	2								1		2008	9	
146	3	4	1		2009	66	2	2	20	1	1	2	20	1	400	1	6	2	5		9999		
146	3	5	1		2014	66	1	0.25	2	1	1	1	0	2		6	1	2	6		9999		
147	3	5	1		2002	1	2	5	50	1	1	2	0	2		1	13	2	1		9999		
147	3	6	1		2011	1	1	1	10	1	1	1	0	2		5	4	2	5	6	9999		
148.1	3	4	1		2000	1	1	0.5	10	2	2								2		2005	9	
148.2	3	6	1		2002	1	1	0.5	10	2	2								5	8	2011	9	
148.3	3	5	1		2003	66	1	0.5	10	2	2								7		2007	9	
148.3	3	6	1		2003	66	1	0.5	10	2	2								1		2007	9	
149	3	3	1		2007	66	1	1	10	1	1	1	0	1	300	1	8	2	1		9999		
149	3	4	1		2001	66	2	10	60	1	1	2	100	1	300	1	14	2	1		9999		
150	3	99																					
151	3	7	1		2013	66	1	1	15	1	1	1	0	2		1	2	2	1		9999		
151	3	5	1		2009	66	1	1	15	1	1	1	0	1	400	1	6	2	5		9999		
151	3	4	1		2001	66	1	1	15	2	2								1		2006	9	
151	3	6	1		2013	66	1	1	15	1	1	1	0	2		1	2	2	1		9999		
152	3	2	1		2004	66	2	12	60	1	1	2	0	1	1500	1	11	2	1		9999		
153	3	3	1		2005	1	1	1	10	2	2								5		2011	21	
154	3	3	1		2004	66	2	7	40	1	1	2	20	1	400	1	11	2	5	8	9999		
154	3	4	1		2009	66	2	1	10	1	1	1	30	2		1	6	2	5	6	9999		
155	3	3	1		2009	66	1	1	15	1	1	2	0	2		1	6	2	5		9999		
155	3	4	1		2012	66	1	1	15	1	1	1	0	2		5	3	2	5		9999		
156	3	3	1		2012	66	1	1	10	1	1	1	0	1	200	1	3	2	6		9999		
157	3	3	1		2008	66	2	0.5	10	1	1	2	0	1	300	8	7	2	5	8	9999		
157	3	4	1		2013	66	1	0.5	10	1	1	1	0	1	300	5	2	2	5		9999		
158	3	4	1		2000	66	1	10	60	1	1	1	0	1	1000	1	14	2	5		9999		
158	3	3	1		1999	66	1	0.25	5	2	2								2		2010	9	
160	3	99																					
161	2	2	1		2010	1	2	0.25	7	1	1	2	30	2		5	6	2	5		9999		
162	2	4	1		2009	66	1	1	15	1	1	1	0	2		5	6	2	5		9999		
163	2	3	1		2011	66	1	0.5	10	1	1	1	0	1	200	5	4	2	5		9999		
164	2	2	1		2006	1	2	1	20	1	1	2	0	1	300	8	10	2	8		9999		
165	2	3	1		2011	1	1	0.25	3	1	1	1	0	2		5	5	2	5		9999		
165	2	2	1		2009	1	2	1	10	1	1	2	100	1	300	5	7	2	5		9999		
166	2	5	1		2008	1	2	1.5	25	1	1	2	100	1	300	1	10	2	1		9999		
166	2	7	1		1996	1	1	0	4	2	2								1		2007	21	
166	2	6	1		2013	1	1	0	4	1	1	1	0	1	200	1	3	2	5		9999		
166	2	3	1		1996	1	5	0	5	2	2								1		2004	9	
167	2	4	1		2008	1	2	1	10	1	1	2	0	1	200	1	8	2	2	8	9999		
167	2	5	1		2013	1	1	0.25	5	1	1	1	0	2		5	3	2	5		9999		
167	2	3	1		2006	1	1	0	5	2	2								1		2008	9	
168	2	99																					
169	2	3	1		2003	1	9	15	120	1	1	2	150	2		1	13	2	1		9999		
169	2	4	1		2004	1	9	15	120	1	1	2	150	2		1	13	2	1		9999		
170	2	4	1		2013	1	2	0.5	10	1	1	2	0	1	100	5	3	2	5		9999		
170	2	3	1		2009	1	2	1	20	1	1	2	0	1	150	1	7	2	5		9999		
171	2	4	1		2010	1	1	2.25	40	1	1	1	0	1	300	1	5	2	1		9999		
171	2	3	1		2006	1	1	0.5	10	1	1	2	0	1	400	1	9	2	1		9999		
172	2	3	1		2007	66	7	1	10	1	1	2	20	1	300	1	8	2	1		9999		
172	2	2	1		2004	66	9	3	40	1	1	2	125	1	400	1	11	1	1		9999		
173	2	99																					
174	2	3	1		2010	1	2	0.25	10	1	1	2	30	1	300	5	6	2	5		9999		
174	2	2	1		2006	1	2	0.25	10	1	2								5		2014	22	
174	2	4	1		2012	1	1	0.1	5	1	1	1	0	1	300	1	4	2	1		9999		
175	2	3	1		2012	66	1	0.25	4	1	1	1	0	2		5	3	2	5		9999		
175	2	2	1		1996	1	2	0.25	4	2	2								5		2006	21	
176	2	5	1		2010	1	2	0.5	5	1	1	2	20	2		1	6	2	5		9999		
176	2	4	1		2009	1	2	0.5	5	1	1	2	20	2		1	7	2	1		9999		
177	2	4	1		2013	1	1	1	30	1	1	2	0	2		5	3	2	5		9999		
177	2	3	1		2006	1	10	0	5	1	1	1	10	2		1	10	2	1		9999		
178	2	6	1		2006	66	2	1	15	1	1	2	20	2		5	9	2	5		9999		
178	2	7	1		2012	66	1	0.5	10	1	1	1	0	2		5	3	2	5		9999		
178	2	5	1		2004	66	2	1	15	1	1	1	20	1	300	1	11	2	1		9999		
179	2	3	1		2013	1	1	0.25	8	1	1	1	0	1	200	5	3	1	5		9999		
180	2	3	2	9																			
180	2	6	1		2009	1	2	0.25	10	1	1	2	100	2		1	7	2	1		9999		
180	2	5	1		2014	1	2	0.25	10	1	1	2	0	1	100	5	2	2	5		9999		
180	2	4	1		2013	1	2	0.25	10	1	1	2	0	1	100	1	3	2	1		9999		
181	2	3	1		2007	66	11	1	15	1	1	2	180	1	1000	1	7	2	1		9999		
181	2	2	1		2002	66	9	0	2	1	1	1	0	1	3000	1	11	2	8		9999		
181	2	4	1		2005	66	7	2	40	1	1	1	0	1	1000	1	9	2	1		9999		
182	2	3	1		2001	1	2	2	20	1	1	1	0	2		1	13	2	1		9999		
182	2	4	1		2005	1	2	1	15	1	1	2	190	2		1	10	2	1		9999		
182	2	5	1		2007	1	2	1	15	1	1	2	160	2		1	7	2	1		9999		
183	2	3	1		2005	1	2	0.5	12	1	1	2	170	1	1200	1	10	2	1		9999		
183	2	2	1		2000	1	9	0	3	1	1	2	2500	2		1	72	2	9		9999		
184	2	3	1		2014	1	7	3	20	1	1	1	0	1	200	1	2	2	1		9999		
184	2	4	1		2015	66	2	0.5	10	2	1	2	170	1	200	1	66	9					
184	2	2	1		2009	1	1	1	25	2	2								1		2013	9	
184	2	6	1		2003	1	1	1	25	2	2								5		2008	9	
185	2	5	1		2011	1	2	0.5	15	1	1	2	180	1	300	1	5	2	1		9999		
186	2	2	1		2007	66	2	1	18	1	1	2	0	1	600	8	8	2	1		9999		
186	2	3	1		2012	66	2	1	18	1	1	2	170	1	200	1	3	2	1		9999		
187	2	3	1		2006	66	11	1	18	1	1	2	180	1	400	1	8	2	1		9999		
187	2	5	1		2013	66	11	1	18	1	1	2	160	1	400	1	2	2	1		9999		
187	2	4	1		2009	66	11	1	18	1	1	2	180	1	400	1	6	2	1		9999		
188	2	3	1		2015	66	2	0.25	8	2	1	2	140	1	300	1	66	9					
188	2	2	1		2005	66	2	0.25	8	1	1	2	170	1	800	1	9	2	1		9999		
189	2	3	1		2001	66	9	6	45	1	1	2	4000	1	3000	1	14	2	8		9999		
190	2	99																					
191	2	9	1		2001	66	9	5	20	1	1	2	0	2		1	33	2	8	9	9999		
191	2	5	1		2012	66	2	0.5	10	1	1	2	120	1	300	1	3	2	1		9999		
192	2	3	1		1998	1	1	1.5	30	2	2								8		2008	21	
193	2	3	1		2012	66	11	0.25	10	1	1	2	160	1	400	1	3	2	1		9999		
194	2	2	1		1998	66	11	0.25	5	2	2								8		2008	2	
194	2	3	1		2015	66	11	0.5	12	2	1	2	170	2		1	66	9					
195	2	8	1		2001	66	11	0	3	2	2								6		2011	2	
195	2	5	1		2009	66	11	0	2	1	1	2	0	2		1	3	2	1		9999		
196	2	2	1		1998	1	9	11	90	2	2								9		2013		
197	2	99																					
198	2	2	1		1998	1	11	0.5	10	2	2								1		2001	9	
199	2	2	1		2002	1	2	1	20	1	1	2	120	2		1	13	2	1		9999		
199	2	3	1		2005	1	2	0.5	10	1	1	2	190	1	1000	1	10	2	1		9999		
200	2	99																					
201	3	7	1		2002	66	1	0.75	15	2	2								5		2008	9	
