a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
952	3	1	2																				2																							1
953	3	1	2																				2																							1
954	3	1	2																				2																							2
955	3	1	2																				2																							1
956	3	2																																												
957	3	1	2																				2																							4
958	3	1	2																				2																							1
959	3	1	2																				2																							1
960	3	1	2																				2																							1
961	3	2																																												
962	3	2																																												
963	3	1	2																				2																							1
964	3	1	2																				2																							1
965	3	2																																												
966	3	1	2																				2																							1
967	3	1	2																				2																							1
968	3	2																																												
969	3	1	2																				2																							1
970	3	2																																												
971	3	2																																												
972	3	2																																												
974	3	2																																												
975	3	2																																												
976	3	1	2																				2																							1
977	3	1	2																				2																							1
978	3	1	2																				2																							1
979	3	2																																												
980	3	2																																												
981	3	2																																												
983	3	2																																												
984	3	1	2																				2																							1
985	3	1	2																				2																							1
986	3	1	2																				2																							1
987	3	1	2																				2																							1
988	3	1	2																				2																							1
989	3	1	2																				2																							1
990	3	2																																												
991	3	2																																												
992	3	1	2																				2																							1
993	3	1	2																				2																							1
994	3	2																																												
995	3	2																																												
996	3	1	2																				2																							1
997	3	2																																												
998	3	2																																												
999	3	1	2																				2																							1
1000	3	1	2																				2																							1
1001	3	1	2																				2																							1
1002	3	2																																												
1003	3	2																																												
1004	3	2																																												
1005	3	1	2																				2																							1
1006	3	1	2																				2																							1
1007.1	3	2																																												
1007.2	3	2																																												
1008	3	2																																												
1009	3	1	2																				2																							1
1010	3	2																																												
1011	3	1	2																				2																							1
1012	3	1	2																				2																							1
1013	3	1	2																				2																							1
1014	3	2																																												
1015	3	2																																												
1016	3	2																																												
1017	3	1	2																				2																							1
1018	3	2																																												
1019	3	2																																												
1020	3	1	2																				2																							1
1021	3	2																																												
1022	3	1	1	0	3	0	1	1	1	1	2		1	2	1	2	1	2	2		2		2																							
1023	3	1	2																				2																							1
1024	3	2																																												
1025	3	1	2																				2																							1
1026	3	1	2																				2																							1
1027	3	1	2																				2																							1
1028	3	2																																												
1029	3	1	1	1	0	0	2		2		2		2		2		2		2		1	2	2																							
1030	3	1	2																				2																							1
1031	3	2																																												
1032	3	1	2																				2																							1
1033	3	2																																												
1034	3	2																																												
1035	3	1	2																				2																							1
1036	3	1	2																				2																							1
1037	3	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2																							
1038	3	1	2																				2																							1
1039	3	1	2																				2																							1
1040.1	3	2																																												
1040.2	3	2																																												
1041	3	2																																												
1042	3	1	1	3	0	0	1	1	1	1	2		2		1	2	1	1	2		2		2																							
1043	3	2																																												
1044	3	1	2																				1	1			3	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	
1045	3	1	2																				2																							1
1046	3	2																																												
1047	3	2																																												
1048	3	2																																												
1049	3	1	2																				2																							1
1050	3	2																																												
1051	3	1	2																				2																							1
1052	3	1	1	2	0	0	1	2	1	2	1	2	1	1	1	2	1	2	2		2		2																							
1053	3	1	2																				2																							1
1054	3	1	2																				2																							1
1055	3	2																																												
1056	3	1	2																				2																							1
1057	3	2																																												
1058	3	2																																												
1059	3	1	2																				1	1			2	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		
1061	3	2																																												
1062	3	1	2																				2																							1
1063	3	1	2																				2																							4
1064	3	2																																												
1065	3	2																																												
1066	3	1	2																				2																							1
1067	3	1	2																				2																							1
1068	3	1	2																				2																							1
1069	3	1	2																				2																							1
1070	3	2																																												
1071	3	2																																												
1072	3	2																																												
1073	3	2																																												
1074	3	1	2																				2																							1
1075	3	2																																												
1076	3	1	2																				2																							1
1077	3	1	2																				2																							1
1078	3	2																																												
1079	3	2																																												
1080	3	2																																												
1081	3	1	2																				2																							1
1082	3	1	2																				2																							1
1083	3	1	2																				2																							1
1084	3	2																																												
1085	3	2																																												
1086	3	1	2																				2																							1
1087	3	1	2																				2																							1
1088	3	1	2																				2																							1
1089	3	1	2																				2																							1
1090	3	2																																												
1091	3	1	2																				2																							1
1092	3	1	2																				2																							1
1093.1	3	1	2																				2																							1
1093.2	3	1	2																				2																							1
1094	3	1	2																				2																							1
1095	3	1	2																				2																							1
1096	3	2																																												
1097	3	1	2																				2																							1
1098	3	2																																												
1099	3	1	2																				2																							1
1100	3	2																																												
1101	3	1	2																				2																							1
1102	3	2																																												
1103	3	2																																												
1105	3	2																																												
1106	3	2																																												
1107	3	2																																												
1108	3	1	2																				2																							1
1109	3	2																																												
1110	3	2																																												
1111	3	2																																												
1112	3	2																																												
1113	3	2																																												
1114	3	1	2																				1	1			5	0	0	2		2		2		1	1	1	2	1	2	2		2		
1115	3	2																																												
1117	3	1	2																				2																							1
1118	3	2																																												
1119	3	1	2																				2																							2
1120	3	1	2																				2																							1
1121	3	2																																												
1123	3	2																																												
1124	3	1	2																				2																							5
1125	3	2																																												
1126	3	2																																												
1127	3	2																																												
1128	3	2																																												
1129	3	2																																												
1130	3	1	2																				2																							1
1131	3	2																																												
1132	3	2																																												
1133	3	2																																												
1134	3	2																																												
1135	3	2																																												
1136	3	2																																												
1137	3	1	2																				2																							1
1138	3	2																																												
1139	3	2																																												
1140	3	1	2																				2																							1
1141	3	2																																												
1142	3	2																																												
1143	3	1	2																				2																							1
1144	3	1	2																				2																							1
1145	3	1	2																				2																							2
1146	3	2																																												
1147	3	2																																												
1148	3	2																																												
1149	3	1	2																				2																							5
1150	3	1	2																				2																							5
1151	3	2																																												
1152	3	2																																												
1153	3	2																																												
1154	3	2																																												
1155	3	1	2																				2																							1
1156	3	2																																												
1157	3	1	2																				2																							1
1158	3	2																																												
1159	3	1	2																				2																							1
1160	3	2																																												
1161	3	2																																												
1162	3	2																																												
1163	3	2																																												
1164	3	2																																												
1165	3	2																																												
1166	3	2																																												
1167	3	2																																												
1168	3	2																																												
1169	3	2																																												
1170	3	2																																												
1171	3	2																																												
1172	3	2																																												
1173	3	1	2																				2																							1
1174	3	2																																												
1175	3	2																																												
1176	3	2																																												
1177	3	2																																												
1178	3	2																																												
1179	3	2																																												
1180	3	1	2																				2																							4
1181	3	1	2																				2																							1
1182	3	2																																												
1183	3	1	2																				2																							1
1184	3	1	2																				2																							1
1185	3	1	2																				2																							1
1186	3	1	1	4	0	0	1	1	1	1	2		1	1	1	1	2		2		2		2																							
1187	3	2																																												
1188	3	2																																												
1189	3	1	2																				2																							1
1191	3	2																																												
1192	3	1	2																				2																							1
1194	3	1	2																				2																							1
1195	3	2																																												
1196	3	2																																												
1197	3	2																																												
1198	3	2																																												
1199	3	1	2																				2																							1
1200	3	1	2																				2																							1
1201	3	1	2																				2																							1
1202	3	1	2																				2																							1
1203	3	1	2																				2																							1
1204	3	1	2																				2																							1
1205	3	2																																												
1206	3	1	2																				2																							1
1207	3	1	2																				2																							2
1208	3	1	2																				2																							1
1209	3	1	2																				2																							1
1210	3	1	2																				2																							1
1211	3	1	2																				2																							1
1212	3	1	2																				2																							1
1213	3	1	2																				2																							1
1214	3	1	2																				2																							1
1215	3	1	2																				2																							1
1216	3	2																																												
1217	3	2																																												
1218	3	2																																												
1219	3	2																																												
1220	3	2																																												
1221	3	1	2																				2																							1
1222	3	1	2																				2																							1
1223	3	2																																												
1224	3	1	2																				2																							1
1225	3	2																																												
1226	3	2																																												
1227	3	1	2																				2																							1
1228	3	2																																												
1229	3	2																																												
1230	3	2																																												
1232	3	2																																												
1233	3	2																																												
1234	3	2																																												
1235	3	2																																												
1236	3	2																																												
1237	3	2																																												
1238	3	1	2																				2																							1
1239	3	1	2																				2																							1
1240	3	1	2																				2																							1
1241	3	1	2																				2																							2
1242	3	1	2																				2																							1
1243	3	1	2																				2																							1
1244	3	1	2																				2																							1
1245	3	1	2																				2																							1
1246.1	3	1	2																				2																							5
1246.2	3	2																																												
1247	3	1	2																				2																							1
1248	3	2																																												
1249	3	1	2																				2																							1
1250	3	1	2																				2																							5
1251	3	1	2																				2																							1
1253	3	1	2																				2																							1
1254	3	1	2																				2																							1
1255	3	1	2																				2																							5
1256	3	1	2																				2																							1
1257	3	1	2																				2																							4
1258	3	2																																												
1259	3	1	2																				2																							1
1260	3	1	2																				2																							1
1261	3	1	2																				2																							1
1262	3	2																																												
1263	3	2																																												
1264	3	1	2																				2																							4
1265	3	2																																												
1266	3	2																																												
1267	3	1	2																				2																							1
1268	3	1	2																				2																							1
1269	3	2																																												
1270	3	1	2																				1	1			0	10	0	1	2	1	2	1	2	1	3	1	3	2		2		2		
1271	3	1	2																				2																							4
1272	3	2																																												
1273	3	1	2																				2																							6
1274.1	3	1	2																				2																							4
1274.2	3	1	2																				2																							1
1275	3	1	2																				2																							1
1276.1	3	1	2																				2																							4
1276.2	3	2																																												
1277	3	2																																												
1278	3	1	2																				2																							1
1279	3	1	2																				2																							1
1280	3	1	2																				2																							1
1281	3	1	2																				2																							1
1282	3	1	2																				2																							1
1283	3	2																																												
1284	3	1	1	0	0	2	2		2		2		1	2	2		2		2		2		2																							
1285	3	1	2																				2																							1
1286	3	1	2																				2																							1
1287	3	1	2																				2																							1
1288	3	1	2																				2																							1
1289	3	1	2																				2																							4
1290	3	1	2																				2																							1
1291	3	1	2																				2																							1
1292	3	1	2																				2																							1
1293	3	1	2																				2																							1
1295	3	1	2																				2																							1
1296	3	1	2																				2																							1
1297	3	1	2																				2																							1
1298.1	3	1	2																				2																							1
1298.2	3	1	2																				2																							2
1299	3	1	2																				2																							1
1300	3	1	2																				2																							1
1301.1	3	1	2																				2																							1
1301.2	3	2																																												
1301.3	3	2																																												
1302	3	2																																												
1303.1	3	1	2																				2																							1
1303.2	3	1	2																				2																							1
1304	3	1	2																				2																							1
1305	3	1	2																				2																							1
1306	3	1	2																				2																							1
1307.1	3	1	2																				2																							1
1307.2	3	1	2																				2																							1
1307.3	3	1	2																				2																							1
1308	3	1	2																				2																							1
1309.1	3	1	2																				2																							4
1309.2	3	2																																												
1310	3	1	2																				2																							4
1311	3	1	2																				2																							1
1312	3	2																																												
1313	3	1	2																				2																							4
1314	3	1	1	1	5	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		1	1			0	4	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		
1315	3	2																																												
1316	3	2																																												
1317	3	2																																												
1318	3	2																																												
1319	3	1	2																				2																							1
1320	3	2																																												
1321	3	2																																												
1322	3	2																																												
1323	3	1	2																				2																							1
1325	3	2																																												
1326	3	2																																												
1327	3	1	2																				2																							1
1328	3	1	2																				2																							1
1329	3	1	2																				2																							1
1330	3	2																																												
1331	3	2																																												
1332	3	2																																												
1333	3	2																																												
1334	3	1	2																				2																							1
1335	3	2																																												
1336	3	1	2																				2																							1
1337	3	2																																												
1338	3	2																																												
1339	3	1	2																				2																							1
1340	3	1	2																				2																							1
1341	2	1	2																				2																							1
1342	2	1	2																				2																							1
1343	2	1	2																				2																							1
1344	2	2																																												
1345	2	2																																												
1346	2	1	2																				2																							1
1347	2	1	2																				2																							1
1348	2	1	2																				2																							1
1349	2	2																																												
1350	2	1	2																				2																							1
1351	2	2																																												
1352	2	2																																												
1353	2	2																																												
1354	2	1	2																				2																							2
1355	2	2																																												
1356	2	1	2																				2																							1
1357	2	2																																												
1358	2	2																																												
1359	2	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1			1	0	0	1	1	2		2		1	1	2		2		2		2		
1360.1	2	1	2																				2																							1
1360.2	2	2																																												
1361	2	2																																												
1362	2	2																																												
1363	2	1	1	2	0	0	1	1	1	1	2		1	1	1	1	1	1	2		2		2																							
1364	2	2																																												
1365	2	1	2																				2																							2
1366	2	2																																												
1367.1	2	2																																												
1367.2	2	2																																												
1368	2	2																																												
1369	2	1	2																				2																							1
1370	2	2																																												
1371	2	2																																												
1372	2	1	2																				2																							1
1373	2	1	2																				2																							1
1374	2	2																																												
1375	2	2																																												
1376	2	2																																												
1377	2	2																																												
1378	2	2																																												
1379	2	2																																												
1380	2	2																																												
1382	2	2																																												
1383	2	2																																												
1384	2	1	2																				2																							1
1385	2	1	2																				1	1			1	0	0	2		1	1	2		2		2		2		2		2		
1386	2	1	2																				2																							1
1387	2	1	2																				2																							4
1388	2	1	2																				2																							1
1389	2	1	2																				2																							1
1390	2	1	2																				2																							1
1391	2	2																																												
1392	2	1	2																				2																							1
1393.1	2	1	2																				2																							1
1393.2	2	1	2																				2																							1
1393.3	2	1	2																				2																							1
1394	2	1	2																				2																							1
1395	2	1	2																				2																							1
1396	2	1	2																				2																							1
1397	2	2																																												
1398	2	1	2																				2																							1
1399	2	1	2																				2																							1
1400	2	1	2																				2																							1
1401	2	2																																												
1402	2	2																																												
1403	2	1	2																				2																							1
1404	2	2																																												
1405	2	1	2																				2																							1
1406	2	1	2																				2																							5
1407	2	1	2																				2																							1
1408	2	1	2																				2																							1
1409	2	2																																												
1410	2	1	2																				2																							1
1411.1	2	1	2																				2																							1
1411.2	2	1	2																				2																							1
1412	2	2																																												
1413	2	1	2																				2																							1
1414	2	1	2																				2																							1
1415	2	1	2																				2																							1
1416	2	1	2																				2																							1
1417.1	2	1	2																				2																							5
1417.2	2	1	2																				2																							1
1418	2	1	2																				2																							1
1419	2	1	2																				2																							1
1420	2	2																																												
1421	2	1	2																				2																							1
1423	2	1	2																				2																							1
1424	2	2																																												
1425	2	1	2																				2																							1
1426	2	2																																												
1427	2	1	2																				2																							1
1428	2	1	2																				2																							1
1429	2	2																																												
1430	2	2																																												
1431	2	1	2																				2																							1
1432	2	2																																												
1433	2	2																																												
1434	2	2																																												
1435	2	2																																												
1436	2	2																																												
1437	2	1	2																				2																							1
1438	2	2																																												
1439	2	2																																												
1440	2	2																																												
1441	3	2																																												
1442	3	1	2																				2																							1
1443	3	2																																												
1444	3	1	2																				2																							1
1445	3	2																																												
1446	3	1	2																				1	1			2	0	0	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2		
1447	3	2																																												
1448	3	1	2																				2																							1
1449	3	1	2																				2																							1
1450.1	3	2																																												
1450.2	3	2																																												
1451	3	2																																												
1452	3	2																																												
1453	3	2																																												
1454	3	1	2																				2																							1
1455	3	2																																												
1456	3	2																																												
1457	3	2																																												
1458	3	2																																												
1459	3	2																																												
1460	3	1	2																				2																							1
1462	3	2																																												
1463	3	1	2																				2																							2
1464	3	1	2																				2																							1
1465	3	2																																												
1466	3	2																																												
1467	3	2																																												
1468	3	1	2																				2																							1
1469	3	2																																												
1470	3	1	2																				2																							1
1471	3	2																																												
1472	3	1	2																				2																							1
1473	3	1	2																				2																							1
1474	3	2																																												
1475	3	2																																												
1476	3	1	2																				2																							1
1477	3	1	2																				2																							1
1478	3	2																																												
1479	3	1	2																				2																							1
1480	3	1	2																				2																							1
1481	3	2																																												
1482	3	2																																												
1483	3	1	2																				2																							1
1485	3	2																																												
1486	3	1	2																				2																							2
1487	3	2																																												
1488	3	1	2																				2																							1
1489	3	2																																												
1490	3	2																																												
1491	3	2																																												
1492	3	1	2																				2																							1
1493	3	2																																												
1494	3	2																																												
1495	3	1	2																				2																							1
1496	3	2																																												
1497	3	1	2																				2																							1
1498	3	2																																												
1499	3	2																																												
1501	3	2																																												
1502	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
1503	3	1	2																				2																							1
1504	3	2																																												
1505	3	1	2																				2																							1
1506	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
1507	3	2																																												
1508	3	1	2																				2																							1
1510	3	1	2																				2																							5
1511	3	1	2																				2																							4
1513	3	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		2																							
1514	3	1	1	1	0	0	1	2	1	1	1	2	1	2	1	2	1	2	2		2		2																							
1515	3	1	2																				2																							1
1516	3	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		2																							
1517	3	2																																												
1518	3	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		2																							
1519	3	2																																												
1520	3	2																																												
1521.1	3	2																																												
1521.2	3	2																																												
1522	3	1	2																				2																							1
1523	3	2																																												
1524	3	1	2																				2																							2
1525	3	1	2																				2																							5
1526	3	1	2																				2																							1
1527	3	2																																												
1528	3	1	2																				2																							1
1529	3	1	2																				2																							1
1530	3	1	2																				2																							1
1531	3	1	2																				2																							1
1532	3	1	2																				2																							1
1533	3	2																																												
1534	3	1	2																				2																							1
1535	3	1	2																				2																							1
1536	3	1	2																				2																							1
1537	3	1	2																				2																							1
1538	3	2																																												
1540	3	1	2																				2																							1
1541	3	2																																												
1542	3	2																																												
1543	3	1	2																				2																							1
1544	3	1	2																				2																							1
1546	3	2																																												
1547	3	1	2																				2																							1
1548	3	1	2																				2																							1
1549	3	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
1550	3	1	2																				2																							1
1551	3	1	1	1	0	1	1	1	1	1	2		1	1	1	1	1	2	1	2	2		2																							
1552	3	1	2																				2																							1
1553	3	1	2																				2																							1
1554	3	2																																												
1555	3	2																																												
1556	3	1	2																				2																							1
1557	3	1	2																				2																							1
1558	3	1	2																				1	1			3	0	0	2		2		2		2		2		2		2		2		
1559	3	1	2																				2																							1
1560	3	2																																												
1561	3	1	2																				2																							1
1563	3	1	2																				2																							1
1564	3	1	2																				2																							1
1565	3	1	2																				2																							1
1566	3	1	2																				2																							1
1569	3	2																																												
1570	3	1	2																				2																							5
1571	3	1	2																				2																							1
1572	3	2																																												
1573	3	1	2																				2																							1
1574	3	2																																												
1575	3	2																																												
1576	3	2																																												
1577	3	1	2																				2																							1
1578	3	1	2																				2																							1
1579	3	2																																												
1580	3	1	2																				2																							1
1581	3	2																																												
1582	3	1	2																				2																							1
1583	3	1	2																				2																							2
1584	3	1	2																				1	1			2	0	0	2		2		2		1	2	1	2	2		2		1	2	
1585	3	1	2																				2																							1
1586	3	1	2																				2																							1
1587	3	1	2																				2																							1
1588	3	1	2																				2																							1
1589	3	1	2																				2																							2
1590	3	1	2																				2																							1
1591	3	1	2																				2																							2
1592	3	2																																												
1595	3	2																																												
1596	3	1	2																				2																							1
1597	3	1	2																				2																							5
1598	3	2																																												
1599	3	2																																												
1600.1	3	1	1	0	0	10	1	2	2		1	2	1	2	1	2	1	2	2		2		2																							
1600.2	3	1	2																				2																							1
1601	3	2																																												
1602	3	2																																												
1603	3	2																																												
1604	3	2																																												
1605	3	2																																												
1606	3	2																																												
1607	3	2																																												
1608	3	1	2																				2																							1
1609	3	2																																												
1610	3	1	2																				2																							1
1611	3	2																																												
1612	3	2																																												
1613	3	2																																												
1615	3	2																																												
1616	3	2																																												
1617	3	1	2																				2																							1
1618	3	2																																												
1619	3	1	2																				2																							1
1620	3	2																																												
1621	3	2																																												
1622	3	1	2																				2																							1
1623	3	1	2																				2																							1
1624	3	2																																												
1625	3	1	2																				2																							1
1626	3	1	2																				2																							1
1627	3	2																																												
1628	3	2																																												
1629	3	1	2																				2																							1
1630	3	2																																												
1631	3	2																																												
1632	3	2																																												
1633	3	2																																												
1634	3	2																																												
1635	3	1	2																				2																							1
1636	3	1	2																				2																							1
1637	3	1	1	2	0	0	1	1	2		2		2		2		2		2		2		1	1			2	0	0	1	1	2		2		2		2		2		2		2		
1638	3	1	2																				2																							2
1639	3	1	2																				2																							1
1640	3	1	2																				2																							1
1641	3	1	2																				2																							1
1642	3	1	1	3	0	0	1	2	2		1	2	2		2		2		2		2		1	1			2	0	0	2		2		2		2		1	2	2		2		2		
1643	3	1	2																				2																							1
1644	3	2																																												
1645	3	2																																												
1646	3	2																																												
1647	3	2																																												
1648	3	1	2																				2																							1
1649	3	1	2																				2																							1
1650	3	1	2																				2																							1
1651	3	2																																												
1652	3	1	2																				2																							1
1653	3	2																																												
1654	3	2																																												
1655	3	1	2																				2																							1
1656	3	2																																												
1657	3	1	2																				2																							1
1658	3	2																																												
1659	3	2																																												
1660	3	2																																												
1661	3	2																																												
1662	3	2																																												
1663	3	2																																												
1664	3	2																																												
1665	3	1	2																				2																							1
1666	3	2																																												
1667	3	2																																												
1668	3	2																																												
1669	3	1	2																				2																							1
1670	3	2																																												
1671	3	1	2																				2																							1
1672	3	2																																												
1673	3	2																																												
1674	3	1	2																				2																							1
1675	3	1	2																				2																							1
1676	3	1	2																				2																							1
1677	3	1	2																				2																							1
1678	3	2																																												
1679.1	3	2																																												
1679.2	3	2																																												
1680	3	1	2																				2																							1
1681	2	2																																												
1682	2	1	2																				2																							1
1683	2	1	1	4	0	2	1	1	1	1	1	1	2		1	1	1	1	1	1	1	1	1	1			1	0	0	2		2		2		2		1	1	2		2		2		
1684	2	1	2																				1	1			1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2		
1685	2	1	2																				1	1			4	0	0	1	1	2		1	2	1	2	1	2	1	2	2		2		
1686	2	2																																												
1687	2	1	2																				2																							1
1688	2	2																																												
1689	2	2																																												
1690	2	1	2																				1	1			1	0	0	2		2		2		2		1	3	2		2		2		
1691	2	1	2																				2																							1
1693	2	1	2																				2																							1
1694	2	1	1	3	0	0	1	1	1	1	2		1	1	2		2		2		2		2																							
1695	2	1	2																				2																							2
1696	2	1	1	3	0	0	1	1	2		2		2		1	1	2		2		2		2																							
1697	2	1	2																				2																							1
1698	2	1	2																				2																							2
1699	2	2																																												
1700	2	1	2																				2																							2
1701	2	2																																												
1702	2	1	2																				2																							1
1703	2	2																																												
1704	2	1	2																				2																							1
1705	2	1	2																				2																							1
1706	2	2																																												
1707	2	2																																												
1708.1	2	1	2																				2																							5
1708.2	2	2																																												
1709	2	2																																												
1710	2	1	2																				2																							5
1711	2	1	2																				2																							1
1712	2	2																																												
1713	2	2																																												
1714	2	1	2																				2																							1
1715	2	2																																												
1716	2	1	2																				2																							1
1717	2	1	2																				2																							1
1718	2	1	2																				2																							5
1719	2	2																																												
1720	2	1	2																				2																							1
1721	2	1	2																				2																							1
1722	2	2																																												
1723	2	1	2																				2																							5
1724	2	2																																												
1725	2	1	2																				2																							1
1726	2	2																																												
1727	2	1	2																				2																							5
1728	2	2																																												
1729	2	1	2																				2																							1
1730	2	1	2																				2																							5
1731	2	1	2																				2																							1
1732	2	2																																												
1733	2	2																																												
1734	2	2																																												
1735	2	2																																												
1736	2	1	2																				2																							1
1737	2	2																																												
1738	2	1	2																				2																							1
1739.1	2	1	2																				2																							1
1739.2	2	2																																												
1740	2	2																																												
1741	3	2																																												
1742	3	2																																												
1743	3	1	2																				2																							1
1744	3	2																																												
1747	3	2																																												
1748	3	2																																												
1749	3	2																																												
1750	3	2																																												
1752	3	1	2																				2																							1
1753	3	2																																												
1754	3	1	2																				2																							1
1755	3	2																																												
1757	3	1	2																				2																							1
1758	3	2																																												
1759	3	2																																												
1760	3	1	2																				2																							1
1761	3	2																																												
1762	3	1	2																				2																							1
1763	3	2																																												
1764	3	1	2																				2																							1
1765	3	2																																												
1766	3	2																																												
1767	3	2																																												
1768	3	2																																												
1769	3	2																																												
1770	3	1	2																				2																							1
1771	3	2																																												
