a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
192	2	2																																												
193	2	1	2																				2																							1
194	2	2																																												
195	2	2																																												
196	2	2																																												
197	2	2																																												
198	2	2																																												
199	2	2																																												
200	2	2																																												
201	3	2																																												
202	3	1	2																				2																							1
203	3	2																																												
204	3	1	1	2	0	0	1	2	1	2	2		2		2		1	1	2		2		2																							
205	3	2																																												
206	3	2																																												
207	3	2																																												
208	3	2																																												
209	3	1	2																				2																							1
210	3	2																																												
211	3	2																																												
212	3	2																																												
213	3	2																																												
214	3	2																																												
215.1	3	2																																												
215.2	3	2																																												
216	3	2																																												
218	3	1	2																				2																							1
219	3	1	1	1	0	0	1	2	1	2	2		1	3	1	1	2		1	2	2		2																							
220	3	2																																												
221	2	2																																												
222	2	2																																												
224	2	2																																												
225	2	1	2																				2																							1
226	2	2																																												
227	2	2																																												
228	2	1	2																				2																							4
230	2	2																																												
231	2	2																																												
232	2	1	2																				2																							1
233	2	1	2																				2																							1
234	2	1	2																				2																							1
235	2	2																																												
237	2	2																																												
238	2	2																																												
239	2	1	2																				2																							2
240.1	2	2																																												
240.2	2	2																																												
241	2	1	2																				2																							1
242	2	1	1	0	0	3	2		2		2		1	2	2		2		2		2		2																							
243	2	1	1	1	0	0	1	2	2		2		2		2		1	2	2		2		2																							
244	2	1	2																				2																							1
245	2	2																																												
246	2	2																																												
247	2	1	2																				2																							5
248	2	1	2																				2																							1
249	2	2																																												
250	2	2																																												
251	2	1	2																				1	1			3	0	1	2		2		1	2	1	2	2		2		2		2		
252	2	1	2																				2																							1
254	2	2																																												
255	2	2																																												
256	2	2																																												
257	2	2																																												
258	2	2																																												
259	2	2																																												
260	2	1	2																				2																							1
261	2	2																																												
262	2	1	2																				2																							2
263	2	2																																												
264	2	2																																												
265	2	2																																												
266	2	1	2																				2																							1
267	2	1	2																				2																							6
268	2	2																																												
269	2	1	2																				2																							1
270	2	1	2																				2																							1
271	2	2																																												
272	2	2																																												
273	2	2																																												
274	2	2																																												
275	2	2																																												
276	2	2																																												
277	2	2																																												
278	2	2																																												
279	2	2																																												
280	2	2																																												
281	2	1	2																				2																							2
282	2	1	1	10	0	0	1	1	1	1	2		1	1	1	1	1	1	2		2		2																							
284	2	2																																												
285	2	2																																												
286	2	1	2																				2																							1
287	2	1	2																				2																							2
288	2	1	2																				2																							1
289	2	2																																												
290	2	2																																												
291	2	1	2																				2																							1
292	2	2																																												
293	2	2																																												
294	2	1	2																				2																							1
295	2	2																																												
296	2	2																																												
297	2	2																																												
298	2	2																																												
299	2	2																																												
301	2	1	2																				2																							1
