a01	hh_type	v1_01	pid	mid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_15	v1_16	v1_12	v1_13	v1_14	Flag_v1
570	3	1	81	4	3	2	3	18	1	7	51	1	18		1		8	2	1	
571	3	2																		
572	3	1	81	3	3	2	7	17	1	5	50	1	18		1		8	3	1	
573	3	2																		
574	3	1	81	4	3	0	5	12	1	5	1	1	1		1		1	1	2	
575	3	2																		
576	3	2																		
577	3	2																		
578	3	2																		
579	3	2																		
580	3	2																		
581.1	3	2																		
581.2	3	2																		
581.3	3	2																		
582.1	3	2																		
582.2	3	2																		
583.1	3	2																		
583.2	3	2																		
584	3	2																		
585	3	1	81	3	3	2	4	25	1	6	13	1	1		1		2	2	1	
586	3	2																		
587	3	2																		
588	3	2																		
589	3	2																		
590	3	2																		
591	3	2																		
592	3	1	81	4	3	0	6	24	2	6	2	1	18		1		1	3	1	
593	3	2																		
594	3	2																		
595	3	2																		
596	3	2																		
597	3	2																		
598	3	2																		
599	3	2																		
600	3	2																		
602	3	2																		
603	3	2																		
604	3	2																		
605.1	3	2																		
605.2	3	2																		
606	3	2																		
607	3	2																		
608	3	2																		
609	3	1	81	6	3	1	11	19	1	7	13	2		27	2	2	1	2	1	
610	3	2																		
611	3	2																		
612	3	2																		
613	3	2																		
615	3	2																		
616	3	2																		
617	3	2																		
618	3	2																		
619	3	2																		
620	3	1	81	3	3	1	6	24	1	10	13	2		30	2	2	1	1	1	
621	3	2																		
622	3	2																		
623	3	2																		
624	3	2																		
625	3	2																		
626.1	3	2																		
626.2	3	2																		
627	3	2																		
628	3	2																		
629	3	2																		
630	3	2																		
631	3	2																		
632	3	2																		
633	3	2																		
634	3	2																		
635	3	2																		
636	3	2																		
637	3	2																		
638	3	2																		
639	3	2																		
640	3	2																		
641	3	2																		
642	3	2																		
643	3	2																		
644	3	1	81	7	3	1	9	19	1	12	12	1	22		4		1	1	1	
645	3	2																		
646	3	2																		
648	3	2																		
649	3	2																		
650	3	2																		
651	3	2																		
652	3	2																		
653	3	2																		
654	3	2																		
655.1	3	2																		
655.2	3	2																		
656	3	2																		
657	3	2																		
658	3	2																		
659	3	2																		
660	3	2																		
661	3	2																		
662	3	2																		
663	3	2																		
664	3	2																		
665	3	2																		
666.1	3	2																		
666.2	3	2																		
667	3	1	81	1	2	1	0	43	1	5	13	2		2	2	2	1	2	1	
668	3	2																		
669	3	2																		
670	3	2																		
671	3	2																		
672	3	2																		
673	3	2																		
674	3	2																		
675	3	2																		
676	3	2																		
677.1	3	2																		
677.2	3	2																		
678	3	2																		
679	3	2																		
680	3	2																		
681	3	2																		
682	3	2																		
683	3	1	81	1	2	0	1	43	1	99	2	1	1		1		8	1	2	
684	3	2																		
685	3	2																		
686	3	2																		
687	3	2																		
688	3	2																		
689	3	2																		
690	3	2																		
691	3	2																		
692	3	2																		
693	3	2																		
694	3	2																		
695	3	2																		
696	3	2																		
697	3	2																		
698	3	2																		
699	3	2																		
700	3	2																		
701	3	1	81	3	3	2	4	11	2	2	15	1	18		1		9	3	1	
702	3	2																		
704	3	2																		
705	3	2																		
706	3	2																		
707	3	1	81	3	3	2	0	23	2	99	13	1	18		1		1	3	2	
707	3	1	82	4	5	2	0	3	2	99	84	1	18		1		9	3	2	
708	3	2																		
709	3	1	81	1	2	0	5	33	1	99	13	2		38	1		1	1	2	
710	3	1	81	6	7	1	6	21	1	4	13	1	18		1		1	2	1	
711	3	1	81	3	3	2	3	21	1	5	13	1	18		1		1	3	1	
711	3	1	82	4	3	2	3	19	1	99	13	1	18		1		1	3	1	
712	3	2																		
713	3	2																		
714	3	2																		
715	3	2																		
716	3	2																		
717	3	2																		
718	3	1	81	3	3	0	12	28	1	4	37	2		24	2	2	8	5	1	
719	3	2																		
720	3	2																		
721	3	2																		
722	3	1	81	2	3	0	6	22	1	12	37	2		24	3	2	1	3	1	
723	3	2																		
724	3	2																		
725	3	2																		
726	3	2																		
727.1	3	2																		
727.2	3	2																		
727.3	3	2																		
728	3	2																		
729	3	2																		
730	3	2																		
731	3	2																		
732	3	2																		
733	3	2																		
734	3	2																		
735	3	2																		
736	3	2																		
737.1	3	2																		
737.2	3	2																		
738	3	2																		
739	3	2																		
740	3	2																		
741	3	2																		
742	3	2																		
743	3	2																		
744	3	1	81	1	2	3	2	43	1	2	21	1	18		4		1	3	1	
746.1	3	2																		
746.2	3	2																		
747	3	2																		
748	3	2																		
749	3	2																		
750	3	2																		
751.1	3	2																		
751.2	3	2																		
753.1	3	2																		
753.2	3	2																		
754	3	2																		
755	3	2																		
756	3	2																		
757	3	2																		
758	3	2																		
759	3	2																		
760.1	3	2																		
760.2	3	2																		
761.1	3	2																		
761.2	3	2																		
762	3	2																		
763	3	2																		
764	3	2																		
765.1	3	1	81	4	7	1	5	17	1	99	9	1	18		1		8	1	2	
765.2	3	2																		
766	3	2																		
767	3	2																		
768	3	2																		
769	3	2																		
770	3	2																		
771	3	2																		
772	3	2																		
773	3	2																		
774	3	2																		
775	3	1	81	1	2	1	5	45	1	4	13	1	18		1		1	1	1	
776	3	2																		
777	3	2																		
778	3	2																		
779.1	3	2																		
779.2	3	2																		
781	3	2																		
782	3	1	81	3	3	2	0	21	2	12	12	1	1		1		1	1	1	
783	3	2																		
784	3	2																		
785	3	2																		
786	3	2																		
787	3	2																		
788	3	2																		
789	3	2																		
790	3	2																		
791	3	2																		
792	3	2																		
793	3	2																		
794	3	1	82	2	3	2	7	18	1	12	81	1	18		1		2	3	2	
794	3	2																		
795	3	2																		
796	3	2																		
797	3	2																		
798	3	2																		
799	3	2																		
800	3	2																		
801	3	1	81	2	3	2	1	25	1	2	13	2		41	1		1	4	1	
802	3	2																		
803	3	2																		
804	3	1	81	1	2	3	0	55	1	99	21	2		27	2	2	1	1	1	
805.1	3	2																		
805.2	3	2																		
806	3	2																		
807	3	2																		
808	3	2																		
809	3	2																		
810	3	2																		
811	3	1	81	3	3	2	8	23	1	5	13	2		38	2	1	1	3	1	
812	3	2																		
813	3	2																		
814	3	2																		
815	3	2																		
816	3	2																		
817	3	2																		
818	3	2																		
819	3	2																		
820	3	2																		
821	3	2																		
822	3	1	81	5	3	2	1	22	1	10	21	2		24	1		1	1	1	
823.1	3	2																		
823.2	3	2																		
824	3	2																		
826	3	2																		
827	3	2																		
828	3	1	81	3	3	2	2	24	1	10	21	2		38	1		1	4	1	
829	3	2																		
830	3	2																		
831	3	1	81	1	2	2	8	53	1	99	37	2		38	1		1	1	1	
831	3	1	82	4	3	1	3	19	1	10	21	2		29	1		1	4	1	
832	3	2																		
833	3	2																		
835	3	2																		
836	3	2																		
837	3	2																		
838	3	1	81	3	3	2	6	23	1	5	21	2		38	1		1	4	1	
839.1	3	2																		
839.2	3	2																		
840	3	2																		
841	3	1	81	4	3	0	8	19	1	7	13	1	1		1		1	6	1	
842	3	2																		
843	3	2																		
844	3	2																		
845.1	3	2																		
845.2	3	2																		
846	3	2																		
847	3	2																		
848	3	2																		
849	3	2																		
850	3	2																		
851	3	2																		
852	3	2																		
853	3	2																		
855	3	2																		
856	3	2																		
857	3	2																		
858	3	2																		
859	3	2																		
860	3	2																		
861	2	2																		
862	2	1	81	1	2	0	6	36	1	4	72	1	7		1		8	1	1	
863	2	2																		
864	2	2																		
865	2	2																		
867	2	2																		
868	2	2																		
869	2	2																		
870	2	2																		
871	2	2																		
872	2	2																		
873	2	2																		
874	2	2																		
875	2	2																		
876	2	2																		
877	2	2																		
878	2	2																		
879	2	1	81	5	3	3	2	13	1	3	21	1	1		1		1	1	1	
880	2	2																		
881	2	2																		
882	2	2																		
883	2	2																		
884	2	2																		
886	2	2																		
887	2	2																		
888	2	2																		
889	2	2																		
890	2	2																		
891	2	2																		
892	2	2																		
893	2	2																		
894	2	2																		
895	2	2																		
896.1	2	2																		
896.2	2	2																		
897	2	2																		
898	2	2																		
899	2	2																		
901	3	2																		
902	3	2																		
903	3	2																		
904	3	2																		
906	3	2																		
907	3	2																		
909	3	2																		
910	3	2																		
911	3	2																		
912	3	2																		
913	3	2																		
914	3	2																		
915.1	3	2																		
915.2	3	2																		
916	3	2																		
917	3	2																		
918	3	2																		
919	3	2																		
920	3	2																		
921	3	2																		
922	3	2																		
923	3	2																		
924	3	2																		
925	3	2																		
926	3	2																		
927	3	2																		
928	3	2																		
929	3	2																		
930	3	2																		
931	3	2																		
932	3	2																		
933	3	2																		
934	3	2																		
935	3	2																		
936	3	2																		
937	3	2																		
938	3	2																		
940	3	2																		
941	3	2																		
942	3	2																		
943	3	2																		
944	3	2																		
945	3	2																		
946	3	2																		
947	3	2																		
948	3	2																		
949	3	2																		
950	3	2																		
951	3	2																		
952	3	2																		
953	3	2																		
954	3	2																		
955	3	2																		
956	3	2																		
957	3	2																		
958	3	2																		
959	3	2																		
960	3	2																		
961	3	2																		
962	3	2																		
963	3	2																		
964	3	2																		
965	3	2																		
966	3	2																		
967	3	2																		
968	3	2																		
969	3	2																		
970	3	2																		
971	3	2																		
972	3	2																		
974	3	2																		
975	3	2																		
976	3	2																		
977	3	2																		
978	3	2																		
979	3	2																		
980	3	2																		
981	3	1	81	3	3	0	8	18	2	3	82	1	18		1		1	1	1	
983	3	2																		
984	3	2																		
985	3	2																		
986	3	2																		
987	3	2																		
988	3	2																		
989	3	2																		
990	3	2																		
991	3	2																		
992	3	2																		
993	3	2																		
994	3	2																		
995	3	2																		
996	3	2																		
997	3	2																		
998	3	2																		
999	3	1	81	2	3	2	8	20	2	12	13	1	25		1		1	1	2	
1000	3	2																		
1001	3	2																		
1002	3	2																		
1003	3	2																		
1004	3	2																		
1005	3	2																		
1006	3	2																		
1007.1	3	2																		
1007.2	3	2																		
1008	3	2																		
1009	3	2																		
1010	3	2																		
1011	3	2																		
1012	3	2																		
1013	3	2																		
1014	3	1	81	3	3	0	2	14	1	4	21	1	1		1		9	3	1	
1015	3	2																		
1016	3	2																		
1017	3	2																		
1018	3	2																		
1019	3	2																		
1020	3	2																		
1021	3	2																		
1022	3	2																		
1023	3	2																		
1024	3	2																		
1025	3	2																		
1026	3	2																		
1027	3	2																		
1028	3	2																		
1029	3	2																		
1030	3	2																		
1031	3	2																		
1032	3	2																		
1033	3	2																		
1034	3	2																		
1035	3	2																		
1036	3	2																		
1037	3	2																		
1038	3	2																		
1039	3	2																		
1040.1	3	2																		
1040.2	3	2																		
1041	3	2																		
1042	3	2																		
1043	3	2																		
1044	3	2																		
1045	3	2																		
1046	3	2																		
1047	3	2																		
1048	3	2																		
1049	3	2																		
1050	3	2																		
1051	3	2																		
1052	3	2																		
1053	3	2																		
1054	3	2																		
1055	3	2																		
1056	3	2																		
1057	3	2																		
1058	3	2																		
1059	3	2																		
1061	3	2																		
1062	3	2																		
1063	3	2																		
1064	3	2																		
1065	3	2																		
1066	3	2																		
1067	3	2																		
1068	3	2																		
1069	3	2																		
1070	3	2																		
1071	3	2																		
1072	3	2																		
1073	3	2																		
1074	3	2																		
1075	3	2																		
1076	3	2																		
1077	3	2																		
1078	3	2																		
1079	3	2																		
1080	3	2																		
1081	3	2																		
1082	3	2																		
1083	3	1	81	1	2	0	3	43	1	5	22	1	18		1		8	1	1	
1084	3	2																		
1085	3	2																		
1086	3	2																		
1087	3	2																		
1088	3	1	81	1	2	2	4	37	1	10	13	1	1		1		1	1	1	
1089	3	2																		
1090	3	1	81	3	3	0	0	17	1	10	12	1	1		1		1	1	2	
1091	3	2																		
1092	3	2																		
1093.1	3	2																		
1093.2	3	2																		
1094	3	2																		
1095	3	1	81	1	2	2	4	38	1	2	3	2		24	1		1	5	1	
1096	3	2																		
1097	3	2																		
1098	3	2																		
1099	3	2																		
1100	3	2																		
1101	3	2																		
1102	3	2																		
1103	3	2																		
1105	3	2																		
1106	3	2																		
1107	3	2																		
1108	3	2																		
1109	3	1	81	1	2	2	1	43	1	99	13	1	19		1		1	2	1	
1110	3	1	81	1	3	2	3	38	1	12	3	1	19		4		1	6	1	
1111	3	2																		
1112	3	2																		
1113	3	2																		
1114	3	2																		
1115	3	1	81	5	3	0	5	13	1	2	10	1	18		1		1	1	2	
1117	3	1	81	3	3	1	3	20	2	12	81	1	18		1		2	3	2	
1118	3	2																		
1119	3	2																		
1120	3	2																		
1121	3	2																		
1123	3	2																		
1124	3	1	81	1	2	1	2	46	1	99	1	2		29	1		1	2	1	
1125	3	2																		
1126	3	2																		
1127	3	1	81	1	2	4	12	38	1	99	51	2		29	1		8	1	1	
1128	3	2																		
1129	3	2																		
1130	3	2																		
1131	3	2																		
1132	3	2																		
1133	3	2																		
1134	3	2																		
1135	3	2																		
1136	3	2																		
1137	3	2																		
1138	3	2																		
1139	3	2																		
1140	3	2																		
1141	3	2																		
1142	3	2																		
1143	3	2																		
1144	3	2																		
1145	3	2																		
1146	3	2																		
1147	3	2																		
1148	3	2																		
1149	3	2																		
1150	3	2																		
1151	3	2																		
1152	3	2																		
1153	3	2																		
1154	3	2																		
1155	3	1	81	1	7	1	3	30	1	5	13	1	18		1		2	1	1	
1156	3	2																		
1157	3	1	81	3	7	1	1	27	1	10	1	2		29	2	1	2	1	1	
1158	3	2																		
1159	3	2																		
1160	3	2																		
1161	3	2																		
1162	3	2																		
1163	3	2																		
1164	3	2																		
1165	3	1	81	1	2	2	1	43	1	99	13	2		20	2	2	1	1	1	
1166	3	2																		
1167	3	2																		
1168	3	1	81	3	3	2	6	30	1	99	13	2		20	2	2	1	3	1	
1169	3	2																		
1170	3	2																		
1171	3	2																		
1172	3	2																		
1173	3	2																		
1174	3	2																		
1175	3	2																		
1176	3	2																		
1177	3	2																		
1178	3	1	81	1	2	3	1	25	1	11	99	2		29	3	2	1	1	1	
1179	3	1	81	1	2	2	9	38	1	99	13	2		29	1		1	4	1	
1180	3	2																		
1181	3	2																		
1182	3	2																		
1183	3	1	81	3	3	1	4	28	1	7	8	1	1		1		1	1	1	
1184	3	2																		
1185	3	2																		
1186	3	2																		
1187	3	2																		
1188	3	2																		
1189	3	2																		
1191	3	2																		
1192	3	2																		
1194	3	1	81	3	3	2	12	29	1	16	13	1	15		1		1	1	1	
