a01	rid	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	sample_type
194	1	1	1	39	1			1			55000	5	6	1							1			1			1			3	10.0	100.0	10.0	1		3	2	1	2	0	1		2
195	1	1	1	38	2			2			80000	10	0	1							2			2			1	2		3	12.0	100.0	100.0	1		3	2	12		0	1		2
196	1	2																																									2
197	1	2																																									2
198	1	2																																									2
199	1	2																																									2
200	1	2																																									2
201	1	1	1	2	1	3		3			30000	2	3	1							3			3			3			2	8.0	50.0	50.0	1		2	2	10	6	0	5		3
202	1	2																																									3
203	1	1	1	2	1			1			45000	8	0	1							1			1	6	72	1			2	10.0	100.0	100.0	1		2	2	2	9	1	2		3
204	1	1	1	30	1			1			84000	12	0	1							1			1			1			2	12.0	100.0	100.0	1		2	1	2		0	1		3
205	1	2																																									3
206	1	1	1	29	1			1			95000	8	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
207	1	2																																									3
208	1	1	1	31	1			1			72000	15	0	1							1			1			1			3	12.0	100.0	100.0	3	1	3	2	2		0	1		3
209	1	1	1	31	1			1			30000	8	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	3		0	1		3
210	1	1	1	29	1			1			96000	9	0	2	1			1			1			1			1			2	12.0	100.0	100.0	1		2	2	2	3	0	1		3
211	1	2																																									3
212	1	1	1	2	1			1			65000	24	7	1							1			1			1			2	12.0	50.0	50.0	1		3	2	10		0	2		3
213	1	2																																									3
214	1	1	1	23	1			1			96000	17	0	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
215	1	1	1	31	3			3			72000	2	0	1							3			3			3			3	12.0	100.0	100.0	1		3	1	3		0	1		3
216	1	2																																									3
217	1	1	1	30	1			1			60000	15	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
218	1	1	1	29	1			3			50000	0	2	1							3			3			1	3		2	2.0	100.0	100.0	1		2	2	2		0	1		3
219	7	1	1	6	7			7			120000	7	0	1							7			7			7			3	12.0	25.0	25.0	1		4	1	2		0	1		3
220	1	2																																									3
221	1	2																																									2
222	1	1	1	29	1			1			75000	30	7	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2	8	0	2		2
223	1	2																																									2
224	1	2																																									2
225	1	2																																									2
226	1	2																																									2
227	1	2																																									2
228	1	2																																									2
229	1	2																																									2
230	1	1	1	29	1			1			48000	20	3	1							1			1	2		1			1	12.0	100.0	100.0	1		1	2	2		0	2		2
231	1	1	1	30	1			1			96000	10	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		2
232	1	1	1	29	1			1			50000	10	6	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	2		2
233	1	2																																									2
234	1	2																																									2
235	1	1	1	31	1			1			70000	17	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	1		0	1		2
236	1	2																																									2
237	1	1	1	39	1			1			25000	1	0	1							1			1			1			1	12.0	100.0	100.0	1		1	2	1		0	1		2
238	1	2																																									2
239	1	2																																									2
240	1	1	1	30	1			1			84000	6	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	3	2	0	1		2
241	1	1	1	38	1			1			45000	10	2	1							1	3		1	3		1			3	12.0	100.0	100.0	1		3	2	2		0	1		2
242	1	2																																									2
243	2	1	1	22	2			2			96000	5	0	1							2			2			2	1		2	1.0	100.0	100.0	1		2	2	2		0	1		2
244	1	1	1	22	1			1			108000	12	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		2
245	1	1	1	29	1			1			100000	10	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2	3	1	2		2
246	1	1	1	22	1			1			96000	25	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		2
247	1	2																																									2
248	1	1	1	38	1			1			90000	15	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		2
249	1	1	1	30	1			1			120000	30	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	1	2	0	1		2
250	1	2																																									2
251	1	2																																									2
252	1	2																																									2
253	1	2																																									2
254	1	1	1	23	1	3		1	3	5	75000	15	0	1							1	3	5	1	3	5	1	3		2	12.0	100.0	100.0	1		2	2	2		0	1		2
255	1	1	1	38	1			1			36000	4	3	1							1			1			1	3		3	12.0	100.0	100.0	1		3	2	2		0	1		2
256	1	1	1	29	1			1			100000	12	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	1	2	0	1		2
257	1	1	1	38	1			1			48000	3	7	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		2
258	1	1	1	38	1			1			72000	12	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		2
259	1	2																																									2
260	1	1	1	23	1			1			60000	25	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2	3	0	1		2
261	1	1	1	31	1	2		1			72000	7	0	1							72			72			1			3	12.0	100.0	100.0	1		3	1	8		0	1		2
262	1	1	1	29	1			1			50000	5	3	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		2
263	1	2																																									2
264	1	2																																									2
265	1	2																																									2
266	1	2																																									2
267	1	2																																									2
268	1	1	1	29	1			1			34000	2	3	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	2		2
269	1	2																																									2
270	1	1	1	29	1	3		1	3		96000	20	0	1							1	3		1	3		1	3		2	12.0	100.0	100.0	1		2	2	2		0	1		2
271	1	2																																									2
272	1	2																																									2
273	1	2																																									2
274	1	2																																									2
275	1	2																																									2
276	1	1	1	29	1	3		1	3		144000	40	0	1							1	3		1	3		1	3		2	12.0	100.0	100.0	1		2	1	2		1	1		2
277	1	2																																									2
278	1	1	1	29	1			1			45000	20	3	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	5		2
279	1	2																																									2
280	4	1	1	31	1			1			36000	0	6	1							1			1			1			3	6.0	100.0	100.0	1		5	1	1		0	1		2
281	1	1	1	30	1			1			132000	7	0	1							1			1			1			3	12.0	100.0	100.0	1		2	2	2		0	1		2
282	1	2																																									2
283	1	1	1	2	1			1			19000	16	0	1							1			1			1			3	6.0	100.0	100.0	1		4	2	10		0	1		2
284	1	2																																									2
285	1	1	1	2	72			72			6000	10	0	1							1	72		1	72		1	72		3	6.0	100.0	100.0	1		4	2	10		0	1		2
286	3	1	1	30	3	6		3	6		85000	2	7	1							3	6		3	6		1			2	12.0	100.0	100.0	1		4	2	2	3	0	1		2
287	1	2																																									2
288	1	1	1	2	1			1			60000	5	0	1							1			1			1			3	6.0	100.0	100.0	1		4	2	2		0	1		2
289	1	1	1	2	1			1			4000	20	0	1							1			1			2			3	6.0	100.0	100.0	1		3	2	10		0	8		2
290	1	1	1	2	1			1			24000	10	0	1							1			1			1			2	6.0	100.0	100.0	1		2	2	12		0	1		2
291	1	1	1	29	1			1			60000	30	0	1							1	3		1	3		1			2	12.0	100.0	100.0	1		2	2	2	3	0	1		2
291	1	1	2	29	5			5			84000	2	7	1							5			5			5			2	12.0	100.0	100.0	1		2	2	2	3	0	1		2
292	1	1	1	2	3			3			8000	7	0	1							3			3			3			3	6.0	100.0	100.0	1		3	2	10		0	1		2
293	1	1	1	23	1			1			0	8	2	2	1			1			1			1			1			2	8.0	100.0	100.0	1		2	2	8		0	5		2
293	1	1	2	29	1			1			9000	0	4	1							1			1			1			2	4.0	100.0	100.0	1		2	2	2		0	1		2
294	3	1	1	2	71			71			25000	3	0	1							3			3			71			3	6.0	100.0	100.0	1		4	2	12		0	1		2
295	1	1	1	2	1			1			64000	15	0	1							1	3		1	3		1			3	6.0	100.0	100.0	1		4	2	12		0	1		2
296	1	2																																									2
297	1	1	1	2	1			1			24000	20	0	1							1			1			1			3	8.0	10.0	10.0	1		3	2	3		0	1		2
298	1	2																																									2
299	1	2																																									2
300	1	1	1	2	1			1			170000	35	4	1							1	3		1	3		1			1	6.0	100.0	100.0	1		1	2	8		0	1		2
301	1	1	1	1	1			1			60000	2	2	1							1			1	72		1			2	7.0	100.0	100.0	1		2	2	10		0	1		2
302	1	2																																									2
303	1	2																																									2
304	1	2																																									2
305	1	2																																									2
306	1	2																																									2
307	1	2																																									2
308	1	2																																									2
309	1	2																																									2
310	1	2																																									2
311	1	2																																									2
312	1	2																																									2
313	1	2																																									2
314	1	2																																									2
315	1	2																																									2
316	3	1	1	29	6			6			3500	0	2	1							6			6			6			2	2.0	100.0	100.0	1		2	2	2	3	0	1		2
316	3	1	2	39	3			3			36000	4	3	1							3			3			3			2	12.0	100.0	100.0	1		2	2	2	3	0	1		2
316	3	1	3	39	3			3			38000	2	5	1							3	1		3			3			2	6.0	100.0	100.0	1		2	2	2	3	0	1		2
317	1	2																																									2
318	1	2																																									2
319	1	2																																									2
320	1	2																																									2
321	1	2																																									2
322	1	2																																									2
323	1	2																																									2
324	1	2																																									2
325	1	1	1	39	1			1			72000	25	0	1							1			1			1			2	12.0	100.0	100.0	1		1	3	2		0	1		2
326	3	1	1	29	1	3		3			12000	0	4	1							3	4		3			1			1	4.0	100.0	100.0	1		1	2	3		0	2		2
327	1	2																																									2
328	3	1	1	2	1	3		3			300000	10	4	1							3			3	72		1	3		2	6.0	100.0	100.0	1		1	2	3		10	14		2
329	3	1	1	2	1	3		3			500000	22	5	1							3	1		3	72		3			2	10.0	100.0	100.0	1		1	2	3		12	14		2
329	3	1	2	23	6			6			150000	2	1	1							6			6			6			2	12.0	100.0	100.0	1		2	2	2		3	2		2
330	1	2																																									2
331	1	1	1	29	1			1			78000	4	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	8		0	1		2
332	1	1	1	38	1			1			100000	30	0	1							1	3		1	3		1			2	12.0	100.0	100.0	2		2	2	2	3	0	1		2
333	3	1	1	30	3			3			48000	3	0	1							3			3			71			2	12.0	100.0	100.0	1		2	1	2		0	1		2
334	1	1	1	6	1			1			350000	25	0	1							1			1			1			3	12.0	100.0	100.0	1		4	1	2		2	1		2
335	1	2																																									2
336	1	2																																									2
337	1	2																																									2
338	1	1	1	29	1			1			70000	3	7	1							1	5		1	5		1			2	12.0	100.0	100.0	1		2	2	3		0	1		2
339	3	1	1	29	1	3		3			50000	8	3	1							3			3			1			1	12.0	100.0	100.0	1		1	2	8		0	2		2
340	1	1	1	29	1			1			60000	4	4	1							1			1			1			2	12.0	100.0	100.0	1		2	2	3		0	1		2
341	1	1	1	26	1	72		72			3000	5	0	1							1	72		1	72		1	72		1	12.0	100.0	100.0	1		3	2	4		0	1		3
342	1	2																																									3
343	1	1	1	2	1			1			95000	18	4	1							1			1			1			1	11.0	100.0	100.0	1		1	2	10		0	1		3
344	1	2																																									3
345	1	2																																									3
346	3	1	1	39	72			72			36000	4	0	1							3	72		3	72		3	72		2	12.0	25.0	25.0	1		4	2	7		0	1		3
347	1	2																																									3
348	1	2																																									3
349	1	1	1	2	72			72			10000	4	0	1							1	72		1	72		1	72		3	6.0	25.0	25.0	1		2	2	10		0	1		3
350	1	1	1	30	1			1			40000	20	3	1							1			1	3		1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
351	1	2																																									3
352	1	2																																									3
353	1	2																																									3
354	1	2																																									3
355	1	2																																									3
356	1	2																																									3
357	1	2																																									3
358	1	2																																									3
359	1	2																																									3
360	1	2																																									3
361	3	1	1	26	2	72		3	72		300000	4	0	1							3	72		3	72		3	72		2	12.0	50.0	50.0	1		4	2	2		12	1		3
362	1	1	1	30	1			1			96000	10	4	1							1			1			1			2	12.0	100.0	100.0	1		2	2	1		0	1		3
363	1	1	1	31	1			1			80000	23	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	8		0	1		3
364	1	1	1	30	1			1			65000	35	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
364	1	1	2	30	3			3			18000	6	0	1							3			3			3			3	3.0	100.0	100.0	1		2	2	2		0	1		3
364	1	1	3	39	2	5		5			1000	0	2	1							5			5			5			1	2.0	100.0	100.0	1		1	2	1		0	1		3
364	1	1	4	34	3			3			20000	4	0	1							3			3			3			2	8.0	100.0	100.0	1		5	2	2		0	1		3
364	1	1	5	13	3			3			28000	6	0	1							3			3			3			2	10.0	100.0	100.0	1		5	2	2		0	1		3
365	3	1	1	26	1			1	3		33000	10	0	1							3			3			3			1	6.0	100.0	100.0	1		1	2	2		0	1		3
366	1	1	1	26	1			1			60000	10	1	1							1			1			1			2	12.0	100.0	100.0	1		2	2	1		0	1		3
366	1	1	2	30	1			1			60000	12	6	1							1			1			1			2	12.0	100.0	100.0	1		2	1	1		1	1		3
366	1	1	3	29	1	2		1	2		30000	3	0	1							1	2		1	2		1			2	12.0	100.0	100.0	1		1	2	1		0	1		3
367	1	2																																									3
368	3	1	1	30	3			3			120000	6	0	1							3			3			3			2	12.0	100.0	100.0	1		4	2	1		5	1		3
368	3	1	2	26	3			3			70000	12	3	1							3			3			3			2	12.0	100.0	100.0	1		4	2	1		3	1		3
368	3	1	3	31	3			3			90000	5	0	1							3			3			3			3	12.0	100.0	100.0	1		4	1	2		2	1		3
369	1	1	1	30	1			1			6000	0	2	1							1			1			1			3	2.0	100.0	100.0	1		2	2	1		0	1		3
