a01	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_20	q_21	sample_type	flag
1676	1	800		2	0	4	4	2	4	1	1	240.0	2			6	0	4	65.0	1	50	3	
1677	1	3000		3	0	1	1	2	1	1	3	270.0	1	6	500	1		1		2	1500	3	
1678	1	500		40	0	4	4	2	4	1	1	180.0	1	6	100	8	0	1		1	150	3	
1679	1	600		12	0	2	1	2	4	2	2	630.0	1	2	260	9	0	1		2	200	3	
1680	1	550		15	0	3	4	2	4	1	1	120.0	1	3	100	5	500	1		2	200	3	
1681	1	200		7	0	4	2	2	4	1	1	124.0	1	2	100	9	0	1		1	50	2	
1682	2	500		9999	3	1	1	2	1	1	1	84.0	1	2	140	10	200	1		0		2	
1683	2	300		20	2	3	2	2	4	1	2	180.0	2			9	40	4	144.0	1	50	2	
1684	1	1000		11	0	3	2	2	4	1	3	504.0	2			6	0	4	350.0	1	1200	2	
1685	1	200		20	4	4	2	2	4	1	1	189.0	2			5	0	4	180.0	1	200	2	
1686	1	800		8	2	2	2	2	4	2	3	522.0	1	3	200	5	300	1		2	300	2	
1687	1	200		2	2	3	6	2	4	1	1	90.0	1	2	100	6	0	1		1	150	2	
1688	1	300		25	2	3	2	2	4	1	3	396.0	1	2	153	5	50	1		0		2	
1689	1	500		25	0	2	2	2	4	2	4	540.0	1	2	345	5	50	1		3	600	2	
1690	1	600		9999	2	3	2	2	4	1	3	720.0	2			6	0	4	180.0	1	100	2	
1691	1	400		9999	2	3	2	2	4	1	3	432.0	2			6	0	4	220.0	1	300	2	
1692	1	800		9999	2	2	2	2	4	2	3	540.0	2			6	50	4	220.0	3	1500	2	
1693	1	400		9999	3	3	2	2	4	1	3	270.0	2			9	0	4	160.0	1	60	2	
1694	1	500		9999	0	2	2	2	4	1	2	337.0	2			10	0	4	132.0	1	150	2	
1695	1	100		5	2	3	11	2	4	1	1	148.0	2			9	0	4	70.0	1	100	2	
1696	1	500		9999	4	3	2	2	4	1	3	324.0	2			6	50	4	62.0	1	100	2	
1697	1	300		5	3	2	2	2	4	1	2	351.0	2			6	0	4	240.0	1	50	2	
1698	1	400		14	1	1	2	2	4	1	1	175.0	2			6	300	4	130.0	1	100	2	
1699	1	600		8	0	3	2	2	4	1	2	202.0	2			9	20	4	175.0	1	100	2	
1700	1	500		30	0	2	2	2	4	2	3	1260.0	2			6	0	4	240.0	1	100	2	
1701	1	400		28	0	2	2	2	4	1	5	504.0	1	2	160	5	520	1		1	100	2	
1702	1	800		9999	2	2	2	2	4	1	3	486.0	1	2	106	5	0	1		1	100	2	
1703	1	300		8	0	3	2	2	4	1	1	378.0	2			5	10	4	195.0	1	150	2	
1704	1	2000		9999	1	1	2	2	1	1	4	540.0	1	3	98	5	0	1		1	40	2	
1705	1	1200		13	0	1	2	2	4	1	3	658.0	1	2	199	5	560	1		2	1500	2	
1706	1	200		3	1	2	2	2	4	1	1	148.0	1	2	250	5	230	1		2	200	2	
1707	1	500		11	1	2	2	2	4	1	3	346.0	1	2	120	5	0	1		1	200	2	
1708	3		500	10	2	3	2	2	4	1	3	432.0	2			5	1000	4	165.0	2	700	2	
1709	1	1000		9999	5	2	2	2	4	1	3	450.0	2			5	520	4	244.0	0		2	
1710	1	1000		9999	4	3	2	2	4	2	4	1512.0	1	2	100	9	0	1		1	50	2	
1711	1	1000		9	0	1	2	2	4	2	3	324.0	1	2	150	5	370	1		4	600	2	
1712	1	400		9999	4	4	2	2	4	1	1	216.0	1	2	50	9	0	1		1	30	2	
1713	2	500		9	1	4	11	2	4	1	2	270.0	2			5	350	4	130.0	0		2	
1714	1	2000		9999	2	1	1	2	1	1	3	648.0	1	2	230	5	160	1		2	200	2	
1715	1	1000		9999	0	1	2	2	4	1	2	432.0	1	2	125	9	260	1		2	200	2	
1716	1	100		9999	2	4	5	2	4	1	1	175.0	1	2	98	10	10	1		0		2	
1717	1	1000		9999	2	3	2	2	4	1	5	378.0	1	2	215	5	500	1		4	200	2	
1718	1	1000		9999	1	1	2	2	4	1	2	432.0	2			6	240	4	110.0	1	100	2	
1719	1	300		16	3	3	2	2	4	1	3	135.0	2			9	0	4	122.0	0		2	
1720	1	100		9999	4	4	2	2	4	1	1	135.0	2			5	350	4	244.0	1	50	2	
1721	1	500		9	4	3	2	2	4	1	3	441.0	1	4	115	10	0	1		1	100	2	
1722	1	1500		8	0	1	1	2	4	1	3	567.0	1	4	265	8	0	1		1	200	2	
1723	2	100		9999	2	4	2	2	4	1	1	135.0	2			10	0	4	90.0	1	100	2	
1724	1	100		9999	3	4	2	2	4	2	2	246.0	2			10	0	4	120.0	1	200	2	
1725	2	100		3	1	4	2	2	4	1	1	202.0	1	2	98	9	0	1		1	50	2	
1726	1	600		2	1	1	2	2	4	1	1	220.0	1	2	60	10	150	1		0		2	
1727	1	400		9999	3	2	6	2	4	1	1	189.0	1	2	110	5	50	1		0		2	
1728	1	1000		12	1	1	1	2	1	1	5	567.0	1	3	336	5	480	1		2	600	2	
1729	2	500		8	0	1	2	2	4	1	3	445.0	1	2	98	9	0	1		1	100	2	
1730	1	300		10	1	4	6	2	4	1	2	315.0	1	3	100	6	0	1		1	20	2	
1731	1	1500		12	2	1	1	2	1	1	4	900.0	1	2	200	5	0	1		1	200	2	
1732	1	600		9999	1	3	2	2	4	1	3	441.0	1	3	115	6	0	1		1	200	2	
1733	1	600		7	0	1	1	2	4	1	3	567.0	1	2	122	5	0	1		2	250	2	
1734	1	200		8	0	3	6	2	4	1	1	189.0	1	2	150	10	100	1		1	30	2	
1735	1	500		10	1	3	2	2	4	1	2	252.0	1	2	150	9	100	1		0		2	
1736	1	700		9999	1	3	2	2	4	2	3	972.0	2			9	0	4	180.0	1	100	2	
1737	1	300		15	0	3	2	2	4	1	3	300.0	1	2	98	5	0	1		1	60	2	
1738	1	300		9999	4	4	6	2	4	1	2	216.0	2			6	0	4	65.0	1	50	2	
1739	1	500		9999	2	3	2	2	4	1	3	315.0	2			9	0	4	130.0	1	50	2	
1740	1	500		25	2	3	2	2	4	1	1	351.0	1	2	98	10	0	1		0		2	
1741	2	200		21	0	4	5	2	4	1	2	260.0	2			10	0	4	75.0	1	150	3	
1742	2	200		4	0	3	2	2	4	1	2	260.0	2			6	0	4	68.0	0		3	
1743	2	300		30	0	4	2	2	4	1	2	280.0	2			6	0	4	136.0	1	200	3	
1744	1	200		20	0	4	2	2	4	1	2	220.0	2			6	0	4	70.0	1	110	3	
1745	2	200		4	0	4	5	2	4	1	1	140.0	2			10	0	4	68.0	1	120	3	
1746	2	150		4	0	5	5	2	4	1	1	140.0	2			10	0	4	68.0	0		3	
1747	2	150		2	0	5	5	2	4	1	1	135.0	2			10	0	4	68.0	1	120	3	
1748	2	200		4	0	3	2	2	4	1	1	148.0	2			6	250	4	68.0	1	150	3	
1749	2	300		9999	0	3	2	2	4	1	2	288.0	2			6	0	4	105.0	0		3	
1750	2	200		50	2	4	2	2	4	1	3	200.0	2			10	0	4	65.0	0		3	
1751	2	150		9999	2	3	2	2	4	1	3	312.0	2			10	0	4	65.0	0		3	
1752	2	500		25	0	3	2	2	4	2	3	448.0	2			6	0	3	975.0	2	350	3	
1753	2	200		25	0	4	2	2	4	1	2	216.0	2			10	0	4	130.0	1	50	3	
1754	2	400		9999	0	3	2	2	4	1	1	360.0	2			10	0	4	70.0	3	300	3	
1755	1	500		18	0	3	2	2	4	1	2	220.0	2			6	0	4	70.0	0		3	
1756	1	250		0	0	4	5	2	4	1	2	220.0	2			6	0	4	130.0	0		3	
1757	1	300		4	0	4	5	2	4	1	1	162.0	2			6	0	4	140.0	0		3	
1758	1	300		9	3	3	2	2	4	1	3	220.0	2			6	0	4	70.0	0		3	
1759	2	500		11	1	3	2	2	4	1	3	220.0	2			6	0	4	105.0	0		3	
1760	1	400		13	0	3	2	2	4	1	1	220.0	2			6	0	4	70.0	0		3	
1761	1	400		1	0	3	4	2	4	1	2	162.0	2			5	0	4	120.0	1	50	3	
1762	1	500		20	0	4	4	2	4	1	2	330.0	2			5	200	4	90.0	1	50	3	
1763	1	300		9999	0	2	4	2	4	1	1	252.0	2			9	0	4	60.0	0		3	
1764	1	1000		100	0	2	1	2	4	1	3	360.0	2			5	0	3	120.0	1	150	3	
1765	1	400		9999	0	3	5	2	4	1	2	252.0	2			5	0	4	120.0	1	300	3	
1766	2	300		10	0	5	5	2	4	1	1	108.0	2			9	0	4	30.0	0		3	
1767	1	200		2	0	4	4	2	4	1	1	192.0	2			5	0	4	150.0	0		3	
1768	1	500		9999	1	3	2	2	4	1	2	216.0	2			6	0	4	250.0	1	250	3	
1769	1	200		15	0	4	4	2	4	1	2	216.0	2			5	150	4	120.0	1	50	3	
1770	1	500		20	0	3	2	2	4	1	1	252.0	2			5	300	4	66.0	1	50	3	
1771	2	300		9999	1	4	2	2	4	1	1	198.0	2			5	300	4	60.0	0		3	
1772	1	300		9999	0	3	5	2	4	1	2	220.0	2			9	0	4	60.0	1	50	3	
1773	1	1000		20	0	2	1	2	1	1	3	600.0	1	3	305	5	500	1		2	350	3	
1774	1	500		9999	1	3	4	2	4	1	2	396.0	2			5	400	4	114.0	0		3	
1775	1	2000		9999	0	1	1	2	1	1	7	864.0	2			6	0	4	342.0	3	500	3	
1776	1	200		9999	0	3	4	2	4	1	2	216.0	2			9	0	4	57.0	0		3	
1777	1	500		9999	2	2	4	2	4	1	2	187.0	2			10	0	4	180.0	1	150	3	
1778	1	300		9999	0	4	4	2	4	1	2	160.0	2			9	0	4	220.0	1	80	3	
1779	1	200		10	0	4	2	2	4	1	1	189.0	2			5	200	4	60.0	0		3	
1780	1	200		10	0	4	4	2	4	1	1	157.0	2			5	200	4	12.0	1	150	3	
1781	1	1000		60	0	2	1	2	1	1	2	283.0	1	2	350	6	100	1		2	600	3	
1782	1	500		9999	0	3	2	2	4	1	2	432.0	1	2	385	5	300	1		2	600	3	
1783	1	400		9999	3	3	2	2	4	1	3	268.0	1	2	100	1		1		1	150	3	
1784	1	200		9999	0	4	10	2	4	1	2	168.0	2			6	250	4	120.0	1	100	3	
1785	1	300		9999	4	4	2	2	4	1	4	312.0	1	2	130	5	250	1		1	300	3	
1786	1	300		9999	0	4	2	2	4	1	2	216.0	1	3	107	10	0	1		1	110	3	
1787	1	500		9999	0	3	5	2	4	1	2	216.0	1	2	100	5	300	1		0		3	
1788	2	200		9999	0	4	10	2	4	1	1	180.0	2			6	200	4	180.0	0		3	
1789	1	500		30	0	3	2	2	1	2	3	324.0	1	2	180	5	960	1		3	400	3	
1790	1	200		9999	0	4	2	2	4	1	1	220.0	2			10	0	4	120.0	1	20	3	
1791	1	600		9999	0	3	5	2	4	2	4	360.0	2			6	150	4	300.0	1	150	3	
1792	1	100		9999	0	5	10	2	4	1	1	140.0	2			9	0	4	120.0	0		3	
1793	1	300		9999	1	3	2	2	4	1	2	144.0	1	2	107	9	500	1		1	200	3	
1794	2	300		9999	0	3	5	2	4	1	1	96.0	2			5	325	4	120.0	0		3	
1795	1	200		12	0	5	2	2	4	1	1	57.0	1	3	120	9	0	1		0		3	
1796	1	200		9999	0	4	2	2	4	1	2	216.0	1	3	160	9	120	1		1	100	3	
1797	1	400		9999	0	4	2	2	4	1	2	288.0	1	2	200	5	200	1		1	150	3	
1798	1	500		10	0	3	2	2	4	1	3	288.0	2			5	0	4	180.0	2	100	3	
1799	2	200		15	0	4	2	2	4	1	2	210.0	2			9	0	4	12.0	0		3	
1800	1	1000		60	0	2	1	2	1	1	3	216.0	1	2	305	4	1000	1		1	500	3	
1801	1	500		12	0	2	1	2	1	1	2	294.0	1	2	160	5	200	1		1	300	3	
1802	2	2000		7	0	1	1	1	1	1	5	875.0	1	2	236	5	0	1		1	100	3	
1803	1	400		9999	0	3	5	2	4	1	1	252.0	2			5	0	3	150.0	0		3	
1804	1	150		9999	0	4	5	2	4	1	1	112.0	2			5	300	4	240.0	0		3	
1805	1	300		50	2	3	4	2	4	1	4	384.0	1	2	83	5	320	1		1	150	3	
1806	1	200		9999	2	4	5	10	4	1	3	240.0	1	2	100	5	160	1		1	300	3	
1807	2	200		9999	1	3	4	2	4	1	2	288.0	2			9	0	4	60.0	0		3	
1808	1	200		9999	0	3	2	2	4	1	2	264.0	1	2	100	10	0	1		1	100	3	
1809	1	1000		9999	0	2	1	2	1	1	2	336.0	1	2	500	5	550	1		1	500	3	
1810	1	500		9999	0	2	1	2	4	1	3	264.0	1	2	270	5	500	1		1	200	3	
1811	1	500		9999	0	3	4	2	4	1	3	264.0	1	2	170	6	0	1		2	300	3	
1812	1	300		35	0	4	10	2	4	1	2	396.0	2			9	0	4	160.0	1	300	3	
1813	1	400		9999	0	3	5	2	4	1	2	216.0	1	3	150	6	0	1		0		3	
1814	1	500		50	0	3	4	2	4	1	2	267.0	1	2	250	9	0	1		1	200	3	
1815	1	1000		12	0	3	5	2	4	1	1	324.0	1	2	100	5	0	1		2	150	3	
1816	1	300		9999	0	3	2	2	4	1	1	220.0	2			5	500	4	90.0	1	300	3	
1817	1	200		2	0	4	5	10	4	1	1	108.0	1	2	228	1		1		0		3	
1818	1	500		40	0	3	2	2	4	1	2	364.0	1	2	310	5	100	1		2	200	3	
1819	2	200		0	4	4	5	10	4	1	1	162.0	2			9	0	4	60.0	0		3	
1820	1	500		40	0	3	2	2	4	1	2	364.0	1	2	150	5	0	1		2	200	3	
1821	1	500		9999	0	3	4	2	4	2	4	460.0	1	2	134	6	0	1		2	400	3	
1822	1	1000		9999	0	2	1	2	1	1	4	460.0	1	2	230	5	0	1		4	1000	3	
1823	1	500		9999	0	3	5	2	4	1	3	320.0	1	2	110	5	0	1		1	150	3	
1824	1	400		50	0	3	10	2	4	1	2	240.0	2			5	0	4	60.0	1	150	3	
1825	1	300		50	1	3	4	2	4	1	2	230.0	2			9	0	4	30.0	0		3	
1826	1	300		9999	1	4	4	2	4	1	2	260.0	2			9	0	4	60.0	0		3	
1827	1	200		20	0	4	10	2	4	1	1	157.0	2			9	0	4	68.0	1	120	3	
1828	1	600		9999	0	3	4	2	4	2	2	552.0	1	2	110	6	0	1		2	200	3	
1829	1	1000		30	0	3	4	2	4	2	3	560.0	2			5	0	4	210.0	2	300	3	
1830	1	500		60	0	1	4	2	4	1	2	360.0	2			5	0	4	130.0	1	120	3	
1831	1	1000		16	0	1	4	2	4	1	3	552.0	1	2	150	5	0	1		1	100	3	
1832	1	1000		9999	0	2	4	2	4	1	3	432.0	1	2	275	5	0	1		2	350	3	
1833	1	1000		52	0	2	4	2	4	1	2	429.0	1	2	133	10	0	1		2	600	3	
1834	1	1000		43	0	2	4	2	4	1	2	432.0	2			10	0	4	180.0	1	200	3	
1835	1	500		16	0	3	4	2	4	1	4	346.0	2			5	0	4	70.0	1	100	3	
1836	1	300		9999	0	4	2	2	4	1	3	441.0	1	2	120	5	0	1		0		3	
1837	1	200		1	0	3	5	2	4	1	1	157.0	1	2	55	6	0	1		1	50	3	
1838	1	300		9999	0	3	2	2	4	1	2	288.0	1	2	158	6	0	1		1	120	3	
1839	1	500		9999	0	3	2	2	4	1	2	226.0	1	2	220	5	300	1		1	120	3	
1840	1	300		7	0	4	5	2	4	1	2	288.0	2			9	0	4	210.0	1	150	3	
1841	1	300		9999	2	4	2	2	4	2	2	296.0	2			10	200	4	170.0	0		3	
1842	2	400		21	2	4	2	2	4	1	1	200.0	2			6	0	4	114.0	0		3	
1843	1	1000		7	0	3	10	2	4	1	3	260.0	2			6	0	4	114.0	1	100	3	
1844	1	300		15	0	4	2	2	4	1	2	210.0	2			10	0	4	90.0	0		3	
1845	1	1000		9999	0	2	2	2	1	2	3	600.0	1	2	140	5	0	1		1	300	3	
1846	1	1000		9999	0	3	2	2	4	1	3	448.0	1	2	310	6	500	1		2		3	
1847	1	500		40	0	3	1	2	4	1	2	450.0	1	2	192	10	0	1		0		3	
1848	1	500		16	0	3	2	2	4	1	2	210.0	2			6	0	4	80.0	1	150	3	
1849	2	200		20	0	4	10	2	4	1	2	108.0	2			6	0	4	60.0	1	50	3	
1850	1	400		10	1	4	2	2	4	1	1	157.0	2			10	0	4	80.0	0		3	
1851	1	500		9999	0	5	2	2	4	1	2	108.0	2			9	0	4	70.0	0		3	
1852	1	500	0	9999	0	5	2	2	4	1	2	220.0	2			6	0	4	90.0	0		3	
1853	1	500		0	0	5	6	2	4	1	3	135.0	2			6	0	4	60.0	0		3	
1854	1	200		9999	3	4	2	2	4	1	1	270.0	1	2	50	6	200	1		1	150	3	
1855	1	500		9999	0	4	5	2	4	1	2	220.0	2			6	0	4	180.0	0		3	
1856	1	1200		9999	0	2	2	2	4	2	4	450.0	1	3	270	6	0	1		3	300	3	
1857	1	500		9999	0	4	2	2	4	1	2	216.0	1	3	183	10	0	1		1	120	3	
1858	1	300		9999	4	4	10	2	4	1	1	252.0	2			5	300	4	86.0	0		3	
1859	1	1000		30	0	2	1	2	4	1	3	450.0	1	3	320	10	0	1		1	120	3	
1860	1	200		10	0	5	10	2	4	1	2	196.0	1	2	100	6	0	1		0		3	
1861	1	600		9999	0	3	2	2	4	1	2	320.0	1	2	200	9	0	1		1	200	3	
1862	1	400		45	3	3	1	2	4	1	4	340.0	1	2	110	6	400	1		0	150	3	
1863	1	600		9999	0	2	2	2	4	1	4	360.0	1	2	250	5	0	1		1	200	3	
1864	1	400		25	0	3	4	2	4	1	2	262.0	2			10	0	4	80.0	1	150	3	
1865	1	400		45	0	4	10	2	4	1	2	262.0	1	2	110	10	0	1		1	150	3	
1866	1	1000		40	0	3	2	2	4	1	3	240.0	1	2	105	5	300	1		2	400	3	
1867	1	500		9999	0	4	10	2	4	1	2	324.0	2			5	0	4	180.0	1	50	3	
1868	1	700		9999	0	4	2	2	4	2	4	512.0	1	2	105	5	0	1		1	300	3	
1869	1	300		9999	0	4	2	2	4	1	2	200.0	2			10	0	4	90.0	1	200	3	
1870	1	1000		9999	0	1	1	2	4	1	2	268.0	1	2	200	5	500	1		1	600	3	
1871	1	600		9999	0	2	1	2	4	2	3	400.0	1	2	124	5	0	1		1	100	3	
1872	1	400		15	0	4	10	10	4	1	2	240.0	1	2	146	5	0	1		1	300	3	
1873	1	1000		30	0	2	2	2	4	2	4	540.0	1	2	500	5	0	1		2	1400	3	
1874	1	1000		30	0	2	2	2	1	1	3	270.0	1	2	200	5	0	1		2	750	3	
1875	1	1000		65	0	2	2	2	4	1	3	607.0	1	2	485	5	0	1		3	600	3	
1876	1	1000		9999	0	3	2	2	4	2	6	796.0	2			5	0	4	240.0	3	350	3	
1877	1	300		25	0	4	10	10	4	1	1	180.0	2			9	0	4	60.0	0		3	
1878	1	1000		50	0	1	1	2	1	1	4	396.0	2			5	0	4	180.0	3	450	3	
1879	1	400		30	0	4	5	10	4	1	2	264.0	2			6	0	4	120.0	0		3	
1880	1	400		15	0	3	2	2	4	1	3	324.0	2			9	0	4	180.0	1	100	3	
1881	1	3000		9999	0	2	1	1	1	1	3	540.0	1	2	610	2	450	1		1	300	3	
1882	1	2000		9999	0	2	1	1	1	1	2	180.0	1	3	500	2	450	1		1	200	3	
1883	1	3000		26	0	3	2	2	1	1	3	504.0	1	2	300	2	450	1		2	200	3	
1884	1	700		9999	0	2	4	2	4	1	2	384.0	1	2	229	5	400	1		2	170	3	
1885	1	30000		75	0	2	1	2	1	1	3	324.0	1	2	150	2	225	1		2	200	3	
1886	3		3750	9999	0	1	1	2	1	1	2	288.0	1	2	250	2	450	1		2	500	3	
1887	1	2000		9999	3	2	1	2	1	2	6	748.0	1	2	400	2	450	1		2	400	3	
1888	1	500		60	1	3	4	2	4	1	2	216.0	1	2	150	8	240	1		1	120	3	
1889	1	2000		9	0	1	1	2	1	2	2	960.0	1	2	600	2	45	1		2	500	3	
1890	1	500		9999	0	2	2	2	4	1	1	216.0	1	2	98	2	450	1		2	300	3	
1891	1	1500		0	0	1	1	1	1	1	2	552.0	1	2	200	5	750	1		2	150	3	
1892	1	800		9999	0	4	10	2	4	1	2	360.0	1	2	109	6	0	1		0		3	
1893	1	1000		70	0	2	1	2	1	1	2	864.0	1	2	145	10	0	1		0		3	
1894	1	1000		18	0	3	1	2	1	1	2	280.0	1	2	210	2	450	1		1	100	3	
1895	1	1500		45	0	3	4	2	4	2	3	340.0	1	2	200	2	450	1		2	400	3	
1896	1	1800		55	4	3	4	2	4	3	7	840.0	1	2	320	2	450	1		2	350	3	
1897	1	1500		60	4	2	1	2	1	2	6	640.0	1	2	380	1		1		1	250	3	
1898	1	1500		60	3	3	2	2	4	2	6	640.0	1	2	350	2	450	1		1	200	3	
1899	1	1500		60	2	3	4	2	4	2	4	460.0	1	2	280	5	0	1		3	600	3	
1900	1	2000		60	0	2	1	2	1	1	3	504.0	1	2	450	2	450	1		4	1200	3	
1901	1	300		9999	1	4	10	2	4	1	1	157.0	1	3	150	6	0	1		1	300	3	
1902	1	500		9999	0	2	1	2	4	2	4	792.0	1	2	150	10	100	1		1	150	3	
1903	1	200		12	0	4	10	2	4	1	1	168.0	2			10	0	4	250.0	0		3	
1904	1	300		9999	0	3	2	2	4	1	2	216.0	1	3	200	9	100	1		1	150	3	
1905	1	200		9999	0	5	10	2	4	1	1	157.0	2			10	0	4	80.0	0		3	
1906	1	300		9999	0	3	2	2	4	2	4	216.0	1	2	98	6	0	1		1	200	3	
1907	1	400		9999	2	3	2	2	4	1	2	312.0	2			6	0	4	120.0	0		3	
1908	1	400		9999	0	3	2	2	1	1	3	192.0	1	2	274	6	0	1		1	200	3	
1909	1	300		9999	0	3	2	2	4	1	2	240.0	1	2	112	5	200	1		1	300	3	
1910	1	1500		70	0	2	1	2	4	1	3	480.0	1	2	396	6	0	1		1	300	3	
1911	1	1000		9999	3	3	2	2	4	1	2	540.0	1	2	100	6	0	1		1	150	3	
1912	1	300		20	0	4	10	2	4	1	2	162.0	1	2	200	6	100	1		1	150	3	
1913	1	100		9999	0	4	10	2	4	1	1	135.0	2			9	0	4	60.0	0		3	
1914	1	500		12	0	4	2	2	4	1	2	220.0	1	2	300	5	50	1		1	300	3	
1915	1	300		40	0	4	5	2	4	1	3	210.0	1	3	190	5	0	1		1	150	3	
1916	1	500		35	1	3	2	2	4	1	2	240.0	1	3	300	5	100	1		1	200	3	
1917	1	200		38	0	4	4	2	4	1	2	288.0	1	4	150	9	200	1		0		3	
1918	2	300		2	0	4	5	2	4	1	1	108.0	1	2	200	5	600	1		0		3	
1919	1	500		16	3	4	4	2	4	1	5	396.0	1	2	256	5	600	1		1	150	3	
1920	1	300		30	4	3	2	2	4	1	1	480.0	1	2	285	5	0	1		2	500	3	
1921	1	5000		1	0	1	1	1	1	1	8	2025.0	1	3	120	9	0	1		1	200	3	
1922	1	200		35	1	4	4	2	4	1	1	216.0	2			8	0	4	60.0	0		3	
1923	1	1000		16	0	2	4	2	4	1	2	351.0	1	3	167	5	200	1		1	300	3	
1924	1	500		7	0	2	4	2	4	1	2	450.0	1	2	107	9	0	1		1	500	3	
1925	1	300		30	2	4	4	2	4	1	2	384.0	1	2	153	8	0	1		2	500	3	
1926	1	1000		40	1	2	4	2	4	1	1	360.0	2			9	0	4	240.0	2	1500	3	
1927	1	300		20	1	3	4	2	4	1	1	315.0	2			6	0	4	60.0	0		3	
1928	1	500		100	0	1	4	2	4	2	2	324.0	1	3	300	9	0	1		1	100	3	
1929	1	1000		25	0	2	4	2	4	1	2	594.0	1	2	214	5	0	1		1	200	3	
1930	1	1200		20	0	2	1	2	4	2	4	520.0	1	2	122	6	0	1		1	100	3	
1931	1	500		20	1	2	4	2	4	1	2	432.0	1	3	233	9	0	1		1	50	3	
1932	1	300		15	1	3	4	2	4	1	2	504.0	1	2	70	9	0	1		1	150	3	
1933	1	500		30	0	1	4	2	4	1	3	486.0	1	3	336	5	0	1		3	200	3	
1934	1	600		20	1	2	4	2	4	1	2	918.0	1	2	98	5	0	1		1	30	3	
1935	1	200		10	2	4	4	2	4	1	1	315.0	1	2	72	9	0	1		0		3	
1936	1	400		35	0	3	4	2	4	1	2	320.0	1	2	200	9	0	1		1	200	3	
1937	1	1200		30	2	2	4	2	4	1	2	480.0	1	2	252	8	0	1		3	1000	3	
1938	1	1200		1	1	2	1	1	1	1	2	288.0	1	2	261	8	0	1		2	300	3	
1939	1	500		12	0	2	4	2	4	1	1	204.0	2			9	0	4	70.0	2	100	3	
1940	1	1500		11	0	1	4	2	4	1	3	486.0	2			9	0	3	90.0	2	400	3	
1941	1	1000		30	0	1	1	1	1	1	4	560.0	1	2	250	2	150	1		3	300	3	
1942	1	1000		10	0	2	4	2	4	1	2	297.0	1	2	105	9	0	1		1	150	3	
1943	1	600		25	0	3	4	2	4	1	1	360.0	1	2	150	9	0	1		1	50	3	
1944	1	200		8	3	2	4	2	4	1	1	90.0	1	2	60	9	0	1		0		3	
1945	1	300		25	3	3	4	2	4	1	1	405.0	1	2	120	6	0	1		0		3	
1946	1	1500		22	0	2	4	2	4	1	4	1076.0	1	3	230	5	0	1		4	800	3	
1947	1	800		38	0	2	4	2	4	1	2	843.75	1	2	227	9	0	1		1	200	3	
1948	1	400		15	0	2	4	2	4	1	2	396.0	1	3	110	9	0	1		1	30	3	
1949	1	150		11	0	2	4	2	4	2	2	504.0	2			9	0	4	72.0	0		3	
1950	1	500		30	1	2	4	2	4	1	1	216.0	1	2	186	9	0	1		1	300	3	
1951	1	500		60	4	2	4	2	4	2	2	338.0	1	3	66	9	0	1		1	150	3	
1952	1	600		35	1	3	4	10	4	1	2	540.0	1	2	155	9	0	1		1	150	3	
1953	1	1000		8	0	1	4	2	4	1	2	567.0	2			9	0	4	60.0	1	150	3	
1954	1	300		15	1	3	4	2	4	1	2	320.0	2			9	0	4	60.0	1	500	3	
1955	1	300		12	2	4	4	2	4	1	1	180.0	2			9	0	4	60.0	1	50	3	
1956	1	100		11	1	4	4	2	4	1	1	185.0	2			9	0	4	30.0	1	200	3	
1957	1	600		2	0	1	1	2	4	1	3	340.0	1	2	170	8	0	1		1	100	3	
1958	1	500		10	0	2	4	2	4	1	2	540.0	2			9	0	4	100.0	2	100	3	
1959	1	400		12	0	2	4	2	4	1	2	135.0	2			9	0	4	60.0	1	200	3	
1960	1	500		30	3	2	4	2	4	1	2	378.0	1	3	220	9	0	1		2	200	3	
1961	1	50		2	1	4	5	2	4	1	1	300.0	2			6	0	4	28.0	0		3	
1962	1	200		3	0	3	5	2	4	1	1	300.0	2			6	0	4	90.0	0		3	
1963	1	400		5	0	3	2	2	4	1	1	360.0	2			6	0	4	120.0	1	100	3	
1964	1	500		9	0	3	2	2	4	2	2	540.0	2			9	60	4	60.0	0		3	
1965	1	400		6	0	2	2	2	4	1	1	360.0	2			6	0	4	60.0	1	60	3	
1966	1	100		6	0	3	6	2	4	1	1	162.0	2			9	0	4	60.0	0		3	
1967	1	3000		50	0	1	1	2	1	1	3	384.0	2			6	0	3	0.0	1	600	3	
1968	1	600		50	0	4	2	2	4	1	1	216.0	2			6	0	4	120.0	0		3	
1969	1	500		50	0	3	2	2	4	1	1	396.0	2			5	0	4	120.0	1	200	3	
1970	1	500		18	0	4	2	2	4	1	2	130.0	2			9	0	4	60.0	0		3	
1971	1	1000		12	0	3	2	2	4	1	2	495.0	2			10	350	3	120.0	2	600	3	
1972	1	400		40	0	5	2	2	4	1	1	120.0	2			9	0	4	120.0	0		3	
1973	1	1000		25	0	4	2	2	4	1	1	200.0	2			9	0	4	120.0	0		3	
1974	1	500		28	0	3	2	2	4	1	1	120.0	2			5	0	4	120.0	2	150	3	
1975	1	400		12	0	4	5	2	4	1	1	100.0	2			6	0	4	120.0	1	150	3	
1976	1	100		20	0	4	5	2	4	1	1	70.0	2			6	0	4	35.0	1	100	3	
