a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
930	4	1		2010	1	1	0.25	1	1	5	2	1	5		9999		3
931	3	1		2007	1	1	4.0	1	1	1	5	2	1		9999		3
931	4	1		2010	1	11	0.5	1	1	1	1	2	1		9999		3
932	3	1		2010	66	11	0.25	1	1	1	1	2	1		9999		3
934	3	1		2010	66	11	1.0	1	1	1	1	2	1		9999		3
934	4	2	3														3
935	3	1		2000	66	2	0.5	1	1	1	10	2	1		9999		3
935	4	1		2003	66	2	0.5	1	1	1	8	2	1		9999		3
935	5	1		2011	1	1	0.125	2	1	1	1	9					3
938	3	1		2010	66	1	0.25	1	1	1	1	2	1		9999		3
939	3	1		2004	1	1	3.0	1	1	1	8	2	1		9999		3
939	4	1		2008	1	1	0.25	1	1	5	4	2	5		9999		3
939	5	1		2010	1	1	0.25	1	1	5	2	2	5		9999		3
939	6	1		2000	1	1	0.25	2	2				1		2006	9	3
940	3	1		2010	66	11	0.25	1	1	1	1	2	1		9999		3
943	3	1		2002	1	2	1.0	1	1	1	7	2	1		9999		3
943	4	1		2004	1	2	1.0	1	1	1	7	2	1		9999		3
943	5	1		2011	66	1	1.0	2	1	1	66	9					3
944	3	1		2008	1	1	1.0	1	1	1	4	2	1		9999		3
945	2	1		2001	1	9	1.5	1	1	1	11	2	7		9999		3
945	3	1		2005	1	2	2.0	1	1	1	8	2	5		9999		3
945	4	1		2010	1	1	2.0	1	1	5	2	2	1		9999		3
946	2	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
946	3	1		2008	1	5	1.0	1	1	1	4	2	1		9999		3
946	4	1		2009	1	1	1.0	1	1	1	3	2	1		9999		3
947	2	1		2007	1	7	1.0	1	1	1	5	2	1		9999		3
948	3	1		2011	66	1	1.0	2	1	1	66	9					3
949	2	1		2011	1	1	1.0	2	1	5	1	9					3
951	5	1		2011	1	1	1.0	2	1	1	1	9					3
951	6	2	1														3
952	4	1		2005	1	5	1.0	1	2				1		9999		3
953	5	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
955	5	1		2002	1	1	0.5	2	2				1		2007	11	3
955	6	1		2006	66	1	0.5	1	1	2	5	2	2		9999		3
956	2	1		2008	1	5	0.125	1	1	1	4	2	1		9999		3
956	3	2	1														3
957	6	1		2002	1	2	2.0	2	2				1		2010	9	3
957	7	1		2003	1	1	0.5	2	2				1		2009	5	3
958	3	1		1999	1	9	3.0	1	1	1	11	2	1		9999		3
958	4	1		2004	1	2	3.0	1	1	1	8	2	1		9999		3
959	3	1		2007	1	1	0.25	1	1	1	5	2	1		9999		3
959	4	2	1														3
960	3	1		2004	1	2	0.5	1	1	1	8	2	1		9999		3
960	4	1		2007	1	1	0.125	1	1	1	5	2	1		9999		3
962	2	1		2007	66	1	0.125	1	1	1	4	2	1		9999		3
962	3	1		2009	66	1	0.125	1	1	1	2	2	1		9999		3
963	2	1		2006	1	1	2.0	1	1	1	6	2	1		9999		3
963	3	1		2010	1	1	0.125	1	1	1	2	2	1		9999		3
964	3	1		2001	1	9	2.0	1	1	1	11	2	1		9999		3
964	4	1		2006	66	2	1.5	1	1	1	5	2	1		9999		3
964	5	1		2009	66	1	0.125	1	1	1	2	2	1		9999		3
966	4	1		2002	66	1	2.0	1	1	1	9	2	1		9999		3
967	2	1		2005	66	1	2.0	1	1	1	6	2	1		9999		3
968	2	1		2007	1	1	1.25	1	1	1	6	2	5		9999		3
968	3	1		2011	1	2	1.0	2	1	5	1	9					3
969	3	1		2008	1	2	5.0	1	1	1	4	2	1		9999		3
969	4	1		2010	1	2	0.5	1	1	1	2	2	1		9999		3
970	2	1		2006	66	2	0.5	1	1	1	5	2	1		9999		3
970	3	1		2009	66	2	0.5	1	1	1	2	2	1		9999		3
970	4	1		2009	66	2	0.5	1	1	1	2	2	1		9999		3
971	2	1		2008	1	2	0.5	1	1	1	4	2	5		9999		3
971	3	1		2011	1	2	0.5	2	1	1	1	9					3
972	3	1		2007	1	2	0.25	1	1	1	5	2	1		9999		3
972	4	1		2010	1	2	0.25	1	1	1	2	2	1		9999		3
973	3	1		2006	1	2	1.5	1	1	1	7	2	5		9999		3
974	4	1		2005	1	2	1.5	1	1	7	7	2	5		9999		3
974	5	1		2008	1	1	0.5	1	1	5	5	2	5		9999		3
974	6	1		2010	1	1	0.5	1	1	1	2	2	1		9999		3
975	2	1		2007	1	1	0.25	1	1	5	1	2	5		9999		3
976	3	1		2000	1	2	1.0	1	1	1	10	1	1		9999		3
976	4	1		2001	1	9	2.0	1	1	1	11	2	5	7	9999		3
976	5	1		2009	1	1	0.25	1	1	5	3	2	5		9999		3
977	4	1		2001	1	1	0.5	2	2				1		2007	3	3
977	5	1		2004	1	1	0.5	2	2				1		2008	3	3
979	3	1		2008	1	1	0.5	1	1	5	4	2	5		9999		3
979	4	1		2011	1	1	0.5	2	1	1	1	9					3
980	2	1		2002	1	2	2.0	1	2								3
981	3	1		2007	1	1	1.0	1	1	5	4	2	5		9999		3
981	4	1		2011	1	1	1.0	2	1	1	1	9					3
982	3	1		2009	1	1	1.0	1	1	5	2	2	5		9999		3
982	4	1		2010	1	1	2.0	1	1	5	2	2	5		9999		3
983	2	2	1														3
984	2	1		2011	1	1	0.25	2	1	1	1	1					3
985	3	1		2010	66	1	0.125	1	1	1	1	2	1		9999		3
986	2	1		2003	1	2	0.5	2	2				1		2009	9	3
986	3	1		2009	66	1	0.125	1	1	1	2	2	1		9999		3
987	4	1		2007	1	1	0.125	1	1	1	5	2	1		9999		3
988	2	1		2002	1	2	1.0	1	1	7	22	2	1		9999		3
988	3	1		2004	1	2	1.0	1	1	1	8	2	1		9999		3
988	4	1		2004	1	2	1.0	1	1	1	8	2	1		9999		3
989	2	1		2001	1	2	1.0	1	1	1	22	2	5		9999		3
989	3	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
989	4	1		2009	1	1	0.5	1	1	5	3	2	5		9999		3
990	2	2	1														3
992	3	1		2008	66	1	0.125	1	1	5	3	1	5		9999		3
992	4	1		2010	66	1	0.125	1	1	1	1	1	1		9999		3
993	5	1		2007	1	1	0.125	2	2				1		2009	3	3
995	3	2	3														3
996	3	1		2006	1	3	1.0	1	1	8	7	1	8		9999		3
997	2	2	3														3
999	2	1		2000	1	9	5.0	1	1	1	33	2	1		9999		3
999	3	1		2002	1	2	1.0	1	1	1	10	2	1		9999		3
999	4	1		2004	1	1	1.0	1	1	1	2	1	1		9999		3
999	5	1		2006	1	1	0.5	1	1	5	5	2	5		9999		3
1003	2	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
1004	2	1		2010	66	11	1.0	1	1	1	1	2	1		9999		3
1005	3	1		2008	66	1	0.5	1	1	1	3	2	1		9999		3
1005	4	1		2009	66	1	0.5	1	1	5	2	2	5		9999		3
1005	5	2	1														3
1006	2	1		2003	66	1	0.5	1	2				1			9	3
1007	2	1		2004	66	2	2.0	1	1	1	7	2	1		9999		3
1007	5	2	1														3
1009	2	1		2011	1	1	0.5	2	1	1	1	9	1		9999		3
1011	2	1		2005	1	2	1.0	1	1	1	7	2	5		9999		3
1011	3	1		2009	1	1	0.5	1	1	1	3	2	1		9999		3
1011	4	2	1														3
1012	2	1		2009	1	1	0.25	1	1	5	3	2	5		9999		3
1012	3	2	3														3
1013	5	2	1														3
1013	11	1		2006	1	7	1.5	1	1	7	6	2	5		9999		3
1014	2	2	9														3
1014	3	1		2009	66	1	0.5	1	1	1	2	2	1		9999		3
1018	3	1		2007	1	1	0.5	1	1	1	5	2	1		9999		3
1019	2	1		2007	1	1	0.25	1	1	5	5	2	5		9999		3
1019	3	2	3														3
1022	2	1		2003	1	1	2.0	1	1	7	9	2	1		9999		3
1023	3	1		2009	66	11	0.25	1	1	1	2	2	1		9999		3
1023	4	1		2010	66	11	0.25	1	1	1	1	2	1		9999		3
1024	3	1		2011	1	1	0.25	2	1	5	1	9					3
1026	2	1		2010	66	11	0.25	1	1	1	1	2	1		9999		3
1027	3	1		2009	66	1	0.125	1	1	1	1	2	1		9999		3
1028	2	1		2008	66	3	0.5	1	1	1	3	2	1		9999		3
1028	3	1		2011	66	3	0.5	2	1	1	66	9					3
1030	2	1		2001	1	2	1.0	1	2				1		2011	3	3
1030	3	1		2010	1	1	0.125	1	1	5	2	2	5		9999		3
1030	4	1		2011	1	1	0.125	2	1	1	2	9					3
1031	3	1		2011	1	1	0.125	2	1	1	1	9					3
1032	5	1		2010	1	1	0.1254	1	1	1	2	2	1		9999		3
1032	6	1		2011	1	1	0.125	1	1	1	1	9					3
1033	2	1		2006	1	1	1.0	1	1	1	6	2	1		9999		3
1033	3	1		2010	1	1	0.125	1	1	1	2	2	1		9999		3
1034	2	1		2009	66	3	0.25	1	1	1	1	1	1		9999		3
1034	3	1		2011	1	1	0.25	2	1	1	1	9					3
1035	3	1		2002	1	1	2.0	2	2				1		2004	3	3
1036	2	1		2003	1	1	0.5	1	1	1	5	1	1		9999		3
1036	3	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
1037	3	1		2004	1	2	1.5	1	1	7	8	2	5		9999		3
1038	4	1		2002	1	2	3.0	1	1	1	10	2	5		9999		3
1038	5	1		2007	1	1	0.5	1	1	1	5	2	1		9999		3
1038	6	1		2008	1	1	0.5	1	1	5	4	2	5		9999		3
1039	3	1		2011	1	1	0.125	2	1	5	1	9					3
1040	4	1		2003	1	2	0.5	1	2				1		2011	9	3
1040	5	1		2011	66	1	0.25	2	1	1	66	9					3
1041	2	1		2009	1	1	0.125	1	1	1	3	2	1		9999		3
1041	3	1		2011	1	1	0.125	2	1	1	1	9					3
1042	4	1		2001	1	2	0.5	1	1	1	10	2	1		9999		3
1043	2	1		2007	1	1	0.125	1	1	1	5	2	1		9999		3
1044	3	1		2004	1	2	0.125	1	1	1	8	2	1		9999		3
1044	4	1		2009	1	1	0.125	1	1	1	3	2	1		9999		3
1045	5	1		2004	66	2	0.25	1	1	1	7	2	1		9999		3
1045	6	1		2010	1	1	0.25	1	1	1	2	2	1		9999		3
1046	3	1		2004	1	2	1.0	1	1	1	7	2	5		9999		3
1046	4	1		2010	1	1	0.5	1	1	1	1	1	1		9999		3
1047	3	1		2011	1	3	0.5	2	1	1	1	9					3
1047	4	2	3														3
1049	4	1		2003	1	2	1.0	1	1	1	9	2	5		9999		3
1050	2	1		2011	66	3	1.0	2	1	1	66	9					3
1051	2	2	1														3
1052	3	1		2001	1	2	0.25	1	1	1	10	2	1		9999		3
1052	4	1		2008	1	1	0.125	1	1	1	4	2	1		9999		3
1052	5	1		2011	1	1	0.125	2	1	1	1	9					3
1055	2	1		2006	66	1	0.125	1	1	1	5	1	1		9999		3
1055	3	1		2007	66	1	0.125	1	1	1	4	1	1		9999		3
1056	4	1		2003	1	1	0.5	1	2				5		9999		3
1056	5	1		2003	1	7	0.5	2	2				1		2009	9	3
1056	6	1		2007	1	7	0.25	1	1	1	4	2	1		9999		3
1057	3	1		2000	1	1	0.25	2	2				1		2005	12	3
1057	4	1		2010	1	1	0.25	1	2				1		9999		3
1057	5	2	3														3
1061	3	1		2010	66	11	0.5	1	1	1	1	2	1		9999		3
1062	3	1		2006	1	1	0.5	2	2				1		2011	9	3
1062	4	1		2008	1	1	0.5	1	1	1	4	2	1		9999		3
1062	5	1		2011	1	1	0.5	1	1	1	1	2	1		9999		3
1063	3	1		2004	66	2	1.0	1	1	7	7	2	7		9999		3
1063	4	1		2008	66	1	0.125	1	1	1	3	2	1		9999		3
1063	5	1		2009	1	1	0.125	1	1	1	3	2	1		9999		3
1064	2	1		2004	1	2	0.5	1	1	1	7	2			9999		3
1064	3	1		2007	1	1	0.125	1	1	1	5	2			9999		3
1065	2	1		1999	1	9	4.0	1	1	1	12	2	1		9999		3
1066	2	1		2010	1	7	1.0	1	1	1	2	2			9999		3
1067	4	1		2001	1	2	0.5	1	1	1	10	2	1		9999		3
1067	5	1		2009	1	1	0.5	1	1	1	3	2	1		9999		3
1068	4	1		2003	1	1	0.5	2	2				1		2005	3	3
1068	5	1		2007	1	1	0.5	1	1	5	4	2	1		9999		3
1068	6	2	3														3
1070	2	2	3														3
1071	3	1		2010	1	1	0.5	1	1	1	2	2	1		9999		3
1071	4	2	1														3
1074	3	1		2007	1	1	1.0	1	1	5	5	2	5		9999		3
1075	3	1		2010	1	1	1.0	1	1	5	2	2	1		9999		3
1075	4	2	1														3
1076	4	1		2005	1	2	1.5	1	1	7	6	2	5		9999		3
1076	5	2	1														3
1078	2	2	1														3
1080	2	1		2009	1	1	1.0	1	1	1	3	2	1		9999		3
1081	3	1		2009	66	11	0.125	1	1	1	1	2	1		9999		3
1081	4	1		2011	66	11	0.125	1	1	1	1	2	1		9999		3
1081	5	2	1														3
1082	4	1		2006	1	2	0.5	1	1	1	6	2	1		9999		3
1082	5	1		2008	1	1	0.125	1	1	5	4	2	5		9999		3
1082	6	2	1														3
1083	3	1		2004	1	1	0.25	1	1	1	8	2	1		9999		3
1083	4	1		2009	1	1	0.25	1	1	1	3	1	1		9999		3
1083	5	1		2009	1	1	0.25	1	1	1	3	2	1		9999		3
1083	6	2	3														3
1086	3	1		2011	66	11	0.125	2	1	1	66	9					3
1087	3	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
1088	3	1		2009	66	11	0.5	1	1	1	2	2	1		9999		3
1090	2	1		2003	1	2	0.5	1	1	7	9	2	5		9999		3
1090	3	1		2004	1	2	0.5	1	1	1	8	2	1		9999		3
1091	3	1		2004	1	2	1.0	1	1	1	8	2	7		9999		3
1091	4	1		2007	1	1	0.5	1	1	5	5	2	5		9999		3
1091	5	1		2009	66	1	0.5	1	1	5	2	2	1		9999		3
1094	4	1		2003	1	1	0.5	1	1	1	5	1	1		9999		3
1094	5	1		2006	1	1	0.5	1	1	5	5	2	5		9999		3
1095	3	1		2006	1	1	0.25	2	2				1		2009	9	3
1095	4	1		2009	1	1	0.25	1	1	5	3	2	5		9999		3
1095	5	2	3														3
1096	7	1		2007	1	1	0.5	1	1	1	5	2	1		9999		3
1097	3	1		2005	1	1	0.25	2	2				1		2007	6	3
1097	4	1		2010	1	1	0.25	1	1	5	2	2	1		9999		3
1098	3	1		2009	1	1	0.5	1	1	1	3	2	1		9999		3
1099	3	1		2007	1	1	0.25	1	1	1	5	2	1		9999		3
1099	4	2	3														3
1100	5	2	9														3
1106	3	1		2003	1	2	1.0	1	1	1	9	1	1		9999		3
1106	4	1		2003	1	2	1.0	1	1	1	9	2	1		9999		3
1106	5	1		2006	1	2	1.0	1	1	1	6	2	1		9999		3
1106	6	1		2010	1	1	1.0	1	1	1	2	2	1		9999		3
1106	7	1		2011	1	1	1.0	2	1	1	1	2	1		9999		3
1108	3	1		2001	1	2	1.0	1	1	5	9	2	5		9999		3
1109	3	1		2006	1	2	1.0	1	1	1	6	2	1		9999		3
1109	4	1		2009	1	1	1.0	1	1	5	3	2	5		9999		3
1111	3	1		2008	1	1	1.0	1	1	1	4	2	1		9999		3
1111	4	1		2010	1	1	1.0	1	1	1	2	2	1		9999		3
1111	5	1		2011	1	1	1.0	2	1	5	1	9					3
1112	3	1		2007	1	1	1.0	1	1	1	5	2	1		9999		3
1112	4	1		2005	1	1	1.0	1	1	1	6	2	1		9999		3
1112	5	1		2011	66	1	1.0	2	1	1	66	2	1		9999		3
1113	2	1		2007	1	2	1.0	1	1	5	5	2	5		9999		3
1115	3	1		2005	1	1	1.0	1	1	1	4	1	1		9999		3
1115	4	1		2005	1	1	1.0	2	2				1		2006	9	3
1115	5	1		2011	1	1	1.0	1	1	1	1	2	1		9999		3
1117	3	1		2001	66	9	6.0	1	1	1	11	1	1		9999		3
1119	3	1		2006	1	2	1.5	1	1	1	6	2	1		9999		3
1119	4	1		2009	1	1	1.5	1	1	5	3	2	5		9999		3
1120	4	1		2010	1	1	1.0	1	1	1	2	2	1		9999		3
1123	2	1		2007	1	2	1.0	1	1	1	5	2	1		9999		3
1123	3	1		2011	66	1	1.0	2	1	1	66	9					3
1123	4	1		2003	1	2	1.0	1	1	1	9	2	1		9999		3
1124	3	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
1124	4	1		2005	1	2	1.0	1	1	5	7	2	7		9999		3
1124	5	1		2009	1	1	1.0	1	1	1	3	2	1		9999		3
1124	6	1		2011	1	1	1.0	2	1	1	1	9					3
1125	2	1		2008	1	1	1.0	1	1	1	4	2	1		9999		3
1125	3	1		2011	1	1	1.0	2	1	1	1	2	1		9999		3
1126	2	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
1126	3	1		2011	1	1	1.0	2	1	1	1	9					3
1127	3	1		2011	66	1	1.0	2	1	1	66	9					3
1130	8	2	9														3
1131	3	1		2008	1	1	1.0	1	1	1	3	2	1		9999		3
1131	4	1		2009	1	1	1.0	1	1	1	1	1	1		9999		3
1131	5	1		2009	1	1	1.0	1	1	5	2	2	5		9999		3
1132	3	1		2005	1	1	1.0	2	2				1		2008	9	3
1133	6	1		2005	1	2	2.0	1	1	1	6	1	1		9999		3
1133	7	2	1														3
1133	8	2	1														3
1134	2	1		2001	1	2	10.0	1	1	1	10	2	1		9999		3
1134	3	1		2001	1	9	2.0	1	1	1	11	2	1		9999		3
1135	2	1		2007	1	2	1.0	1	1	1	5	2	1		9999		3
1135	3	1		2007	1	2	1.0	1	1	5	5	2	5		9999		3
1135	4	1		2009	1	1	0.5	1	1	5	3	2	5		9999		3
1137	5	1		2004	1	2	1.0	1	1	7	8	1	7		9999		3
1137	6	1		2006	1	2	1.0	1	1	1	6	2	1		9999		3
1137	7	1		2010	66	2	1.0	1	1	1	1	2	1		9999		3
1139	2	1		2008	1	2	3.0	1	1	1	4	2	1		9999		3
1139	3	1		2010	1	10	0.5	1	1	1	2	2	1		9999		3
1140	4	1		2003	1	1	0.25	2	2						2008	9	3
1140	5	1		2007	1	1	0.25	1	2						2010	9	3
1140	6	1		2008	1	1	0.25	1	1	5	4	2	5		9999		3
1140	7	1		2011	1	1	0.25	2	1	1	1	9					3
1141	3	1		2003	1	2	0.5	1	1	1	10	2	1		9999		3
1141	4	1		2004	1	1	0.5	1	1	7	8	2	7		9999		3
1141	5	1		2008	1	1	0.5	1	1	5	4	2	5		9999		3
1142	3	1		2000	1	2	1.0	1	1	1	10	2	1		9999		3
1142	4	1		2003	1	2	1.0	1	1	1	9	2	1		9999		3
1142	5	1		2008	1	2	1.0	1	1	5	4	2	5		9999		3
1143	4	1		2004	1	2	4.0	2	2				1		2011	21	3
1143	6	1		2008	1	1	0.5	1	1	5	4	2	5		9999		3
1144	3	1		2011	1	2	0.5	2	1	1	1	9					3
1145	3	1		2003	1	2	0.5	2	2				1		2008	11	3
1145	4	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
1145	5	1		2009	1	1	0.5	1	1	5	3	2	5		9999		3
1146	3	1		2010	1	1	0.5	1	1	5	2	2	5		9999		3
1146	4	2	1														3
1148	3	1		2000	1	2	0.5	1	2				5		2011	6	3
1148	4	1		2001	1	2	0.5	1	1	5	10	2	5		9999		3
1148	5	1		2009	1	1	0.5	1	1	1	3	2	1		9999		3
1148	6	1		2010	1	1	0.5	1	1	1	2	2	1		9999		3
1149	3	1		2005	1	2	0.5	1	1	5	7	2	5		9999		3
1149	4	1		2009	1	1	0.5	1	1	1	3	2	1		9999		3
1149	5	1		2010	1	1	0.5	1	1	5	2	2	5		9999		3
1149	6	1		2011	66	3	0.5	2	1	1	66	9	1		9999		3
1152	2	2	9														3
1153	2	2	9														3
1153	3	1		2009	1	1	0.5	1	1	5	3	2			9999		3
1153	4	1		2010	1	1	0.5	1	1	5	2	2	5		9999		3
1153	5	1		2011	66	3	0.5	2	1	1	66	2	1		9999		3
1156	2	1		2001	1	2	1.0	1	2				1		2010	9	3
1156	3	1		2003	1	2	1.0	1	1	1	9	2	1		9999		3
1156	4	1		2009	1	2	1.0	1	1	1	2	2	1		9999		3
1157	5	1		2009	1	1	0.5	1	1	1	2	2	1		9999		3
1159	3	1		2010	1	1	1.0	1	1	5	2	2	5		9999		3
1161	2	1		2010	77	10	0.1	1	1	1	77	2	1		9999		3
1161	3	1		2011	77	10	0.1	2	1	1	77	9					3
1162	2	2	9														3
1162	3	2	9														3
1162	4	2	9														3
1163	3	2	9														3
1165	3	1		2011	1	1	2.0	2	1	1	1	2	1		9999		3
1165	4	2	9														3
1167	2	1		2003	1	1	1.0	2	2				1		2009	15	3
1167	3	1		2008	1	1	1.0	1	1	1	4	2	1		9999		3
1167	4	1		2010	1	1	1.0	1	1	1	2	2	1		9999		3
1170	4	1		2004	1	1	1.0	2	2				1		2006	15	3
1170	5	1		2007	1	1	1.0	2	2				1		2009	15	3
1170	6	1		2008	1	1	1.0	2	2				1		2009	15	3
1172	4	2	22														3
1173	4	1		2007	1	10	0.5	2	2						2009	15	3
1173	5	1		2009	1	10	1.0	1	1	1	3	2	1		9999		3
1173	6	2	3														3
1174	2	1		2011	77	10	0.5	1	1	1	77	9					3
1174	3	2	1														3
1175	2	2	1														3
1176	2	1		2004	77	10	0.5	2	2						2009	15	3
1176	3	1		2008	1	1	0.5	1	1	1	3	2			9999		3
1176	4	1		2011	77	10	0.5	1	1	1	1	2			9999		3
1176	5	2	1														3
1176	6	2	1														3
1177	3	1		2006	77	1	1.0	2	2				1		2009	11	3
1179	3	1		2009	1	1	1.0	1	1	1	2	2	1		9999		3
1179	4	1		2011	77	10	0.5	2	1	1	77	9					3
1179	5	1		2011	77	10	0.5	2	1	1	77	9					3
1180	2	1		2003	1	1	1.0	2	2						2010	10	3
1180	3	1		2011	1	1	1.0	1	1	1	1	2	5		9999		3
1181	3	1		2010	66	2	0.25	1	1	1	66	2	1		9999		3
1184	3	1		2004	66	2	0.5	1	1	1	7	2	1		9999		3
1184	4	1		2009	66	1	0.5	1	1	1	2	2	5		9999		3
1185	3	1		2010	1	1	0.5	1	1	1	1	1	1		9999		3
1188	5	1		2004	1	2	0.25	1	1	7	8	2	7		9999		3
1188	6	1		2008	1	1	0.25	1	1	1	4	2	1		9999		3
1190	2	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
1191	2	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
1192	4	1		2004	1	2	0.25	1	1	7	8	2	7		9999		3
1193	4	1		2011	1	1	1.0	2	1	1	1	9					3
1198	2	1		2006	66	1	0.25	1	1	1	5	2	1		9999		3
1199	3	1		2010	1	1	0.5	1	1	5	2	2	5		9999		3
1202	3	1		2006	66	1	0.5	1	1	5	5	2	5		9999		3
1202	4	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
1204	4	1		2001	66	2	3.0	1	1	1	10	2	1		9999		3
1205	3	1		2010	66	1	0.5	1	1	5	1	2	5		9999		3
1205	4	1		2011	66	5	0.0	2	1	1	1	9					3
1207	4	1		2003	1	2	5.0	1	1	7	9	2	5		9999		3
1208	4	1		2006	1	2	2.0	1	1	7	6	2	5		9999		3
1209	3	1		2009	66	1	0.5	1	1	5	2	2	5		9999		3
1210	3	1		2009	1	1	0.5	1	1	1	3	2	1		9999		3
1210	4	1		2010	66	1	0.5	1	1	1	1	2	1		9999		3
1211	3	1		2000	1	1	2.0	1	1	1	11	2	1		9999		3
1211	4	1		2009	66	1	0.5	1	1	1	2	2	1		9999		3
1212	3	1		2010	66	1	0.5	1	1	1	1	2	5		9999		3
1213	4	1		2008	66	1	0.5	1	1	5	3	2	5		9999		3
1214	3	1		2005	66	2	3.0	1	1	1	6	2	1		9999		3
1214	4	1		2007	66	1	1.0	1	1	1	4	2	1		9999		3
1215	3	2	1														3
1216	3	1		2008	66	1	0.5	1	1	1	2	1	5		9999		3
1221	3	1		2004	1	2	1.0	1	1	7	8	2	7		9999		3
1221	4	1		2009	66	1	0.2	1	1	5	2	2	5		9999		3
1225	4	1		2005	1	2	1.0	1	1	1	7	2	5		9999		3
1226	3	1		2006	66	1	0.5	1	1	1	5	2	1		9999		3
1226	4	1		2007	1	1	0.5	1	1	5	4	1	5		9999		3
1228	2	1		2002	1	2	1.0	1	1	1	10	2	5		9999		3
1228	3	1		2008	1	1	1.0	1	1	5	4	2	5		9999		3
1229	2	1		2010	66	1	0.25	1	1	1	1	2	1		9999		3
1232	2	1		2004	1	2	1.0	1	1	7	7	2	5		9999		3
1232	3	1		2006	1	2	1.0	1	1	1	6	2	1		9999		3
1233	2	1		2005	66	2	1.0	1	1	1	6	2	1		9999		3
1233	3	1		2010	66	1	0.25	1	1	1	1	2	1		9999		3
1235	2	1		2007	1	1	0.0	1	1	1	5	2	5		9999		3
1238	7	1		2005	1	2	1.0	1	1	7	7	2	1		9999		3
1240	8	1		2009	1	1	0.5	1	1	5	3	2	5		9999		3
1240	9	1		2009	1	1	0.5	1	1	5	3	2	5		9999		3
1243	3	1		2005	1	2	2.0	1	1	1	6	2	1		9999		3
1243	4	1		2010	66	5	0.25	1	1	1	1	2	1		9999		3
1244	3	1		2004	1	2	1.5	1	1	1	7	2	1		9999		3
1244	4	1		2008	66	1	1.0	1	1	5	3	2	5		9999		3
1247	3	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
1247	4	1		2010	1	1	0.5	1	1	1	2	2	1		9999		3
1248	3	1		2007	1	1	0.5	1	1	5	5	2	5		9999		3
1248	4	1		2010	1	1	0.5	2	1	1	2	2	1		9999		3
1250	3	1		2001	1	1	2.0	1	1	1	8	2	1		9999		3
1250	4	1		2003	1	7	2.0	1	1	1	9	2	1		9999		3
1250	5	1		2010	1	2	0.5	1	1	1	2	2	1		9999		3
1253	3	1		2008	1	1	0.5	1	1	1	4	2	1		9999		3
1253	6	1		2003	1	2	1.5	1	1	1	9	2	1		9999		3
1254	5	1		2011	66	1	1.0	2	1	1	66	9					3
1255	3	1		2003	1	2	2.0	1	1	1	9	2	5		9999		3
1255	4	1		2003	1	2	2.0	1	1	7	9	2	7		9999		3
1255	5	1		2006	1	2	2.0	1	1	1	6	2	5		9999		3
1256	3	1		2010	66	5	0.25	1	1	1	1	2	1		9999		3
1257	3	2	1														3
1260	3	1		2011	1	1	0.5	2	1	5	1	9					3
1262	3	1		2008	1	1	0.5	1	1	1	4	2	1		9999		3
1262	4	1		2010	1	1	0.5	1	1	1	2	2	1		9999		3
1263	3	1		2011	66	5	0.25	2	1	1	66	9					3
1263	4	2	1														3
1264	3	1		2010	1	1	0.5	1	1	5	2	2	5		9999		3
1266	3	1		2008	1	6	0.25	1	1	1	4	2	1		9999		3
1267	4	1		2002	1	11	2.0	1	1	1	10	1	1		9999		3
1267	5	1		2008	1	1	0.5	1	1	5	4	2	5		9999		3
1267	6	1		2009	1	1	1.0	1	1	1	3	2	1		9999		3
1268	3	1		2008	1	6	0.0	1	1	1	4	2	1		9999		3
1268	4	1		2011	66	6	0.0	2	1	1	66	9					3
1269	3	1		2008	1	1	0.5	1	1	5	4	2	5		9999		3
1269	4	2	3														3
1272	2	1		2006	66	5	0.5	1	1	1	5	2	1		9999		3
1273	3	1		2000	66	2	1.0	1	1	1	22	2	7		9999		3
1274	5	1		2001	1	2	1.0	1	1	1	10	1	1		9999		3
1274	6	1		2008	1	6	0.25	1	1	1	4	2	1		9999		3
1275	3	1		2009	66	1	0.5	1	1	5	2	2	5		9999		3
1278	3	1		2010	66	1	0.0	1	1	5	1	2	1		9999		3
1279	3	1		2011	1	1	0.0	2	1	5	1	9					3
1280	3	1		2011	66	1	0.25	2	1	1	66	9					3
1282	3	1		2008	66	2	0.5	1	1	5	3	2	5		9999		3
1285	4	1		2003	1	2	1.5	1	1	1	9	2	1		9999		3
1287	3	1		2004	1	7	0.5	1	1	1	8	2	1		9999		3
1287	4	1		2011	1	2	0.5	2	1	5	1	9					3
