a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
89	4	1		2010	1	1	0.75	1	1	5	2	2	5	6	9999		3
89	5	1		2008	77	8	0.0	1	1	1	77	2	1		9999		3
90	3	1		2006	1	1	0.75	1	1	7	6	2	5		9999		3
90	4	1		2008	1	1	0.5	1	1	1	4	2	1		9999		3
90	5	1		2009	1	1	0.5	1	1	5	3	2	5	6	9999		3
90	6	1		2010	1	1	0.5	1	1	5	2	2	5	6	9999		3
91	3	2	1														3
92	3	1		2008	1	7	0.5	1	1	1	3	2	1		9999		3
92	4	1		2011	1	7	0.5	1	1	1	1	9					3
93	3	2	9														3
94	3	1		2011	1	7	1.0	2	1	1	1	2	1		9999		3
95	5	1		2000	1	7	1.0	1	1	1	10	2	1		9999		3
96	3	2	5														3
96	4	1		2011	1	11	0.25	2	1	1	1	2	1		9999		3
97	3	1		2005	1	2	1.0	1	1	1	7	2	1		9999		3
97	4	1		2011	77	10	0.5	2	1	1	77	2	1		9999		3
97	5	1		2011	1	1	1.0	2	1	5	1	2	6		9999		3
98	3	1		2011	1	1	1.0	2	1	5	1	2	6		9999		3
99	3	1		2010	66	1	1.0	1	1	5	1	2	1	6	9999		3
99	4	1		2011	66	6	0.25	2	1	1	66	9					3
100	7	1		2008	66	1	2.0	1	1	5	2	1	5	6	9999		3
100	8	1		2005	1	1	2.0	2	2				1		2005	9	3
100	9	2	9														3
101	3	1		2009	66	1	0.25	1	1	5	1	1	5		9999		2
103	3	1		2008	66	2	0.5	1	1	5	3	2	5		9999		2
104	3	1		2011	66	2	0.5	2	1	1	66	9					2
105	3	1		2000	1	2	5.0	1	1	1	22	1	1		9999		2
105	4	1		2009	1	2	0.5	1	1	5	3	2	1		9999		2
106	2	1		2006	66	2	0.25	1	1	5	5	2	5		9999		2
107	3	1		2000	1	9	3.5	1	1	1	11	2	7		9999		2
107	4	1		2007	1	2	0.5	1	1	1	5	2	5		9999		2
108	3	1		2007	1	2	0.5	1	2				1		2011	3	2
108	4	1		2011	1	2	0.5	1	1	5	1	9					2
111	3	1		2005	1	2	0.5	1	1	7	6	2	5	6	9999		2
112	2	1		2011	66	6	0.25	2	1	1	66	9					2
113	4	1		2009	66	1	1.0	1	1	5	2	2	5		9999		2
114	2	1		2003	66	2	0.5	1	1	7	8	2	7	5	9999		2
114	3	1		2010	66	1	0.5	2	1	1	66	9					2
116	2	1		2009	1	1	0.1	1	1	5	3	2	1		9999		2
117	3	1		1999	66	9	3.0	1	1	1	12	2	1		9999		2
117	4	1		2005	66	2	4.5	1	1	1	7	2	1		9999		2
118	4	1		1999	1	9	2.5	1	1	1	11	2	7		9999		2
118	5	1		2002	1	2	2.5	1	1	1	9	2	1		9999		2
118	6	1		2007	1	2	0.5	1	1	1	5	2	1		9999		2
120	3	1		2007	66	2	0.5	1	1	5	4	2	5		9999		2
120	4	1		2010	66	6	0.5	1	1	1	1	2	1		9999		2
122	3	1		2005	66	2	0.25	1	1	1	6	2	5	6	9999		2
123	3	1		2000	66	2	1.0	1	1	1	11	2	1		9999		2
123	4	1		2007	66	1	0.25	1	1	5	4	2	5	6	9999		2
125	2	1		2009	66	1	0.25	1	1	5	2	2	1		9999		2
126	4	1		1999	66	2	0.25	2	2				5	7	2008	21	2
126	5	1		2003	1	2	0.25	1	1	1	9	2	1		9999		2
127	3	1		2010	66	1	0.5	1	1	5	1	2	5		9999		2
128	3	1		2005	66	2	1.0	1	1	5	5	2	5	6	9999		2
128	4	1		2010	66	1	1.0	1	1	1	1	2	6		9999		2
128	5	1		2011	66	6	0.25	2	1	1	66	9					2
