a01	v1_01	pid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_12	v1_13	v1_14	sample_type
325	2															2
326	2															2
327	1	81	3	1	0	25	1	5	37	2		29	1	3	1	2
328	2															2
329	2															2
330	2															2
331	2															2
332	2															2
333	2															2
334	2															2
335	2															2
336	2															2
337	2															2
338	2															2
339	2															2
340	2															2
341	2															3
342	2															3
343	2															3
344	2															3
345	2															3
346	1	81	3	4	0	24	1	5	28	1	1		1	1	1	3
347	2															3
348	2															3
349	2															3
350	2															3
351	2															3
352	2															3
353	2															3
354	2															3
355	2															3
356	2															3
357	2															3
358	2															3
359	1	81	3	0	8	30	1	99	11	1	18		8	1	1	3
360	2															3
361	2															3
362	2															3
363	1	81	3	4	7	22	2	6	82	1	45		3	1	1	3
364	1	81	3	1	5	25	2	12	82	1	45		3	3	2	3
365	2															3
366	2															3
367	2															3
368	1	81	5	3	0	15	1	9	81	1	40		2	1	2	3
369	2															3
370	2															3
371	1	81	3	8	3	25	2	12	13	1	40		1	1	1	3
372	2															3
373	2															3
374	2															3
375	2															3
376	1	81	3	1	6	16	2	7	82	1	45		3	8	2	3
377	1	81	3	3	5	18	2	7	82	1	39		3	8	2	3
378	1	81	7	3	0	30	1	12	13	2		20	1	7	1	3
379	2															3
380	2															3
381	1	81	3	3	6	24	2	9	82	1	45		3	1	2	3
382	1	81	3	0	6	22	2	9	82	1	18		3	8	2	3
383	2															3
384	2															3
385	2															3
386	2															3
387	1	81	3	4	0	25	1	12	13	1	1		1	1	1	3
387	1	82	3	1	0	22	1	12	13	1	1		1	1	1	3
388	2															3
389	2															3
390	2															3
391	1	81	2	0	6	35	1	99	11	2		38	1	7	2	3
392	2															3
393	2															3
394	2															3
395	2															3
396	2															3
397	2															3
398	2															3
399	1	81	3	2	3	20	1	67	13	2		38	1	8	1	3
400	2															3
401	2															3
402	2															3
403	2															3
404	2															3
405	1	81	3	10	7	17	2	12	81	1	45		3	3	2	3
406	2															3
407	2															3
408	2															3
409	2															3
410	2															3
411	2															3
412	2															3
413	1	81	3	3	7	25	1	10	13	1	1		1	1	1	3
414	2															3
415	1	81	3	1	0	14	1	2	11	1	45		1	1	1	3
416	2															3
417	2															3
418	2															3
419	2															3
420	2															3
421	2															3
422	1	81	3	4	6	20	2	9	82	1	45		3	3	2	3
423	2															3
424	2															3
425	2															3
426	2															3
427	2															3
428	2															3
429	2															3
430	2															3
431	1	81	3	3	0	20	1	8	13	2		20	1	8	1	3
432	2															3
433	2															3
434	1	81	3	0	8	32	1	5	13	2		38	1	4	1	3
435	2															3
436	2															3
437	2															3
438	1	81	12	2	5	40	1	99	3	1	45		3	10	1	3
439	2															3
440	1	81	7	3	0	40	1	99	13	2		20	1	10	1	3
441	2															3
442	2															3
443	2															3
444	1	81	3	0	2	22	1	6	13	1	1		1	1	2	3
445	1	81	7	3	10	28	2	12	82	1	44		3	1	2	3
446	2															3
447	2															3
448	2															3
449	2															3
450	2															3
451	2															3
452	2															3
453	2															3
454	2															3
455	2															3
456	2															3
457	2															3
458	2															3
459	1	81	3	1	2	18	1	8	13	1	1		1	1	1	3
459	1	82	3	0	7	21	1	5	13	1	1		1	1	1	3
459	1	83	3	3	0	18	2	10	82	1	45		3	1	2	3
460	2															3
461	2															3
462	2															3
463	2															3
464	2															3
465	1	81	3	0	11	7	1	66	81	1	45		2	1	2	3
466	2															3
467	1	81	3	0	3	26	1	16	12	1	46		1	1	1	3
468	2															3
469	2															3
470	2															3
471	2															3
472	2															3
473	2															3
474	1	81	3	0	6	18	1	12	81	1	45		2	8	2	3
475	2															3
476	2															3
477	1	81	2	3	1	34	1	5	13	2		38	1	4	1	3
478	2															3
479	2															3
480	2															3
481	1	81	3	7	9	38	1	10	13	2		29	1	3	1	3
482	2															3
483	1	81	3	4	5	30	1	8	8	2		38	8	7	2	3
484	2															3
485	2															3
486	2															3
487	2															3
488	1	81	2	7	9	33	1	10	34	2		38	1	2	1	3
489	1	81	3	4	5	23	1	9	72	2		20	1	2	1	3
490	2															3
491	2															3
492	1	81	6	7	6	23	1	8	8	2		20	1	8	1	3
493	2															3
494	2															3
495	1	81	3	1	10	25	1	12	13	2		38	1	5	1	3
496	2															3
497	1	81	3	3	6	25	1	5	13	1	5		1	1	1	3
497	1	82	3	3	1	17	1	8	13	1	5		1	1	1	3
498	2															3
499	2															3
500	2															3
501	2															3
502	2															3
503	2															3
504	1	81	7	1	1	12	1	2	11	1	55		1	3	1	3
505	1	81	3	1	8	11	1	99	11	1	25		1	3	2	3
506	1	81	2	1	2	38	1	99	8	1	55		1	1	1	3
507	1	81	2	3	10	35	1	5	13	2		20	1	2	1	3
508	1	81	2	8	5	32	1	12	13	1	1		1	1	1	3
509	1	81	3	5	4	24	1	12	81	1	1		2	2	2	3
510	2															3
511	2															3
512	2															3
513	2															3
514	2															3
515	1	81	2	5	6	32	1	8	13	1	25		1	1	1	3
516	1	81	2	7	11	35	1	12	8	2		29	1	4	1	3
517	1	81	3	9	5	30	1	8	24	2		29	1	2	1	3
518	2															3
519	1	81	2	25	3	46	1	5	13	1	55		1	1	1	3
520	1	81	2	4	5	32	1	5	13	2		29	1	8	1	3
521	1	81	2	8	11	30	1	2	37	2		41	8	8	2	3
522	1	81	3	2	0	20	1	8	28	1	55		8	1	1	3
523	2															3
524	2															3
525	2															3
526	1	81	2	8	4	52	1	99	15	2		29	1	8	1	3
526	1	82	3	4	5	25	1	10	23	2		29	1	1	1	3
526	1	83	3	4	4	22	1	3	13	2		29	1	1	1	3
527	2															3
528	2															3
529	1	81	3	9	11	35	1	4	37	2		29	1	2	1	3
529	1	82	3	3	11	26	1	2	1	2		29	1	2	1	3
530	2															3
531	1	81	2	14	10	35	1	5	34	2		29	1	2	1	3
532	2															3
533	1	81	3	7	2	16	1	5	8	1	1		1	3	1	3
534	1	81	3	0	6	24	1	9	13	2		29	1	4	1	3
535	1	81	3	4	5	34	1	8	21	2		29	1	10	1	3
535	1	82	3	5	6	30	1	6	8	2		29	1	4	1	3
536	1	81	7	1	6	35	1	99	3	1	55		8	1	1	3
537	2															3
538	2															3
539	1	81	2	2	6	45	1	99	37	2		41	8	5	1	3
540	2															3
541	2															3
542	2															3
543	2															3
544	2															3
545	2															3
546	2															3
547	2															3
548	2															3
549	2															3
550	1	81	2	0	5	29	1	10	13	1	25		1	1	1	3
551	1	81	3	4	7	22	1	9	23	1	29		1	10	1	3
552	2															3
553	2															3
554	1	81	3	2	2	18	1	6	28	1	18		1	3	2	3
555	1	81	3	25	0	46	1	8	23	1	25		1	1	1	3
556	2															3
557	1	81	2	0	6	30	1	99	28	1	1		1	1	1	3
558	1	81	3	6	0	17	1	99	28	1	18		1	3	1	3
559	2															3
560	2															3
561	1	81	2	4	9	28	1	99	50	1	18		8	1	1	3
562	2															3
563	2															3
564	2															3
565	2															3
566	2															3
567	2															3
568	1	81	2	0	2	30	1	4	52	1	1		1	1	1	3
569	1	81	3	7	6	30	1	10	50	1	1		8	1	1	3
570	1	81	3	4	6	26	1	99	50	1	1		8	1	1	3
571	2															3
572	2															3
573	2															3
574	1	81	3	2	0	15	1	4	13	1	1		1	3	1	3
575	1	81	3	3	0	24	1	7	33	2		38	1	4	1	3
576	2															3
577	2															3
578	1	81	3	1	2	22	1	99	50	1	8		8	1	1	3
578	1	82	3	4	9	18	1	99	50	1	18		8	1	1	3
579	2															3
580	2															3
581	1	81	3	12	0	32	1	10	54	2		2	8	8	1	3
581	1	82	3	8	0	42	1	5	54	2		2	8	8	1	3
582	2															3
583	2															3
584	2															3
585	2															3
586	2															3
587	2															3
588	1	81	3	0	3	25	1	99	13	1	1		1	1	1	3
588	1	82	3	1	1	20	1	6	13	1	1		1	1	1	3
589	2															3
590	2															3
591	2															3
592	1	81	3	4	6	25	1	9	37	2		29	1	3	1	3
593	2															3
594	1	81	3	1	2	25	1	7	13	1	5		1	1	1	3
595	1	81	3	2	9	28	1	12	21	1	25		1	1	1	3
595	1	82	3	2	10	16	1	99	36	1	28		1	1	1	3
596	2															3
597	2															3
598	2															3
599	2															3
600	2															3
601	2															3
602	1	81	3	8	2	18	1	5	11	1	1		8	1	1	3
602	1	82	3	1	0	15	1	5	11	1	1		8	1	1	3
603	1	81	3	4	0	18	1	5	24	1	1		8	1	1	3
604	1	81	7	3	6	23	1	8	51	1	1		1	1	1	3
605	1	81	7	3	5	32	1	14	12	1	24		1	1	1	3
606	2															3
607	1	81	3	12	3	35	2	2	11	1	1		8	1	1	3
607	1	82	3	3	2	20	1	5	11	1	1		8	1	1	3
607	1	83	3	2	2	17	1	2	8	1	1		8	1	1	3
608	2															3
609	2															3
610	2															3
611	2															3
612	1	81	3	2	7	25	1	10	13	2		38	1	4	1	3
612	1	82	3	3	10	20	1	8	13	1	1		1	1	1	3
613	1	81	2	3	10	60	1	9	11	1	1		8	1	1	3
614	1	81	3	4	4	40	1	8	51	1	1		8	1	1	3
615	1	81	3	2	0	15	1	2	36	1	1		8	3	2	3
616	2															3
617	2															3
618	2															3
619	2															3
620	2															3
621	1	81	3	2	4	16	2	4	13	1	1		1	1	2	3
621	1	82	3	0	4	14	2	5	13	1	1		1	1	2	3
622	2															3
623	2															3
624	1	81	2	2	0	32	1	10	7	2		20	8	3	1	3
625	2															3
626	2															3
627	2															3
628	1	81	3	2	0	25	1	4	37	1	24		3	1	2	3
628	1	82	3	4	0	23	2	8	37	2		29	1	8	1	3
628	1	83	3	4	1	21	2	5	8	1	24		3	2	2	3
628	1	84	3	4	1	19	2	5	8	1	28		3	2	2	3
629	1	81	3	4	2	30	2	10	8	1	24		3	2	2	3
629	1	82	3	2	0	18	1	10	5	1	24		2	3	2	3
630	1	81	3	1	0	18	1	2	37	1	1		1	3	1	3
631	1	81	3	2	8	25	1	2	8	2		24	8	3	2	3
632	2															3
633	1	81	2	10	8	50	1	5	54	1	1		8	1	1	3
634	2															3
635	1	81	3	10	5	30	1	4	37	2		29	1	1	1	3
635	1	82	3	4	4	22	1	9	37	1	1		1	1	1	3
636	2															3
637	1	81	3	3	4	20	1	4	37	1	18		1	3	1	3
638	1	81	3	0	9	18	1	10	13	2		38	1	4	1	3
639	2															3
640	2															3
641	2															3
642	2															3
643	2															3
644	1	81	3	0	9	30	1	9	13	2		21	1	4	2	3
644	1	82	3	2	6	23	1	12	12	1	1		1	1	1	3
644	1	83	3	0	7	20	1	12	12	1	25		1	1	1	3
645	1	81	3	2	5	35	1	2	13	2		29	1	5	1	3
645	1	82	3	0	7	16	2	9	72	1	1		1	3	2	3
646	2															3
647	1	81	3	4	10	12	2	6	2	1	24		2	3	2	3
648	1	81	3	4	0	21	2	10	8	1	24		3	3	2	3
649	2															3
650	1	81	2	3	6	30	1	99	13	2		24	1	4	1	3
651	2															3
652	2															3
653	2															3
654	1	81	3	0	3	35	1	2	37	2		24	1	4	1	3
654	1	82	3	0	6	40	1	3	37	2		29	1	5	1	3
655	2															3
656	1	81	2	0	8	35	1	2	7	2		24	8	5	1	3
657	2															3
658	2															3
659	2															3
660	1	81	3	0	3	21	1	5	8	1	1		1	3	1	3
661	1	81	3	3	2	35	1	99	3	1	1		8	1	2	3
661	1	82	4	3	2	26	2	5	82	1	1		8	10	2	3
661	1	83	5	3	2	15	2	7	13	1	1		8	10	2	3
661	1	84	5	3	2	10	1	4	81	1	1		8	10	2	3
661	1	85	5	3	2	8	1	1	81	1	1		8	10	2	3
661	1	86	5	3	2	7	1	99	81	1	1		8	10	2	3
661	1	87	5	3	2	6	2	99	81	1	1		8	10	2	3
662	1	81	3	4	0	20	1	3	37	1	25		1	1	1	3
662	1	82	3	1	2	17	1	9	1	1	24		8	1	1	3
663	2															3
664	2															3
665	1	81	2	10	11	55	1	2	35	2		29	1	7	1	3
666	2															3
667	1	81	1	6	1	40	1	5	8	1	24		8	1	1	3
668	2															3
669	2															3
670	2															3
671	1	81	3	2	1	14	1	5	10	1	1		8	1	1	3
672	1	81	2	1	0	65	1	3	22	1	18		8	1	1	3
673	1	81	2	2	10	40	1	99	7	2		38	1	5	1	3
674	1	81	11	3	2	17	1	4	10	1	24		8	3	2	3
675	2															3
676	1	81	2	4	1	50	1	5	13	1	25		1	1	1	3
676	1	82	3	0	1	15	1	7	10	1	24		8	2	2	3
677	1	81	3	2	7	16	1	5	36	1	5		1	1	1	3
677	1	82	3	0	6	25	1	5	36	1	21		1	1	1	3
678	2															3
679	1	81	3	1	10	22	1	5	13	2		24	1	8	1	3
680	1	81	3	1	1	18	1	8	7	1	1		8	1	1	3
680	1	82	3	1	1	16	1	5	7	1	1		8	1	1	3
681	1	81	3	0	7	22	1	4	32	1	18		8	1	1	3
682	2															3
683	2															3
684	1	81	2	20	1	40	1	2	11	1	1		8	1	1	3
684	1	82	3	6	2	20	1	5	27	1	1		8	3	2	3
684	1	83	3	3	3	15	1	4	24	1	1		8	3	1	3
685	2															3
686	2															3
687	1	81	3	4	1	23	1	5	51	1	1		8	1	1	3
687	1	82	3	2	2	21	1	5	51	1	1		8	1	1	3
687	1	83	3	1	0	15	1	10	5	1	28		2	3	2	3
688	2															3
689	1	81	2	3	8	32	1	7	11	1	1		8	1	1	3
690	2															3
691	2															3
692	2															3
693	2															3
694	2															3
695	1	81	3	4	10	20	1	4	72	1	1		1	3	1	3
696	2															3
697	2															3
698	1	81	11	2	6	22	1	8	35	2		38	1	3	1	3
698	1	82	11	0	1	21	2	9	8	1	24		3	3	2	3
699	2															3
700	1	81	2	0	1	35	1	2	72	1	1		1	1	2	3
701	2															3
702	2															3
703	2															3
704	1	81	3	3	6	23	1	4	13	2		38	1	6	1	3
705	2															3
706	2															3
707	2															3
708	2															3
709	2															3
710	2															3
711	2															3
712	2															3
713	2															3
714	2															3
715	2															3
716	2															3
717	2															3
718	2															3
719	2															3
720	2															3
721	1	81	2	15	8	50	1	5	13	2		29	1	3	1	3
722	1	81	2	5	4	48	1	8	7	2		24	1	4	1	3
723	1	81	3	4	5	24	1	74	13	1	18		1	1	1	3
723	1	82	3	0	4	21	1	10	13	1	18		1	1	1	3
724	2															3
725	1	81	2	2	7	26	1	8	13	2		29	1	1	1	3
726	2															3
727	1	81	7	4	4	25	1	6	13	2		38	1	10	1	3
728	2															3
729	1	81	1	6	2	32	1	10	13	2		35	1	4	1	3
730	2															3
731	1	81	2	0	9	40	1	99	13	2		38	1	4	1	3
732	1	81	2	8	4	50	1	99	50	1	18		8	9	2	3
733	2															3
734	2															3
735	2															3
736	2															3
737	1	81	3	9	10	37	1	9	7	2		38	1	5	1	3
738	2															3
739	2															3
740	1	81	2	3	9	50	1	2	23	1	18		8	1	1	3
740	1	82	3	11	2	16	1	5	10	1	18		1	1	2	3
741	2															3
742	2															3
743	2															3
744	2															3
745	1	81	3	1	6	16	1	8	21	1	1		1	1	1	3
746	1	81	3	0	6	29	1	99	13	2		38	1	4	1	3
746	1	82	3	1	0	31	1	9	41	1	18		8	1	1	3
747	2															3
748	2															3
749	2															3
750	2															3
751	1	81	3	10	3	28	1	8	11	1	18		1	1	1	3
752	1	81	2	3	2	50	1	4	33	2		38	1	3	1	3
753	1	81	7	22	1	50	1	9	11	2		24	1	8	1	3
753	1	82	7	4	3	37	1	8	11	2		24	1	10	1	3
753	1	83	7	3	4	28	1	6	35	2		24	1	10	1	3
753	1	84	7	4	7	25	1	5	11	2		24	1	10	1	3
754	1	81	2	1	8	45	1	5	11	2		24	1	4	1	3
755	1	81	3	5	2	18	1	6	13	1	18		1	1	2	3
755	1	82	3	3	0	25	1	5	13	2		38	1	3	2	3
756	2															3
757	1	81	2	3	0	35	1	4	11	1	19		3	1	1	3
758	1	81	2	1	3	30	1	8	13	2		22	1	4	1	3
759	2															3
760	2															3
761	1	81	2	4	4	42	1	7	23	2		29	1	7	1	3
762	2															3
763	1	81	2	0	5	47	1	4	13	2		38	1	3	1	3
764	1	81	14	10	5	35	1	6	13	2		38	1	3	1	3
765	2															3
766	2															3
767	2															3
768	2															3
769	1	81	2	5	6	45	1	5	13	2		29	1	4	1	3
770	1	81	2	3	6	37	1	5	13	2		29	1	2	1	3
771	1	81	3	7	10	20	1	5	33	2		29	1	7	1	3
772	1	81	2	5	3	45	1	16	13	2		29	1	1	1	3
772	1	82	11	10	6	36	1	8	13	2		29	1	7	1	3
773	2															3
774	2															3
775	2															3
776	1	81	2	4	3	48	1	99	13	2		29	1	8	1	3
776	1	82	3	9	6	20	1	5	13	2		38	1	2	1	3
777	1	81	2	12	4	30	1	9	13	2		29	1	3	1	3
778	2															3
779	2															3
780	2															3
781	1	81	3	2	4	23	1	9	21	1	18		1	1	1	3
782	2															3
783	1	81	2	4	8	35	1	2	21	2		38	1	5	1	3
784	1	81	2	12	2	46	1	4	21	2		38	1	4	1	3
784	1	82	3	2	7	18	1	7	21	1	1		1	1	1	3
785	1	81	2	1	6	60	1	3	13	2		38	1	1	1	3
786	1	81	3	3	6	26	1	10	13	2		24	1	8	1	3
787	2															3
788	1	81	7	6	8	31	1	12	13	1	18		1	1	1	3
789	1	81	3	4	0	22	1	9	13	2		29	1	8	1	3
789	1	82	3	0	3	18	1	10	5	1	18		2	1	2	3
790	2															3
791	1	81	3	8	0	23	1	5	13	1	18		1	1	1	3
792	2															3
793	1	81	2	26	11	60	1	99	13	2		24	1	7	1	3
793	1	82	3	3	4	26	1	12	13	2		24	1	1	1	3
794	1	81	2	0	2	38	1	99	13	2		27	1	4	2	3
795	1	81	3	0	3	18	1	7	13	1	18		1	1	2	3
796	1	81	3	10	4	30	1	10	13	2		38	1	4	1	3
797	1	81	2	20	8	58	1	7	13	1	18		1	1	1	3
797	1	82	3	6	6	21	1	6	13	1	18		1	1	1	3
798	2															3
799	1	81	2	10	2	42	1	14	13	1	18		1	1	1	3
800	2															3
801	1	81	2	7	9	50	1	2	72	2		24	1	1	1	3
802	1	81	3	5	2	25	1	10	37	2		24	1	8	1	3
803	1	81	7	8	7	35	1	3	72	2		24	1	8	1	3
804	2															3
805	1	81	3	1	1	23	1	8	37	2		38	8	4	1	3
806	1	81	3	2	0	28	1	5	50	1	18		8	4	1	3
807	1	81	2	10	3	55	1	99	11	2		38	1	4	1	3
807	1	82	3	1	0	20	1	8	11	2		38	1	1	1	3
808	1	81	2	2	8	40	1	10	13	2		24	1	8	1	3
809	1	81	2	22	3	55	1	5	13	2		29	1	3	1	3
809	1	82	3	3	6	24	1	10	13	2		29	1	3	1	3
810	2															3
811	1	81	7	3	4	23	1	6	13	2		38	1	4	1	3
812	1	81	3	4	6	27	1	9	13	2		38	1	5	1	3
813	2															3
814	2															3
815	2															3
816	1	81	3	1	10	20	1	4	33	2		38	1	4	1	3
817	2															3
818	1	81	3	2	4	23	1	8	21	1	18		1	1	1	3
818	1	82	3	1	2	20	1	5	21	1	18		1	1	1	3
819	1	81	2	1	2	45	1	10	72	2		24	1	5	1	3
