a01	plotid	g01	g02	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag	sample_type
45	3	2	15.0	150.0	0.0	5	2		1			1			150000	3	1974	1			1	1			1			1			1			1				2
45	4	2	7.0	200.0	0.0	5	2		1			1			70000	3	1974	1			1	1			1			1			1			1				2
45	5	2	5.0	250.0	2.0	5	2		1			1			50000	3	1974	1			1	1			1			1			1			1				2
45	6	2	10.0	300.0	0.0	5	2		1			1			100000	3	1974	1			1	1			1			1			1			1				2
45	7	2	7.0	400.0	0.0	5	2		1			1			63000	3	1974	1			1	1			1			1			1			1				2
45	8	2	20.0	500.0	0.0	5	2		1			1			200000	3	1974	1			1	1			1			1			1			1				2
45	9	2	10.0	600.0	0.0	5	2		1			1			100000	3	1974	1			1	1			1			1			1			1				2
45	10	2	17.0	250.0	0.0	5	4		72			72			170000	6	2010	1			1	1			1			1			1			1				2
45	11	2	15.0	150.0	0.0	5	4		72			72			150000	6	2010	1			1	1			1			1			1			1				2
45	12	2	7.0	200.0	0.0	5	4		72			72			70000	6	2010	1			1	1			1			1			1			1				2
45	13	2	5.0	300.0	0.0	5	4		72			72			50000	6	2010	1			1	1			1			1			1			1				2
45	14	2	10.0	400.0	0.0	5	4		72			72			10000	6	2010	1			1	1			1			1			1			1				2
45	15	2	7.0	500.0	0.0	5	4		72			72			70000	6	2010	1			1	1			1			1			1			1				2
